"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","neg_log10_padj"
"GO:0000244","spliceosomal tri-snRNP complex assembly",11,3,0.272727272727273,60.2248438584316,13.2506557714348,1.45826242935385e-05,0.00200349054877337,"Prpf8,Tssc4,Usp4",2.69821270195864
"GO:0042883","cysteine transport",4,2,0.5,110.412213740458,14.7597957237837,0.000121383118666379,0.00968324040199852,"Nfe2l1,Slc1a1",2.01397928595471
"GO:0010948","negative regulation of cell cycle process",330,8,0.0242424242424242,5.35331945408281,5.36442773297352,0.000135175445814971,0.0104465274218882,"Zw10,Mad2l1,Ccl12,Nsun2,Spdl1,Trim37,Rbl1,Rfwd3",1.98102805138498
"GO:0016255","attachment of GPI anchor to protein",5,2,0.4,88.3297709923664,13.1716255875847,0.000201704140838573,0.013481468656589,"Pigk,Pigu",1.87026279365315
"GO:0022613","ribonucleoprotein complex biogenesis",452,9,0.0199115044247788,4.3969465648855,4.90944233203609,0.000225810381130366,0.0146160293872217,"Prpf8,Gcfc2,Tssc4,Usp4,Wdr46,Pop5,Sf3b1,Nop9,Tfb2m",1.83517059245523
"GO:1901991","negative regulation of mitotic cell cycle phase transition",191,6,0.031413612565445,6.93689300987171,5.55224874406526,0.000241628970408383,0.0146160293872217,"Zw10,Mad2l1,Ccl12,Spdl1,Rbl1,Rfwd3",1.83517059245523
"GO:0006399","tRNA metabolic process",192,6,0.03125,6.90076335877863,5.53298353117805,0.000248508584032764,0.0146324221026911,"Elp3,Farsa,Ftsj1,Nsun2,Pop5,Zbtb8os",1.83468377922208
"GO:0000966","RNA 5'-end processing",28,3,0.107142857142857,23.659760087241,8.09094267421372,0.00027367069825392,0.015039725261821,"Rngtt,Pop5,Nop9",1.8227600971463
"GO:0008033","tRNA processing",128,5,0.0390625,8.62595419847328,5.83198845981749,0.000298924015635081,0.0160704150144686,"Elp3,Ftsj1,Nsun2,Pop5,Zbtb8os",1.79397290754491
"GO:1901988","negative regulation of cell cycle phase transition",286,7,0.0244755244755245,5.40479367960284,5.04917751647019,0.000337199151845562,0.0173727813023766,"Zw10,Mad2l1,Ccl12,Nsun2,Spdl1,Rbl1,Rfwd3",1.76013064743779
"GO:0051156","glucose 6-phosphate metabolic process",31,3,0.0967741935483871,21.3701058852499,7.65352450167708,0.000371796188613703,0.018764326009014,"Nfe2l1,Hkdc1,Hsd11b1",1.72666703028223
"GO:1905037","autophagosome organization",136,5,0.0367647058823529,8.11854512797485,5.61226930346769,0.000395130501411768,0.0195431545998261,"Dnajc16,Mtm1,Pip4k2a,Atg13,Tmem39a",1.70900533239215
"GO:0031396","regulation of protein ubiquitination",219,6,0.0273972602739726,6.04998431454564,5.05960690250939,0.00050050239885238,0.0238027390838834,"Rchy1,Mad2l1,Usp4,Tspyl5,N4bp1,Bex4",1.62337306392798
"GO:0031397","negative regulation of protein ubiquitination",83,4,0.0481927710843374,10.6421410834176,5.93322719622163,0.0005596683840483,0.0261143379953103,"Mad2l1,Usp4,N4bp1,Bex4",1.58312097915603
"GO:0045786","negative regulation of cell cycle",413,8,0.0193704600484262,4.27747075023566,4.52471141070269,0.000606066369104894,0.0266067670394081,"Zw10,Mad2l1,Ccl12,Nsun2,Spdl1,Trim37,Rbl1,Rfwd3",1.57500789291365
"GO:0000132","establishment of mitotic spindle orientation",37,3,0.0810810810810811,17.9046833092635,6.93969424675586,0.000630065525835162,0.0266067670394081,"Zw10,Mad2l1,Spdl1",1.57500789291365
"GO:0000387","spliceosomal snRNP assembly",37,3,0.0810810810810811,17.9046833092635,6.93969424675586,0.000630065525835162,0.0266067670394081,"Prpf8,Tssc4,Usp4",1.57500789291365
"GO:0010506","regulation of autophagy",319,7,0.0219435736677116,4.84567709205772,4.6583331028293,0.000645534178068938,0.0266067670394081,"Mtm1,Pip4k2a,Rock1,Atg13,Eif2ak1,Tmem39a,Zmpste24",1.57500789291365
"GO:0007033","vacuole organization",239,6,0.0251046025104603,5.54370947650835,4.75735458736033,0.000790342339672406,0.0300694862463055,"Dnajc16,Mtm1,Pip4k2a,Atg13,Tfe3,Tmem39a",1.52187399199594
"GO:0040001","establishment of mitotic spindle localization",41,3,0.0731707317073171,16.157884937628,6.55078032724124,0.000853075261387968,0.0315787153703442,"Zw10,Mad2l1,Spdl1",1.50060554117125
"GO:1903321","negative regulation of protein modification by small protein conjugation or removal",94,4,0.0425531914893617,9.39678414812409,5.49968975836506,0.000893857693458993,0.0315787153703442,"Mad2l1,Usp4,N4bp1,Bex4",1.50060554117125
"GO:1902115","regulation of organelle assembly",247,6,0.0242914979757085,5.36415613313966,4.6458516073255,0.000937087104297568,0.0326396677313787,"Mtm1,Tapt1,Trim37,Pip4k2a,Fscn1,Tmem39a",1.48625427097097
"GO:0045930","negative regulation of mitotic cell cycle",249,6,0.0240963855421687,5.32107054170882,4.61873186194385,0.000976852270774788,0.033552162022584,"Zw10,Mad2l1,Ccl12,Spdl1,Rbl1,Rfwd3",1.47427948967605
"GO:1901874","negative regulation of post-translational protein modification",98,4,0.0408163265306122,9.01324193799657,5.35935708539978,0.00104418561937411,0.0348955545501645,"Mad2l1,Usp4,N4bp1,Bex4",1.45722989559963
"GO:0051098","regulation of binding",349,7,0.0200573065902579,4.4291432446029,4.34698907627435,0.00108963301050604,0.0359228035038147,"Nucks1,Krit1,Phlda2,Rock1,Habp4,Id2,Zmpste24",1.44462977727407
"GO:1903320","regulation of protein modification by small protein conjugation or removal",255,6,0.0235294117647059,5.19586888190391,4.53909375939961,0.00110397616914271,0.0359228035038147,"Rchy1,Mad2l1,Usp4,Tspyl5,N4bp1,Bex4",1.44462977727407
"GO:0090398","cellular senescence",100,4,0.04,8.83297709923664,5.29216434594949,0.00112563506175712,0.0361518897107189,"Ndufs6,Rbl1,Id2,Zmpste24",1.44186899658555
"GO:1901990","regulation of mitotic cell cycle phase transition",354,7,0.019774011299435,4.3665847241989,4.29852425585025,0.00118261528053389,0.0374056585650622,"Zw10,Mad2l1,Ccl12,Spdl1,Rbl1,Id2,Rfwd3",1.42706269465262
"GO:0051294","establishment of spindle orientation",46,3,0.0652173913043478,14.4015930965815,6.13529478170406,0.00119492398974522,0.0374056585650622,"Zw10,Mad2l1,Spdl1",1.42706269465262
"GO:1901873","regulation of post-translational protein modification",260,6,0.0230769230769231,5.09594832648268,4.47462008355669,0.00121930092513429,0.0376333510974192,"Rchy1,Mad2l1,Usp4,Tspyl5,N4bp1,Bex4",1.42442710779445
"GO:2000785","regulation of autophagosome assembly",47,3,0.0638297872340425,14.0951762221861,6.05993387498263,0.00127219596072901,0.0381491145263584,"Mtm1,Pip4k2a,Tmem39a",1.41851553793923
"GO:0008380","RNA splicing",464,8,0.0172413793103448,3.80731771518821,4.11165165563576,0.00128037869215032,0.0381491145263584,"Prpf8,Eftud2,Gcfc2,Tssc4,Usp4,Zbtb8os,Sf3b1,Habp4",1.41851553793923
"GO:0001937","negative regulation of endothelial cell proliferation",48,3,0.0625,13.8015267175573,5.98683809706124,0.00135254455295208,0.0388935195284942,"Ccl12,Krit1,Tnmd",1.41012275516462
"GO:1902116","negative regulation of organelle assembly",48,3,0.0625,13.8015267175573,5.98683809706124,0.00135254455295208,0.0388935195284942,"Mtm1,Trim37,Tmem39a",1.41012275516462
"GO:0030010","establishment of cell polarity",181,5,0.0276243093922652,6.10012230610265,4.6423441888579,0.00143003632361285,0.0406491934286732,"Zw10,Mad2l1,Spdl1,Krit1,Fscn1",1.3909480673627
"GO:1901987","regulation of cell cycle phase transition",475,8,0.0168421052631579,3.71914825231016,4.03022582862331,0.00148413965841238,0.0408802265036985,"Zw10,Mad2l1,Ccl12,Nsun2,Spdl1,Rbl1,Id2,Rfwd3",1.38848670658582
"GO:0000101","sulfur amino acid transport",13,2,0.153846153846154,33.9729888432179,8.02014307438513,0.00153634172234932,0.0408802265036985,"Nfe2l1,Slc1a1",1.38848670658582
"GO:1902902","negative regulation of autophagosome assembly",13,2,0.153846153846154,33.9729888432179,8.02014307438513,0.00153634172234932,0.0408802265036985,"Mtm1,Tmem39a",1.38848670658582
"GO:0022618","protein-RNA complex assembly",184,5,0.0271739130434783,6.00066379024228,4.58961956717342,0.001537347781983,0.0408802265036985,"Prpf8,Gcfc2,Tssc4,Usp4,Sf3b1",1.38848670658582
"GO:0031929","TOR signaling",184,5,0.0271739130434783,6.00066379024228,4.58961956717342,0.001537347781983,0.0408802265036985,"Mtm1,Usp4,Mapkap1,Disc1,Zmpste24",1.38848670658582
"GO:0031297","replication fork processing",51,3,0.0588235294117647,12.9896722047598,5.78002988344932,0.00161249808040947,0.0424224229026875,"Nucks1,Pcna,Rfwd3",1.37240453093455
"GO:0071478","cellular response to radiation",189,5,0.0264550264550265,5.8419160709237,4.50428700823148,0.00172921106500406,0.0436894535565171,"Nucks1,Pcna,Tspyl5,N4bp1,Zmpste24",1.35962338717126
"GO:0044793","host-mediated suppression of viral proces",14,2,0.142857142857143,31.546346782988,7.71050689352431,0.00178709009899633,0.0436894535565171,"Ccl12,Nucks1",1.35962338717126
"GO:0007094","mitotic spindle assembly checkpoint signaling",53,3,0.0566037735849057,12.4994958951462,5.65157458338858,0.0018019912101758,0.0436894535565171,"Zw10,Mad2l1,Spdl1",1.35962338717126
"GO:0071173","spindle assembly checkpoint signaling",53,3,0.0566037735849057,12.4994958951462,5.65157458338858,0.0018019912101758,0.0436894535565171,"Zw10,Mad2l1,Spdl1",1.35962338717126
"GO:0071826","protein-RNA complex organization",193,5,0.0259067357512953,5.72084009017917,4.43819179244044,0.00189491210359808,0.0454962876912433,"Prpf8,Gcfc2,Tssc4,Usp4,Sf3b1",1.34202403852931
