"gene","n_comparisons","comparisons"
"Fkbp3",9,"DREXvsHFD_mySC; DRvsHFD_mySC; EXvsHFD_mySC; DREXvsHFD_majorSC; DRvsHFD_majorSC; EXvsHFD_majorSC; DREXvsHFD_aggSC; DRvsHFD_aggSC; EXvsHFD_aggSC"
"Faim",7,"DREXvsHFD_mySC; EXvsHFD_ImmSC; HFDvsSD_mySC; EXvsHFD_majorSC; DREXvsHFD_aggSC; EXvsHFD_aggSC; HFDvsSD_aggSC"
"Atg13",6,"DREXvsHFD_ImmSC; DRvsHFD_ImmSC; HFDvsSD_mySC; DREXvsHFD_aggSC; DRvsHFD_aggSC; HFDvsSD_aggSC"
"Gpcpd1",6,"DRvsHFD_mySC; EXvsHFD_mySC; EXvsHFD_majorSC; HFDvsSD_majorSC; DRvsHFD_aggSC; EXvsHFD_aggSC"
"Krit1",6,"EXvsHFD_mySC; HFDvsSD_mySC; DRvsHFD_majorSC; EXvsHFD_majorSC; EXvsHFD_aggSC; HFDvsSD_aggSC"
"Ankrd12",5,"EXvsHFD_mySC; DREXvsHFD_majorSC; EXvsHFD_majorSC; HFDvsSD_majorSC; EXvsHFD_aggSC"
"Fscn1",5,"EXvsHFD_mySC; HFDvsSD_ImmSC; EXvsHFD_majorSC; EXvsHFD_aggSC; HFDvsSD_aggSC"
"Hint3",5,"EXvsHFD_mySC; HFDvsSD_mySC; EXvsHFD_majorSC; EXvsHFD_aggSC; HFDvsSD_aggSC"
"Ppm1a",5,"EXvsHFD_mySC; EXvsHFD_nmSC; EXvsHFD_majorSC; HFDvsSD_majorSC; EXvsHFD_aggSC"
"Disc1",4,"DREXvsHFD_nmSC; EXvsHFD_nmSC; DREXvsHFD_aggSC; EXvsHFD_aggSC"
"Hsd17b11",4,"EXvsHFD_mySC; EXvsHFD_nmSC; EXvsHFD_majorSC; EXvsHFD_aggSC"
"Kctd5",4,"DREXvsHFD_ImmSC; DRvsHFD_ImmSC; DREXvsHFD_aggSC; DRvsHFD_aggSC"
"Stard13",4,"EXvsHFD_mySC; EXvsHFD_majorSC; HFDvsSD_majorSC; EXvsHFD_aggSC"
"Cd164",3,"DREXvsHFD_majorSC; DRvsHFD_majorSC; EXvsHFD_majorSC"
"Elp3",3,"EXvsHFD_mySC; EXvsHFD_majorSC; EXvsHFD_aggSC"
"Fam214b",3,"DREXvsHFD_ImmSC; DREXvsHFD_majorSC; DREXvsHFD_aggSC"
"N4bp1",3,"EXvsHFD_mySC; EXvsHFD_majorSC; EXvsHFD_aggSC"
"Nfe2l1",3,"EXvsHFD_mySC; EXvsHFD_majorSC; EXvsHFD_aggSC"
"Paqr8",3,"DREXvsHFD_ImmSC; EXvsHFD_majorSC; DREXvsHFD_aggSC"
"Pigk",3,"DREXvsHFD_mySC; DREXvsHFD_majorSC; DREXvsHFD_aggSC"
"Rock1",3,"DRvsHFD_ImmSC; EXvsHFD_majorSC; DRvsHFD_aggSC"
"Sf3b1",3,"DREXvsHFD_mySC; DREXvsHFD_majorSC; DREXvsHFD_aggSC"
"Taf1d",3,"EXvsHFD_mySC; EXvsHFD_majorSC; EXvsHFD_aggSC"
"Tial1",3,"EXvsHFD_mySC; EXvsHFD_majorSC; EXvsHFD_aggSC"
"Timm10b",3,"EXvsHFD_mySC; EXvsHFD_majorSC; EXvsHFD_aggSC"
"Tor1aip2",3,"DREXvsHFD_mySC; DREXvsHFD_majorSC; DREXvsHFD_aggSC"
"Arhgap5",2,"EXvsHFD_ImmSC; EXvsHFD_aggSC"
"Arid4b",2,"EXvsHFD_mySC; EXvsHFD_aggSC"
"Guf1",2,"HFDvsSD_mySC; HFDvsSD_aggSC"
"Txndc5",2,"DREXvsHFD_majorSC; EXvsHFD_majorSC"
"Vrk1",2,"DREXvsHFD_mySC; DREXvsHFD_aggSC"
"Cstf2t",1,"EXvsHFD_majorSC"
"Dcaf7",1,"DREXvsHFD_majorSC"
"Eif2ak1",1,"EXvsHFD_majorSC"
"Hexim1",1,"EXvsHFD_majorSC"
"Mdh2",1,"EXvsHFD_majorSC"
"Med13l",1,"DREXvsHFD_majorSC"
"Msl1",1,"EXvsHFD_majorSC"
"Nucks1",1,"EXvsHFD_majorSC"
"Pip4k2a",1,"EXvsHFD_majorSC"
"Prpf8",1,"EXvsHFD_majorSC"
"Rpn2",1,"EXvsHFD_majorSC"
"Slc30a9",1,"DREXvsHFD_majorSC"
"Stard3nl",1,"EXvsHFD_majorSC"
"Ube2z",1,"EXvsHFD_majorSC"
"Ywhab",1,"EXvsHFD_majorSC"
"Zbtb43",1,"EXvsHFD_majorSC"
"Zmpste24",1,"EXvsHFD_majorSC"
