"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Per1",2.21229308068831e-23,-0.644436669692743,0.497,0.71,3.32286420719384e-19
"Tsc22d3",6.79785885343703e-09,-0.424537133771928,0.342,0.47,0.000102103839978624
"Trib2",3.68948478795013e-08,0.461857567493783,0.37,0.237,0.00055416061515011
"S100a7a",1.45257234138977e-07,-0.250561428255495,0.194,0.308,0.00218176365676743
"Clk1",1.88087644074738e-07,-0.349427215234825,0.562,0.66,0.00282507641400256
"Ip6k2",2.54703961998426e-07,-0.287734745868989,0.382,0.506,0.00382565350921635
"Per2",3.53297469801061e-07,-0.250589191685045,0.097,0.185,0.00530652799641194
"Sgk1",4.72892978927626e-07,-0.33869026777866,0.414,0.518,0.00710285254349295
"Fmn2",4.74436761410823e-07,0.316615979189291,0.787,0.743,0.00712604015639057
"Fam53b",7.78837056084087e-07,-0.309113214918995,0.599,0.692,0.011698132582383
"Arhgef37",8.00471737643123e-07,-0.313927896735337,0.256,0.359,0.0120230854993997
"Fus",9.37849311848821e-07,-0.269887667204833,0.591,0.691,0.0140864966639693
"Per3",1.14945475578978e-06,-0.329024562212864,0.225,0.33,0.0172648104319626
"Ctnnal1",1.45263965824304e-06,0.291468357338932,0.854,0.84,0.0218186476668104
"Klf7",1.66481434898727e-06,-0.197073003074338,0.233,0.342,0.0250055115217887
"Paqr8",1.87253647336978e-06,-0.320565257261834,0.18,0.274,0.0281254978300141
"Prx",2.5679379120697e-06,0.135832250487192,0.986,0.996,0.0385704274392868
"Errfi1",2.5825280649469e-06,-0.376474191609405,0.263,0.358,0.0387895715355025
"Hspa8",2.89192735980081e-06,-0.365431461435531,0.384,0.466,0.0434367489442081
"Rtkn",3.39491645690063e-06,-0.242605373980243,0.688,0.765,0.0509916451826474
"Fth1",3.8319397696351e-06,0.318770289428308,0.818,0.787,0.0575557353399192
"Dusp15",3.93087064677942e-06,-0.207251251699571,0.911,0.948,0.0590416771146268
"Arhgef10",4.79544376283058e-06,-0.225122098041106,0.684,0.768,0.0720275653177153
"Nr4a1",7.24721128149183e-06,-0.280865007215743,0.432,0.534,0.108853113448007
"Tle3",8.45626833508257e-06,-0.205948458192059,0.181,0.274,0.12701315039294
"Cttnbp2",9.33141681410089e-06,-0.214398539036745,0.506,0.602,0.140157880547795
"Slc3a2",9.39245828727859e-06,-0.310401444930125,0.621,0.683,0.141074723474924
"Hsd17b14",9.63004536245386e-06,-0.264889845773859,0.16,0.25,0.144643281344057
"Itpk1",1.00071720847953e-05,-0.256794696691692,0.582,0.683,0.150307724713625
"Rapgef3",1.02713262350236e-05,-0.242084263022474,0.529,0.617,0.154275320050054
"Fam57a",1.03657706641236e-05,-0.36570834903132,0.266,0.354,0.155693875375137
"Ncf2",1.04281263766461e-05,-0.408891498478751,0.242,0.328,0.156630458177224
"Cirbp",1.09127086713886e-05,0.33277957450759,0.656,0.584,0.163908884244257
"Mat2a",1.24401802254562e-05,-0.19917022938682,0.649,0.709,0.186851506986353
"Srsf6",1.2680814672509e-05,-0.209925384650048,0.623,0.72,0.190465836381085
"Hspa1b",1.44655071342641e-05,-0.138815411035185,0.089,0.16,0.217271917156646
"Acrbp",2.39146883865989e-05,-0.192585909544183,0.112,0.188,0.359198619566715
"Serpinh1",2.91062933232066e-05,-0.269633232871584,0.638,0.695,0.437176525714563
"Pik3r1",3.00543047416105e-05,-0.250109556212053,0.503,0.592,0.451415657218989
"Etnppl",3.91594118576272e-05,-0.359602653812374,0.242,0.327,0.58817436610156
"Ctdspl",4.25464727053069e-05,-0.214588311457675,0.12,0.191,0.63904802003371
"Snd1",4.48749101895585e-05,-0.261879113094683,0.404,0.497,0.674021151047169
"Slc15a4",5.28354817615712e-05,-0.129033949907863,0.135,0.212,0.793588936058799
"Prelid3a",5.46385170042711e-05,-0.274466619927646,0.229,0.317,0.820670525404151
"Slc25a42",5.71195062362054e-05,-0.198025691127535,0.062,0.118,0.857934983667805
"Qk",5.75374167236029e-05,-0.14594099463378,0.934,0.96,0.864211999188515
"Gadd45b",6.42499374290169e-05,0.358301744689105,0.212,0.141,0.965034060183834
"Tra2a",6.60093979443911e-05,-0.199354777359332,0.424,0.524,0.991461157124755
"Zcchc7",6.64927713832039e-05,-0.253190047434497,0.349,0.444,0.998721426175722
"Rap1gap",6.6786750717535e-05,-0.210798947455308,0.356,0.445,1
"Plscr2",8.0635170816172e-05,0.293945781717215,0.252,0.175,1
"Sec14l5",8.09499739810049e-05,-0.195770507331107,0.761,0.806,1
"Sfn",8.47843126295277e-05,-0.140604082668982,0.063,0.118,1
"Meaf6",8.49412148171568e-05,-0.239236986554306,0.21,0.294,1
"Lpin1",9.80360939159884e-05,-0.188851371936486,0.216,0.297,1
"Lmo1",0.000108101591825848,-0.195469311106604,0.33,0.414,1
"Taf8",0.000121160452019949,-0.141675661513672,0.269,0.359,1
"Rgmb",0.000130780395151582,-0.227741917081647,0.412,0.491,1
"Otud7b",0.00013376100506148,-0.235491118635584,0.7,0.781,1
"Cxxc1",0.000135464515344022,-0.211981650874167,0.158,0.232,1
"Sdc3",0.000137629032983273,-0.236417575434489,0.692,0.791,1
"Adcy6",0.000139035512906326,-0.267899939399804,0.152,0.222,1
"Dusp11",0.000143753503872631,-0.236012916956091,0.33,0.423,1
"Gas2l3",0.000157947834700215,-0.2023804594587,0.61,0.675,1
"Ppp1r10",0.000162512586108313,-0.167083825089626,0.144,0.219,1
"Zfp276",0.000169177137044016,-0.096242673624356,0.533,0.62,1
"Hnrnpm",0.000172398637766084,-0.141216426165011,0.44,0.536,1
"Selenop",0.000179547660000634,0.22235746090924,0.81,0.794,1
"Parp1",0.000184184058991342,-0.246968870270409,0.175,0.249,1
"Tmpo",0.000191563337840081,-0.200555159629744,0.104,0.166,1
"Nfkbia",0.000192482152266367,-0.205236883846119,0.284,0.373,1
"Bahcc1",0.000252438670958816,-0.153193889022848,0.099,0.161,1
"P4ha2",0.000253195866692476,-0.186257670157458,0.199,0.278,1
"Arrb2",0.000299614323452752,-0.186221809003634,0.129,0.194,1
"Mpi",0.000317183573795565,-0.197239942396034,0.109,0.172,1
"Ndel1",0.000318086345445705,-0.257228514004892,0.206,0.28,1
"Rab33b",0.000322793005993546,-0.13923345799196,0.235,0.315,1
"Utp15",0.000328595054839864,-0.149916257910712,0.08,0.135,1
"Bcl2l1",0.00033594501154294,-0.214170418100486,0.515,0.595,1
"Hltf",0.00033683660672215,-0.119749692982859,0.062,0.112,1
"Vamp1",0.000372890644130042,-0.223149524003323,0.264,0.349,1
"Gpt",0.000383448484309234,-0.194777988386706,0.162,0.231,1
"Mt1",0.000390774078425243,-0.232897885470603,0.585,0.661,1
"Irs1",0.000403217829485989,0.295667801544268,0.567,0.51,1
"Ormdl3",0.000414840449850575,-0.0957402784154088,0.093,0.151,1
"Rorc",0.000420674279668405,-0.228587460440888,0.109,0.169,1
"Srrt",0.000432632636623063,-0.0659351432938386,0.281,0.37,1
"Tcim",0.000459380096027008,-0.174668343214442,0.282,0.361,1
"Nr1d2",0.000493010523444215,-0.180441540095191,0.335,0.414,1
"Kifc2",0.000532591732719894,-0.245909402830074,0.122,0.182,1
"Ide",0.000573912161196927,-0.139770158888325,0.139,0.203,1
"Map1lc3a",0.00059280245189143,0.321226904692377,0.421,0.352,1
"Thap2",0.0006139950051549,-0.11519714222305,0.225,0.299,1
"Plk5",0.000630304499570961,-0.345505012336048,0.511,0.556,1
"Ssh1",0.000631677763476006,-0.195307938814239,0.662,0.72,1
"Paqr6",0.000634572089322561,-0.188000116097011,0.627,0.703,1
"Gfra1",0.00063974469220158,-0.131272657928527,0.54,0.621,1
"Dtx4",0.000663609425184042,-0.232172297693436,0.137,0.198,1
"Nubp1",0.000665951245636204,-0.131420129895695,0.127,0.188,1
"Ttc3",0.000687748762412882,-0.218093300313895,0.338,0.417,1
"Pcdhgb5",0.000689516194290428,-0.156816558702006,0.093,0.146,1
"Elovl1",0.000696037325584342,-0.182941748475882,0.679,0.751,1
"Fa2h",0.000709181439371268,-0.151932724980044,0.812,0.885,1
"Col26a1",0.00073235057202324,-0.151963533306986,0.291,0.37,1
"Rufy3",0.000738978648984353,-0.280354828289508,0.267,0.342,1
"Slc26a11",0.000751055943385942,-0.151906000213547,0.222,0.297,1
"mt-Nd3",0.000776746308273281,0.185394405899976,0.208,0.146,1
"Krit1",0.000793946778736235,-0.281758695384947,0.151,0.212,1
"Creld2",0.000803768028662002,-0.223425875100989,0.238,0.309,1
"Psmd2",0.000827754896757879,0.304112571217911,0.209,0.151,1
"Hist1h1e",0.000852663962955835,0.278827387555991,0.162,0.108,1
"Rab11fip3",0.000855120022615367,-0.229967175345526,0.255,0.328,1
"Brwd1",0.000885133606322784,-0.174087891071466,0.288,0.365,1
"Car11",0.000893590196182089,-0.25581910667858,0.243,0.317,1
"Inpp1",0.000948294050805276,-0.211132505266586,0.309,0.385,1
"Emc9",0.000962347514741922,-0.114131764763344,0.117,0.175,1
"Mettl3",0.000980524145388452,-0.160332601831433,0.182,0.25,1
"Ints10",0.000983748490269464,-0.174463631290061,0.221,0.29,1
"Hspg2",0.00101928734664555,-0.117357287435056,0.921,0.942,1
"Cry2",0.00102243403494438,-0.174542326696416,0.237,0.308,1
"Rb1",0.0010286213026832,-0.156929848231552,0.266,0.345,1
"Prkcd",0.00105907869754116,-0.0755185387007862,0.348,0.43,1
"Il6ra",0.00107358901022137,-0.182366162028495,0.201,0.269,1
"Git2",0.00108302791048304,-0.158441974160731,0.256,0.334,1
"Pcdhga10",0.00110687181504871,-0.0820110212910476,0.103,0.158,1
"Erbb3",0.00111032786082143,-0.193163685436408,0.429,0.501,1
"Usp39",0.00114093484494973,-0.131139221221015,0.075,0.123,1
"Pabpn1",0.00116601732473168,-0.103633214202094,0.698,0.757,1
"Zrsr1",0.00117716718083398,-0.111843040495961,0.283,0.359,1
"Aspa",0.0012341456184853,-0.175695022225897,0.403,0.472,1
"Pcdhga12",0.00129692994463913,-0.190545949223273,0.098,0.149,1
"Mdp1",0.00133468509438272,-0.167699187600322,0.213,0.281,1
"Fmo5",0.00136157633632468,-0.179249907268929,0.108,0.161,1
"Plekha1",0.00137883434049125,-0.211461271175407,0.342,0.416,1
"Rsrp1",0.00139510713076116,-0.0463320056146004,0.701,0.757,1
"Hnrnpa2b1",0.00140499922322696,-0.117917063654849,0.615,0.688,1
"Homer3",0.00140602144204417,-0.202797451508763,0.223,0.287,1
"Pllp",0.00141849036030101,-0.192877533215285,0.843,0.904,1
"Tspan15",0.00141970953335877,-0.149150046164612,0.539,0.617,1
"Plxna1",0.00143021574605907,-0.180831061348859,0.314,0.383,1
"Cdr2l",0.00148036955370705,-0.191701589234743,0.247,0.318,1
"Slc38a2",0.00150865701078474,-0.249830534384126,0.453,0.519,1
"Mroh1",0.00151602390256676,-0.189447592141772,0.131,0.188,1
"Tns2",0.00151640128897214,-0.186087681812135,0.456,0.53,1
"Slc29a3",0.00151872765295817,-0.178288465479736,0.123,0.178,1
"Pnisr",0.00153243820257039,-0.139503285506192,0.701,0.753,1
"Amn1",0.00154161795782125,-0.213733636195756,0.138,0.192,1
"Ncoa3",0.00154244811856746,-0.249736970824107,0.288,0.362,1
"Sfpq",0.00156775705454118,-0.182730903373989,0.488,0.561,1
"Tcf3",0.00160255112428712,-0.0543212990329333,0.13,0.189,1
"Yjefn3",0.00162618030651636,-0.0959623851156317,0.146,0.206,1
"Txlng",0.00163487304761984,-0.202985227697515,0.077,0.121,1
"Atrip",0.00163556005219878,-0.170014458701924,0.098,0.149,1
"Men1",0.00166081865201643,-0.154109444817066,0.195,0.263,1
"Cyp20a1",0.00168888159559587,-0.161607153737048,0.171,0.234,1
"Fbxo22",0.00169141401190892,-0.121363392473455,0.069,0.114,1
"Peli2",0.00169688185283562,-0.119884068095588,0.634,0.709,1
"Plagl2",0.00172084125202252,-0.121550519985859,0.092,0.142,1
"Kri1",0.00172685963772786,-0.116969350658435,0.138,0.198,1
"Rbm39",0.00175913803843046,-0.116732919627514,0.355,0.436,1
"Zdhhc5",0.0017667981852806,0.221096842543456,0.173,0.12,1
"Cd164",0.00178470408766505,-0.241032446662079,0.457,0.525,1
"Fam107a",0.00180453937876531,-0.214403910974944,0.26,0.325,1
"Pmp2",0.00181863540937854,0.547497287313079,0.389,0.32,1
"Spcs3",0.00188132236951173,-0.144174719228792,0.193,0.259,1
"Timmdc1",0.00190127274206996,-0.129691312988564,0.122,0.178,1
"Mthfd1l",0.00191065971844296,-0.180572485411425,0.285,0.352,1
"Mertk",0.00194651795383266,-0.183414776676883,0.345,0.416,1
"Carns1",0.00198515276818799,-0.13164584321484,0.773,0.842,1
"Tnxb",0.00199771632924425,-0.10656125688427,0.701,0.751,1
"Tmem222",0.00204170502959224,-0.168136102618161,0.148,0.207,1
"Pcf11",0.00204725863555597,-0.169732669411197,0.383,0.462,1
"Rmdn1",0.00205511838307184,-0.15082983207173,0.084,0.132,1
"Exoc6b",0.00205805165152596,-0.115721005871829,0.445,0.524,1
"Shtn1",0.00207535619778795,-0.129167680750091,0.633,0.704,1
"Ak1",0.00208587175988264,-0.110448537025336,0.073,0.117,1
"Gjc3",0.00209474207700448,-0.172688779653158,0.471,0.54,1
"Arhgap39",0.00214109462444194,-0.147433630567648,0.644,0.692,1
"Stx2",0.00215777716640843,-0.207774771929483,0.177,0.238,1
"Plxnb3",0.00223097909846597,-0.259516243503883,0.52,0.593,1
"Tmem104",0.002241379042607,-0.147636607773789,0.128,0.182,1
"Sept8",0.00230719976573796,-0.123344403224551,0.748,0.802,1
"Ttc4",0.00235936248884533,-0.131760997270485,0.176,0.237,1
"H13",0.0023614523503932,-0.16166070160724,0.202,0.265,1
"Ncoa5",0.00245511520266267,-0.175709691601657,0.19,0.253,1
"Ptms",0.00247036220901511,-0.134452158221819,0.832,0.898,1
"Ttc39c",0.00249781424761748,-0.206192912334401,0.105,0.154,1
"Gdpd3",0.00251434385473074,-0.148876111386522,0.218,0.286,1
"Kcnk1",0.00252618729943405,-0.134897992599008,0.619,0.692,1
"Zfp866",0.00256291521041458,-0.213773898955962,0.223,0.287,1
"Ankrd10",0.00258949360600585,-0.0522450818690876,0.252,0.322,1
"Fam171a2",0.0026124323367922,-0.0482987053117008,0.197,0.26,1
"Skap2",0.0026172756039675,-0.0916733500644595,0.186,0.25,1
"Zfyve21",0.00262361651813714,-0.197985542852146,0.353,0.414,1
"Kif21a",0.00265809576567619,-0.0788096340091606,0.356,0.432,1
"Ube2b",0.0026699097483796,-0.219082949476749,0.433,0.5,1
"Ophn1",0.0026905730282006,-0.0154193777400474,0.22,0.29,1
"Bhlhe41",0.00276386017749803,-0.148617377307437,0.066,0.108,1
"Cmtm5",0.00279044514498536,-0.129158178875669,0.616,0.664,1
"Col15a1",0.00280191793421055,-0.189432770412199,0.096,0.143,1
"Slc25a27",0.00281876603613646,-0.156043086947856,0.575,0.633,1
"Ints11",0.00282702730975052,-0.100577926181411,0.068,0.111,1
"Tfcp2",0.00283457777535825,-0.1250121166125,0.158,0.216,1
"Srsf10",0.00289029629493877,-0.0685263169966704,0.136,0.192,1
