"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fyn",3.03295973780184e-06,-1.76143441884311,0.045,0.344,0.0455550552617837
"Zfr2",4.61375442813549e-05,-1.06406684924092,0.009,0.188,0.692985915105951
"Eid1",0.000148572552647942,-0.61688248134835,0.91,0.969,1
"Gjc3",0.000175203051954132,-1.61039585775111,0.054,0.281,1
"Pink1",0.00055330661634003,0.53667301877451,0.991,0.969,1
"Creb1",0.0014827583809451,-1.39620986589422,0.045,0.219,1
"Rprd2",0.00158732335086722,-0.994438546576381,0.009,0.125,1
"Tmco4",0.00171776058075174,-0.934498654728637,0.018,0.156,1
"Fubp1",0.00176128684785012,-1.09898311593904,0.009,0.125,1
"Igsf11",0.00176128684785012,-1.11362272966088,0.009,0.125,1
"Prex2",0.00176429262957565,-1.37706545589539,0.099,0.312,1
"Samd4",0.00177736301722329,1.06426548927927,0.694,0.438,1
"Trip11",0.00185469100060586,-0.855982390540696,0.009,0.125,1
"Rev1",0.00195191450597435,-1.26029993268708,0.045,0.219,1
"Ik",0.00379900933217327,1.70770882122882,0.441,0.219,1
"Sri",0.00412626665276424,-0.651701061617997,0.658,0.812,1
"Gnai1",0.00469188617655439,-1.04895036591963,0.108,0.312,1
"Ubxn2b",0.00587646238390251,-0.731240787666188,0.027,0.156,1
"Sord",0.00632818999003953,-0.695748856799648,0.027,0.156,1
"Tsc22d4",0.00758095602458953,-0.943736542556786,0.018,0.125,1
"Mbtps1",0.00758095602458953,-1.36343850298694,0.018,0.125,1
"Tasor",0.00758095602458953,-1.00551916781576,0.018,0.125,1
"Uqcc1",0.00790171086476191,-0.851108740682655,0.018,0.125,1
"Kiz",0.00812062003954739,-0.920776729149212,0.045,0.188,1
"Zfp871",0.00823456815848587,-0.826196187408842,0.018,0.125,1
"Tgfbr2",0.00857991739655601,-0.858848955639838,0.018,0.125,1
"Kmt5b",0.00930969814052708,-0.339096820956686,0.018,0.125,1
"Aida",0.00962148178003348,-0.841246129082319,0.135,0.344,1
"Ipo8",0.0104423113321746,-0.889999045693603,0.144,0.344,1
"Ehmt2",0.0107641894449929,-0.872114138634031,0.063,0.219,1
"Mast2",0.0112887107680435,-1.08473994570645,0.126,0.312,1
"Slc30a9",0.0113037760052786,-1.04273217037508,0.117,0.312,1
"Tagln",0.0115234988971174,1.01561241991068,0.595,0.375,1
"D10Wsu102e",0.0115770039760316,-1.10254807290031,0.243,0.469,1
"Sptb",0.0116733329673349,-0.460476950496006,0.901,0.969,1
"Atp6v1d",0.0125242365998843,-1.14401353262948,0.036,0.156,1
"Dip2c",0.0125242365998843,-0.955916156379813,0.036,0.156,1
"Secisbp2l",0.0127003197300115,-0.405453386339043,0.982,1,1
"Smarca2",0.0137973071299486,-1.13001510296048,0.036,0.156,1
"Fam20b",0.0147599469061736,1.16826562703841,0.468,0.25,1
"Fth1",0.0148359414444071,0.354402946844455,1,1,1
"Rab21",0.0156718317615435,-0.69871467072147,0.036,0.156,1
"Ubtf",0.0156720931477927,1.33352692737104,0.162,0,1
"Nras",0.0162743414745824,-0.694217310462113,0.261,0.5,1
"Use1",0.0171179665877193,1.14412114311954,0.45,0.25,1
"Anln",0.0172063417206215,-0.910320829230674,0.054,0.188,1
"Acadm",0.0174503580969654,-1.04067367668044,0.072,0.219,1
"Hnrnpm",0.0180557547298004,-1.02551061748697,0.27,0.469,1
