"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tbc1d10a",2.14225269471837e-21,-0.671979537217339,0.235,0.428,3.21766354746699e-17
"Zbtb16",5.06345529511509e-21,-0.879931992811756,0.032,0.135,7.60530985326286e-17
"Per1",1.41169149097867e-15,-0.604967290744782,0.251,0.413,2.12036061944996e-11
"F3",6.83070944970153e-15,-0.733907914143271,0.166,0.305,1.02597255934517e-10
"Cst3",3.98638780185638e-14,-0.707602712559253,0.148,0.277,5.98755447838829e-10
"Egr1",1.40899927714093e-13,-1.28349732149207,0.043,0.124,2.11631691426568e-09
"Serpinh1",4.45662771806372e-13,-0.780957387362966,0.162,0.281,6.69385483253171e-09
"Cdh19",4.94282724421463e-13,-0.287635760993447,0.898,0.934,7.42412652081038e-09
"Matn2",7.48618478249923e-12,-0.610347765841704,0.387,0.512,1.12442495433138e-07
"Dusp6",1.12720387854565e-11,-0.626107512478708,0.269,0.405,1.69306022557557e-07
"Matn4",4.07933350075095e-11,-0.448103185133546,0.204,0.337,6.12715891812793e-07
"Fos",2.17081623916912e-10,-0.799382765989077,0.07,0.153,3.26056599123202e-06
"Nrn1",3.45494249769579e-10,-0.547583686913525,0.199,0.314,5.18932363153907e-06
"Apoe",1.27009175088701e-09,-0.540027088048872,0.404,0.514,1.90767780983229e-05
"Plekha4",1.82237409015154e-09,0.375379042894981,0.86,0.847,2.73720588340761e-05
"Klf9",2.07006244444055e-09,-0.517378420002492,0.184,0.29,3.1092337915497e-05
"Timp3",6.19297318638927e-09,-0.555999604140135,0.235,0.343,9.30184572595669e-05
"Nr4a1",1.38681385828961e-08,-0.681157140935735,0.258,0.364,0.0002082994415151
"Gpt2",1.81074057807822e-07,-0.465614375906184,0.259,0.363,0.00271973234827348
"Cpe",2.25934478473262e-07,-0.453108108292726,0.152,0.24,0.0033935358666684
"Srpk1",2.7751996485275e-07,-0.447202264855429,0.099,0.172,0.00416834987208831
"Kcna2",4.1791846338776e-07,0.349151393787951,0.776,0.763,0.00627713532008415
"Prnp",5.15859008851328e-07,-0.459194975225203,0.329,0.429,0.00774820231294694
"Klf7",1.1758891176345e-06,-0.365311158454377,0.229,0.325,0.0176618545468702
"Mbp",1.89642624985086e-06,0.228506638697135,0.85,0.812,0.0284843222727599
"Hsp90b1",3.58524025683765e-06,-0.433510637503166,0.08,0.141,0.0538503086577015
"Gab1",3.6080721427846e-06,0.490636189658912,0.38,0.298,0.0541932435846246
"Gsn",3.8392997439882e-06,-0.322817601679006,0.459,0.551,0.0576662821547028
"Sparcl1",5.07478067368775e-06,-0.443570245641427,0.233,0.32,0.0762232057187901
"Phyhd1",5.17504221082992e-06,-0.44537159030034,0.09,0.153,0.0777291340066653
"Pdia6",5.75451016472123e-06,-0.459376320513263,0.075,0.133,0.0864327426741129
"Sdc4",8.08949924183119e-06,-0.359061333363285,0.202,0.284,0.121504278612304
"Gas2l3",9.15054389098374e-06,-0.330767164947772,0.216,0.306,0.137441169242576
"Fxyd7",9.89115223514002e-06,-0.243294617640152,0.515,0.62,0.148565106571803
"Ralgds",1.07568156126978e-05,-0.303762748591708,0.101,0.166,0.161567370502722
"Tm9sf2",1.40420148231982e-05,-0.345974640714522,0.059,0.11,0.210911062644437
"Sparc",1.46842922603743e-05,-0.321360616635621,0.479,0.564,0.220558069750822
"Itgav",1.57403495482951e-05,-0.31111345817749,0.241,0.331,0.236420050215392
"Zfp36",2.09057988531499e-05,-0.431337905728194,0.103,0.165,0.314005098774311
"Sh3bp2",2.36812058904288e-05,-0.33934500776837,0.061,0.111,0.355691712474241
"Lman1",2.48238881743376e-05,-0.390082765982244,0.08,0.136,0.37285480037855
"Sostdc1",2.54612571837508e-05,-0.368503846874532,0.186,0.261,0.382428082899937
"Herpud1",2.74193374018962e-05,-0.373753401653821,0.076,0.13,0.41183844777648
"Pde1a",3.1170527349532e-05,-0.456224093139361,0.077,0.13,0.468181320789971
"Rnf215",4.13451844835511e-05,-0.401829995175427,0.201,0.275,0.621004670942937
"Sfrp5",4.51491663681355e-05,-0.35248957999354,0.133,0.196,0.678140478849396
"Baz1b",4.82560890123894e-05,-0.333357366573122,0.12,0.183,0.724806456966089
"Rasgef1c",5.11477502143536e-05,-0.220236416651144,0.299,0.392,0.768239208219591
"Celsr1",5.24589132255264e-05,-0.296859075700025,0.118,0.181,0.787932876647406
"Gpnmb",5.52285603310577e-05,-0.333567567474773,0.188,0.264,0.829532976172487
"Nt5dc3",6.26246307937607e-05,-0.36769663928292,0.087,0.141,0.940621954522285
"Dbi",6.57787661010321e-05,-0.326949745738432,0.212,0.288,0.987997066837502
"Kcnh8",7.13463491738567e-05,-0.367532336937466,0.143,0.207,1
"Ndrg2",7.40349513927834e-05,-0.374148140838222,0.186,0.257,1
"Klf15",8.53497117535149e-05,-0.276215409902944,0.167,0.237,1
"Junb",8.81140023885725e-05,-0.577476267828042,0.108,0.164,1
"Phlda3",8.98426623803664e-05,-0.343407179288665,0.088,0.142,1
"Abca8b",9.50578523305188e-05,-0.242126417336674,0.769,0.812,1
"Trp53",0.000102256690695875,0.470261149953231,0.12,0.07,1
"Snta1",0.000103399185075514,-0.411972487282883,0.167,0.231,1
"Cadm4",0.000103503982009082,-0.199481234483307,0.607,0.675,1
"Xkr4",0.000111674654818765,0.397242353736983,0.351,0.283,1
"Anxa3",0.000112286003389998,0.5550930693144,0.191,0.133,1
"Rassf4",0.000118636796915036,-0.277166644804699,0.384,0.472,1
"Epb41l4b",0.000121238412915229,-0.200301702023725,0.834,0.882,1
"Add3",0.000125926901310162,-0.24451461525715,0.331,0.422,1
"Chl1",0.00015260566211834,-0.259547268354319,0.319,0.404,1
"Ddrgk1",0.000157509372069159,-0.260311941457952,0.078,0.128,1
"C77080",0.000159018093699549,0.51603276285621,0.148,0.095,1
"Vwc2",0.000179951503133668,-0.305252680095548,0.113,0.17,1
"Plin4",0.000180002267993007,-0.454026836213843,0.115,0.17,1
"Tgfbr3",0.00019091062496384,-0.376470995062195,0.369,0.437,1
"Slc3a2",0.00020049623216513,-0.337179805999756,0.073,0.119,1
"Azin1",0.00020643606628104,-0.316006033867867,0.072,0.118,1
"Cebpd",0.000221151684901119,-0.241929903612835,0.275,0.355,1
"Ctcf",0.000236185996564189,-0.304374362856815,0.067,0.112,1
"Gpr37l1",0.000237216086090152,-0.391154233868826,0.183,0.246,1
"Spred1",0.000242731336687489,-0.432161361162197,0.074,0.118,1
"Clk4",0.000245857880295418,-0.315299932563933,0.221,0.29,1
"Atp1a2",0.000256907257885613,-0.205398028547803,0.558,0.635,1
"Plat",0.000276500057095843,-0.348362083918927,0.118,0.173,1
"Tspan18",0.000282070404073276,-0.283219289518691,0.093,0.143,1
"Atp11a",0.000291389446581485,-0.287221444018033,0.158,0.222,1
"Pcdh7",0.000291569072050091,-0.267391174971098,0.33,0.411,1
"Id3",0.000312026652999521,-0.311872883292559,0.162,0.224,1
"Ikbkb",0.000324844659712595,-0.295996881383101,0.086,0.135,1
"Scn7a",0.000334390246543799,-0.181855132109026,0.818,0.876,1
"Ppp2r5e",0.000340297843426728,-0.24980438748795,0.13,0.188,1
"C4b",0.00036677310693964,-0.149394004959894,0.879,0.923,1
"Ttyh1",0.000395514260668032,-0.188535896216508,0.374,0.46,1
"Nudcd3",0.000404671858048019,-0.297856982565635,0.17,0.231,1
"Secisbp2l",0.000426087959892286,0.355993047133503,0.368,0.316,1
"Notch1",0.000464956703277688,-0.167028964470374,0.173,0.24,1
"Pcdhga12",0.000484536598899895,-0.223195767379443,0.068,0.111,1
"Entpd2",0.000492841643866534,-0.194285333815169,0.63,0.69,1
"Layn",0.000505025115421062,-0.272817738157262,0.155,0.216,1
"Slc9a3r1",0.000527716953059386,-0.257893150254577,0.203,0.269,1
"Tmem176b",0.000554377194787437,-0.294269181550917,0.211,0.276,1
"Dnajc3",0.000574950163007785,-0.204003763581261,0.064,0.106,1
"Rprd1a",0.000588333955096635,-0.294526616235508,0.295,0.364,1
"Rnd3",0.000593537572276436,-0.257530383085351,0.274,0.348,1
"Arrb2",0.000598829935119367,-0.180552724236484,0.072,0.116,1
"Hibadh",0.000651452933473547,-0.273153430384219,0.13,0.184,1
"Hdac4",0.000710933096313026,-0.262951253203201,0.104,0.153,1
"Foxk1",0.000719311325894221,-0.278356911028806,0.081,0.125,1
"Vmp1",0.000725131688832328,-0.336315937698988,0.116,0.166,1
"Tle3",0.000735882807126038,-0.243323494177235,0.26,0.329,1
"Emp3",0.000793084462359927,-0.283904055955906,0.068,0.108,1
"Cp",0.000897870481900989,-0.317780197547309,0.119,0.169,1
"Cd9",0.000916461904007573,-0.299753919428384,0.321,0.389,1
"Tcn2",0.00091782173842876,-0.247864282126751,0.133,0.187,1
"Antxr2",0.000966257552728443,-0.26562700204761,0.379,0.441,1
"Wwp1",0.000999256031335429,-0.196158683651653,0.529,0.613,1
"Saraf",0.00104391864733699,-0.278581434168615,0.069,0.108,1
"Ranbp9",0.00105487678842355,-0.291577176954924,0.069,0.108,1
"Chd4",0.00108071345908477,-0.26832861213935,0.131,0.183,1
"Npc1",0.00109749637684062,-0.289186748229455,0.114,0.16,1
"Cnot10",0.0011054156866345,-0.272839405025386,0.129,0.18,1
"Emc1",0.00110897383846555,-0.342635912799785,0.14,0.192,1
"Sbspon",0.0012023863676642,-0.255512614738305,0.15,0.205,1
"Nbas",0.00121232311011854,-0.267054235053142,0.086,0.13,1
"Nup85",0.00129637897113993,-0.237158985925666,0.074,0.114,1
"Fasn",0.00135048223034872,-0.271887850471725,0.156,0.208,1
"Prodh",0.00138821024760143,-0.240716214757469,0.165,0.222,1
"Tsc22d2",0.00139602780627661,-0.197480391145016,0.094,0.139,1
"Cd44",0.00140336569904286,-0.23123139831693,0.064,0.102,1
"Asph",0.00141738090683869,-0.210621525161972,0.245,0.308,1
"Lhfpl2",0.00142577573382616,-0.24215579575794,0.346,0.416,1
"S1pr3",0.00148879166972915,-0.155124499889756,0.377,0.458,1
"Gpr108",0.00158872187605717,-0.218363475052698,0.109,0.157,1
"Sulf2",0.00160843105542727,-0.307492353876439,0.078,0.118,1
"Slc35f1",0.00163389366719849,-0.145219574741298,0.412,0.495,1
"App",0.00164214484477348,-0.194622850174986,0.42,0.498,1
"Tbce",0.00166454194509318,-0.352881862378512,0.078,0.117,1
"Itm2b",0.00172056159832294,-0.277233612199265,0.227,0.286,1
"Ptpn13",0.00172516330870265,-0.304051705857388,0.165,0.217,1
"Arhgef1",0.00175926604853673,-0.217813410834292,0.291,0.357,1
"Ttc23",0.00177021391155047,-0.237019140702746,0.105,0.149,1
"Jup",0.00179675766792756,-0.285084370004203,0.065,0.101,1
"Map4k3",0.00185254403338799,-0.218271695235579,0.194,0.254,1
"Ptpa",0.00185420699267632,-0.237246348171272,0.093,0.135,1
"Iqgap2",0.0018710811480772,-0.352235430686417,0.14,0.189,1
"Mvb12b",0.00187182898993492,-0.177035238600946,0.424,0.506,1
"Rgmb",0.00191805655429601,-0.23879680888799,0.193,0.248,1
"Itsn2",0.00193831342353232,-0.205424196158668,0.114,0.161,1
"L1cam",0.00195892974603369,-0.18743187255127,0.443,0.517,1
"Atp6ap1",0.0019653911163675,-0.2109005304001,0.084,0.125,1
"Ncam1",0.00196848210873334,-0.224018909135839,0.521,0.58,1
"Tmem176a",0.00198362901043124,-0.224212481388911,0.259,0.318,1
"Tnrc18",0.00200031420051658,-0.221399831552941,0.221,0.283,1
"Marcks",0.00203194251535097,-0.111884476131033,0.448,0.534,1
"Slc38a2",0.00203900417426629,-0.249256918496207,0.147,0.198,1
"Mocos",0.00210699415438489,0.404711590266607,0.107,0.069,1
"Zfp532",0.00211481879253281,0.365237444461463,0.242,0.188,1
"Grik2",0.00214031934637786,-0.22771830786276,0.376,0.445,1
"Lamb1",0.00216053468349632,-0.221966741725759,0.299,0.365,1
"Dag1",0.00217648555327388,-0.151188625983784,0.137,0.189,1
"Ulk3",0.00222065526968123,-0.239882359684803,0.092,0.134,1
"Atp8a1",0.00223135344266556,-0.197051816390506,0.37,0.443,1
"Cyp2d22",0.00226934587249336,-0.158139223522328,0.437,0.512,1
"Prpf4b",0.00231950500696411,-0.229916617068221,0.168,0.22,1
"Epha2",0.00233217713716441,-0.260035325204197,0.066,0.102,1
"Med13l",0.00240835206523816,-0.240310647057289,0.12,0.167,1
"Limd1",0.00241280990728391,-0.173784217362074,0.13,0.18,1
"Plce1",0.00253866080412011,-0.174336818330897,0.281,0.349,1
"Srsf6",0.00267967410571166,-0.17678677479836,0.37,0.445,1
"Fdft1",0.00282118203403895,-0.274431861497902,0.065,0.1,1
"Laptm4b",0.0028485446737843,-0.276918277027374,0.13,0.177,1
"Rarres2",0.00289019923890419,-0.186826936015457,0.478,0.553,1
"Luzp2",0.00296971546635709,-0.224067821535731,0.107,0.152,1
"Col18a1",0.00299173795269345,-0.254067211329498,0.274,0.335,1
"Gna13",0.00305305086572906,-0.32713777780753,0.15,0.199,1
"Gatm",0.00309508980492034,0.274606912254933,0.491,0.451,1
"Celf2",0.00313400662974398,-0.116490745448811,0.65,0.736,1
"Cnot2",0.00321110524002124,-0.212340199299563,0.114,0.16,1
"Abtb1",0.00323107549621731,0.44812355842681,0.185,0.142,1
"Map11",0.00323124572705577,-0.147171795857668,0.073,0.111,1
"Dync1h1",0.00325421470149907,-0.173710245903649,0.186,0.241,1
"Plod1",0.00326949529296059,-0.172887216508489,0.076,0.114,1
"Stx7",0.00337097281945646,-0.215401458928963,0.143,0.192,1
"Abcc5",0.00338371240931866,-0.152662780898553,0.339,0.413,1
"Eya4",0.00343991800586243,0.374352093649287,0.109,0.072,1
"Rbm28",0.00352603452608118,-0.19420859658775,0.084,0.123,1
"Ahr",0.00353305827560189,-0.180685541054319,0.316,0.381,1
"Appl2",0.00358987871981519,-0.185536518177142,0.253,0.316,1
"Lsm14a",0.00375083880971176,-0.199368521927689,0.132,0.178,1
"Afap1",0.00376688992309728,-0.283092634063379,0.122,0.165,1
"Agap1",0.00384267131273572,-0.223105236344812,0.29,0.355,1
"Il1rap",0.00396785502433542,-0.283555985416601,0.125,0.169,1
"Hsd17b11",0.00409647397607556,-0.206764696616957,0.098,0.139,1
"Selenop",0.00412098338343439,-0.195363291848933,0.164,0.213,1
"Matr3",0.00429516506108276,-0.228574660232541,0.068,0.102,1
"Rock2",0.00446750972250246,-0.227738257365024,0.164,0.213,1
"Ptn",0.00447329940580092,-0.143028040242599,0.13,0.178,1
"Rnpc3",0.00452556090307179,-0.226637612905531,0.163,0.211,1
"Abhd16a",0.00455752443145228,-0.207121012142388,0.104,0.146,1
"Slc39a7",0.00458767378724755,-0.156685303064295,0.086,0.124,1
"Rusc2",0.00461795752099394,-0.266106713786263,0.118,0.16,1
"Spg11",0.00468942444207985,-0.226977362506635,0.07,0.104,1
"Cdh2",0.00486711502872484,-0.223784966409945,0.219,0.277,1
"Nod1",0.00504168635676291,-0.219186918005179,0.236,0.292,1
"Ckap5",0.00512182536607741,-0.168546313905646,0.071,0.106,1
"Sfpq",0.0051591170098862,-0.140500239803553,0.203,0.257,1
"Herc1",0.00519858823924951,-0.179175062536853,0.088,0.127,1
"Zfp866",0.00522696691422271,-0.141841866052328,0.074,0.11,1
"Sept8",0.00522918190366922,-0.155182922807533,0.402,0.461,1
"H2-Q4",0.00534880537009873,0.419287593185024,0.107,0.073,1
"Endod1",0.00540316063126522,-0.199401271880203,0.1,0.139,1
"Eif4a1",0.00543812716295212,-0.265234416859971,0.078,0.112,1
"Usp24",0.00555036478375102,-0.193150026853608,0.15,0.198,1
"Ift81",0.00563233930716029,-0.202627700403627,0.106,0.146,1
"Add1",0.00566252963714788,-0.183873842336914,0.329,0.389,1
"Ptms",0.00588519876439339,-0.103019714534304,0.256,0.317,1
"Ece1",0.00597363299243972,-0.255207757741264,0.137,0.18,1
"Marveld1",0.00597541444916914,-0.18414450533804,0.182,0.233,1
"Jund",0.00603596805484344,-0.199367299619236,0.207,0.259,1
"Gtf2i",0.00611123013882457,-0.278228959285912,0.174,0.22,1
"Slc43a3",0.00615222179374454,-0.202164608605004,0.395,0.453,1
"Slc12a4",0.00624052796585843,-0.100598101269986,0.1,0.141,1
"Grn",0.00639991650749651,-0.124398812166719,0.105,0.146,1
"Nfkb2",0.00645288576826315,0.403714200427407,0.126,0.09,1
"Mpz",0.00645972749550377,-0.2969100221517,0.572,0.62,1
"Hnrnpu",0.00646345702793395,-0.146290615288004,0.287,0.351,1
"Dpyd",0.00648047815823408,-0.252739656774734,0.194,0.243,1
"Mef2a",0.00657285617684827,-0.18108683193856,0.074,0.108,1
"Usp47",0.00658997062446197,-0.32377259965973,0.084,0.118,1
"Syt11",0.00670602850469524,-0.25417510113963,0.069,0.101,1
"Kif5b",0.00675810075115361,-0.177323648436687,0.136,0.181,1
"Zfp703",0.00695538645973065,-0.220707169988916,0.111,0.151,1
"Tax1bp1",0.00697364720324217,-0.255741279533787,0.11,0.148,1
"Fads2",0.00699093710979606,-0.163481800590889,0.13,0.173,1
"Itgb1",0.00700780169723796,-0.144158190208836,0.115,0.157,1
"Mturn",0.00703662204546477,0.311179578254507,0.122,0.086,1
"Ddost",0.00719884952968494,-0.137424852034574,0.072,0.106,1
"Rasa2",0.00722057161353401,-0.294620390086366,0.092,0.127,1
"Stim1",0.00724559681645316,-0.163976896543167,0.147,0.192,1
"Tapbp",0.00730888755392797,-0.172424600734351,0.138,0.182,1
"Foxo1",0.00744030911627348,-0.248751210860798,0.154,0.199,1
"Reep5",0.00746676614181412,-0.208458489640396,0.075,0.108,1
"Slc31a2",0.00747148035166892,-0.203699516368981,0.146,0.19,1
"P4htm",0.00747915837732276,-0.202286528990884,0.084,0.119,1
"Fam129a",0.00755547314692203,0.428825295928434,0.23,0.188,1
"Scd2",0.00768711372528373,-0.101179289599003,0.173,0.224,1
"Anks1",0.00780643486012828,-0.0610810417069185,0.312,0.382,1
"Ago2",0.00784177892562112,-0.263804797963507,0.084,0.118,1
"Fbxo7",0.00785169519820534,-0.209552751666632,0.261,0.313,1
"Csnk1a1",0.00787326575528398,-0.282430768274248,0.074,0.106,1
"Igsf11",0.00790649997798543,-0.267662550384542,0.102,0.14,1
"Vim",0.00795596625184228,-0.201975058234378,0.55,0.601,1
"Rexo2",0.00799117726214119,-0.178404493825518,0.136,0.178,1
"Ncoa5",0.00799185716892185,-0.198331092284805,0.083,0.118,1
"Ppib",0.00809067404377499,-0.133582968065128,0.12,0.16,1
"Prima1",0.00816687614385658,-0.138689544062212,0.189,0.241,1
"Nucb1",0.0083644417422972,-0.142338180951948,0.094,0.131,1
"Nudt7",0.00850905401463427,-0.14261913987993,0.12,0.163,1
"Nr2f1",0.00899209577748483,-0.203915628630521,0.152,0.196,1
"Snd1",0.00908722683702785,-0.178215574309073,0.23,0.287,1
"Cmtm5",0.00916517622051976,-0.156106834697136,0.379,0.442,1
"Zscan26",0.00916597110633471,-0.152750082556548,0.156,0.202,1
"Lmbrd1",0.00925203707884255,-0.248201064794105,0.106,0.143,1
"Pfkfb3",0.00926649729613768,-0.298686373955896,0.132,0.171,1
"Cbx4",0.00941907826780755,-0.192752044192679,0.101,0.139,1
"Ift172",0.00941973248035002,-0.120845597891165,0.111,0.151,1
"Sbds",0.0095743560200091,-0.229060656022772,0.076,0.108,1
"Arhgap39",0.00982484535413455,-0.121260215045565,0.322,0.386,1
"Xbp1",0.00984133438450742,-0.206679970901337,0.086,0.119,1
"S100a6",0.00984737615521599,-0.142964052531834,0.139,0.183,1
"Kirrel",0.00995512489403108,-0.144142523065799,0.38,0.447,1
"Tpr",0.0101105846696357,-0.201996190129867,0.084,0.117,1
"Myo5a",0.0102166250551126,-0.265834834351551,0.083,0.116,1
"Serpina3n",0.0102509232698745,-0.239022184326034,0.14,0.181,1
"Csmd1",0.0103224041374725,0.300746046549853,0.427,0.394,1
"Scarb2",0.0105843703036362,-0.15665835611324,0.228,0.28,1
"Auts2",0.0107729971027383,-0.0578380701839729,0.121,0.163,1
"Pbx2",0.010869856703288,0.365196797667818,0.104,0.072,1
"Foxd3",0.0108705090759182,-0.1936360157947,0.15,0.195,1
"Nrp2",0.0109222389498161,-0.18931765078045,0.458,0.522,1
"Gas7",0.0109295011655949,0.221862098222752,0.675,0.669,1
"Sox2",0.0109315075093117,-0.0822713952995662,0.183,0.234,1
"Fam219a",0.011153569885409,-0.192826721891799,0.119,0.157,1
"Vwa1",0.011262194502991,-0.157372483038924,0.523,0.578,1
"Fndc1",0.0113557068644108,-0.198727588815125,0.123,0.161,1
"Pdlim4",0.0114978841404162,-0.218309917531792,0.239,0.29,1
"Crlf3",0.0116092115218627,-0.164082375303896,0.098,0.134,1
"Col4a1",0.0117859314670197,-0.105274251010456,0.416,0.481,1
"Arhgef25",0.0118989750699546,-0.158211787895912,0.212,0.261,1
"Fus",0.0121396619511405,-0.18389314616569,0.276,0.329,1
"Zfp746",0.0124894810759446,-0.221872047804684,0.075,0.106,1
"Fkbp2",0.0125016458655454,-0.128442745862025,0.136,0.178,1
"Sorbs3",0.012852764897177,-0.132774193194189,0.225,0.278,1
"S100a16",0.0130346721189619,-0.168686323993501,0.095,0.129,1
"Ssr1",0.0130733869793889,-0.162015903894072,0.077,0.108,1
"Arhgap26",0.0130872101641668,-0.184252112708497,0.243,0.294,1
"Supt20",0.0131192583083289,-0.255941937833279,0.248,0.29,1
