"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Per2",8.11766618163075e-12,-0.747761907043667,0.055,0.168,1.21927346048094e-07
"Adam15",2.58780430808347e-08,-0.495383430896253,0.357,0.521,0.000388688207074137
"Plekhg5",1.83701489338273e-07,-0.498544494857896,0.302,0.444,0.00275919636986086
"Cd93",2.19450551652106e-07,-0.549729094014949,0.242,0.372,0.00329614728581463
"Cd36",3.98991746581037e-07,-0.488423397255369,0.231,0.362,0.00599285603364718
"Rgs12",5.47880133474374e-07,-0.641205287486891,0.133,0.236,0.0082291596047851
"Chuk",8.01662367093077e-07,-0.529497482757202,0.048,0.119,0.012040968753738
"Spata13",1.16515582607796e-06,-0.573034377910582,0.144,0.248,0.0175006405076909
"Klf2",1.65434225509055e-06,-0.251014030042309,0.375,0.511,0.02484822067146
"Igfbp7",1.68758515426887e-06,-0.485900002179057,0.445,0.578,0.0253475290171185
"Rapgef1",2.23815856153904e-06,-0.539861103192365,0.273,0.39,0.0336171415943164
"Nrros",4.98604931302501e-06,-0.499231801361604,0.046,0.109,0.0748904606816357
"Lratd2",6.49733756040099e-06,-0.464993289600069,0.056,0.125,0.0975900101572229
"Timp3",1.02584314755973e-05,-0.848202459324822,0.193,0.287,0.154081640763471
"Col15a1",1.05833332570396e-05,-0.642067974528461,0.056,0.123,0.158961665520735
"Arhgap23",1.17902345007932e-05,-0.410695463328774,0.129,0.22,0.177089322201914
"Slc9a3r2",1.23799971563583e-05,-0.409318697975011,0.526,0.64,0.185947557288502
"Slco2b1",2.16564716382423e-05,0.63170612636406,0.352,0.259,0.3252802040064
"Adgrl4",2.65801016068675e-05,-0.41966803485535,0.493,0.62,0.39923312613515
"Atoh8",2.69412650114354e-05,-0.447726103280195,0.119,0.202,0.40465780047176
"Arih1",2.80795193686295e-05,-0.478523542430226,0.115,0.196,0.421754380916815
"Rhob",3.15363855061095e-05,-0.427993795080464,0.246,0.35,0.473676510301764
"Aqp7",3.33388036917561e-05,-0.63114437282145,0.095,0.17,0.500748831450177
"Zbtb16",3.43358743079769e-05,-0.420464472983057,0.267,0.376,0.515724832105813
"Flna",3.74435494030814e-05,-0.440753165496641,0.447,0.556,0.562402112034282
"Tsc22d1",5.77677511699738e-05,-0.473111605746907,0.241,0.337,0.867671622573007
"Naa60",6.11970173226002e-05,-0.410343853837145,0.097,0.17,0.919179200185455
"Tbc1d2",6.57658177491647e-05,-0.391852863829568,0.046,0.101,0.987802582592454
"Abi3",6.97799904687477e-05,-0.389296101440138,0.204,0.305,1
"Ap2m1",7.74529879317992e-05,-0.52105100093967,0.098,0.168,1
"Adamts9",8.77497290316834e-05,-0.421008576906851,0.239,0.337,1
"Ablim3",9.12990686378276e-05,-0.614437340498796,0.232,0.321,1
"Map4k4",9.70300870397921e-05,-0.465349909134721,0.146,0.228,1
"Pkp4",0.000110409747185077,-0.506877973056906,0.143,0.224,1
"Fhod1",0.000114528422035569,-0.446325181992713,0.105,0.178,1
"Arhgap29",0.000120113633003976,-0.303001599075685,0.304,0.412,1
"Map3k6",0.000121391644892404,-0.45824596869221,0.153,0.236,1
"Gimap1",0.00012367358938497,-0.296237036421855,0.129,0.21,1
"Stx6",0.000134117938136346,-0.438037241957024,0.091,0.158,1
"Cd300lg",0.000169422315700337,-0.622294109654661,0.264,0.35,1
"Ctnnb1",0.000194338188217317,-0.266480311112286,0.357,0.473,1
"Dgkh",0.000198616817383378,-0.312967639308246,0.094,0.164,1
"Tinagl1",0.000208148324564802,-0.499735545864994,0.252,0.339,1
"Exoc3l2",0.000213882890906059,-0.384719105223822,0.066,0.125,1
"Zc3h14",0.000216620846737311,-0.441506116532361,0.055,0.109,1
"Kank3",0.000223026102476169,-0.319166367047903,0.544,0.648,1
"Itpkb",0.000230911859436765,-0.418055789049699,0.269,0.368,1
"Plxna2",0.00023384858411863,-0.463492313883644,0.201,0.287,1
"Klf6",0.000240563155419349,-0.388667055684791,0.2,0.283,1
"Insr",0.000250661138271713,-0.264535528300105,0.229,0.329,1
"Esyt1",0.000279664936172485,-0.524363658374572,0.198,0.279,1
"Cav1",0.000283355988058533,-0.200831137199473,0.584,0.691,1
"Mast4",0.000291636302847519,-0.456130532803963,0.299,0.396,1
"Abcc5",0.000319199783686155,-0.316926960633057,0.196,0.283,1
"Rcbtb1",0.000357600754702336,-0.377121990004493,0.1,0.166,1
"Nr5a2",0.000367978566659047,-0.383923744583263,0.055,0.107,1
"Cebpg",0.000368629131160584,-0.262822805365048,0.141,0.218,1
"Glul",0.000392452303799657,-0.533070958428286,0.197,0.279,1
"March5",0.000398516743720163,-0.29853248958085,0.061,0.115,1
"Adar",0.000399415790855294,-0.425561796789031,0.201,0.283,1
"Trim34a",0.000439869836574818,-0.344681794104452,0.077,0.137,1
"Rhoa",0.000440279211271627,-0.399655265754557,0.068,0.123,1
"Rbm4",0.000487413335686072,-0.272809955420145,0.076,0.135,1
"Calm1",0.000495015086474473,-0.325734090731529,0.189,0.269,1
"Ext1",0.000497042426274656,-0.432171563652733,0.082,0.141,1
"Foxn2",0.000499972902255707,-0.377013203092288,0.087,0.147,1
"Arglu1",0.000522254369349638,0.210238539759644,0.846,0.818,1
"Jag2",0.000526641187135742,-0.333391022100536,0.33,0.43,1
"Tspan13",0.000547687481281036,-0.313018574919409,0.217,0.307,1
"Thrsp",0.000570801752999659,-0.411919830458881,0.056,0.107,1
"Helz2",0.000580768120648137,-0.281646246047365,0.211,0.299,1
"Swap70",0.000601143261397417,-0.344139561703605,0.203,0.285,1
"Adgrg1",0.000625265323012292,-0.479987242417674,0.225,0.301,1
"Stn1",0.000631259777589247,-0.302005657575988,0.06,0.111,1
"Tmem208",0.000639867611989604,0.469194178954131,0.192,0.123,1
"Ly6a",0.000696580190960338,-0.35855047346888,0.188,0.267,1
"Hspg2",0.000735004542220382,-0.351807996341719,0.451,0.549,1
"Fzd4",0.000744473708463648,-0.379570770675048,0.227,0.311,1
"Tuba1a",0.000785020042079393,-0.402002654149332,0.062,0.111,1
"Clasp2",0.000786326692206486,0.399707841110197,0.145,0.085,1
"Saraf",0.000799567647972775,-0.32706533812299,0.072,0.125,1
"Fam53b",0.000822332787920393,-0.249176206031952,0.193,0.275,1
"Dicer1",0.000829889899159937,-0.338290367599602,0.1,0.16,1
"Ushbp1",0.000847738317181606,-0.294296838903744,0.613,0.681,1
"Rai14",0.000852517153841099,-0.289062689084732,0.134,0.204,1
"Plekhg2",0.000950525037267225,-0.320208752481622,0.156,0.232,1
"Ets1",0.000973342229420715,-0.293858754455867,0.251,0.341,1
"Gnas",0.000987011556485265,-0.293765531549434,0.209,0.291,1
"Mgll",0.00100127411255536,-0.45853453518932,0.261,0.345,1
"Myadm",0.00100330485533283,-0.363499136956958,0.152,0.222,1
"Vwa3a",0.0010755880657448,-0.380915721155187,0.054,0.101,1
"H2-Q6",0.00108506819567823,0.42537892709341,0.453,0.386,1
"Adipor1",0.00110678347225085,-0.348353146972232,0.156,0.228,1
"Tead1",0.00111643906213507,-0.32575047951066,0.101,0.16,1
"Pik3c2b",0.0011607088061205,-0.281408276430472,0.185,0.263,1
"Naga",0.00117218799532847,-0.348604790529214,0.06,0.107,1
"Bst2",0.00118191462062179,-0.514472968381806,0.154,0.218,1
"Serinc1",0.00122706675006678,-0.316010552679223,0.112,0.174,1
"Jak3",0.00123590036991291,-0.250150320146956,0.362,0.455,1
"Celf1",0.00123800006542322,-0.337676407139565,0.084,0.139,1
"Pdlim5",0.00135375643405965,-0.544789642881693,0.287,0.364,1
"Npr2",0.0013566313469219,-0.429520062424838,0.123,0.184,1
"Gpr4",0.00136036493746997,-0.467757077640028,0.057,0.103,1
