"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ppp1r12c",5.82702362994787e-05,-1.47752397472356,0.24,0.708,0.87521894921817
"Ubr3",0.000274925884802304,-0.976368552683156,0.18,0.625,1
"Ube2z",0.000408445267177923,-0.892741345956524,0.02,0.292,1
"Tsc22d4",0.000765715381262011,-1.38755055464254,0.22,0.583,1
"Snapc5",0.000953659937034105,-0.766820351191487,0,0.208,1
"Mief1",0.000953659937034105,-0.461322498511708,0,0.208,1
"Ppp4r3a",0.00135844020863903,-1.41957690255792,0.04,0.292,1
"Surf4",0.00148684937965803,-1.271802120092,0.08,0.375,1
"Atp6v0e2",0.00151180742331801,-0.961507670052666,0.02,0.25,1
"Axin1",0.00151180742331801,-0.51142732526771,0.02,0.25,1
"Clip3",0.00156333953529009,-0.949737680301252,0.04,0.292,1
"Lpp",0.00157862015218297,-0.902259350356143,0.08,0.375,1
"Ralb",0.00176645046532976,-0.911880042789573,0.02,0.25,1
"Zbtb44",0.00176645046532976,-1.06465642373945,0.02,0.25,1
"Eya2",0.00177614653009713,-1.21225953600453,0.06,0.333,1
"Tssc4",0.0018921608191661,-1.45151624204792,0.06,0.333,1
"Grb2",0.0020600036176232,-0.685484567105146,0.02,0.25,1
"Unc93b1",0.0020600036176232,-0.97713171824063,0.02,0.25,1
"Adgrg1",0.00206094078790959,-0.957784194197547,0.04,0.292,1
"Lrrc8a",0.0021207412565178,-0.823411142787031,0.08,0.375,1
"Plekha4",0.00225334328243836,0.927592792183527,0.94,0.917,1
"Leng8",0.00232415015372384,-0.758743187274427,0.84,0.958,1
"Dhdds",0.00235457707849287,-1.50463152063631,0.1,0.375,1
"Dohh",0.00236084049383083,-0.932690216525057,0.04,0.292,1
"Ppp1r15b",0.00249017586487891,-1.09540378583087,0.1,0.375,1
"Sardh",0.00252531962213077,-1.18665824195321,0.04,0.292,1
"Cpeb2",0.00257082602742336,-0.90725181079683,0.18,0.542,1
"Tpm2",0.00289294952952047,2.47360364799198,0.48,0.125,1
"Adsl",0.00291990700017972,-0.772363885799294,0.06,0.333,1
"Sf3b1",0.003122088637591,-0.715827832140478,0.38,0.708,1
"Rabac1",0.00322836224722693,-0.967858686623118,0.14,0.458,1
"Irf2",0.0032956090126905,-0.728952312831387,0.06,0.333,1
"Nifk",0.00336996178057681,-0.956962495953166,0,0.167,1
"Tox",0.00336996178057681,-1.04883922654863,0,0.167,1
"Usp1",0.00336996178057681,-0.535460738526443,0,0.167,1
"Ednra",0.00336996178057681,-0.632556882207963,0,0.167,1
"Sall2",0.00336996178057681,-0.579920325132678,0,0.167,1
