"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hspa1b",4.24615536106283e-16,-0.401068880544082,0.089,0.237,6.37772535231636e-12
"Per1",4.25843663477698e-15,-0.594012168327517,0.497,0.685,6.39617182543502e-11
"Tsc22d3",2.0059158482795e-11,-0.530201844588053,0.342,0.506,3.0128856041158e-07
"Fam53b",5.54547670819566e-11,-0.464208673742379,0.599,0.743,8.32930601570987e-07
"Otud7b",6.95249976533413e-10,-0.385275630176908,0.7,0.817,1.04426546475319e-05
"Per3",4.54318540833676e-09,-0.405840739582556,0.225,0.363,6.82386448332181e-05
"Rapgef3",5.39693730056473e-09,-0.419040969585516,0.529,0.663,8.10619982544823e-05
"Rtkn",5.75584388479607e-09,-0.306619337599892,0.688,0.776,8.64527751496369e-05
"Hspa8",1.24473959854969e-08,-0.461431327084208,0.384,0.49,0.000186959887702163
"Ctnnal1",1.34888473305486e-08,0.352441011653839,0.854,0.805,0.00020260248690484
"Tra2a",1.75569211384146e-08,-0.438388334347542,0.424,0.569,0.000263704955498987
"Mt1",2.21925713810588e-08,-0.425874647502102,0.585,0.696,0.000333332422143503
"Pik3r1",3.07897476139635e-08,-0.368620141331346,0.503,0.616,0.000462462009161731
"Klf9",3.30217575152598e-08,-0.463378663295484,0.284,0.414,0.000495986797879202
"Arhgef10",3.30512422447437e-08,-0.35179223296874,0.684,0.774,0.000496429658516051
"Etnppl",5.93864437260283e-08,-0.467058689282841,0.242,0.362,0.000891984384764945
"Qk",6.10752786850891e-08,-0.217042769559034,0.934,0.97,0.000917350685850038
"Fam57a",1.07280707593404e-07,-0.385197884963222,0.266,0.383,0.00161135622805293
"Arhgef37",1.28117553992147e-07,-0.364364538952896,0.256,0.381,0.00192432566096205
"Snta1",2.62718386317591e-07,-0.276564829417809,0.539,0.666,0.00394603016249022
"Akap8l",8.30435667932362e-07,-0.334780566280532,0.373,0.501,0.0124731437323441
"Slc6a1",8.63973276099158e-07,-0.325913030363641,0.393,0.504,0.0129768786070094
"Prelid3a",1.26009795746834e-06,-0.392686283914155,0.229,0.343,0.0189266713211744
"Clk1",2.07646635915941e-06,-0.271969154990139,0.562,0.671,0.0311885247145743
"St6gal1",2.20816562129417e-06,-0.331637350808018,0.524,0.637,0.0331666476318384
"Paqr8",2.33856040251811e-06,-0.279962597457927,0.18,0.282,0.0351251772458221
"Creld2",3.48809962493462e-06,-0.30582329910581,0.238,0.343,0.052391256366518
