"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tppp3",0.000408630911103736,1.60039994392683,0.225,0.04,1
"Rfesd",0.00116988758492935,-0.796489283041536,0.009,0.12,1
"Ptpdc1",0.00201315737605899,-0.854062871804294,0.099,0.267,1
"Gpm6b",0.00305510992003758,-0.389890600650548,0.874,0.96,1
"Osbpl5",0.00338219505347571,1.07323501080708,0.108,0,1
"Pkd2",0.00340391495288765,0.998330460487007,0.135,0.013,1
"Ipo5",0.00380380894657972,-0.916919089774519,0.054,0.187,1
"Cep83",0.00397027752443672,1.35435112703028,0.198,0.053,1
"Tasor",0.00443443857155565,-0.69810266084988,0.018,0.12,1
"Man1a2",0.00473544871298899,1.06814550908728,0.288,0.12,1
"Rlim",0.00481625520729727,-0.665881655149112,0.171,0.36,1
"Nphp1",0.00582447234346891,-0.65320760987448,0.027,0.133,1
"Ank3",0.00592859231145876,1.17804737906905,0.243,0.093,1
"Taok1",0.00729505709526197,-0.960735470342006,0.063,0.187,1
"Ptpn14",0.00740167637190384,1.02157346034926,0.171,0.04,1
"Pea15a",0.00775522604966652,-0.255348727086798,0.991,0.987,1
"Tbc1d22a",0.008675091433867,-0.742601238860384,0.018,0.107,1
"Nol3",0.00887397098018512,1.00259788809014,0.144,0.027,1
"Tulp4",0.0124039371798832,-0.706551698433712,0.072,0.2,1
"Sbds",0.0126423972504231,0.964246434596855,0.108,0.013,1
"Secisbp2l",0.0126602167611467,-0.273470371417886,0.982,1,1
"Cltb",0.0129091118259753,0.319676876687502,0.973,0.973,1
"Pde7b",0.0140873878452841,0.626132218384724,0.495,0.307,1
"Cfl2",0.0158376074086638,-0.577656163134917,0.036,0.133,1
"Setd3",0.0166640404226537,0.701365955546623,0.405,0.24,1
"Trak1",0.0190754764624402,-0.692593910126566,0.072,0.187,1
"Sh3bgrl",0.0194735505808975,-0.556093101828462,0.387,0.547,1
"Cdk9",0.020915092176515,-0.761258780190463,0.189,0.333,1
"Psmd2",0.0220446659218459,0.81241231921865,0.162,0.053,1
"Deptor",0.0222336044810421,-0.559748763241587,0.153,0.293,1
"Ivns1abp",0.0227084849460292,-0.581306370599069,0.081,0.2,1
"Baz1b",0.0229211739137172,0.782228114225833,0.162,0.053,1
"Slc25a36",0.0245845790135019,-0.834853564638691,0.027,0.107,1
"Arhgef9",0.0257065083890142,-0.555326965483515,0.126,0.253,1
"Nek1",0.0261316876560528,-0.777917416998427,0.117,0.24,1
"Ptbp2",0.0263714440405677,-0.744168752765821,0.027,0.107,1
"Gng2",0.0286539464899774,-0.693619156268269,0.054,0.147,1
"Klhl24",0.0288227794137696,-0.495655885746189,0.036,0.12,1
"Zc3h13",0.0294725633392068,-0.758077524809858,0.054,0.147,1
"Cttn",0.0295728349188081,0.886234198843932,0.135,0.04,1
"Jam3",0.0299801388272163,0.760165656424127,0.135,0.04,1
"Luc7l3",0.0308322763582479,0.955027185640082,0.207,0.093,1
"Acadm",0.0313567126332853,-0.682846464011143,0.072,0.173,1
"Chtop",0.0334714170141971,0.766395028586803,0.225,0.107,1
"Stx4a",0.0338525593814171,0.77093646661361,0.396,0.267,1
"Ywhag",0.034247431804319,0.675689582750173,0.153,0.053,1
"Zranb1",0.0344620785558601,-0.720143930059451,0.072,0.173,1
"Tns2",0.0345487140917806,-0.471822206285804,0.351,0.493,1
"Wdr33",0.0346845981818667,-0.621346417320712,0.081,0.187,1
"Zmynd11",0.0356178806450499,0.571054071059767,0.495,0.32,1
"Zfp664",0.0359893171687979,-0.664347857829483,0.297,0.427,1
"Ubxn2a",0.0365324026452335,0.814893669736831,0.108,0.027,1
"Fbxl3",0.0366941855012073,-0.626749599405919,0.099,0.213,1
"Csde1",0.0368173390603173,0.602146856456202,0.396,0.253,1
"Ap3b1",0.037437550828417,-0.343982006609511,0.198,0.347,1
"Akap11",0.0382874810135732,0.743672267378651,0.261,0.133,1
"Ybx1",0.0385859572068725,0.348003049097172,0.874,0.787,1
"Nars",0.0390326081472991,-0.72344519573217,0.117,0.227,1
"Fth1",0.0393920188233065,0.22823946100447,1,1,1
"Ddx50",0.0394722480802914,0.563885178663841,0.279,0.147,1
"Eps15",0.0394747682446626,-0.657607880894196,0.324,0.453,1
"Agpat3",0.0399239927935191,0.67162183870851,0.108,0.027,1
"Huwe1",0.0399492785709358,-0.747453834064133,0.27,0.413,1
"Klhl5",0.0407986027708498,-0.755853528406711,0.198,0.32,1
