"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Adamts5",5.23170737603565e-24,-2.22836476190566,0.101,0.474,7.85802447880554e-20
"Prelp",3.99019773107073e-22,-2.05858004811816,0.172,0.546,5.99327699206824e-18
"Myl3",1.6181885536447e-21,1.55291469885959,0.623,0.184,2.43051920757434e-17
"Mmd",3.17160652165505e-21,-1.58366345090531,0.184,0.561,4.76375299552588e-17
"Fabp3",1.54388983657872e-20,2.02918362853511,0.546,0.138,2.31892253454124e-16
"Nedd9",1.17370466958059e-19,-1.48663234070855,0.068,0.378,1.76290441371005e-15
"Actn2",3.50101469969566e-19,1.7693822633835,0.632,0.245,5.25852407894288e-15
"Lbp",4.20219332300687e-19,-1.45417795745183,0.151,0.505,6.31169437115631e-15
"Csrp3",4.21711478818533e-19,2.41707578207428,0.448,0.077,6.33410641185437e-15
"Lmod2",6.08116070824985e-19,1.69999725705466,0.582,0.179,9.13390338379128e-15
"Sncg",1.22070403137282e-18,-1.95572392063956,0.184,0.531,1.83349745512197e-14
"Mybpc1",2.00123416678259e-18,1.65875443333716,0.626,0.235,3.00585371850745e-14
"Lep",6.14007398250333e-18,-2.0461704875959,0.095,0.403,9.22239112171999e-14
"Mb",9.62099294340326e-18,2.47476307138475,0.582,0.204,1.44507314009917e-13
"Col18a1",2.44194042460873e-17,-1.3068545520709,0.083,0.383,3.66779451776232e-13
"Tpm2",3.14651775367872e-17,1.52682634280646,0.665,0.347,4.72606966602543e-13
"Smtnl1",8.58518516379758e-17,1.65929034033181,0.448,0.092,1.2894948116024e-12
"Rapgef3",8.82956990458838e-17,-1.22315193795917,0.083,0.378,1.32620139966918e-12
"Npr3",9.42412334069793e-17,-1.83878621529243,0.234,0.536,1.41550332577283e-12
"Fads3",1.60806767600204e-16,-1.5290772867778,0.264,0.582,2.41531764935506e-12
"Vgll3",1.8667055640509e-16,-1.34207432167967,0.047,0.301,2.80379175720446e-12
"Rarres2",2.37460229574614e-16,-1.80744498191563,0.19,0.505,3.56665264821071e-12
"Hspb7",3.18004679866703e-16,1.91756239551541,0.567,0.224,4.77643029159788e-12
"Fabp4",6.8149235250114e-16,-2.10916953708796,0.258,0.577,1.02360151345671e-11
"Tnnt1",1.42914454576315e-15,1.68289631128377,0.439,0.087,2.14657510773626e-11
"Fitm1",1.7884356051228e-15,1.50576303524786,0.315,0.02,2.68623027889445e-11
"Aoc3",1.91517119752052e-15,-1.37314154206945,0.148,0.464,2.87658713867583e-11
"Tcap",2.31281708043232e-15,1.61387027320688,0.632,0.311,3.47385125480934e-11
"Amotl2",2.70091836296129e-15,-1.35035763192315,0.145,0.454,4.05677938116785e-11
"Itgad",3.06487197910463e-15,-2.41456610410817,0,0.173,4.60343771261515e-11
"Cdsn",3.19959418491581e-15,-0.966702914345642,0.024,0.24,4.80579046574355e-11
"Cav1",3.33337564183418e-15,-1.45281769544493,0.297,0.592,5.00673021403494e-11
"Mest",4.11992569754377e-15,-2.12551728212699,0.009,0.199,6.18812839771075e-11
