"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zbtb16",2.10659839895096e-23,-1.05167620347316,0.032,0.144,3.16411079522434e-19
"Cdh19",1.01464051578458e-17,-0.355544982234409,0.898,0.955,1.52399005470844e-13
"Matn2",9.70961284526169e-14,-0.621861220010469,0.387,0.542,1.45838384935831e-09
"Kcna1",9.22672417772985e-13,0.472279446533732,0.716,0.605,1.38585397149502e-08
"Dbp",2.63820073551353e-11,-0.604579925930603,0.102,0.206,3.96257750474132e-07
"Epb41l4b",4.20215174824494e-10,-0.310322272117707,0.834,0.897,6.3116319258639e-06
"Tbc1d10a",5.90509690163621e-10,-0.553216550426121,0.235,0.36,8.86945554625758e-06
"Serpinh1",5.92636972970244e-10,-0.686597768454129,0.162,0.265,8.90140733401307e-06
"Cst3",2.36576471020845e-09,-0.565231360248029,0.148,0.251,3.5533785947331e-05
"Per1",7.25116981846538e-09,-0.473243899467123,0.251,0.369,0.00010891257067335
"Matn4",9.06481377428196e-09,-0.484354364887183,0.204,0.319,0.000136153502889715
"Phyhd1",3.76750168213172e-08,-0.586865534989596,0.09,0.168,0.000565878752656185
"F3",1.15305668412181e-07,-0.498511372250359,0.166,0.261,0.00173189113955096
"Herpud1",1.41710529374643e-07,-0.486647016433192,0.076,0.147,0.00212849215120713
"C1s1",5.79763710384278e-07,-0.443594157231653,0.082,0.151,0.00870805092997185
"Sorcs2",1.31200083522958e-06,-0.26128684188208,0.34,0.464,0.0197062525451483
"Etnk1",1.97130036623825e-06,-0.373485948783108,0.251,0.351,0.0296089315008986
"Prnp",2.32100532439617e-06,-0.324216346622743,0.329,0.435,0.0348614999724304
"Sparcl1",3.05005853161767e-06,-0.41437369944253,0.233,0.326,0.0458118791448975
"Serpina3n",3.33032001984756e-06,-0.347096903138831,0.14,0.221,0.0500214066981104
"Fxyd7",3.38351771114889e-06,-0.33897512082151,0.515,0.616,0.0508204360214563
"Gsn",5.46604943619133e-06,-0.407320539647252,0.459,0.54,0.0821000625315937
"Plekha4",5.75766317369982e-06,0.300524282587633,0.86,0.836,0.0864801008689714
"Slc43a3",6.05612532822893e-06,-0.291385949145163,0.395,0.503,0.0909630024299985
"Prodh",7.66064744600428e-06,-0.503124180315846,0.165,0.242,0.115062924638984
"Per3",1.173361998721e-05,-0.401064064358416,0.116,0.184,0.176238972207895
"Plin4",1.42992119327447e-05,-0.572782377744854,0.115,0.179,0.214774163229826
"Gpt2",1.51289682486637e-05,-0.349103346457181,0.259,0.349,0.227237103094929
"Agap1",1.52740654556182e-05,-0.372956888547761,0.29,0.379,0.229416463143385
"Junb",1.96515031048082e-05,0.727650573790239,0.108,0.055,0.295165576634219
"Erf",2.32708108062385e-05,-0.545470145325023,0.062,0.112,0.349527578309703
"Cdc42ep1",2.41795837972056e-05,-0.333496525776906,0.092,0.152,0.363177348634029
"Klf15",2.51878707992886e-05,-0.403359609078315,0.167,0.24,0.378321819405314
"Cfap100",2.99283330502064e-05,-0.191592939629696,0.781,0.843,0.4495235624141
"C3",3.21675414424787e-05,-0.475383374099398,0.215,0.295,0.483156472466029
"Six5",3.42169260932642e-05,-0.339357752876456,0.133,0.201,0.513938229920828
"Nr1d1",3.50274284050977e-05,-0.321462645626486,0.37,0.457,0.526111974644568
"Atp1a2",3.58633098010093e-05,-0.215242177942151,0.558,0.638,0.538666913211159
"Pdlim4",3.8639347859762e-05,-0.3087626184699,0.239,0.329,0.580363004853625
"Aatk",4.01696385579455e-05,0.182073057396992,0.92,0.89,0.603347971140341
"C4b",4.7497807168126e-05,-0.178608489242818,0.879,0.909,0.713417063665253
"Mbp",4.79855411031176e-05,0.249916191055492,0.85,0.834,0.720742827368826
"Scn7a",5.0233452917037e-05,-0.183968478045553,0.818,0.862,0.754506462813896
"Ndrg2",5.32761000339161e-05,-0.359134200034791,0.186,0.26,0.800207022509419
"Gab1",5.49008787779604e-05,0.452796661522269,0.38,0.312,0.824611199244966
"Plscr2",6.31772083474561e-05,-0.274930242981922,0.35,0.443,0.948921669378791
"Sfrp5",6.84483445170989e-05,-0.295494146602736,0.133,0.197,1
"Gpr37l1",7.11163649577267e-05,-0.409832294806386,0.183,0.253,1
"Rnh1",7.70501954579225e-05,-0.354161163944433,0.144,0.209,1
"Spred1",7.89538292105573e-05,-0.456335177582131,0.074,0.123,1
"Emc8",9.05363905099616e-05,-0.478346706408394,0.056,0.1,1
"Dusp11",0.000107111399456969,-0.337959154300843,0.15,0.217,1
"Inpp5f",0.00010765396551202,-0.201684632521142,0.078,0.131,1
"Cdh2",0.000115413074304679,-0.339090603901395,0.219,0.292,1
"Bbs9",0.000116110471451503,-0.281710776597742,0.061,0.106,1
"Cyp2d22",0.000131227081490756,-0.254179774910042,0.437,0.525,1
"Pcdh9",0.000134514234771431,-0.340922623613721,0.242,0.319,1
"Cry2",0.000137040770532902,-0.246732963242069,0.082,0.135,1
"Nrn1",0.000139988436364447,-0.376552245249696,0.199,0.269,1
"Plce1",0.000151131165579269,-0.285203552343703,0.281,0.364,1
"Timp3",0.000160412306139503,-0.36334392213015,0.235,0.309,1
"Tmem176b",0.00016773680731784,-0.341748810204123,0.211,0.282,1
"Ddx3y",0.000181633706619708,-0.405795833530354,0.074,0.122,1
"Clk1",0.000193740635238089,-0.267281000934859,0.363,0.448,1
"Pacsin3",0.000196916443557178,-0.408494868316765,0.068,0.114,1
"Ttyh1",0.000202301269257333,-0.209449187256509,0.374,0.465,1
"Disc1",0.000216375009236347,-0.312276760572441,0.06,0.104,1
"Abcc5",0.000220186152386403,-0.25533509337839,0.339,0.421,1
"Zfp866",0.000221159783925504,-0.321455965402323,0.074,0.122,1
"Dpyd",0.000255680606746348,-0.287098306077999,0.194,0.268,1
"Prex2",0.000275721224033201,-0.30135679373456,0.24,0.313,1
"Chl1",0.000276209777027219,-0.22841648290504,0.319,0.403,1
"Cys1",0.000289848916196747,-0.220165615727473,0.098,0.153,1
"Klf9",0.000319187516835345,-0.327698073787158,0.184,0.249,1
"Cd200",0.000351724738344826,-0.297773897667314,0.202,0.27,1
"Anks1",0.000365362616433733,-0.230191741517776,0.312,0.396,1
"Igf1r",0.000369578220442709,-0.309802841917338,0.164,0.227,1
"Ddhd1",0.000410979434186851,-0.19935958156392,0.487,0.575,1
"Sfpq",0.000416097895296181,-0.238233469050205,0.203,0.273,1
"Fdxr",0.000424453276857655,-0.324410963175297,0.15,0.209,1
"Sfswap",0.000427229741350413,-0.244052605218524,0.363,0.455,1
"Rhbdf1",0.000435109014089746,-0.296939190018539,0.212,0.281,1
"Nfib",0.000447907139956637,-0.319231781729063,0.118,0.173,1
"Apoe",0.000455975528840579,-0.389493956796304,0.404,0.471,1
"Trim56",0.00049344933610022,-0.31370567188828,0.084,0.131,1
"Dhh",0.000508108116376176,-0.300522400551535,0.148,0.206,1
"Klf7",0.00051769322037343,-0.269865394666346,0.229,0.303,1
"Cp",0.000558708555014596,-0.303686908842082,0.119,0.173,1
"Rarres2",0.000561111217795017,-0.220577727284597,0.478,0.566,1
"Snta1",0.000580698755919811,-0.328870683761018,0.167,0.227,1
"Fads6",0.000604269252531821,-0.212285793835146,0.25,0.325,1
"Rasgef1c",0.000641724165226351,-0.195836942925517,0.299,0.381,1
"Asph",0.00068807107858049,-0.259155081859332,0.245,0.317,1
"Celf2",0.000699768045457834,-0.14858267812234,0.65,0.735,1
"Hsp90b1",0.000748653720646212,-0.217347490202378,0.08,0.126,1
"Rgmb",0.000818196100930237,-0.28801271433552,0.193,0.257,1
"Itm2b",0.000827126777402403,-0.320448925117771,0.227,0.291,1
"Nrbp2",0.000848115905701756,0.338467104445518,0.463,0.419,1
"Hnrnph1",0.000861857397332991,-0.205436350300464,0.221,0.291,1
"Zmynd11",0.000892334495477587,-0.19842963088306,0.379,0.46,1
"Evi5l",0.00105543508607936,0.401225463413363,0.135,0.088,1
"Ece1",0.00105897131915014,-0.319644663053277,0.137,0.191,1
"Mag",0.00106347315341495,-0.326097616685191,0.276,0.338,1
"Faf1",0.00113953330951406,-0.245336229307488,0.134,0.188,1
"Kcna2",0.00121002352189275,0.236800024877181,0.776,0.74,1
"Gpr108",0.0012215946956587,-0.298075132256314,0.109,0.157,1
"Hdac4",0.00122893684108757,-0.318926681607922,0.104,0.151,1
"Cebpd",0.00127134006810479,-0.112487626335379,0.275,0.355,1
"Gria3",0.00127215431858577,-0.284612421373684,0.172,0.231,1
"Ppl",0.00129851404164122,-0.313960910769259,0.064,0.103,1
"Atp11a",0.00130679365267975,-0.185345906764687,0.158,0.219,1
"Xpo6",0.0013130662558435,-0.260207453531412,0.124,0.177,1
"Kat6b",0.0013429001020732,-0.369493325784214,0.102,0.147,1
"Csmd1",0.00135167727167441,0.360307556878427,0.427,0.382,1
"Slc31a2",0.00135628121190623,-0.249000542581469,0.146,0.201,1
"Tef",0.00145261556148225,-0.161319763262694,0.174,0.236,1
"Ltbp4",0.00147002521067866,-0.342656826447226,0.162,0.217,1
"Tacc2",0.00157195538043727,-0.252772356692609,0.158,0.212,1
"Klf10",0.00174099514359399,-0.378512497150662,0.096,0.139,1
"Pcsk5",0.00179447848413842,-0.291011325734248,0.124,0.174,1
"Clk4",0.00181078159744512,-0.255124111045281,0.221,0.283,1
"Cdc42se1",0.00197775785120651,-0.242336412971407,0.111,0.157,1
"Slc3a2",0.00205282260643729,-0.249961317331877,0.073,0.112,1
"Ncam1",0.00210467380605743,-0.173710840751208,0.521,0.604,1
"Lifr",0.00214135892582765,-0.154145806858595,0.136,0.19,1
"Coq2",0.00221783392891177,-0.245304408010318,0.073,0.112,1
"Kcnn4",0.00225082613924453,-0.309834336552022,0.074,0.113,1
"Adam11",0.00226552390445524,-0.167264246798779,0.443,0.517,1
