"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fos",7.28178634574904e-50,1.74804098351761,0.497,0.19,1.09372430913151e-45
"Nr4a1",7.13183039311307e-32,2.18164971881996,0.269,0.074,1.07120092504558e-27
"Fosb",5.46988982228092e-28,2.06054656909151,0.291,0.102,8.21577451306594e-24
"Egr1",5.6124179570829e-26,1.05446929655519,0.507,0.284,8.42985177153852e-22
"Klf4",1.93555054319497e-20,1.14094891893204,0.58,0.439,2.90719691587884e-16
"Hspa5",6.71126731911715e-19,0.960483787207131,0.172,0.049,1.0080323513314e-14
"Klf2",3.01877231558235e-17,1.0501216489613,0.543,0.402,4.53419601800469e-13
"Btg2",2.56422429926093e-16,1.27414699541329,0.158,0.046,3.85146489748991e-12
"Zfp36",3.03407321580135e-15,0.957729591548799,0.49,0.338,4.55717797013363e-11
"Jund",9.54150450178674e-15,0.726044955846608,0.628,0.52,1.43313397616837e-10
"Ccn1",7.35633553069896e-14,1.58106783985575,0.27,0.139,1.10492159671098e-09
"Dusp1",1.23411927658882e-13,1.05960620511985,0.413,0.272,1.8536471534364e-09
"Pdia6",7.34175279937778e-13,0.796191125764449,0.234,0.115,1.10273127046654e-08
"Hsp90b1",3.73463213305099e-11,1.21942524850658,0.221,0.116,5.60941746384258e-07
"Hyou1",1.04800744586163e-10,1.34699992516342,0.159,0.07,1.57410718368416e-06
"Aox1",2.65709529543004e-10,-0.514201893569942,0.262,0.403,3.99095713373593e-06
"Per1",4.04463521113473e-10,0.580299288279948,0.449,0.332,6.07504208712437e-06
"Ier2",5.98324199294534e-10,0.717165363994162,0.304,0.189,8.98682947340389e-06
"Gadd45g",2.00555502085336e-09,0.734973841611788,0.283,0.171,3.01234364132175e-05
"Errfi1",3.07307759755657e-09,0.81892701793705,0.24,0.139,4.61576255152997e-05
"Xdh",1.07615640685167e-08,-0.386260563924921,0.546,0.664,0.000161638692309121
"Sfrp4",1.90372326479136e-08,-0.532555811623852,0.41,0.544,0.000285939234371663
"Inmt",1.9738575473961e-08,-0.664360852351958,0.329,0.448,0.000296473403618894
"Junb",2.06790156963599e-08,0.709259540502465,0.384,0.283,0.000310598815759325
"Serpinh1",2.45583082089987e-08,0.785402995550323,0.43,0.349,0.00036886578929916
"Hspb8",5.08416090266063e-08,0.741464901109634,0.243,0.15,0.000763640967579626
"Luc7l2",5.22210568226504e-08,-0.332266284553209,0.608,0.722,0.000784360273476208
"Zbtb16",5.61314957217072e-08,0.387079946941952,0.69,0.616,0.000843095065740042
"Vegfa",5.67814915241185e-08,0.761708317369263,0.275,0.18,0.000852858002692259
"Nr1d1",7.5197541429633e-08,-0.478825145242703,0.337,0.457,0.00112946707227309
"Phka2",8.80624168039793e-08,-0.48634801762076,0.243,0.357,0.00132269750039577
"Dbp",1.09251135679848e-07,-0.616058542943573,0.269,0.375,0.00164095205791132
"Manf",1.32646324018386e-07,0.490970115532905,0.107,0.044,0.00199234778675616
"Apbb1ip",1.63973370005407e-07,-0.511161248962539,0.122,0.215,0.00246288001748121
"Kirrel",2.33635396304987e-07,-0.350714817339422,0.308,0.431,0.00350920365250091
"Calr",6.03305011289911e-07,0.489259429266553,0.139,0.071,0.00906164126957446
"Creld2",6.97477094020163e-07,0.721055363493414,0.124,0.06,0.0104761059521829
"Abca8a",8.62942639473304e-07,-0.284255586977949,0.526,0.65,0.012961398444889
"Trappc2l",1.63414197119207e-06,-0.475244183122637,0.058,0.124,0.024544812407305
"Celf2",1.77396867278125e-06,-0.321525313714458,0.498,0.6,0.0266450094651744
"Herpud1",2.07041447227519e-06,0.796853581374855,0.232,0.154,0.0310976253735734
"Txnip",2.27748999710019e-06,-0.235760684526881,0.572,0.683,0.0342078997564449
"Fam102b",3.69037568502803e-06,-0.362745636623514,0.153,0.241,0.055429442789121
"Fnip1",4.24848930597127e-06,-0.456529435830545,0.067,0.131,0.0638123093756885
"Appl2",5.56387115729446e-06,-0.422886409084306,0.195,0.287,0.0835693447825628
"Cavin3",5.64050100222627e-06,-0.369812623664683,0.171,0.262,0.0847203250534386
"Adamtsl1",6.29432130812743e-06,-0.365001356525855,0.411,0.512,0.0945407060480739
"Hoxc8",6.53487869182158e-06,-0.358474463906914,0.13,0.212,0.0981538779511601
"Pdia4",6.7634167506017e-06,0.615334467989028,0.12,0.063,0.101586519594038
"H1f0",7.35842421057327e-06,-0.513685205384319,0.061,0.122,0.11052353164281
"Dnajc3",7.68784198205084e-06,0.485328234102551,0.191,0.12,0.115471386570404
"Arglu1",7.94649515370054e-06,-0.230292154575205,0.702,0.773,0.119356357208582
"Epdr1",8.78476735849223e-06,-0.424649077485723,0.138,0.216,0.131947205724553
"Ddr2",9.94921523569031e-06,-0.378886563789255,0.454,0.563,0.149437212840068
"Clec2d",1.03304536862181e-05,-0.384706958152067,0.546,0.632,0.155163414366996
"Flot1",1.53286189578718e-05,-0.53654228976991,0.184,0.264,0.230235856747235
"Arhgap24",2.03900490816261e-05,-0.446299775318037,0.058,0.115,0.306258537206025
"Adamts1",2.08164804238474e-05,0.630005810110672,0.137,0.077,0.312663535966188
"Uba7",2.15540045800142e-05,-0.394392943733126,0.118,0.192,0.323741148791813
"Tsc22d3",2.18812204890047e-05,0.610239240034317,0.214,0.144,0.328655931744851
"Tra2a",2.27362528244982e-05,-0.377344938376552,0.265,0.354,0.341498517423963
"Lama2",2.5377708118759e-05,-0.448942488115203,0.233,0.32,0.38117317594376
"Evc",3.36762884905399e-05,-0.461677499674335,0.219,0.299,0.505817853127909
"Map1b",3.80006388970465e-05,-0.480497576730662,0.09,0.153,0.570769596233638
"Ssh2",3.8659252524459e-05,-0.392497997842045,0.081,0.143,0.580661972917375
"Ocrl",3.90019389226559e-05,-0.45234032650587,0.059,0.114,0.585809122618292
"Galt",4.44019830653918e-05,-0.56314983372965,0.052,0.102,0.666917785642185
"Antxr2",5.05952069692904e-05,-0.330528107800032,0.468,0.566,0.759940008678742
"Acss3",5.11018517577568e-05,-0.499519672040145,0.138,0.208,0.767549813401508
"Abca8b",5.11611414621731e-05,-0.403721828910399,0.454,0.536,0.76844034476184
"S100a10",6.39173893236778e-05,0.453950464390808,0.325,0.251,0.960039187641641
"Vsig10",6.80697265114327e-05,-0.352100943982599,0.193,0.274,1
"Pard3b",7.07508324222323e-05,-0.31145481261943,0.21,0.295,1
"Pdia3",7.33073600536045e-05,0.379694135739135,0.114,0.064,1
"Cebpb",7.62864717995724e-05,0.651809630227093,0.215,0.151,1
"Ppfibp1",9.08089039641949e-05,-0.364010667806136,0.137,0.208,1
"Mmp11",9.50268627046165e-05,-0.355550797101198,0.093,0.154,1
"Anxa3",9.96543741694193e-05,-0.284499722388153,0.596,0.682,1
"Mpz",9.9926402006308e-05,-0.119201404001117,0.185,0.265,1
"Itgbl1",0.000101112968804704,-0.362028707359603,0.199,0.28,1
"Fap",0.000105423087192389,-0.458775411528433,0.153,0.225,1
"Irf2bp2",0.000110537609824659,0.450988257093,0.314,0.243,1
"Kidins220",0.000116098290787578,-0.316997006796647,0.215,0.296,1
"Hook3",0.000117994114542257,-0.300590325089407,0.108,0.171,1
"Smyd3",0.000141663996807484,-0.40053723102768,0.076,0.13,1
"Gsn",0.000145838580376095,0.380029201478466,0.792,0.773,1
"Atf7ip",0.000172597491911754,-0.353965571881668,0.103,0.165,1
"Tsku",0.000182397022581865,0.461328423528338,0.143,0.09,1
"Stat3",0.000197318628883631,-0.416034557411011,0.178,0.248,1
"Trak1",0.000199132730857396,0.450891428348739,0.26,0.195,1
"Dock10",0.000206222200356131,-0.418875207145503,0.075,0.127,1
"Glb1l",0.000220910074825569,-0.384143225191101,0.071,0.123,1
"Jun",0.000238049559732472,0.592164583287341,0.388,0.327,1
"Abca6",0.000248961143750349,-0.314659506130613,0.231,0.31,1
"Mtx3",0.000249920180851448,-0.332717920513703,0.064,0.114,1
"Cebpd",0.000253989497964252,0.552020923688376,0.442,0.384,1
"Ddit3",0.000259329382974701,0.431127730540475,0.138,0.086,1
"Nav1",0.000264718850627189,-0.214344361364165,0.409,0.489,1
"Hoxc10",0.000274777729317768,-0.339350307321706,0.172,0.245,1
"Lrrk2",0.000284885373987368,-0.347994521565704,0.058,0.105,1
"Snd1",0.000334909815119108,0.364169494660901,0.366,0.294,1
"Xbp1",0.000335614445013378,0.424228479379456,0.296,0.232,1
"Dnajb11",0.000355333641671637,0.371911722668628,0.1,0.057,1
"Etfa",0.000363311458836978,-0.374343327182678,0.139,0.202,1
"Rbpj",0.000374444892480183,-0.333951830044911,0.115,0.175,1
"Engase",0.000374920589130906,0.40904381620757,0.176,0.119,1
"Fer",0.000381421473530617,-0.324642423696434,0.144,0.208,1
"Klf11",0.000393316354397011,-0.227955322670338,0.071,0.123,1
"Rab11fip5",0.000395434870262175,-0.346512503002694,0.161,0.227,1
"Igfbp6",0.000399763704461418,0.278208981120688,0.477,0.421,1
"Plgrkt",0.00040059163107958,-0.397447599008367,0.08,0.13,1
"Samhd1",0.000421628248413001,-0.379595908591428,0.26,0.331,1
"Camk2d",0.000434031922314115,-0.203984188546637,0.304,0.392,1
"Camk1",0.000472602075913613,-0.333039976327854,0.187,0.259,1
"Telo2",0.000480533839210759,-0.423314596205995,0.099,0.153,1
"Zfp131",0.00048070115156827,0.350383332440269,0.117,0.07,1
"Cped1",0.000502186269811767,-0.249653651098744,0.37,0.449,1
"Fkbp5",0.000506956569593344,0.242456393769483,0.188,0.128,1
"Mitf",0.000520719358539879,-0.236903045627969,0.1,0.156,1
"Klf10",0.000522207110457941,-0.302867321196832,0.068,0.116,1
"Tle6",0.000524050433596857,-0.319806113767043,0.073,0.122,1
"Prodh",0.000527436077541986,0.523136478654827,0.117,0.071,1
"Gls",0.00053057969471268,-0.325852283982661,0.181,0.248,1
"Calml4",0.000533754834451437,-0.32180599422561,0.103,0.158,1
"Tgfb1i1",0.000546814873577814,-0.3381526758337,0.132,0.193,1
"Spsb1",0.000563261657719211,-0.281103817712915,0.122,0.182,1
"Lrp10",0.00056923406079115,-0.283600069854286,0.073,0.121,1
"Fam172a",0.000575593504560034,-0.277591229746755,0.084,0.136,1
"Rrbp1",0.000661211303367412,0.293679835516669,0.47,0.403,1
"Clasp2",0.000664986961464411,-0.422597711526828,0.111,0.164,1
"Trim56",0.000709326552755919,-0.365287125831856,0.069,0.114,1
"Trafd1",0.000721889791226476,-0.317497875270729,0.169,0.233,1
"Kcnt2",0.000750776209388984,-0.312287488716086,0.087,0.137,1
"Dpp4",0.000764159266412544,-0.268766005862284,0.303,0.38,1
"Il1rl2",0.000770600696033314,-0.378421999328796,0.113,0.168,1
"Hoxc5",0.000785533939513496,-0.2733964133471,0.137,0.199,1
"Dram1",0.000794437535492499,-0.324556870688594,0.065,0.11,1
"Ddx17",0.000802832302621878,-0.175358395611013,0.763,0.796,1
