"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fos",1.13111202928347e-11,1.01855295258456,0.38,0.23,1.69893026798377e-07
"Dusp1",1.3489007868119e-10,1.17117691099014,0.314,0.186,2.02604898179147e-06
"Per1",1.41796653525873e-10,0.628817235429613,0.414,0.26,2.12978573595861e-06
"Zfp36",1.41841968656655e-09,0.739569619567247,0.527,0.388,2.13046636922295e-05
"Tsc22d3",1.16013134302545e-08,0.681087202483084,0.362,0.237,0.000174251727722423
"Cst3",5.12806337752005e-07,0.228053945300534,0.53,0.397,0.00770235119303511
"Cd74",9.62251582546624e-07,0.361094381948602,0.713,0.613,0.0144530187698503
"Fosb",1.01005347737143e-06,1.02588140236424,0.121,0.053,0.015171003230119
"H2-Aa",1.03706379618541e-06,0.304125609344733,0.528,0.4,0.0155766982187048
"Vim",1.63581032439142e-06,0.451204385015386,0.477,0.367,0.0245698710723592
"Lifr",4.14256348982364e-06,0.430828897489464,0.559,0.468,0.062221303617151
"Cd163",6.90939800406416e-06,0.617256900772929,0.626,0.564,0.103779158021044
"Tagap",3.64203234222324e-05,0.608662783696647,0.214,0.139,0.547033257801931
"Flcn",4.09863820921307e-05,-0.480329471752267,0.156,0.242,0.615615459023803
"Fkbp5",4.29041191247118e-05,0.537251512283968,0.114,0.058,0.644419869253171
"Dbp",0.000127924302516763,0.482850675609956,0.132,0.074,1
"Jund",0.000192319207296857,0.388378423492425,0.419,0.338,1
"Rsrp1",0.000231506716101375,0.178789252752806,0.882,0.85,1
"Klf4",0.000257433617078741,0.578636596560218,0.216,0.148,1
"Wdr43",0.000286587256065066,-0.420197008705925,0.072,0.13,1
"Fam129a",0.000309728749949681,0.322858138064418,0.283,0.205,1
"Klf6",0.00036510217589853,0.437581307635302,0.433,0.363,1
"Luc7l2",0.000368787880653432,-0.274288997373438,0.576,0.663,1
"H2-Eb1",0.000368895851768586,0.308298888568043,0.564,0.481,1
"Acad9",0.000494905609775193,-0.425912917530335,0.058,0.109,1
"Iqgap2",0.000496031414919856,0.415267901583001,0.246,0.177,1
"Pggt1b",0.000612485843277868,-0.373713542200227,0.097,0.158,1
"Dapk1",0.000614983658809103,0.452353312660664,0.235,0.168,1
"Fads3",0.000694059288866866,-0.32371254655528,0.084,0.141,1
