"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zbtb16",1.34578284893489e-50,0.952019451126017,0.509,0.286,2.0213658391002e-46
"Ccn2",2.30252510989058e-23,1.11758147732124,0.204,0.089,3.45839271505565e-19
"Ccdc3",3.37678759904298e-19,0.495535368963048,0.591,0.468,5.07193497376255e-15
"Gsn",1.34438528548436e-18,0.607629016090154,0.628,0.508,2.01926669879752e-14
"Tsc22d3",1.66918687623545e-17,0.556681562487152,0.312,0.191,2.50711868810565e-13
"Nr4a1",2.38934080118578e-14,0.948857770126884,0.132,0.06,3.58878988338104e-10
"Sfrp5",2.70005996998733e-14,0.441698325884518,0.72,0.626,4.05549007492097e-10
"Arglu1",7.57246645746493e-14,-0.217097684206578,0.904,0.922,1.13738446191123e-09
"Itih2",1.36468287681133e-13,0.611093979803913,0.178,0.094,2.04975368097062e-09
"Hspa5",1.53988947049706e-13,0.410263435446378,0.109,0.044,2.31291398468658e-09
"Cirbp",1.79970550883618e-13,-0.415681193385625,0.411,0.523,2.70315767427194e-09
"Hcn4",4.44149701195113e-13,0.547153598013129,0.43,0.319,6.67112851195059e-09
"Per1",5.09502085567417e-13,0.360902156398279,0.551,0.431,7.6527213252226e-09
"Serpinh1",1.25413146940247e-12,0.527487664314714,0.377,0.277,1.88370546704251e-08
"Igfbp6",1.45830559456562e-12,0.381989229858694,0.776,0.7,2.19037500303757e-08
"Slc7a2",2.37772729314224e-12,0.442583582744351,0.473,0.364,3.57134639429964e-08
"Qk",3.18629755174605e-12,0.355642293834159,0.509,0.393,4.78581892272257e-08
"Cmip",4.61662394841209e-12,0.530906775271272,0.202,0.12,6.93416917051497e-08
"Prodh",8.14895176383791e-12,0.255226843747498,0.842,0.791,1.22397255492845e-07
"Nbl1",1.73872729904761e-11,0.247383971602629,0.826,0.761,2.6115684031695e-07
"Nupr1",1.87763630034182e-11,0.484403200411002,0.301,0.205,2.82020972311342e-07
"Plpp3",7.07909572482851e-11,0.510604257230713,0.416,0.326,1.06328017786924e-06
"Jund",1.29411606679928e-10,0.376092411305303,0.408,0.305,1.94376233233252e-06
"Per2",2.52612999657138e-10,0.462770784186808,0.127,0.065,3.79424725485022e-06
"Ldlr",4.06116218715903e-10,-0.466002605170046,0.128,0.207,6.09986560511286e-06
"Sorbs1",6.0220675561158e-10,0.268974822635055,0.773,0.691,9.04514546928593e-06
"Jun",1.72300936188899e-09,0.51666164579493,0.148,0.084,2.58796006155726e-05
"Hoxc10",2.14340346992769e-09,-0.456722644464437,0.23,0.312,3.21939201183139e-05
"Tgfbi",2.60399504232518e-09,0.359830604325419,0.383,0.293,3.91120055357242e-05
"Klf15",3.19538930164643e-09,0.388519876439261,0.217,0.141,4.79947473107294e-05
"Xbp1",3.78600603271748e-09,0.393308369542282,0.256,0.178,5.68658106114165e-05
"Tsc22d1",7.53606442113284e-09,0.362512712605569,0.358,0.271,0.000113191687605415
"Arl4d",7.59300091099463e-09,0.398472535406521,0.326,0.241,0.000114046873683139
"Cdkn1c",7.6559271977491e-09,0.473386279910899,0.225,0.153,0.000114992026510191
"Lbp",1.16735435679292e-08,0.198704400039782,0.881,0.831,0.000175336624390296
"Ablim1",2.51891657378035e-08,0.350426136981604,0.435,0.35,0.000378341269381809
"Sdc2",3.01837721543089e-08,0.374860949426442,0.183,0.118,0.00045336025775772
"Igfbp7",3.35412713143825e-08,0.375861177230921,0.559,0.494,0.000503789895142025
"Fus",3.8934427535732e-08,0.240413908340147,0.517,0.416,0.000584795101586695
"Slc2a1",4.3159546021343e-08,0.292069551824909,0.698,0.625,0.000648256381240571
"Cldn1",4.93364329803967e-08,0.345024098842682,0.6,0.526,0.000741033223365558
"Slc38a2",5.01119412147462e-08,0.292354173023916,0.452,0.366,0.000752681357045487
"Dusp1",6.17797016009753e-08,0.450819604692219,0.242,0.169,0.000927931118046649
"Rasl12",8.21318416628075e-08,0.336974441166905,0.372,0.291,0.00123362026177537
"Luc7l2",1.24042688634277e-07,-0.222225648250395,0.762,0.797,0.00186312118328684
"Mrc2",1.26066048192064e-07,0.267673702586885,0.499,0.423,0.0018935120438448
"Foxo6",1.3365630992977e-07,0.321858343178825,0.198,0.132,0.00200751777514515
"Ccn1",1.62571682323404e-07,0.75491225236288,0.139,0.084,0.00244182666849752
"Rpn1",2.04115034312874e-07,0.266985384862582,0.145,0.088,0.00306580781537937
"Gdi1",2.92714401938362e-07,0.204291172566598,0.711,0.634,0.0043965703171142
"Fgd5",4.79413592882889e-07,-0.311427900937396,0.056,0.104,0.00720079216510099
"Adarb1",4.81344170951559e-07,0.304926310452019,0.215,0.148,0.00722978944769241
"Ntn1",5.202138833015e-07,0.331863028036762,0.408,0.332,0.00781361252718852
"Prelp",8.98471545738481e-07,0.30955646187797,0.465,0.397,0.013495042616992
"Mgp",9.86142329553061e-07,0.356265804539607,0.147,0.094,0.014811857789887
"Pmepa1",1.08371432480901e-06,0.295359720860198,0.177,0.119,0.0162773891586313
"Thbs3",1.10634564435559e-06,0.359760799590109,0.161,0.106,0.016617311578221
"Surf4",1.26436462025825e-06,0.294841362716002,0.129,0.08,0.018990756596279
"P4hb",1.35761887532828e-06,0.29851182291294,0.138,0.087,0.0203914355074307
"Glul",1.5459084073822e-06,0.283080768760831,0.318,0.244,0.0232195442788807
"Gpm6a",1.55092394051481e-06,0.30758475269643,0.199,0.138,0.0232948775865325
