"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dusp15",9.1736013952059e-57,0.358578375804353,0.969,0.922,1.37787492955993e-52
"Per1",9.780596057267e-48,0.492985046141943,0.629,0.426,1.4690455278015e-43
"Fus",7.11099433777309e-43,0.509507913547656,0.551,0.373,1.06807134953352e-38
"Snta1",2.06593047314295e-32,0.479088071624075,0.368,0.224,3.10302757066072e-28
"Etnppl",6.61890586339112e-32,0.702534786099968,0.22,0.114,9.94159660681345e-28
"Mat2a",7.11412286739016e-30,0.347590293597761,0.644,0.49,1.068541254682e-25
"Plk5",1.76031767944202e-27,0.458032438947438,0.503,0.366,2.64399715452192e-23
"Sec14l5",1.07937460504108e-23,0.269794359424686,0.842,0.735,1.62122065677171e-19
"Ncf2",2.55914167699139e-22,0.426378941356039,0.253,0.154,3.84383079884107e-18
"Mertk",2.78952264468533e-21,0.32386222010561,0.26,0.158,4.18986301231737e-17
"Col1a1",2.97059939423311e-21,0.353839979787682,0.565,0.439,4.46184029013813e-17
"Clk1",4.21094704258273e-21,0.261165371437417,0.627,0.488,6.32484245795926e-17
"Sptbn5",5.00213908789407e-21,0.279052436095427,0.747,0.636,7.5132129100169e-17
"Ogn",6.06610301435516e-21,0.369655000364511,0.461,0.338,9.11128672756145e-17
"Otud7b",2.03744665578611e-20,0.271521922954668,0.575,0.436,3.06024487699073e-16
"Cldn19",2.08363342366944e-20,-0.25415672339727,0.895,0.894,3.1296174023515e-16
"Apod",2.25109318970663e-20,0.375974715613049,0.407,0.295,3.38114197093936e-16
"Cfap100",8.46682783923398e-20,0.197129151934653,0.945,0.89,1.27171754145294e-15
"Gas2l3",1.09204749699273e-19,0.288206211346012,0.491,0.364,1.64025534048308e-15
"Lox",1.11278273482945e-19,0.44059290435732,0.176,0.099,1.67139966771384e-15
"Hsd17b14",1.59953263962793e-19,0.371286203719204,0.244,0.151,2.40249802472115e-15
"Gsn",2.5850501192516e-19,0.316346346470493,0.342,0.234,3.8827452791159e-15
"Tnxb",3.47407706634865e-19,0.28124022627684,0.64,0.513,5.21806375365567e-15
"Rtkn",6.54941642993927e-19,0.264286263854383,0.577,0.446,9.83722347776878e-15
"Tns2",1.52657975658504e-17,0.29038137212843,0.397,0.285,2.29292279439073e-13
"Col5a3",3.14688322003517e-17,0.227618087339965,0.805,0.683,4.72661859649282e-13
"Mt2",4.24403737975468e-17,0.37412408399461,0.198,0.119,6.37454414439153e-13
"Appbp2",4.2949894510806e-17,0.249860686867612,0.318,0.216,6.45107415552307e-13
"Pik3r1",6.04191615872557e-17,0.319568214925841,0.286,0.192,9.0749580704058e-13
"Rhobtb3",9.64581523415232e-17,0.256137143228437,0.56,0.436,1.44880144816968e-12
"Tsc22d3",1.20597451330851e-16,0.242429472362229,0.189,0.111,1.81137371898938e-12
"Vstm4",1.95055380381786e-16,0.358781313999331,0.155,0.088,2.92973181333442e-12
"Plekha4",2.88190998406408e-16,-0.202340503546775,0.974,0.974,4.32862879606425e-12
"Mt3",4.88513185944631e-16,0.27294777748331,0.519,0.402,7.33746805288835e-12
"Bicd2",5.0641835443223e-16,0.235099784233388,0.398,0.288,7.60640368357209e-12
"Palm",1.04582993245375e-15,0.266089476685006,0.326,0.228,1.57083655854554e-11
"S100a7a",1.21257332766397e-15,0.286287382504172,0.227,0.145,1.82128513815128e-11
"Wbp11",1.2649225081191e-15,0.295009706950237,0.203,0.126,1.89991360719489e-11
