"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sfrp4",2.40798430029046e-23,-0.957989302004678,0.41,0.674,3.61679241903627e-19
"Cygb",4.85083531670782e-11,-0.48570400356549,0.379,0.563,7.28595464569514e-07
"Wnt10b",8.76646042397521e-09,0.940721573309069,0.357,0.235,0.000131672235568108
"Lgals3",1.31688987646955e-08,-0.459750463702986,0.043,0.125,0.000197796859445727
"Apbb1ip",1.82835946473566e-08,-0.531324906790799,0.122,0.24,0.000274619591603296
"Nr4a1",1.87004518307979e-07,1.0269852088673,0.269,0.158,0.00280880786498584
"Slc22a17",2.62209579219523e-07,-0.5750093135806,0.155,0.266,0.00393838787987723
"Grk5",7.86951812559482e-07,-0.514356559846537,0.189,0.302,0.0118200162246434
"Nsg1",8.22531780769573e-07,-0.505719393596626,0.044,0.113,0.012354427347159
"Fap",9.32470518725083e-07,-0.554047792061748,0.153,0.261,0.0140057071912508
"Brk1",1.34184110565352e-06,-0.434949760390525,0.075,0.158,0.0201544534069158
"Egr1",1.52105634778112e-06,0.742242127504027,0.507,0.425,0.0228462663436725
"Cd9",1.59835892559017e-06,-0.461235029752393,0.254,0.376,0.0240073510623643
"Fos",1.65285746476105e-06,0.538792275220064,0.497,0.391,0.0248259191207109
"Myoc",2.41728637363315e-06,-0.657155011609091,0.301,0.432,0.0363076413319699
"Prodh",2.61560296933076e-06,1.12201015120482,0.117,0.048,0.039286356599348
"Arhgef25",3.00424376820134e-06,-0.397113649976641,0.342,0.468,0.0451237413983841
"Mgp",3.01630761382641e-06,-0.317973558748788,0.076,0.158,0.0453049403596727
"Aspn",3.36158923475203e-06,-0.432990694645199,0.157,0.261,0.0504910703059755
"Kcnt2",3.81985968849111e-06,-0.48307052678254,0.087,0.17,0.0573742925211364
"Hook3",3.89390882020001e-06,-0.422456639170579,0.108,0.197,0.0584865104794041
"Gmfb",4.98790516896454e-06,-0.398746095406393,0.098,0.182,0.0749183356378473
"Klf4",5.13138826359681e-06,0.613680426222633,0.58,0.516,0.0770734517192241
"Eppk1",5.19195670896276e-06,0.937530419001419,0.136,0.062,0.0779831897686206
"Rsrp1",6.05639653368495e-06,-0.386867430060001,0.815,0.868,0.090967075935948
"Vim",6.31909358413761e-06,-0.386566425008726,0.547,0.647,0.094912785633747
"Ube2r2",6.92659023961739e-06,-0.401577897786837,0.125,0.216,0.104037385399053
