"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem100",8.89464338492511e-05,-0.94045311959663,0.006,0.113,1
"Emid1",0.000231590483464421,-0.78948015019054,0.221,0.429,1
"Tet2",0.000240338302399955,-0.905871750478667,0.058,0.203,1
"Zfp871",0.000694820043547905,-0.73649877750516,0.013,0.105,1
"Slc25a4",0.000883494501536829,-0.643021536489137,0.065,0.203,1
"Wasf3",0.00116415241168646,-0.971967679096842,0.032,0.135,1
"Fam160b1",0.0011836679773964,1.1869218136203,0.162,0.045,1
"Cdk8",0.00123093849738845,-0.864365879199057,0.058,0.18,1
"Kif3a",0.00123872677211007,-0.68943747365899,0.078,0.211,1
"Plekha2",0.00142034937922166,-0.698461745297122,0.169,0.331,1
"Iqce",0.00156490393168383,-0.921993400651018,0.045,0.158,1
"Pgs1",0.0015718477971753,0.979696076300713,0.136,0.03,1
"Peak1",0.00161563570054224,-0.814217507769021,0.065,0.188,1
"Vamp1",0.00198642333771384,-0.87364597344916,0.019,0.105,1
"Camta2",0.00200133158617205,0.877633513220542,0.305,0.158,1
"Cluh",0.00206551987035573,-0.584559609758469,0.045,0.158,1
"Armc9",0.00206962470866965,0.837862559427151,0.104,0.015,1
"Bclaf1",0.00219276657907136,-0.674680435428801,0.169,0.338,1
"Flna",0.00224469490476049,0.520438175695653,0.864,0.737,1
"Thoc1",0.00277639789337246,-0.699284460620344,0.032,0.128,1
"Nus1",0.00312628605123918,1.13061319270831,0.11,0.023,1
"Arl3",0.00346980889381011,0.950842611625928,0.11,0.023,1
"Lama4",0.0034834932186878,-0.725540942397233,0.078,0.195,1
"Rack1",0.0036073445545229,0.968944580985306,0.201,0.083,1
"Dstyk",0.00365622653437572,-0.632680791072233,0.071,0.188,1
"Eif2s3y",0.00377805435872864,-0.657260126196261,0.097,0.226,1
"Man2a1",0.004089701059168,1.01283937839669,0.201,0.083,1
"Cpsf1",0.00430399300975268,-0.777290072859894,0.058,0.165,1
"Inpp4b",0.00454362133881186,-0.658024152143536,0.305,0.459,1
"Ccdc160",0.00478664873040632,-0.816084418500415,0.032,0.12,1
"Jun",0.00479395158367179,1.24623517802776,0.156,0.053,1
"Smcr8",0.00530065776143437,-0.663252367509819,0.026,0.105,1
"Usf1",0.00539406773660008,-0.681418506125917,0.039,0.128,1
"Sh3bp1",0.00560201710738668,-0.756400412508992,0.149,0.278,1
"Smim14",0.0060522281971318,0.872327464716683,0.162,0.06,1
"Rnpepl1",0.00628680641441051,-0.706347533731709,0.078,0.188,1
"Agrn",0.00629259426971312,-0.570071307298417,0.208,0.353,1
"Slc25a45",0.00631410756889809,-0.570275824491684,0.039,0.128,1
"Akap8",0.00651667577567454,-0.601350111635178,0.344,0.511,1
"Grk5",0.00657660570705316,-0.662678580892478,0.253,0.406,1
"Cd2bp2",0.0069161465695975,0.928121051443282,0.149,0.053,1
