"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmco4",0.000462150825349934,1.21965694317558,0.156,0,1
"Yap1",0.000463591930224814,-0.84919854215326,0.719,0.908,1
"Zfr2",0.000854723387233246,1.16517335382826,0.188,0.013,1
"Eid1",0.00156424185679809,0.495984204004891,0.969,0.934,1
"Cers2",0.00183715245258246,0.673965957662551,0.125,0,1
"Trip11",0.00183715245258246,1.02365150770059,0.125,0,1
"Nras",0.0031010504262355,1.16092176486282,0.5,0.224,1
"Fyn",0.00322707260467557,1.36495309653452,0.344,0.105,1
"Drp2",0.00402387976412099,-0.308851094406126,0.969,1,1
"Ipo8",0.00410626274688165,1.2626184791915,0.344,0.118,1
"Mocs2",0.00498648453817384,0.598216470472263,0.188,0.026,1
"Gjc3",0.00542236981274965,1.30043622176589,0.281,0.079,1
"Rell1",0.00580801278018213,1.47620974426207,0.281,0.079,1
"Cep83",0.00716098018829729,1.61500754073407,0.281,0.092,1
"Samd4",0.00717897629467686,-1.06624134103014,0.438,0.697,1
"Net1",0.00780138854872486,-1.36456940867606,0.094,0.342,1
"Marf1",0.00863031667174857,-1.08933299729978,0.25,0.5,1
"Pik3r1",0.00964016448527935,-0.628508039070182,0.656,0.882,1
"Ccdc117",0.0104680075651093,-1.21631269886391,0.031,0.237,1
"Anln",0.0112898470396547,1.0484506267908,0.188,0.039,1
"Usp8",0.0122827359986376,1.08823304314556,0.125,0.013,1
"Tgfbr2",0.0122827359986376,0.939555458612513,0.125,0.013,1
"Ube3a",0.0124033159502687,-1.6385137848783,0.062,0.263,1
"Uqcc1",0.0129392693449921,0.87116834827629,0.125,0.013,1
"Mta3",0.0130247739572758,0.923701693883544,0.156,0.026,1
"Gpr27",0.0130632540718177,0.958320703262661,0.594,0.395,1
"Kmt5b",0.0136266586196955,0.451258132692004,0.125,0.013,1
"Svil",0.0143302869111502,1.11762704886776,0.5,0.289,1
"Eapp",0.0157281718392989,-1.48990320287527,0.031,0.224,1
"Aida",0.0171986049644922,1.24676225207683,0.344,0.158,1
"Hnrnpm",0.0174457844234473,1.07863202989261,0.469,0.25,1
"Evi5l",0.0182015333392404,-1.69953574399576,0,0.158,1
"Nol3",0.0182015333392404,-1.34819113500245,0,0.158,1
"Pink1",0.0186984921893372,-0.36879235020961,0.969,1,1
"Use1",0.0192842028799852,-0.97503637309335,0.25,0.474,1
"Epb41l2",0.0202145695086037,0.420206101171348,0.875,0.75,1
"Kif5b",0.0202704877019333,-0.705246303707788,0.531,0.776,1
"Ctnnal1",0.0209315128648996,-1.08124446959095,0.062,0.263,1
"Nudt3",0.0217102084163384,0.431781091433481,0.844,0.842,1
"Rhobtb3",0.0219735574019956,-0.948383947768543,0.312,0.513,1
"Tsr2",0.0225284812555467,0.796053308561182,0.219,0.066,1
"Ythdc1",0.0226656883251223,1.23299108062448,0.312,0.132,1
"Rock2",0.0228080453680917,0.620797328640685,0.25,0.079,1
"Gnai1",0.0232626843162735,1.04410469939048,0.312,0.132,1
"Ik",0.0234871249380332,-1.21430254409728,0.219,0.421,1
"Cd9",0.0241018836716645,-1.25519691120881,0.031,0.211,1
"Rbpj",0.0244736365600739,-1.44807446059199,0,0.145,1
"Ubtf",0.0244736365600739,-1.30656446702407,0,0.145,1
"Vps26a",0.0254651153075546,-0.908057682621135,0.031,0.211,1
"Sptb",0.0256791623361913,0.466588108850444,0.969,0.895,1
"Jcad",0.0257963667287795,0.731201680838083,0.781,0.671,1
"Cyld",0.0258975830624803,1.03541735927693,0.188,0.053,1
"Col14a1",0.0258975830624803,1.08597481666641,0.188,0.053,1
"Psmc1",0.0270909609303791,-1.08910352573915,0.031,0.197,1
"Snrnp70",0.0272897416565776,0.430420550322378,0.219,0.066,1
"Wbp4",0.0277371260239192,0.906371536227832,0.188,0.053,1
"Myef2",0.0286984174576948,0.85312993443818,0.188,0.053,1
"Kctd20",0.0286984174576948,0.882121184528104,0.188,0.053,1
"Upf2",0.0291681604364458,-0.455448889980292,0.25,0.474,1
"Atp6v1d",0.0293938128562069,1.16571184562402,0.156,0.039,1
"Clmn",0.0294391732291267,-0.97012328089472,0.031,0.197,1
"Homer1",0.0305145179148917,1.16768320106568,0.156,0.039,1
"Rgp1",0.030707322569472,0.827847145303096,0.188,0.053,1
"Mettl9",0.0309424739835124,0.944483808854889,0.375,0.184,1
"Tlk2",0.031228606760563,-1.41903198159918,0.031,0.184,1
"Caprin1",0.0315902486740825,0.779792470327301,0.688,0.553,1
"Stk11",0.0317498848189866,0.877963593818424,0.406,0.224,1
"Selenow",0.0317550763645094,1.08351668410219,0.344,0.158,1
"Arhgap35",0.0321165416888289,-1.43843042493485,0.031,0.184,1
"Ppp1cb",0.0323654899207078,1.00745271402872,0.375,0.184,1
"Mfn1",0.0328663722859084,1.05953798452245,0.156,0.039,1
"Eps15",0.0332143939516619,-0.536833302004729,0.281,0.487,1
"Kif5c",0.0342310947989518,-1.66242340268157,0.094,0.276,1
"Sord",0.0353717306785766,0.756848314262658,0.156,0.039,1
"Nup153",0.0353717306785766,0.793363941783803,0.156,0.039,1
"Iqgap2",0.0353717306785766,1.22153777051216,0.156,0.039,1
