"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Esrrg",9.34480103555585e-14,2.31829043324188,0.519,0.144,1.40358911554049e-09
"Acacb",1.29537154956633e-13,1.56045385836477,0.657,0.288,1.94564806744862e-09
"Atp2a2",8.66145402355162e-13,1.75671780097251,0.676,0.352,1.30095039433745e-08
"Lrrc2",3.31722248220815e-12,1.43799495782375,0.513,0.144,4.98246816827664e-08
"Ldhb",3.38225423758334e-12,1.42833136936832,0.582,0.208,5.08014586485017e-08
"Itgad",5.28089724456082e-12,-2.82571285824001,0,0.144,7.93190766133036e-08
"Coro6",5.70207814783698e-12,1.7066244900283,0.626,0.288,8.56452137805115e-08
"Perm1",8.47999498459138e-12,1.50524027502452,0.481,0.136,1.27369524668563e-07
"Idh2",1.06187875795911e-11,1.27032349419352,0.686,0.368,1.59494189445459e-07
"Alpk3",1.18880521337903e-11,1.40579051136999,0.575,0.216,1.78558543049531e-07
"Vim",5.36836933638215e-11,-1.65276051143701,0.255,0.544,8.06329074324599e-07
"Ttn",1.05997550718985e-10,1.12895872107752,0.657,0.336,1.59208321179915e-06
"Actn2",1.10977370731115e-10,1.21677294131467,0.616,0.264,1.66688010838134e-06
"Snai3",1.26058131056364e-10,1.75915371315504,0.447,0.128,1.89339312846659e-06
"Kcnma1",1.46928391119532e-10,1.22720965196682,0.506,0.176,2.20686443461537e-06
"Dhrs11",2.07356055773607e-10,1.2403290658991,0.528,0.184,3.11448795771958e-06
"Coq8a",3.28834893720205e-10,1.22480189244115,0.667,0.344,4.93910010367749e-06
"Acss1",3.3159792529895e-10,1.27747448070552,0.399,0.096,4.98060083799022e-06
"Cpt1b",3.6851279403624e-10,1.38254389081681,0.604,0.312,5.53506216642433e-06
"Rilpl1",4.78436825529922e-10,1.3139631604298,0.557,0.232,7.18612111945943e-06
"Pcolce",6.8683828730745e-10,-1.11832152301828,0.031,0.208,1.03163110753579e-05
"Col5a3",8.32738370817384e-10,-1.55369446931184,0.17,0.44,1.25077303296771e-05
"Mapt",1.27153977395021e-09,1.30379190684327,0.431,0.128,1.90985274047321e-05
"Retreg1",1.28657470159501e-09,1.1578027595011,0.535,0.216,1.93243520179571e-05
"Pxn",1.98819376577064e-09,1.40798926485088,0.456,0.168,2.9862670361875e-05
"Fam13a",2.19214464860032e-09,1.14036593164904,0.519,0.208,3.29260126219768e-05
"Smyd1",2.89603571024848e-09,1.09283301724164,0.582,0.256,4.34984563679321e-05
"Neb",2.9991155981835e-09,0.781176049623739,0.645,0.328,4.50467162847161e-05
"Asb11",3.50701104228193e-09,1.24216401897111,0.387,0.096,5.26753058550746e-05
"Lmod2",3.8193507523123e-09,1.17043735994368,0.55,0.208,5.73666482997307e-05
"Myl2",3.95908250354328e-09,1.56495493933964,0.45,0.136,5.946541920322e-05
"Ppm1b",4.31748216699754e-09,1.05668487340369,0.563,0.256,6.4848582148303e-05
"Hjv",5.17802943768396e-09,1.25258606003416,0.516,0.224,7.7774002154013e-05
"Lep",6.75582104855985e-09,-1.79288913534205,0.116,0.344,0.000101472432149369
"Nrap",6.97162068934576e-09,1.06655901361009,0.629,0.312,0.000104713742753973
"Speg",7.12382069144806e-09,0.991316034647631,0.645,0.336,0.00010699978678555
"Tnnt1",7.34494674549159e-09,1.4303145727585,0.472,0.152,0.000110321100117284
"Trim54",8.16137971438168e-09,0.858960197965557,0.582,0.264,0.000122583923310013
"Obscn",8.57207936372215e-09,1.02294449088382,0.651,0.312,0.000128752632043107
"Inpp4b",8.92079115604706e-09,1.45387670198239,0.349,0.08,0.000133990283163827
"Tpm2",9.0411457645641e-09,1.19777779427605,0.654,0.36,0.000135798009383753
"Usp13",9.24384490541499e-09,1.22879361112581,0.528,0.248,0.000138842550479333
"Hrc",9.50724561575599e-09,0.867107302112016,0.494,0.16,0.000142798829148655
"Pde4dip",1.18566270620485e-08,0.965731560141579,0.72,0.48,0.000178086538471969
"Hspb7",1.74292205326488e-08,1.00101150741024,0.563,0.232,0.000261786892400385
"Myom1",1.88191935761633e-08,1.08423228920282,0.616,0.32,0.000282664287513973
"Ptms",1.9772445371555e-08,-1.17512646981338,0.264,0.52,0.000296982129480755
"Rorc",2.0677416009648e-08,1.0491344558361,0.494,0.2,0.000310574788464913
"Cped1",2.16174677317978e-08,0.903094236373993,0.704,0.456,0.000324694365331603
"Slc25a4",2.20434843376846e-08,0.970431015212387,0.645,0.336,0.000331093134752023
"Cyc1",2.38188173444105e-08,0.964251681937318,0.547,0.264,0.000357758636513045
"Mavs",2.52879532300399e-08,1.25705160266121,0.384,0.128,0.000379825057515199
"Flvcr1",2.54182940889963e-08,1.20980283337779,0.44,0.16,0.000381782777216724
"Mybpc1",2.64887123209031e-08,0.986923582922198,0.582,0.24,0.000397860459059964
"Clip1",2.91693562901116e-08,0.783500304077203,0.682,0.4,0.000438123731477476
"Col4a2",3.07654544625467e-08,-1.3872270653373,0.23,0.456,0.000462097126027452
"Golga4",3.15845389094658e-08,0.845604014738922,0.648,0.344,0.000474399774420177
"Atp1b1",3.25961499482057e-08,0.710418530487584,0.604,0.272,0.00048959417222205
"Art1",3.2877991740848e-08,1.14123115369157,0.575,0.28,0.000493827435947537
"Best3",3.40579923990108e-08,0.950142897997184,0.39,0.104,0.000511551045833142
"Scn4a",4.44948174743496e-08,0.892871483858091,0.553,0.24,0.000668312158464732
"Cox8b",4.58661190589624e-08,0.881997127499177,0.481,0.168,0.000688909108265615
"Col4a1",5.57226837979845e-08,-1.30312814740933,0.274,0.512,0.000836954710645727
"Myl3",5.9414359202321e-08,1.09105667223606,0.553,0.216,0.000892403675218862
"Slc38a3",6.05857874960153e-08,0.681152885940098,0.506,0.192,0.00090999852819015
"Synpo",6.80060281965527e-08,0.978730282721711,0.327,0.08,0.00102145054351222
"Nlrc3",7.51268939640132e-08,1.4905433116292,0.289,0.056,0.00112840594733948
"Pik3ap1",8.5221640632544e-08,-0.710854606608315,0.006,0.112,0.00128002904230081
"Hspb6",8.74266581398889e-08,1.09760660587014,0.516,0.2,0.00131314840526113
"Flcn",9.13422087875822e-08,1.01083471186539,0.553,0.28,0.00137195997598948
"Lbp",9.55578880665319e-08,-1.09563476491492,0.189,0.424,0.00143527947875931
"Esrra",1.00800741810161e-07,0.835826452070276,0.651,0.384,0.00151402714198862
"Cep85",1.01306660956097e-07,0.640781239852833,0.478,0.176,0.00152162604756058
"Tra2a",1.03668190981195e-07,0.959934435668193,0.635,0.384,0.00155709622853755
"Nnt",1.15954902965456e-07,1.06088340390763,0.491,0.208,0.00174164264254116
"Ehbp1l1",1.31250062810853e-07,0.679909864597093,0.752,0.496,0.001971375943419
"Adcy5",1.33260703143076e-07,-0.91358458426481,0.082,0.272,0.002001575761209
"Mfn1",1.35894418683497e-07,0.879012318681539,0.604,0.328,0.00204113416862612
"Fstl1",1.3935484158419e-07,-0.805995020002994,0.013,0.128,0.00209310972059453
"Mrc2",1.43710154039308e-07,-1.22311494028245,0.041,0.192,0.0021585265136704
"Txlnb",1.44984929115655e-07,0.983367958803724,0.547,0.24,0.00217767363531714
"Luc7l2",1.50180804065457e-07,0.937461829647309,0.855,0.752,0.00225571567706316
"Dram1",1.7469303175913e-07,-1.37947130597949,0.23,0.456,0.00262388933702213
"Dusp13",1.75412810702226e-07,0.833645069229654,0.462,0.176,0.00263470041674744
"Sncg",1.84121861113865e-07,-1.36135253855763,0.23,0.456,0.00276551035393025
"Adamts5",1.85056114433301e-07,-1.32941622246324,0.129,0.336,0.00277954283878817
"Fxyd1",1.90504659206211e-07,0.637427340247975,0.821,0.592,0.00286137998127729
"Nfyc",2.07286246346632e-07,0.710322376931363,0.311,0.064,0.00311343942012641
"Pltp",2.08405480587318e-07,-1.41815028512424,0.079,0.256,0.00313025031842151
"Myom3",2.29415898063749e-07,0.871447076993704,0.513,0.216,0.00344582678891751
"Mlxip",2.31233412681411e-07,0.876187276121676,0.462,0.192,0.00347312585847479
"Fbxo32",2.36471739227706e-07,0.971427941673321,0.44,0.176,0.00355180552320014
"Tsc22d3",2.44668566169171e-07,-1.08113860344879,0.126,0.328,0.00367492186386095
"Kcnj2",2.49094021634897e-07,0.81525648904379,0.343,0.088,0.00374139220495615
"Pfkfb3",2.57506353112121e-07,-0.711056716182104,0.296,0.568,0.00386774542374406
"Mef2d",2.67894163222551e-07,0.795965166336972,0.673,0.416,0.00402377033160271
"Tnnc1",2.91874360563744e-07,1.08994371758941,0.387,0.128,0.00438395289566744
"Myo18b",3.08568425214157e-07,0.928334477231612,0.61,0.296,0.00463469774671664
"Gys1",3.15118368199699e-07,0.771668943329607,0.708,0.456,0.00473307789035947
"Rbm38",3.30175254396487e-07,0.92106026164753,0.44,0.168,0.00495923232103523
"Ogdh",3.42006827827948e-07,0.746250600911245,0.597,0.296,0.00513694255397578
"Ckmt2",3.5357593606852e-07,0.76359586958276,0.594,0.296,0.00531071055974917
"Smtnl1",3.71767709579484e-07,1.11559936172669,0.358,0.104,0.00558395099788384
"Klhl24",3.87999441787308e-07,0.763231309007441,0.469,0.208,0.00582775161564536
"Myh7",4.10703298261314e-07,1.4975813870694,0.384,0.128,0.00616876353988493
"Kctd17",4.11392876425914e-07,-1.0139994567778,0.119,0.32,0.00617912100391724
"Col16a1",4.23951654432252e-07,-1.31961392397275,0.022,0.144,0.00636775384957243
"Ryr1",4.65071255453207e-07,0.7544254025499,0.632,0.328,0.00698537025690717
"Nav1",4.81883340992448e-07,-0.727976716153967,0.063,0.224,0.00723788778170657
"Mlycd",5.35948423973506e-07,0.996141953629845,0.362,0.136,0.00804994532808206
"Mlxipl",5.59163160110402e-07,0.667763628708274,0.83,0.68,0.00839863066485824
"Ldb3",5.97830635375204e-07,0.850032011064012,0.651,0.416,0.00897941614333556
"Ppfibp2",6.28004515728986e-07,0.854217049430051,0.487,0.248,0.00943262782624937
"Rapgef1",6.64578629168647e-07,0.894385615026843,0.506,0.24,0.00998197101011308
"Slc25a3",7.29429301320016e-07,0.875546714965148,0.447,0.192,0.0109560281058266
"Fabp4",7.36894644863947e-07,-1.2404794212963,0.27,0.504,0.0110681575658565
"Etfdh",8.3339465919227e-07,0.804936324707323,0.39,0.144,0.0125175877810679
"Cavin1",8.8587477621936e-07,-1.51629482159227,0.277,0.472,0.0133058391388148
"Tnni1",8.97990175069727e-07,0.901405608408045,0.406,0.152,0.0134878124295473
"Dmac2",9.12822335790902e-07,0.721978726917025,0.421,0.168,0.0137105914835793
"Tmem38a",9.74837676587861e-07,0.646161107399568,0.626,0.32,0.0146420619023497
"Slc2a4",1.22338666303197e-06,0.69804784659011,0.623,0.368,0.0183752676787401
"Asb2",1.25351919740344e-06,0.733618634419672,0.522,0.24,0.0188278583449996
"Ahnak",1.2588217577478e-06,-0.978524918171419,0.425,0.648,0.018907502801372
"Kbtbd12",1.27653061498367e-06,0.667300167460814,0.33,0.088,0.0191734898370547
"Son",1.3285081681414e-06,0.71115226430762,0.704,0.536,0.0199541926854838
"Sod3",1.36556982689438e-06,-1.11546806434361,0.179,0.376,0.0205108587999536
"Cav1",1.50349387441475e-06,-0.911388794580658,0.292,0.528,0.0225824779937096
"Adcy2",1.52412218724365e-06,1.0105721182046,0.248,0.048,0.0228923152523996
"Enah",1.56002425907924e-06,0.755411860120281,0.258,0.048,0.0234315643713701
"Agpat3",1.62242397084132e-06,0.783395455886772,0.673,0.456,0.0243688080420366
"Klf15",1.77170578972905e-06,0.853332513069193,0.44,0.208,0.0266110209617303
"Ptpn3",1.88932572550466e-06,0.894850400112962,0.503,0.272,0.02837767239708
"Angptl4",1.95573926449506e-06,-1.11372887018204,0.264,0.488,0.0293752037527157
"Ech1",2.06646055273346e-06,0.627509618883628,0.755,0.52,0.0310382375020565
"Ddit4",2.11307522640379e-06,-1.3809752629221,0.104,0.272,0.0317383899005849
"Sgcg",2.179083280237e-06,0.674872470929719,0.481,0.216,0.0327298308691598
"Amotl2",2.2106106642309e-06,-1.0312918940911,0.195,0.416,0.0332033721767481
"Myot",2.26479061162509e-06,0.527461931477079,0.61,0.304,0.0340171549866088
"Adprhl1",2.27149835690338e-06,0.903271226776216,0.377,0.136,0.0341179053206888
"Prkaa2",2.28131560992224e-06,0.746577960883555,0.336,0.112,0.034265360461032
"Kcna7",2.33437099719469e-06,0.841729445141233,0.22,0.032,0.0350622523778642
"Col6a3",2.3395779572326e-06,-1.08061019147439,0.085,0.248,0.0351404609176337
"Fbxo40",2.35451842773417e-06,0.786629982864377,0.377,0.144,0.0353648667845673
"Col5a2",2.46419377771641e-06,-0.920630747296856,0.031,0.152,0.0370121905413005
"Ppp2r3a",2.54231102212299e-06,0.785989794435286,0.39,0.152,0.0381855115522874
"S100a6",2.64425330502721e-06,-1.10389487799058,0.035,0.16,0.0397166846415087
"Sparc",2.64542527105994e-06,-2.00006812307478,0.336,0.52,0.0397342875713203
"Ndufb10",2.64742393471291e-06,0.804831075700781,0.425,0.192,0.0397643074993879
"Lrrc14b",2.80704848019982e-06,0.758315936430936,0.248,0.048,0.0421618681726013
"Ccpg1",2.94306897705058e-06,0.862054157436216,0.393,0.176,0.0442048960352997
"Agbl1",3.04995113749316e-06,0.996394955117362,0.245,0.048,0.0458102660851472
"Mxra8",3.08768890035499e-06,-0.974143118088316,0.126,0.312,0.046377087283332
"Ppp1r18",3.21582175036778e-06,-0.670200269418963,0.05,0.192,0.048301642690524
