"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",3.16311350755644e-11,1.54059818407343,0.124,0.038,4.75099648834977e-07
"Aldh1a1",5.5433265629268e-11,-0.693498222983092,0.294,0.438,8.32607649751605e-07
"Fos",3.61260978345502e-08,1.17739529052164,0.153,0.072,0.000542613989474943
"Junb",1.39560555366329e-06,1.09687116305177,0.164,0.092,0.0209619954160226
"H2-D1",2.23710799826716e-06,-0.462843974177592,0.069,0.139,0.0336013621339727
"Ypel3",6.47298548880603e-06,-0.302192288714177,0.441,0.57,0.0972242420418665
"Ube2d2a",1.12410720908907e-05,-0.41886097065853,0.089,0.161,0.168840902805178
"Chrdl1",1.39653006865821e-05,-0.401989801886414,0.087,0.156,0.209758816312463
"Gab1",2.75600883246418e-05,-0.2997855020017,0.298,0.407,0.41395252663612
"Tax1bp3",3.06052127598541e-05,-0.3397408187597,0.141,0.222,0.459690295653009
"S100a11",3.32175083353456e-05,-0.343613227693608,0.055,0.112,0.498926975196891
"Anxa3",3.56221375447773e-05,-0.509263044111531,0.133,0.207,0.535044505922555
"Ndrg1",4.63047360403981e-05,-0.190607950743034,0.433,0.544,0.695497135326779
"Mocs2",5.32845265390221e-05,-0.356710656402034,0.157,0.235,0.800333588616112
"Mbd1",5.35196676920662e-05,-0.453599764463857,0.093,0.158,0.803865408734835
"Dynlrb1",6.24191764775377e-05,-0.362970849447288,0.142,0.219,0.937536030692617
"Gask1b",6.69007400321899e-05,-0.409161962084357,0.212,0.301,1
"Tmsb4x",7.4979594149169e-05,-0.371702231274547,0.078,0.139,1
"Akap12",8.04659094360089e-05,-0.460512284322719,0.083,0.143,1
"Clic4",8.07637760837939e-05,-0.306115672784976,0.14,0.217,1
"Trim35",8.07874414606181e-05,-0.289377397075621,0.364,0.474,1
"mt-Atp6",9.19515646971294e-05,-0.507055974596164,0.065,0.119,1
"Irgq",9.42430148201195e-05,-0.41533651914426,0.063,0.117,1
"Cfl1",0.000103065785841343,-0.341926599763757,0.064,0.119,1
"Dhrs3",0.000107565291983978,-0.265034067614725,0.324,0.421,1
"Vps11",0.000114510394726974,-0.305022315748135,0.09,0.154,1
"Nlgn2",0.000116881808284111,-0.303526184742313,0.172,0.255,1
"Zbtb37",0.000131330361765173,-0.309001024405961,0.075,0.132,1
"Comt",0.000144903263194639,-0.298481353460353,0.181,0.262,1
