"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",5.40741920369001e-23,1.16497027574296,0.458,0.24,8.12194364394239e-19
"Ier2",1.17695367898539e-14,1.02635462039053,0.243,0.099,1.76778442583605e-10
"Fos",3.77953053818189e-14,1.04716096371394,0.247,0.105,5.6768548683492e-10
"Smoc2",5.24902698309305e-10,-0.306761391540121,0.932,0.949,7.88403852860576e-06
"Btg2",2.75077994221548e-08,0.825692340643999,0.176,0.085,0.000413167147320765
"Fosb",5.68250987200461e-08,1.13753502358306,0.181,0.093,0.000853512982775093
"Klf2",3.1103921950251e-06,0.803343802677942,0.189,0.112,0.0467180907692771
"Zfp36",3.30515290791438e-06,0.617978827923426,0.275,0.188,0.0496433966768739
"Jund",1.05038313054208e-05,0.646953688082526,0.46,0.369,0.15776754620742
"Podn",1.10692761168275e-05,-0.353833322082409,0.626,0.682,0.16626052727475
"Dbp",1.24915641569806e-05,-0.527882522407056,0.35,0.44,0.187623293637849
"Rhob",1.84679424665759e-05,0.429554630905729,0.272,0.188,0.27738849584797
"Tuba1a",1.98775761496682e-05,0.480252993467973,0.234,0.155,0.298561193768017
"Junb",3.59568868527507e-05,0.650851384808675,0.208,0.136,0.540072440528315
"Tgfbi",7.46560283676249e-05,0.365223645627038,0.453,0.368,1
"Angptl4",9.07613964778362e-05,0.374486439436859,0.238,0.162,1
"Per2",0.000126793383140236,-0.432711667531837,0.14,0.208,1
"Sh3pxd2a",0.000131186840680643,0.390374148144836,0.278,0.199,1
"Ppp3cb",0.00015465577271962,0.473957231748622,0.257,0.189,1
"Phlda1",0.000157236924095248,0.453417232508752,0.293,0.217,1
"Socs3",0.000170363174130417,0.530292839001102,0.151,0.091,1
"Car11",0.000190804123108296,-0.434786960074124,0.11,0.171,1
"Egr3",0.000241695574372743,0.586038740249867,0.123,0.071,1
"Col3a1",0.000297883352849329,0.126594911721472,0.897,0.829,1
"Marveld1",0.000308656174065062,0.342949873866722,0.21,0.141,1
"Scara5",0.000317544636429683,-0.229043035337504,0.733,0.774,1
"Wsb1",0.000374730344336774,0.334892610389158,0.37,0.29,1
"Actg1",0.000394554670548455,0.594018175522914,0.156,0.101,1
"Zc3h6",0.000401706444398415,0.35696240765137,0.153,0.095,1
"Entr1",0.00041251331411135,0.35991654355147,0.172,0.112,1
"Zdhhc20",0.000432836690983948,0.414719830223548,0.173,0.114,1
"Jun",0.000455164051052381,0.616205518991042,0.208,0.147,1
"Thbs1",0.000547249598646049,0.682100624381666,0.294,0.227,1
"Arid2",0.000620101709809426,-0.409954129847348,0.124,0.184,1
"Aff4",0.000656040629948731,0.428516146655797,0.148,0.095,1
"Mat2a",0.000757062736747456,0.327240759049924,0.388,0.314,1
"Sec24c",0.000765563867030857,0.313944592049175,0.207,0.144,1
"Per3",0.000880789332456725,-0.261242013949778,0.362,0.435,1
"Pam",0.000890971857366138,-0.409884252579496,0.133,0.188,1
"Rhoj",0.000929000738029335,0.307650268986476,0.296,0.228,1
"Ube2f",0.00101866605694352,0.457229240770005,0.122,0.076,1
"Htra1",0.00103757155322487,0.333046474255669,0.192,0.133,1
"Htra3",0.00112313158002937,-0.381512987727594,0.535,0.574,1
"Mtdh",0.00123501801173106,0.263128816139643,0.222,0.16,1
"Meox1",0.00133180616108753,0.384444042009805,0.155,0.104,1
"Yif1a",0.00140463456915007,0.284712736046295,0.118,0.072,1
