"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",1.51935542191339e-23,1.35036794624633,0.507,0.258,2.28207184371391e-19
"Fos",6.18759849805699e-23,1.28489592867737,0.497,0.247,9.2937729440816e-19
"Zfp36",1.44347694644182e-18,1.15577844768399,0.49,0.279,2.16810237355562e-14
"Junb",7.56601991808356e-13,0.987294030748498,0.384,0.208,1.13641619169615e-08
"Fosb",9.78411375403653e-13,1.5256680356464,0.291,0.137,1.46957388585629e-08
"Nr4a1",8.66759161073461e-11,1.35127135357163,0.269,0.13,1.30187225993234e-06
"Btg2",2.54942197577321e-10,1.3191019884091,0.158,0.05,3.82923180761135e-06
"Jund",7.36283951490299e-10,0.726272359920952,0.628,0.527,1.10589849513843e-05
"Klf4",2.09652477650644e-09,0.791587551891412,0.58,0.484,3.14898021431268e-05
"Ier2",2.36176041241738e-09,0.779252532499132,0.304,0.171,3.5473641394509e-05
"Dusp1",1.12072242720602e-08,0.939971319431948,0.413,0.286,0.000168332508566344
"Acvr2a",3.30763906194508e-08,-0.553709993382266,0.059,0.149,0.000496807387104152
"Klf2",9.87738030052365e-08,0.791440241666081,0.543,0.441,0.00148358252113865
"Ssc5d",3.16446172910395e-07,-0.565577735106245,0.194,0.315,0.00475302151711413
"Sned1",3.94968402839115e-07,-0.678285840075491,0.287,0.407,0.0059324254106435
"Arl4d",5.27040201555002e-07,0.755760433562948,0.187,0.091,0.00791614382735613
"Csmd1",6.87500463181505e-07,-0.60155965615466,0.048,0.119,0.0103262569569862
"Cebpd",7.80828432476733e-07,0.662966477044906,0.442,0.327,0.0117280430558005
"Baiap2",1.4930717840689e-06,-0.529134574703163,0.157,0.262,0.0224259381967149
"Apbb1ip",1.56145378573192e-06,-0.412789368159115,0.122,0.222,0.0234530358616935
"Snai1",1.71333484908651e-06,-0.312560939796569,0.038,0.103,0.0257342894332793
"Col5a3",1.81562964875102e-06,-0.731507413985747,0.335,0.441,0.0272707573242404
"Cebpb",2.4636191566139e-06,0.804737084883335,0.215,0.123,0.0370035597323407
"C1s1",3.61312138882023e-06,-0.308207485672138,0.266,0.4,0.0542690832600798
"Arf3",4.53352616680346e-06,-0.495797046458918,0.067,0.141,0.068093563025388
"Tmem263",1.0596788397176e-05,-0.377511229747324,0.086,0.164,0.159163761725584
"Ggt5",1.20410267954509e-05,-0.693368876093917,0.049,0.11,0.180856222467673
"Id3",1.38762854431449e-05,0.815786435942765,0.35,0.26,0.208421807356036
"Trim46",1.6298355594102e-05,-0.389215808819235,0.052,0.116,0.244801301023413
