"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sptbn5",9.23218611752872e-18,0.318972048797343,0.747,0.631,1.38667435485281e-13
"Cfap100",1.90529278946057e-13,0.178851891056904,0.945,0.902,2.86174976976977e-09
"Col1a1",3.21261199096029e-12,0.347238735430106,0.565,0.468,4.82534321042236e-08
"Tada2a",3.00289577189724e-11,0.344847553908803,0.297,0.212,4.51034944938966e-07
"Per1",6.34317014207764e-11,0.167659480369284,0.629,0.512,9.52744155340061e-07
"Col5a1",1.27149017287908e-10,0.23200384573031,0.649,0.547,1.90977823966438e-06
"Nfasc",1.45898855625289e-10,-0.221274720790236,0.897,0.905,2.19140081149184e-06
"Mat2a",3.61091547959095e-10,0.205417760589847,0.644,0.537,5.42359505034561e-06
"Col5a3",6.49629774379517e-10,0.198031365853164,0.805,0.722,9.75743921118035e-06
"Spag9",2.40592935355898e-09,0.184648587349609,0.653,0.543,3.61370588904558e-05
"Mprip",5.14109113392866e-09,0.227596749365686,0.635,0.543,7.72191888316085e-05
"Pmp22",5.61994705932799e-09,0.188415723332456,0.971,0.944,8.44116048311063e-05
"Vit",7.26047849265115e-09,0.293803215607314,0.339,0.257,0.00010905238695962
"Dbn1",1.58842379970182e-08,0.229714360671681,0.408,0.323,0.000238581254715214
"Art3",1.60004328666818e-08,-0.325897539686462,0.73,0.748,0.000240326501657561
"Cadm3",2.47814724622143e-08,0.213338025373682,0.529,0.435,0.000372217716382458
"Sema3g",3.55675578216991e-08,0.285824940587894,0.359,0.281,0.000534224718481921
"Myo1b",7.861321309861e-08,0.211192104955156,0.465,0.382,0.00118077046074112
"Samd5",8.07420178099505e-08,0.147639454222417,0.384,0.299,0.00121274510750546
"Slc9a9",1.34533243128567e-07,0.253645126071933,0.179,0.122,0.00202068931179108
"Limk2",2.18629051790702e-07,0.185466685232529,0.5,0.417,0.00328380835789634
"Maged1",2.48617350504418e-07,0.167261632921301,0.425,0.338,0.00373423260457636
"Col1a2",2.48839107290097e-07,0.175670485596967,0.676,0.58,0.00373756339149726
"Mdn1",2.63813940111352e-07,0.272151539684617,0.253,0.189,0.0039624853804725
"Vim",2.94721453664716e-07,0.136285184251597,0.563,0.473,0.00442671623404403
"Tnxb",3.93588880625659e-07,0.191230649684151,0.64,0.559,0.0059117049869974
"Mbp",4.11743393066263e-07,-0.122522426790133,0.987,0.992,0.00618438576385527
"Nav1",4.77276793226223e-07,0.282511354192998,0.263,0.201,0.00716869743425787
"Col24a1",5.00749254435605e-07,0.219757204304527,0.506,0.425,0.00752125380162279
"Mpz",6.06221088608539e-07,0.220759691930069,0.988,0.988,0.00910544075090026
"Gldn",6.39933087157977e-07,0.19333705337085,0.365,0.29,0.00961179496911281
"Rcan3",6.51262388847003e-07,0.226855778722793,0.176,0.121,0.00978196108048198
"Sox13",7.00775817485549e-07,0.180204066039691,0.154,0.104,0.0105256527786329
"Phgdh",9.10298778689534e-07,0.184128025029449,0.453,0.372,0.0136726876559168
"Zdhhc3",9.93553633387241e-07,0.224526815552946,0.196,0.141,0.0149231755734764
"Filip1",1.10584308356215e-06,0.18262665367745,0.385,0.31,0.0166097631151034
"Apod",1.21064504346099e-06,0.166899928912198,0.407,0.328,0.018183888552784
"Med15",1.38696761500231e-06,0.166474720037412,0.148,0.1,0.0208322535773347
"Man1a",1.62470698522918e-06,0.204395736389846,0.186,0.133,0.0244030989181423
"Nod1",1.66383411979609e-06,0.176427246804649,0.396,0.32,0.0249907884793373
"Slit2",1.80396995594871e-06,0.214403288199886,0.253,0.192,0.0270956287383496
"Hmgcs1",2.020406086873e-06,0.21868382100155,0.26,0.2,0.0303464994248325
"Lrp1",2.06818719007087e-06,0.156812483150332,0.448,0.366,0.0310641715948644
"Prnp",2.6551905092748e-06,0.200524451537914,0.201,0.146,0.0398809614493075
"Fxyd3",2.84377330546124e-06,0.199215531193784,0.185,0.134,0.0427134750480278
"Sparc",2.86162495540913e-06,0.201836649288225,0.619,0.536,0.0429816068302452
"Mapre3",3.00619969963073e-06,0.145142866412325,0.702,0.611,0.0451531194884536
"Tmc6",3.73032702962901e-06,0.167839969680077,0.418,0.341,0.0560295119850277
"Nes",4.18269174461883e-06,0.178521045341598,0.407,0.332,0.0628240300041748
"Sema5a",4.20729174348392e-06,0.237042890652332,0.223,0.169,0.0631935219871284
"Rhobtb3",4.38727987552404e-06,0.136053803192707,0.56,0.471,0.065896943730371
"Olfml2b",4.5716696313959e-06,0.221744691591865,0.162,0.114,0.0686664778635664
"Tll1",4.81106906949783e-06,0.23588498870939,0.16,0.113,0.0722622574238575
"Fat1",5.33522461795338e-06,0.218917179470052,0.233,0.177,0.0801350737616597
"Itsn1",5.87325483726997e-06,0.189643274520235,0.36,0.291,0.0882162876557949
"Nid1",6.13620417782549e-06,0.1763112780552,0.145,0.1,0.0921657867509389
"Pcsk5",6.21580568433501e-06,0.21681603285854,0.201,0.15,0.0933614013787119
"Plec",6.70244563491005e-06,0.156572384647956,0.662,0.581,0.100670733436349
"Fa2h",6.83727765108384e-06,0.0947580954656999,0.553,0.469,0.102695910319279
"Ogn",8.02194715649768e-06,0.171469022153956,0.461,0.387,0.120489646290595
"Htt",8.23024749982662e-06,0.153664229848651,0.276,0.213,0.123618317447396
"Ccdc84",8.379274353412e-06,0.158563956888976,0.258,0.197,0.125856700788248
"Lims2",8.47029752355277e-06,0.158740811272123,0.458,0.379,0.127223868803763
"Tmc4",9.21844881294402e-06,0.198324260579983,0.143,0.099,0.138461101170419
"Rasal2",9.31173301779345e-06,-0.331697503841025,0.418,0.461,0.139862229927258
"Bcar1",1.09640808632144e-05,0.127230729871291,0.108,0.07,0.16468049456548
"Adcy1",1.11167985158656e-05,0.177638386749212,0.635,0.563,0.166974313708301
"Piezo2",1.2451275358219e-05,0.20053398505986,0.19,0.141,0.18701815588045
"Notch2",1.31937299855926e-05,0.161575930619467,0.275,0.216,0.198169824383601
"Pttg1ip",1.35941697756925e-05,0.119961493965206,0.357,0.286,0.204184430030901
"Sorbs1",1.38519925396809e-05,0.156102538103377,0.611,0.529,0.208056927946008
"Sars2",1.51369849375367e-05,0.253254714518518,0.109,0.073,0.227357513761801
"Dync1h1",1.62870326030998e-05,0.141941366011074,0.514,0.431,0.244631229698559
"Diaph2",1.76343174131197e-05,0.0917602144519574,0.305,0.238,0.264867447545058
"Spp1",1.76604316185233e-05,0.280971354823934,0.219,0.168,0.265259682910221
"Lamb1",1.86104012505334e-05,0.125653744780105,0.611,0.529,0.279528226783012
"Taf2",1.9085523630062e-05,0.256163094892985,0.101,0.066,0.286664564923532
"Wdr70",2.0152417422069e-05,0.167137886884854,0.134,0.092,0.302689309679476
"Ubp1",2.02515372326972e-05,0.120009515616914,0.251,0.195,0.304178089235112
"Rims1",2.02801123007126e-05,0.217661942231661,0.106,0.071,0.304607286756704
"Zdhhc21",2.12817480982748e-05,0.144878061571982,0.132,0.091,0.319651856436088
"Yeats2",2.13793904342397e-05,0.178633451788639,0.122,0.083,0.32111844432228
"Thap3",2.32456190196831e-05,0.166201251202584,0.227,0.172,0.349149197675641
"Wdr82",2.45193844322224e-05,0.151302107340928,0.244,0.189,0.36828115417198
"Vstm4",2.45575444968494e-05,0.230679433681015,0.155,0.112,0.368854318342677
"Metap1d",2.57030366124817e-05,0.15789761966108,0.41,0.343,0.386059609919475
"P4ha1",2.66624582904543e-05,0.208206381175663,0.234,0.181,0.400470123522624
"Ppip5k2",2.80982468564661e-05,0.189709154361109,0.313,0.256,0.422035667784121
"Acads",2.86782153343457e-05,0.145284113376827,0.202,0.152,0.430746794321873
"Slamf9",2.92030245426722e-05,0.143499134386661,0.156,0.112,0.438629428630937
"Cacnb3",3.01493184811059e-05,0.236498159143246,0.172,0.128,0.45284276358621
"G3bp2",3.16847947004665e-05,0.181079962950078,0.148,0.106,0.475905616401006
"Camk2d",3.35371493653306e-05,0.132840751420364,0.427,0.359,0.503727983467265
"Nsmaf",3.56071941206346e-05,0.120602057573975,0.253,0.197,0.534820055691932
"Lrp5",3.57732869303175e-05,0.221720063297291,0.103,0.068,0.537314769693369
"Epb41l2",3.64560401806566e-05,0.0912199275792029,0.488,0.405,0.547569723513462
"Ccnt2",3.69527733629072e-05,0.122529850059927,0.3,0.239,0.555030655910865
"Angptl4",3.73398669399495e-05,0.181831746142638,0.252,0.2,0.560844801438042
"Ercc3",3.89755708452964e-05,0.158543469697768,0.132,0.093,0.585413074096352
"Eml1",4.22193600171623e-05,0.190060677220362,0.127,0.089,0.634134787457778
"Gas2l3",4.30634380881197e-05,0.13439438529743,0.491,0.423,0.646812840083557
"Homer3",4.34224200540715e-05,0.13977520202164,0.179,0.133,0.652204749212154
"Col4a2",4.40764321177863e-05,0.0912598878234978,0.488,0.414,0.66202801040915
"Snx8",4.84276132339577e-05,0.205359071343479,0.137,0.098,0.727382750774045
"Serhl",4.91092063133156e-05,0.130605950481581,0.506,0.437,0.737620278826001
"Rabgap1",4.91138843792824e-05,0.105878022319388,0.26,0.204,0.737690543376821
"Mylip",5.06695244948832e-05,0.16766453954014,0.233,0.182,0.761056257913146
"Rab33b",5.0754100351752e-05,0.205319070848807,0.144,0.104,0.762326587283315
"Clcn4",5.24754322829952e-05,0.183758695526421,0.112,0.077,0.788180992890587
"Vcl",5.51117983217064e-05,0.125532179268052,0.221,0.17,0.82777921079203
"Zdhhc2",5.76264841262167e-05,0.265841764005178,0.163,0.122,0.865549791575774
"Rnf213",5.77787547000982e-05,0.156406258523704,0.326,0.268,0.867836895595474
"Surf2",6.24252350403639e-05,0.157510409976263,0.14,0.1,0.937627030306265
"Ide",6.3269102426985e-05,0.155825523576892,0.108,0.073,0.950301918453314
"Vrk3",6.36919925272461e-05,0.134929469571885,0.182,0.137,0.956653727759236
"Chm",6.41532388678922e-05,0.244475829738172,0.122,0.086,0.96358164779574
"Pdcd4",6.4455297323325e-05,0.0976008692942076,0.116,0.08,0.968118565796342
"Aacs",6.44576454542861e-05,0.244794636330178,0.114,0.079,0.968153834723378
"Herpud1",6.66608744499569e-05,0.171579133284868,0.139,0.099,1
"Sgcd",6.70943037712572e-05,0.0987567630888706,0.399,0.331,1
"Ppfibp1",6.73865860301614e-05,0.114328890173942,0.258,0.204,1
"Arhgef12",6.89345740578146e-05,0.158033532944479,0.325,0.264,1
"Ehd4",7.05862949233739e-05,0.164662308970663,0.209,0.162,1
"Ucp2",7.16643541843358e-05,0.213361932632002,0.233,0.185,1
"Adam9",8.16800947792942e-05,0.160069427756397,0.142,0.102,1
"Arih1",8.24065574370881e-05,0.156857223842142,0.201,0.156,1
"Cntf",8.241396661102e-05,0.180444899961977,0.389,0.329,1
"Sptb",8.40550407633447e-05,0.0977560308245486,0.404,0.334,1
"Itga6",8.45568275811471e-05,0.0811818598945435,0.473,0.398,1
