"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",4.98263548286404e-18,1.91015943642614,0.124,0.013,7.48391849526179e-14
"Fos",6.71257445076625e-14,1.31119134396964,0.153,0.042,1.00822868250509e-09
"Junb",1.94695276822275e-12,1.30512684161828,0.164,0.055,2.92432305787057e-08
"Kcna1",7.49338076629915e-08,0.359805160646593,0.712,0.605,0.00112550579109813
"Dusp6",3.20747103492807e-06,0.614817112039926,0.405,0.305,0.0481762149446197
"Dbp",4.59875131843711e-06,-0.542721507668237,0.12,0.206,0.0690732448029254
"Txnip",1.52362649512095e-05,0.360078116398799,0.783,0.725,0.228848699567167
"Nr1d1",2.09043167566e-05,-0.407484111643475,0.363,0.457,0.313982837684132
"Zfp36",4.01746043173027e-05,0.583391897639062,0.165,0.096,0.603422556845887
"Nr4a1",6.98201076415406e-05,0.552007523591043,0.364,0.281,1
"Cry2",0.000100306531675103,-0.415613461217829,0.076,0.135,1
"Srpk1",0.000106653683771534,0.47542754147975,0.172,0.106,1
"Trim56",0.000199210900713342,-0.410319139589399,0.075,0.131,1
"Col4a1",0.000306053083465906,0.302254925330328,0.481,0.399,1
"Pcdh7",0.000654418670852245,0.422727709021956,0.411,0.339,1
"Nrbp2",0.000693902764083318,0.279267924751521,0.49,0.419,1
"Sostdc1",0.000762845810284485,0.41945166656678,0.261,0.194,1
"C77080",0.000865565948608685,-0.418536218028736,0.095,0.149,1
"Ypel3",0.000898568886035676,-0.317225086307685,0.441,0.516,1
"Spg11",0.00101980611408614,0.360865135336945,0.104,0.058,1
"Anapc2",0.00113039939210981,0.381186348445135,0.241,0.177,1
"Fasn",0.00118125245164951,0.424935380463867,0.208,0.149,1
"Lamb1",0.00139214563980781,0.37367060717847,0.365,0.3,1
"S1pr3",0.00139813166318724,0.277282251134935,0.458,0.391,1
"Smtn",0.00160722825110123,0.449489978407472,0.204,0.144,1
"Selenon",0.00190162719220231,0.317917955351384,0.102,0.06,1
"Lsm14a",0.00192440008720859,0.392896188539729,0.178,0.123,1
"Per3",0.00195369274969997,-0.39440329362328,0.13,0.184,1
"Zbtb4",0.00195409647961078,-0.407935096427888,0.249,0.313,1
"Mocs2",0.00196392671886164,-0.326392906231672,0.157,0.216,1
"Zfp809",0.00204113573291921,0.433752976183736,0.117,0.073,1
