"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mbp",2.63984457920296e-05,0.665518613110297,0.14,0.054,0.396504655796285
"Elf1",7.06361735749018e-05,0.51218797461791,0.114,0.042,1
"Stk25",7.42217939197189e-05,0.431984356881493,0.301,0.182,1
"Slc25a27",0.000105994028574418,0.487741346176613,0.212,0.115,1
"Selenop",0.000117602739892431,0.505137481791364,0.285,0.174,1
"Pttg1ip",0.000144123593563027,0.362338965254335,0.246,0.14,1
"Ifngr1",0.000181825405321216,0.352083959208172,0.178,0.088,1
"mt-Atp6",0.000197681709939833,0.504844574628569,0.128,0.054,1
"Kmt2c",0.000226145933424443,0.531377101645159,0.122,0.052,1
"Ifitm2",0.000273096836152849,0.49715162545453,0.196,0.106,1
"Ptbp1",0.000286256018892027,0.437681394745773,0.265,0.16,1
"Tgfb1",0.000288096525457822,0.464662475169477,0.124,0.054,1
"Tmbim6",0.000303239727378277,0.329214701587973,0.164,0.081,1
"Jmjd1c",0.000306868407572858,0.505812148666312,0.158,0.079,1
"Ppp2r5a",0.000333186669788217,0.371204363253317,0.146,0.069,1
"Ankrd11",0.000336089378618584,0.427228589673574,0.251,0.152,1
"Prss23",0.000351523575206371,0.491969799642017,0.168,0.086,1
"Tbcc",0.000360087672243666,0.460549030912361,0.106,0.042,1
"D5Ertd579e",0.000362522677762509,0.301705247294679,0.132,0.059,1
"Klf11",0.000368868686324751,0.425596461590729,0.13,0.059,1
"Tmem181a",0.000371227976793016,0.376652669229002,0.106,0.042,1
"Aspscr1",0.000389165249525846,0.499647694630673,0.13,0.059,1
"Ndufa13",0.000460026089159608,0.531814963534595,0.148,0.074,1
"Vim",0.000462504221354973,0.364433619494291,0.543,0.437,1
"Cry2",0.000462815886870755,0.410589267547322,0.17,0.088,1
"Cd93",0.000468071196837148,0.465921863130789,0.265,0.165,1
"Jak2",0.000541262618645839,0.527012231746504,0.16,0.084,1
"Irak2",0.000621268786948944,-0.784166391412992,0.114,0.189,1
"Ankrd28",0.00062670267844017,0.37993473559781,0.122,0.054,1
"Tbl1x",0.000647535645606098,0.376851096902482,0.106,0.044,1
"Dhdds",0.000724870509296321,0.309411600328442,0.134,0.064,1
"Pllp",0.000725582305187624,0.35900044249867,0.146,0.074,1
"Ttc17",0.000824900769981133,0.480364820056015,0.12,0.057,1
"Atp1a1",0.000850277674977797,0.302883308135632,0.17,0.091,1
"Vps29",0.000887247821617617,0.465659048218156,0.138,0.069,1
"Lamc1",0.000904571885397082,0.236269155808632,0.21,0.12,1
"Ddx21",0.000911649956648786,0.510792136055195,0.136,0.069,1
"Fgd5",0.000921815051671594,0.316170779397233,0.437,0.319,1
"Bsg",0.000932897953361597,0.471758645404077,0.202,0.12,1
"Plec",0.000946732858471525,0.423861913142036,0.633,0.511,1
"P4hb",0.000965929870369027,0.285981000405272,0.118,0.054,1
"Slfn3",0.00100939502565136,0.420235953444279,0.114,0.052,1
"N4bp2l2",0.00106360671244551,0.45457621048476,0.146,0.076,1
"Ndst1",0.00106990195748738,0.528749722168028,0.17,0.096,1
