"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",3.90813002574537e-09,0.554663475865415,0.458,0.314,5.87001129866954e-05
"Bgn",7.51708048604645e-08,0.591719970004102,0.196,0.102,0.00112906548900418
"Klf2",4.32088725214737e-07,0.702240215849807,0.189,0.102,0.00648997265272535
"Thbs1",6.48039498144706e-07,0.665682766616394,0.294,0.189,0.00973355326213348
"Kdelr2",2.24852770588963e-06,0.459254772998252,0.16,0.084,0.0337728861424622
"Serpinh1",3.04290905327347e-06,0.349310842166389,0.539,0.43,0.0457044939801675
"Fosb",6.37528440298144e-06,0.952434487282981,0.181,0.106,0.0957567717327813
"Sec24a",6.58220812208199e-06,0.410573003802485,0.173,0.097,0.0988647659936714
"Cd9",6.74866131982331e-06,0.374221442585747,0.296,0.198,0.101364893023746
"Rhob",9.77335371713033e-06,0.359981743128641,0.272,0.178,0.146795772831298
"Col1a1",1.08909031663382e-05,0.134666704188962,0.829,0.754,0.1635813655584
"Fos",1.1508897184865e-05,0.62341880186485,0.247,0.163,0.172863635716673
"Gpc3",1.92071212416116e-05,0.398608613500306,0.596,0.515,0.288490961049006
"Spry1",2.36961518850266e-05,0.672940656617439,0.235,0.157,0.3559162013131
"Rtn3",2.74367435445825e-05,0.314171818434281,0.143,0.077,0.412099888039629
"Jmjd1c",2.82318354251522e-05,0.427260774875289,0.147,0.081,0.424042168085785
"Tuba1a",5.12995676699078e-05,0.40162892094412,0.234,0.153,0.770519506402015
"Rcn1",5.22541538737175e-05,0.315468549921048,0.28,0.19,0.784857391183237
"Dusp6",5.42800573388269e-05,0.389490674998006,0.396,0.299,0.81528646122918
"Egr3",5.91291834047586e-05,0.837274972407057,0.123,0.066,0.888120334739474
"Scn7a",6.09696555329475e-05,0.423420343471639,0.206,0.131,0.915764226104871
"Col15a1",7.48250685278596e-05,0.224973005391868,0.871,0.793,1
"Nrbp2",8.75581683580476e-05,-0.364852876899482,0.483,0.543,1
"Ap2m1",8.800675319331e-05,0.450429207006138,0.104,0.053,1
"Srsf5",9.15342941834368e-05,0.339614085408409,0.315,0.221,1
"Lum",0.000112843894030188,0.444415760956543,0.355,0.272,1
"mt-Cytb",0.000114953290417661,0.309091378107563,0.127,0.069,1
"Ccar1",0.000119543292051177,0.231258673755616,0.192,0.118,1
"Slc38a2",0.000120306687224447,0.309052489049777,0.172,0.104,1
"Naa15",0.000121091825420145,0.405526688803133,0.105,0.054,1
"Actg1",0.000130029402247788,0.459261699195113,0.156,0.094,1
"Itm2a",0.000143679471381257,0.350834324593359,0.151,0.09,1
"Sfpq",0.000153029705742307,0.301415437884302,0.354,0.26,1
"Zfp532",0.000161345386594855,0.295103513889612,0.318,0.228,1
"Exoc5",0.000182497593304072,0.303829793236342,0.128,0.071,1
"Socs3",0.000183242153312208,0.426131522098846,0.151,0.091,1
"Plat",0.000198119472549814,0.359114589372605,0.201,0.131,1
"Rsrp1",0.000204636579532475,-0.287126319717892,0.648,0.669,1
"Sparc",0.000240252018971238,0.255325954091128,0.656,0.574,1
"Calr",0.000241945844621479,0.253830512471207,0.145,0.085,1
"Gpr153",0.000242549348069712,0.149798874682546,0.201,0.129,1
"Fkbp10",0.000323125188192334,0.373525025486503,0.212,0.144,1
"Saraf",0.000334394678944633,0.156003517297396,0.116,0.063,1
"S100a10",0.000337462987111099,0.28851163523945,0.207,0.136,1
"Scara5",0.000340313973306191,-0.268231670911097,0.733,0.782,1
"Acsl3",0.000359126027460638,0.269239245582343,0.104,0.055,1
"Islr",0.000380969081120273,0.306686160796827,0.295,0.216,1
"Ctsz",0.000382754123379415,0.216442760746752,0.169,0.106,1
"Col11a1",0.000464191285355655,0.381715419219266,0.104,0.058,1
"Serpinf1",0.000473149500730296,0.283738650922128,0.243,0.17,1
"Etl4",0.00048420041149231,0.292284393811308,0.126,0.073,1
"Eef1a1",0.000491386956767318,0.213707203429407,0.2,0.133,1
"Srrm2",0.000497238684682709,0.248184696416295,0.264,0.187,1
"Manf",0.000497865281040402,0.237592540898692,0.108,0.059,1
"Tmed4",0.000528006232110996,0.189165763348157,0.123,0.071,1
"Kdelr1",0.000528303783306276,0.137250833882237,0.148,0.089,1
"Col6a2",0.000541246602396577,0.244374530538274,0.647,0.565,1
"Mpz",0.000563845712755664,0.751200063078105,0.191,0.127,1
"Sra1",0.000590720700691064,0.40943857262863,0.128,0.077,1
"Pcdhgc3",0.000613112378835796,0.3057486046086,0.197,0.134,1
"Tspyl1",0.000628058445649631,-0.452124916754247,0.065,0.111,1
"Cd81",0.00063862245937766,0.246901183245883,0.431,0.349,1
"Cbx7",0.000659282635369028,-0.405526873623353,0.254,0.317,1
"Ier2",0.000673508350740324,0.305920595871544,0.243,0.174,1
"Ilf3",0.00070380541029667,0.308871726662848,0.109,0.062,1
"Nmt1",0.000724442535306683,0.302780430955297,0.134,0.081,1
"Mcl1",0.000741188651401576,0.238854656081494,0.258,0.183,1
"Plpp3",0.000765025214214303,0.300960219490884,0.462,0.382,1
"Son",0.000767058297643808,0.192400802818196,0.645,0.556,1
"Gprasp1",0.00080594594839652,0.230846971487425,0.15,0.094,1
"Pgd",0.000810317480856699,0.369151096429437,0.104,0.059,1
"Pdap1",0.000810629328136037,0.333072178603664,0.131,0.08,1
"Dhcr24",0.000819320860349174,0.296148318963776,0.149,0.094,1
"Ocrl",0.000820081016684779,0.338129077274961,0.116,0.068,1
"Chd4",0.00089094388145176,0.295353833624752,0.208,0.144,1
"Emc10",0.000897763333184686,0.270390720241942,0.186,0.125,1
"Ptges",0.000899615136570284,0.360403309660586,0.171,0.113,1
"Hspa5",0.000900271980516651,0.250577704217105,0.115,0.067,1
