"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hspa5",4.39451147904053e-10,0.69576260194359,0.172,0.059,6.60055624151887e-06
"Pdia4",1.3166044066139e-09,0.733946390946627,0.12,0.029,1.97753981873408e-05
"Rsrp1",1.41521120542112e-09,-0.397665186919729,0.815,0.848,2.12564723054252e-05
"Calr",2.99814256641104e-07,0.415899842642476,0.139,0.052,0.00450321013474938
"C3",1.01243092877098e-06,0.713141659601964,0.491,0.374,0.0152067125501401
"Dnajb11",1.04327062805905e-06,0.482714801035636,0.1,0.031,0.015669924833447
"C1ra",1.64256520081551e-06,0.474217133212486,0.159,0.073,0.024671329316249
"Cst3",2.01357464445715e-06,0.849554940347239,0.284,0.178,0.0302438911597464
"Creld2",2.70820733875241e-06,0.708605738671971,0.124,0.05,0.0406772742280612
"Hsp90b1",3.36167191076853e-06,0.856254445761217,0.221,0.123,0.0504923120997433
"Pdia3",3.38791416060097e-06,0.417340198313974,0.114,0.043,0.0508864706922265
"P4hb",4.25177344630627e-06,0.454487470877985,0.189,0.097,0.0638616371635201
"Atf7",5.08061459504193e-06,0.385667071639298,0.178,0.088,0.0763108312175299
"Rcn3",7.16238694986658e-06,0.42025826684139,0.262,0.156,0.107579051986996
"Vit",7.9421684452431e-06,0.563227638972232,0.188,0.1,0.119291370047551
"Vkorc1",8.30941460454352e-06,0.361060440827754,0.117,0.047,0.124807407360244
"Bgn",1.2526112335895e-05,0.73828440839783,0.214,0.125,0.188142207285143
"Rnf123",1.47635150725813e-05,0.385235056361519,0.162,0.08,0.221747996390171
"Errfi1",1.56441431967138e-05,0.692603226848352,0.24,0.147,0.234975030814641
"Gstm2",1.70809902149596e-05,0.419821232554108,0.15,0.073,0.256556473028693
"H6pd",1.81355189279965e-05,0.496843928500914,0.153,0.076,0.272395494298507
"Apoe",2.03602029366642e-05,1.00213797864728,0.127,0.059,0.305810248108697
"Ptms",2.13566461453371e-05,0.347731971606711,0.457,0.334,0.320776825102964
"Pdia6",2.4867767630656e-05,0.356249054005073,0.234,0.137,0.373513869812453
"Plxna1",3.37920010827637e-05,0.416410934240012,0.162,0.085,0.507555856263111
"Ctsl",4.19343334236568e-05,0.391877649728406,0.193,0.107,0.629853688023325
"Timp3",4.37981719457633e-05,0.495656377660319,0.243,0.154,0.657848542625365
"Serpinf1",4.62290544673598e-05,0.407900009177115,0.307,0.204,0.694360398099745
"Lman2",4.66520694842722e-05,0.301715999119401,0.149,0.074,0.700714083653768
"Serpinh1",5.27958791742603e-05,0.577040951597847,0.43,0.343,0.792994105197389
"Herpud1",6.81240733237594e-05,0.569629269871059,0.232,0.144,1
"Sparc",6.94682970212939e-05,0.464869192570777,0.618,0.562,1
"Atp5d",7.5840691925397e-05,0.270768557047006,0.133,0.064,1
"Gpc3",7.68542978547626e-05,0.613767937041035,0.177,0.102,1
"Ctsb",8.07529249100427e-05,0.358769198151138,0.169,0.093,1
"Manf",8.26711309772411e-05,0.290923900218919,0.107,0.047,1
"Josd2",8.34934333214649e-05,0.473246106068306,0.144,0.074,1
"Itm2c",8.82341455330906e-05,0.375990065135341,0.118,0.055,1
"Ly6e",9.1190153155456e-05,0.441778983971978,0.122,0.059,1
"Islr",0.000119071401674744,0.374445669341109,0.207,0.125,1
"Sdc4",0.000124231684727396,0.3425206732081,0.1,0.043,1
"Zmym3",0.000138555303574964,0.320479699683103,0.105,0.047,1
"Grn",0.00014232258231877,0.349627960240796,0.224,0.138,1
"Angptl2",0.000158026575255597,0.344246425095546,0.172,0.097,1
"Crebzf",0.000169363574902947,-0.377534816557945,0.537,0.595,1
"Tgfbi",0.000181218122721295,0.610018388629678,0.221,0.142,1
"Plekho2",0.00018231818358849,-0.546550278508285,0.249,0.327,1
"Cfb",0.000185664215806109,0.360582344625867,0.171,0.099,1
"Lrp1",0.000193760675920069,0.267224479139412,0.71,0.621,1
"Slc29a1",0.000204632309282708,0.458390915813961,0.209,0.13,1
"Arglu1",0.00021026123999727,-0.247593534029024,0.702,0.73,1
"Rrbp1",0.000219458037194176,0.2449928998273,0.47,0.343,1
"Ddit3",0.000240797045647494,0.447063434159078,0.138,0.074,1
"Os9",0.000243055024873849,0.362299311274575,0.152,0.085,1
"Eci2",0.000246890412453504,0.318179687331458,0.122,0.062,1
"Serpinb6a",0.000285470408707684,0.382127631284751,0.109,0.054,1
"Syvn1",0.000298405457979855,1.47621362427682,0.137,0.078,1
"Axl",0.000308313464735683,-0.300238517989769,0.728,0.779,1
"Lama2",0.000321636064822924,0.310220841448317,0.233,0.151,1
"Ppp2r5e",0.000322499844270976,0.341552255292821,0.143,0.078,1
"Psap",0.000348627960673115,0.290283738317793,0.257,0.166,1
"Gnas",0.000350031591426778,0.180037587350753,0.21,0.128,1
"Ppib",0.00035102112085117,0.31192431730266,0.196,0.119,1
"Ddost",0.000355302162149778,0.316560351556243,0.156,0.088,1
"Nufip2",0.000362647411104679,0.387891784672078,0.115,0.059,1
"Selenop",0.000383513945306866,0.372580251507397,0.229,0.151,1
"Tmbim6",0.000394040745286077,0.170350802875605,0.113,0.055,1
"Lhfp",0.000396855335710538,0.238840964664155,0.212,0.131,1
"Dcn",0.000397768159728475,0.649632701486081,0.535,0.483,1
"Sulf2",0.000439191291618403,0.263781835277746,0.188,0.114,1
"Tmed9",0.000498060472861449,0.298977546484051,0.151,0.087,1
"Sod3",0.000511019416792828,0.287993120298935,0.347,0.249,1
"Irs2",0.000518055393836355,0.341893760195603,0.102,0.05,1
"Oaf",0.000562782338003572,0.342246979143701,0.15,0.087,1
"Lox",0.000583616569083117,0.341115997833427,0.125,0.067,1
"March7",0.000619846367079046,0.352164493890088,0.137,0.076,1
"Srsf1",0.000673991758761669,-0.382880611829917,0.332,0.398,1
"Lrp5",0.000694738577179463,0.212138771729785,0.149,0.085,1
"Lamp1",0.000706272407585572,0.26739544245148,0.122,0.066,1
"Tnks2",0.000779045950643874,0.260040431910564,0.132,0.073,1
"Smim14",0.000795414365483579,-0.446854124298026,0.234,0.301,1
"Gas7",0.000842097523654678,-0.430410960474702,0.279,0.351,1
"Pabpn1",0.000848081897613854,-0.314260817871199,0.593,0.635,1
"Crtap",0.000880014653907801,0.228341939698082,0.126,0.069,1
"Adam33",0.000891559251789395,-0.34717752078142,0.587,0.631,1
"Adh1",0.00089428150776435,0.367049305585449,0.137,0.078,1
