"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fos",5.62452854788201e-19,1.20924870829755,0.391,0.19,8.44804187891878e-15
"Hspa5",3.20110231990052e-14,0.727009388215313,0.16,0.049,4.80805568449058e-10
"Vim",8.13049238069474e-13,0.639973855694745,0.647,0.496,1.22119995558035e-08
"Fosb",5.15533852963334e-11,1.4665056856096,0.218,0.102,7.74331847150928e-07
"Thbs3",1.70324163311745e-10,0.628641180237379,0.535,0.384,2.55826893294242e-06
"Nbl1",6.05786336402489e-10,0.562334424057365,0.485,0.336,9.09891077276539e-06
"Tppp3",1.15250575378391e-09,0.637439296465967,0.52,0.381,1.73106364218344e-05
"Wnt10b",1.54453359039898e-09,-0.839143686902128,0.235,0.365,2.31988945277927e-05
"Cygb",1.95632969094099e-09,0.375659185607109,0.563,0.408,2.93840719579337e-05
"S100a10",8.14124063330489e-09,0.714689139653252,0.372,0.251,0.000122281434312239
"Myoc",3.21246374663352e-08,0.657022605386803,0.432,0.288,0.000482512054744355
"Btg2",3.64090139024532e-08,0.877741418371494,0.12,0.046,0.000546863388814847
"Vamp2",4.83878064947558e-08,0.478909381002386,0.465,0.331,0.000726784853551232
"Sfrp4",5.47969082289427e-08,0.425433490380826,0.674,0.544,0.000823049561598719
"Nr4a1",6.69020215334303e-08,1.15466450995266,0.158,0.074,0.00100486836343212
"Serpinh1",7.54530344708205e-08,0.633464324663721,0.46,0.349,0.00113330457775172
"Bgn",1.06781156137355e-07,0.647329011042554,0.316,0.2,0.00160385296518307
"Pdia6",1.38981918017496e-07,0.596465995048595,0.209,0.115,0.00208750840862279
"Egr1",1.82813703857876e-07,0.312227169051165,0.425,0.284,0.0027458618319453
"Angptl1",2.01614347221427e-07,0.543242954435133,0.214,0.117,0.00302824749526584
"Cd9",3.55845510715194e-07,0.489731284243129,0.376,0.262,0.00534479957094221
"Per1",4.21922560186284e-07,0.398988520658632,0.455,0.332,0.00633727685399799
"Crip1",5.46494990695516e-07,0.732328925951184,0.31,0.206,0.00820835476024665
"Plpp3",7.30916538559808e-07,-0.466056915369578,0.477,0.594,0.0109783664091683
"Hyou1",1.13099571103554e-06,0.492172265917434,0.144,0.07,0.0169875555797538
"Ccn2",1.13617793161399e-06,0.907765931605114,0.298,0.194,0.0170653925328421
"Clec2d",1.81656064122139e-06,-0.54436431608228,0.544,0.632,0.0272847408311453
"Jund",1.84463635976451e-06,0.489231340768344,0.604,0.52,0.027706438123663
"Fbln2",1.94292032991661e-06,0.468719288956911,0.448,0.336,0.0291826633553475
"Col1a2",2.35358270623523e-06,0.457544886284663,0.823,0.766,0.0353508122476532
"Tmed3",2.96290382052955e-06,0.343208945780346,0.153,0.077,0.0445028153843538
"Hspb8",3.0028269310366e-06,0.437431125271496,0.247,0.15,0.0451024605041697
"S100a11",3.33653675306636e-06,0.425954685037465,0.204,0.117,0.0501147820310567
"Son",3.59557444478384e-06,-0.41004185110539,0.458,0.543,0.0540055281606532
"Eppk1",4.94241720387868e-06,-1.06059341432077,0.062,0.132,0.0742351064022577
"Adamts16",5.43619876705302e-06,-0.590105293198456,0.075,0.153,0.0816517054811363
"Vmp1",5.77118716867953e-06,0.47887746727129,0.242,0.151,0.0866832312735666
"Ptms",6.45698428151408e-06,0.310288163647303,0.542,0.417,0.0969839039083415
"Arhgef25",6.81002722520541e-06,0.349030278857691,0.468,0.353,0.102286608922585
"Brk1",8.67142826775092e-06,0.433258647530846,0.158,0.085,0.130244852581619
"Col5a2",9.62045563652462e-06,0.519716644787294,0.295,0.206,0.1444992436606
"Grb10",1.20816803902109e-05,0.44656812618539,0.355,0.261,0.181466839460968
"Pcolce",1.2492145735808e-05,0.472370226145235,0.54,0.451,0.187632028951836
"Comp",1.3393329260138e-05,0.834492122840732,0.153,0.083,0.201167805487273
"B4galt1",1.51088331610425e-05,0.463589729120191,0.268,0.179,0.226934674078858
"Rcn3",1.63146455469449e-05,0.350532049025416,0.322,0.223,0.245045976115112
"Cdkn1a",1.75243844331668e-05,0.573960746132416,0.146,0.079,0.263216254186166
"Pdia4",1.91305911064977e-05,0.285212993926373,0.125,0.063,0.287341478419596
"Aox1",2.05975821270993e-05,-0.377269198849238,0.309,0.403,0.309375683549031
"S100a6",2.52296237779431e-05,0.508108332455724,0.346,0.261,0.378948949144705
"Smoc2",2.69802568673977e-05,0.365656627312217,0.317,0.216,0.405243458148314
"Ldha",2.77243929547488e-05,0.368342231563489,0.115,0.057,0.416420382180327
"Czib",2.81055440015502e-05,0.441063018427938,0.23,0.147,0.422145270903285
"Rpn1",3.22880890759999e-05,0.378802127384881,0.187,0.113,0.484967097921518
"Zfp36",3.29974915271859e-05,0.566291273505941,0.436,0.338,0.495622322738332
"Tubb4b",3.88377665054325e-05,0.46626887648453,0.199,0.124,0.583343252911596
"Emp1",3.97369128820423e-05,0.4326883170639,0.226,0.145,0.596848431488275
"Pard3b",4.2663608388117e-05,-0.529599817791645,0.211,0.295,0.640807397989517
"Adamts3",4.55083714114524e-05,0.351389123389324,0.118,0.06,0.683535738600014
"Map6",4.68619695790478e-05,0.402472417386442,0.194,0.119,0.703866783077298
"Fzd4",4.88157827754427e-05,0.329382249345842,0.256,0.167,0.733213057287149
"Dusp1",5.07564853899243e-05,0.351579351082141,0.376,0.272,0.762362410556663
"Phf24",5.24132097725903e-05,-0.592358857177687,0.084,0.153,0.787246410784306
"Nova1",5.2979590883965e-05,-0.565975607883298,0.187,0.269,0.795753455077155
"Scarf2",5.32817905165195e-05,0.346724903713262,0.172,0.099,0.800292493558123
"Dkk2",5.7941122390712e-05,0.305789547284958,0.177,0.104,0.870275658308495
"Igfbp6",5.82784134849317e-05,0.34451379249307,0.516,0.421,0.875341770543673
"Col14a1",6.43257633954442e-05,0.439290995487182,0.348,0.26,0.966172966199572
"Nfkbia",6.45344223996174e-05,0.501817758374842,0.256,0.173,0.969307024442253
"Nsfl1c",6.46888261503063e-05,0.446560778971849,0.321,0.236,0.971626168777601
"Gas6",7.3621097663745e-05,0.30773182511503,0.252,0.167,1
"Aspn",7.55056338744825e-05,0.323478170458408,0.261,0.174,1
"Cxcl14",7.77069417578472e-05,0.9418774170588,0.108,0.055,1
"Tle3",8.55213632581984e-05,0.315587926436443,0.165,0.097,1
"Hexim1",8.97296896906867e-05,0.374290209829535,0.117,0.061,1
"Dtx3",9.06500950202257e-05,0.256532378560726,0.647,0.548,1
"Anxa3",9.33964279554593e-05,-0.407586709314257,0.647,0.682,1
"Adamtsl1",9.39423040281599e-05,-0.476362584249573,0.443,0.512,1
"Ckap4",0.0001125266397475,0.222862259540183,0.148,0.083,1
"Cst3",0.000112527712006489,0.406361270013814,0.336,0.244,1
"Vkorc1",0.000113597707032027,0.281687911135503,0.146,0.083,1
"Napg",0.000115269687271498,0.449901506817077,0.139,0.079,1
"Fzd1",0.000116738999838543,0.197864205799578,0.117,0.061,1
"Eef1b2",0.000125015841394657,0.397442558049088,0.11,0.057,1
"Fmo1",0.0001254445568157,0.255909393720392,0.269,0.184,1
"Ccn1",0.000127766903490345,0.700930525608623,0.213,0.139,1
"Nupr1",0.000130655499909295,0.527891007294923,0.352,0.258,1
"Pttg1ip",0.000152042609564116,0.464365370410766,0.338,0.256,1
"Bicd2",0.000163931599384759,-0.53485685436576,0.218,0.292,1
"Col3a1",0.000168697132200672,0.475759777597587,0.877,0.873,1
"Calcrl",0.000170732604911463,-0.494586012170232,0.067,0.125,1
"Klf4",0.000190391511154639,0.527268492709407,0.516,0.439,1
"Plscr3",0.000200517888876851,0.33035349804752,0.22,0.145,1
"Nrbp1",0.000204453352209223,0.336628084922194,0.252,0.172,1
"Vegfd",0.000205187226303695,-0.549778039144709,0.117,0.183,1
"Mgp",0.000206457794940816,0.493489729114967,0.158,0.095,1
"Grk5",0.000212930888445977,0.362247225253845,0.302,0.219,1
"Entpd2",0.000225259474866037,0.30464617066978,0.376,0.286,1
"Chrdl1",0.000253135681244502,0.505998233488199,0.156,0.096,1
"Cilp",0.000262963586310314,0.60027925694382,0.173,0.109,1
"Calr",0.000283638500716776,0.291596672328451,0.125,0.071,1
"Ypel3",0.000293373903368413,0.301338676821364,0.595,0.511,1
"Cd81",0.000300566512791839,0.336834612144875,0.295,0.217,1
"Ddost",0.000308096548712825,0.380628456292641,0.178,0.115,1
"Rnd3",0.000322137815507198,0.349079751477614,0.221,0.151,1
"Hnrnpa2b1",0.000323664520886769,-0.394818190850576,0.321,0.4,1
"Col4a1",0.000334326513548059,0.474483373548198,0.415,0.325,1
"Gadd45g",0.000356248653273307,0.209285426575219,0.25,0.171,1
"Tagln2",0.000365711074964191,0.301090037801074,0.204,0.135,1
"Mif4gd",0.000382526376428643,0.34095931702665,0.153,0.094,1
"Thy1",0.000403268399436985,0.35363325725699,0.158,0.098,1
"Xbp1",0.000404774358938604,0.36501771146909,0.309,0.232,1
"Slc50a1",0.000411488005657598,0.316565776486689,0.154,0.096,1
"Pde4dip",0.000455848032202473,0.332837522758207,0.156,0.097,1
"Fzd2",0.000457234369060398,0.201275276478494,0.118,0.067,1
"Eno2",0.000467973858860027,0.500262678466715,0.192,0.13,1
"Bag5",0.000518325494891708,0.395716306504041,0.11,0.062,1
"Usp22",0.000520052649517987,0.356001795688897,0.148,0.091,1
"Socs3",0.000525892379325725,0.435046192542661,0.202,0.133,1
"Mrc2",0.000527256733588695,0.264702767008454,0.307,0.228,1
"Hsp90b1",0.000533215794632478,0.349598240468647,0.178,0.116,1
"Plekhj1",0.000537411391660971,0.369435461534611,0.281,0.207,1
"Smtn",0.000538173171920384,0.325788937610357,0.312,0.23,1
"Tmsb4x",0.000541663378589355,0.522867938273135,0.358,0.278,1
"Tmem198b",0.000555971230828313,0.319972650111151,0.196,0.13,1
"Egfr",0.000575005961977433,-0.437526389045147,0.326,0.403,1
"Tmem59",0.000595692457491835,0.270199892910349,0.182,0.119,1
"Ccn3",0.00061187407787725,0.643581543680081,0.245,0.176,1
"Islr",0.00061393770218866,0.520837038845801,0.274,0.21,1
"Dse",0.000616128489591453,0.260345941786623,0.182,0.118,1
"Sgk1",0.00062464058513851,0.452664621759563,0.122,0.071,1
"P4hb",0.000644080138255995,0.289113167038014,0.202,0.137,1
"Nrbp2",0.000650232743802967,-0.566241546963116,0.288,0.356,1
"Tceal8",0.000653308005079058,0.282140978840031,0.122,0.07,1
"Pla1a",0.000671012402605176,-0.440825636430278,0.153,0.222,1
"Dnajb11",0.000681068892876145,0.262174755290555,0.103,0.057,1
"Adam33",0.000728202195476003,-0.3501229124514,0.628,0.661,1
"Pabpn1",0.00082981914181863,0.241965016049479,0.662,0.603,1
"Pdia3",0.000841271709696103,0.192009781972214,0.111,0.064,1
"Nav1",0.000869778343504422,-0.386418625575676,0.437,0.489,1
"Col8a1",0.000891807246325613,0.272277061086368,0.132,0.079,1
"Klf2",0.000997451512684481,0.39105415529543,0.482,0.402,1
"Skil",0.00100093074762512,0.328474095841769,0.117,0.069,1
"Cyp27a1",0.00100961095606151,-0.336058422200677,0.249,0.327,1
"Tgfbr3l",0.00101804575451707,-0.339809528877587,0.067,0.119,1
"Dact3",0.0010420517298896,0.490907163677812,0.148,0.096,1
"Hdlbp",0.00111945437675048,0.213960016114523,0.292,0.213,1
"Prrc2c",0.00115644703047225,-0.391545017706935,0.317,0.376,1
"Inmt",0.00116648609044711,-0.39277776735146,0.386,0.448,1
"Ppp2cb",0.00118130660407169,0.232270553362839,0.17,0.111,1
"Irf2bpl",0.00121648631894964,0.261066468081346,0.137,0.085,1
"Sel1l",0.00125482235199419,0.188490359449142,0.194,0.129,1
"Thbs1",0.00127814440104686,0.969565190722911,0.129,0.081,1
"Fmo2",0.00128864086339912,0.344068128801533,0.19,0.13,1
"Gas1",0.00132044040609049,0.323978396762949,0.377,0.299,1
"Syap1",0.00132166284994326,0.246451164246341,0.105,0.06,1
"Ier2",0.00134942453946112,0.221923974773258,0.262,0.189,1
"Tspan11",0.00137244800913503,0.0607582991712738,0.206,0.139,1
"Txndc5",0.00137358326220891,0.267229704607753,0.268,0.195,1
"Snrnp70",0.00138205301661272,-0.212694256301673,0.566,0.629,1
"Fbln1",0.00139964327314788,0.289495129844955,0.324,0.25,1
"Tmem181a",0.00142749009445269,0.159386521794236,0.103,0.058,1
"Crip2",0.00143003138886107,0.282365368941889,0.185,0.126,1
"mt-Nd6",0.00145335432048555,0.492346665008862,0.187,0.13,1
"Col1a1",0.00145384021077171,0.429276757844375,0.703,0.659,1
"Sec61a1",0.00146577438422871,0.137189526689956,0.111,0.065,1
"Pbx2",0.0014766170558847,0.451571849048541,0.118,0.072,1
"Cpsf4",0.00148716335869383,0.312515057759366,0.105,0.061,1
"Fhl1",0.00150504112367937,0.387896505926293,0.465,0.391,1
"Plpp5",0.00159159781791899,0.253459844520552,0.218,0.153,1
"Obsl1",0.00164169675920406,0.282764708169191,0.221,0.155,1
"Srpk1",0.00168198056934101,0.308951472930197,0.192,0.132,1
"Ctsk",0.00169521950254551,0.292419223060803,0.134,0.084,1
"Pofut2",0.00172982288702583,0.322965117760677,0.17,0.114,1
"Tmed9",0.00174053909179025,0.222103267297221,0.16,0.104,1
"Dcaf8",0.00179275334004224,0.282586364370544,0.201,0.14,1
"Map2k7",0.00180309474415901,-0.423991687213866,0.17,0.229,1
"Adamts1",0.00183547039297621,0.324191682990847,0.125,0.077,1
"Taf1d",0.00185512241233069,0.299282334351068,0.127,0.079,1
"Myef2",0.00187891263746662,0.292528370020464,0.166,0.113,1
"Ndrg4",0.00191859254658435,0.367956583930198,0.165,0.111,1
"Tpp1",0.00192824838322804,0.312751241443746,0.154,0.102,1
"Il1rl2",0.00195441572869539,-0.425405440745321,0.111,0.168,1
"Ergic1",0.00197285963067789,0.133543130305135,0.141,0.089,1
"Tubb5",0.00197712375684921,0.280065947919462,0.122,0.075,1
"Pmp22",0.00198465600567827,0.277162621995469,0.511,0.44,1
"P4ha2",0.00200853496470126,0.311724893632301,0.204,0.145,1
"Nck1",0.00201483109862557,0.206771040551808,0.11,0.065,1
"Zfp9",0.00202342456492267,0.216587759044922,0.113,0.068,1
"Six5",0.00205023389193369,0.299684938068365,0.158,0.104,1
"Sec22b",0.00205274322031685,0.316079886469884,0.149,0.097,1
"Boc",0.00213538543718126,0.294803332691077,0.25,0.183,1
"Igfbp7",0.00215394204989825,0.5007772033552,0.319,0.26,1
"Htra3",0.00217839396031214,0.264534844389133,0.702,0.637,1
"Mprip",0.00219776111990965,-0.352506871552487,0.407,0.462,1
"Pcnx3",0.0022389830680697,0.154729101948826,0.242,0.172,1
"Ube2r2",0.0022560080713262,0.210082655717106,0.216,0.153,1
"Angptl4",0.0023154809203468,-0.333365977986393,0.199,0.26,1
"Suds3",0.00234179236522686,0.289459674655625,0.18,0.125,1
"Col6a3",0.00234531102054723,0.186780848078314,0.374,0.293,1
"Cdon",0.00241513878642558,-0.325334044106993,0.4,0.467,1
"Alkbh5",0.0024876080542217,0.250725130171554,0.165,0.111,1
"Herc1",0.00250211440414546,0.346338412516513,0.161,0.109,1
"Tbrg1",0.00252125838883077,0.190445948461621,0.228,0.162,1
"Efhd1",0.00254283775112749,-0.343612928085077,0.22,0.289,1
"Tmbim1",0.00254354931520752,0.290326275675545,0.173,0.119,1
"Fam114a1",0.00258927002529226,0.171464775475329,0.338,0.258,1
"Cd151",0.00268298940145732,0.209207813522241,0.237,0.171,1
"Chst12",0.00272180700731487,0.165402347002583,0.194,0.131,1
"Tnfrsf1a",0.00282936895091482,0.375492809531803,0.204,0.149,1
"Ldlrad4",0.00283768838137809,0.228301969694208,0.202,0.143,1
"Ifitm2",0.00284716065070692,0.227625971176246,0.202,0.142,1
"Ccl19",0.00295326047366167,-0.190003243298838,0.077,0.126,1
"Phka2",0.00302172633852498,-0.486607519148198,0.304,0.357,1
"Fndc1",0.00302962646839685,-0.303857101258099,0.48,0.535,1
"Rce1",0.00303367224108502,0.266769569461838,0.111,0.069,1
"Fkbp2",0.00306989395395231,0.189305320812,0.216,0.155,1
"Dlgap4",0.00308780467657145,-0.306053917858904,0.458,0.511,1
"Uggt1",0.00309891812723976,0.272566888348072,0.153,0.102,1
"Lman2",0.003107485402197,0.298950575149934,0.168,0.115,1
"Cfh",0.00321421623058328,0.212389024217019,0.357,0.286,1
"Lama2",0.00326562669563673,-0.48448780677039,0.268,0.32,1
"Jmjd1c",0.00332095849473954,0.310566508169428,0.18,0.127,1
"Ddr2",0.00332905857762461,-0.308516753789787,0.499,0.563,1
"Card10",0.00338381594364385,-0.448221212708766,0.225,0.284,1
"Tuba1a",0.00348138477012997,0.26111429464111,0.244,0.18,1
"Eapp",0.00357884245330108,0.381228491848624,0.156,0.107,1
"Kifap3",0.00359460616896252,0.354100818335762,0.122,0.078,1
"Trim35",0.00362450711723286,-0.282727219302007,0.362,0.425,1
"Ehbp1",0.00377127936425213,0.232446298402004,0.273,0.205,1
"Slc38a2",0.00379384543708433,0.222546474986192,0.221,0.16,1
"Ndn",0.00387287574458946,0.109742945032119,0.12,0.075,1
"Shisa5",0.0039114768135295,0.271848446561204,0.194,0.138,1
"Serpinf1",0.00394031225065361,0.231550279129183,0.355,0.286,1
"Fkbp5",0.00397252929425713,0.161867478671101,0.185,0.128,1
"Man2c1",0.00399406914028069,0.207683082296251,0.326,0.254,1
"Ctso",0.00407773729452474,-0.328445334273993,0.175,0.235,1
"Sfpq",0.00410716708353889,-0.407296168675442,0.209,0.263,1
"Tmco6",0.00415507607576278,-0.394899779944939,0.089,0.137,1
"Pgpep1",0.00425324007826292,0.285447645429341,0.13,0.085,1
"Tra2a",0.00425354373659868,-0.293093357210071,0.288,0.354,1
"Mapk1ip1l",0.00426863733330103,-0.277712483585585,0.077,0.124,1
"Midn",0.00439502666334433,0.296938193396397,0.194,0.139,1
"Lman1",0.00442361953737422,0.259837917478589,0.232,0.172,1
"C7",0.00448507483379764,-0.303957583324475,0.266,0.334,1
"Stau1",0.00448944602084035,0.113238890360601,0.166,0.112,1
"Klf11",0.004572887277635,-0.281077203908146,0.077,0.123,1
"Luc7l2",0.00460608209684038,-0.213787073054776,0.691,0.722,1
"Vsig10",0.00462908811418695,-0.302001958694466,0.214,0.274,1
"Eya4",0.00462968897714238,-0.423051800307374,0.065,0.107,1
"Ccng2",0.00466800354175088,0.236825516034505,0.172,0.12,1
"Ttc7",0.00475280223677863,0.323253937657187,0.216,0.162,1
"Cd55",0.00478124733398217,0.190693173893135,0.202,0.145,1
"Igfbp4",0.00479485223521797,0.198847077613349,0.621,0.562,1
"Sfrp1",0.00481594503862644,0.125269303606113,0.182,0.126,1
"Mapk8ip3",0.00494894969014719,0.214827432617001,0.472,0.403,1
"Ccdc107",0.0049820785523708,0.290748051755758,0.106,0.067,1
"Wdfy2",0.00503953037218154,0.26880294543894,0.298,0.235,1
"Ccdc57",0.00508571512096007,-0.395361539959518,0.084,0.128,1
"Cavin1",0.00512438419401156,0.269687526132606,0.389,0.319,1
"Rbbp4",0.00513870826154506,0.202477121392603,0.105,0.065,1
"Glt8d1",0.00515741829899595,0.161448104858787,0.137,0.091,1
"Slc39a7",0.00516493632151817,0.243610712429776,0.281,0.217,1
"Adam10",0.00517245964580621,0.226876588009943,0.12,0.077,1
"Arhgap20",0.00536920952454879,-0.504850534273621,0.166,0.216,1
"Clip1",0.00537049021115549,-0.313628730101661,0.256,0.313,1
"Cast",0.00540918928746751,0.163397406766022,0.336,0.265,1
"Wasf2",0.00553333772262493,0.282081229261277,0.24,0.183,1
"Pdcd4",0.00558134122838482,0.184071547257311,0.24,0.179,1
"Sra1",0.00565338366215368,0.183594267309815,0.13,0.086,1
"Ankrd27",0.00568804461153389,0.196511017450713,0.17,0.119,1
"Aox3",0.00581841666673152,-0.367608124396841,0.148,0.2,1
"Rap2b",0.00584562366023906,0.235469965454875,0.115,0.073,1
"Appl2",0.0058986802364856,-0.414680415327211,0.235,0.287,1
"Piezo2",0.00592437048016432,0.370604870240848,0.211,0.156,1
"Pir",0.00615535611012317,-0.419923627694006,0.12,0.168,1
"Erf",0.00632452629506907,0.327955503630626,0.11,0.071,1
"Fkbp9",0.00640420304771957,0.259819628886227,0.256,0.195,1
"Phldb1",0.0065053351816062,0.198778304544353,0.605,0.535,1
"Tsc22d3",0.00655184934610503,0.377942363942901,0.196,0.144,1
"Uhrf2",0.00657583096546899,0.1373619587543,0.18,0.127,1
"Amotl2",0.00660218286041066,0.246452574995186,0.249,0.189,1
"Ltbp4",0.00671127195183946,0.25856577206016,0.521,0.456,1
"Ctsz",0.00672492701564487,0.268242961464072,0.165,0.116,1
"Pyroxd2",0.00686768584959201,-0.504749400673502,0.192,0.241,1
"Hexa",0.00689352408349518,0.160107879031802,0.163,0.114,1
"Hoxc9",0.00702330038544309,-0.433640116309557,0.142,0.188,1
"Ccdc3",0.0071424319771933,0.316313349515969,0.148,0.102,1
"Kmt2d",0.00715219014546189,-0.307949344306496,0.182,0.237,1
"Rabac1",0.00728166117888751,0.236374841384451,0.177,0.126,1
"Golt1b",0.00730145039369995,0.195586605761425,0.118,0.077,1
"Clk1",0.00736356429730742,0.215500394301575,0.533,0.459,1
"Tm9sf2",0.00747689317014987,0.133522394583232,0.142,0.097,1
"Ccdc102a",0.0075357051226465,0.251915174992661,0.139,0.095,1
"Dnajc3",0.00753611247617344,0.258064780790036,0.168,0.12,1
"Plec",0.00758771289997476,0.175963586280113,0.496,0.416,1
"Srebf2",0.00761775003172603,-0.361810398391048,0.156,0.208,1
"Ubc",0.00768950822543897,0.258581495729347,0.223,0.168,1
"Lpin3",0.00769751532675865,0.184146561035457,0.123,0.081,1
"Mgat1",0.00770534632418865,0.217329661522721,0.122,0.08,1
"Ikbip",0.00777209506630844,0.159688142395488,0.197,0.143,1
