"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fth1",3.09830999324623e-08,-0.606296630535321,1,1,0.000465366160985583
"Drp2",0.000274974357442611,0.2378513174116,1,1,1
"Map4",0.000421244233950843,0.283246384154511,1,0.991,1
"Ncl",0.000608726201884868,-0.677074809218697,0.539,0.685,1
"Zdhhc2",0.000785459482431485,0.462241969519608,0.316,0.108,1
"Pafah1b1",0.0011028893913573,0.55910185196155,0.145,0.018,1
"Secisbp2l",0.00114310051207374,0.308177497563411,1,0.982,1
"Ehmt2",0.001320455922239,0.900074760858452,0.224,0.063,1
"Ppp1r7",0.00220986372806935,-1.05357778569401,0.289,0.459,1
"Sf3a1",0.00244765866690706,0.716639929770346,0.105,0.009,1
"Fbxw2",0.00255149270310431,0.75794428646254,0.145,0.027,1
"Ube3a",0.00269386605054681,0.961410602256667,0.263,0.099,1
"Fnbp1l",0.00270794411136211,1.06285963607202,0.145,0.027,1
"Cds2",0.00276562708495663,0.788310684710851,0.105,0.009,1
"Fubp1",0.00276562708495663,0.845426194155892,0.105,0.009,1
"Prex2",0.00281810687895788,0.636295092458503,0.276,0.099,1
"Rfesd",0.00290305522528526,0.502019386003864,0.105,0.009,1
"Usp48",0.00359641233347067,0.847623314032832,0.158,0.036,1
"Exoc6b",0.00364647850988846,0.777664244309307,0.118,0.018,1
"Cnot6",0.00373854284556314,0.703735688977962,0.25,0.09,1
"mt-Co3",0.00448239555260035,0.501355405499277,0.724,0.477,1
"Plekhb1",0.00454897780078786,0.239712969119833,1,1,1
"Ndufa2",0.00461091803757494,0.730290268433948,0.118,0.018,1
"Me1",0.00470808965825643,0.491795983941335,0.763,0.55,1
"Ybx1",0.00520051492189145,-0.509457113576636,0.842,0.874,1
"App",0.00591490476541708,0.605805848366624,0.684,0.45,1
"Camk2n1",0.00702211807250955,-0.428692566548854,0.961,0.955,1
"Ccdc117",0.00707463933825596,0.444942496103048,0.237,0.081,1
"Sept8",0.00867889553777181,0.380283875937907,0.645,0.414,1
"Pea15a",0.00968035775898812,0.262935055085229,1,0.991,1
"Dok6",0.00971630073296555,0.715761143529181,0.105,0.018,1
"Hexim1",0.010121372052874,0.567766603744661,0.105,0.018,1
"Selenow",0.010468741509413,-0.929744743494894,0.158,0.315,1
