"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Col5a3",3.96555538503685e-14,2.3161816132139,0.44,0.134,5.95626418832535e-10
"Itgad",1.29088493673238e-12,2.82571285824001,0.144,0,1.93890917497204e-08
"Myl3",1.79884635458347e-12,-1.53828966870846,0.216,0.623,2.70186722458437e-08
"Mybpc1",2.23423887752904e-12,-1.49476980319381,0.24,0.626,3.35582679404861e-08
"Tpm2",4.77044854378724e-12,-1.6373966267052,0.36,0.665,7.16521371276844e-08
"Actn2",7.58792323665164e-12,-1.36654762240816,0.264,0.632,1.13970607014508e-07
"Smtnl1",1.5234682782257e-11,-1.64227880541408,0.104,0.448,2.28824935389501e-07
"Lep",1.84173956791964e-11,1.99434036303984,0.344,0.095,2.76629283101529e-07
"Vim",2.47712622637266e-11,1.51252226420093,0.544,0.27,3.72064359201173e-07
"Idh2",2.79306115831937e-11,-1.01956276980341,0.368,0.703,4.19517785979569e-07
"Lbp",4.88314636108698e-11,1.4225155100881,0.424,0.151,7.33448583435265e-07
"Coq8a",9.75448876920473e-11,-1.29048812856876,0.344,0.671,1.46512421313455e-06
"Alpk3",1.4853785575874e-10,-1.58921528851803,0.216,0.546,2.23103859349628e-06
"Sncg",1.68209703299089e-10,1.63157337299452,0.456,0.184,2.52650974355232e-06
"Lmod2",1.90903014099447e-10,-1.23084951423552,0.208,0.582,2.8673632717737e-06
"Amotl2",2.18518004270717e-10,1.41152883968907,0.416,0.145,3.28214042414617e-06
"G0s2",2.48620915028878e-10,1.66132755585775,0.576,0.332,3.73428614373374e-06
"Neb",2.72727752075096e-10,-1.18585479498021,0.328,0.635,4.09637083616794e-06
"Col4a2",2.82336078104542e-10,1.45750943084122,0.456,0.196,4.24068789313022e-06
"Adamts5",3.47134348477119e-10,1.57306006997027,0.336,0.101,5.21395791412632e-06
"Col4a1",5.11058097759778e-10,1.83221075267879,0.512,0.258,7.67609262835187e-06
"Ldhb",5.36164246197638e-10,-1.30976720402037,0.208,0.534,8.05318697788853e-06
"Fabp3",5.38122071572176e-10,-1.02040268476377,0.192,0.546,8.08259351501408e-06
"Acacb",7.03112988092315e-10,-1.13362890402843,0.288,0.602,1.05607570811466e-05
"Mxra8",8.49513968619727e-10,1.24391624062947,0.312,0.089,1.27596998086683e-05
"Ttn",1.19704296138597e-09,-1.15307109479672,0.336,0.644,1.79795852800173e-05
