"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dusp15",1.87753573196292e-98,0.488959594269554,0.979,0.922,2.82005866940831e-94
"Mt2",1.15403288386889e-78,1.1277302007689,0.306,0.119,1.73335739157108e-74
"Ogn",1.90086365531671e-53,0.643600383351915,0.535,0.338,2.85509721028569e-49
"Fus",2.35698795838176e-53,0.586123678386747,0.574,0.373,3.54019591348941e-49
"Mt1",1.82793120369504e-51,0.6531478292263,0.257,0.109,2.74555266794995e-47
"Tsc22d3",1.15677849170016e-45,0.648796005126079,0.249,0.111,1.73748129453364e-41
"Plk5",3.03422010780874e-45,0.61334417682059,0.542,0.366,4.55739860192873e-41
"Per1",1.38073196214912e-44,0.469588734656643,0.626,0.426,2.07385940714797e-40
"Mt3",6.15087447213336e-44,0.575568208764998,0.58,0.402,9.2386134571443e-40
"Vwa1",5.15066870108535e-42,0.499399986798604,0.512,0.327,7.7363043890302e-38
"Arid5b",4.24497660404457e-39,0.588508792796291,0.198,0.084,6.37595485927494e-35
"Cntf",1.48255890637943e-37,0.557666607597095,0.46,0.301,2.2268034773819e-33
"Rhot1",9.25132534407659e-35,0.396720243844611,0.648,0.477,1.3895490666803e-30
"Fam57a",5.36740543692669e-34,0.444591696924113,0.228,0.112,8.06184296626388e-30
"Etnppl",2.18391408814744e-33,0.718109392055306,0.224,0.114,3.28023896039746e-29
"Cfap100",3.06520926678492e-33,0.265942271627076,0.951,0.89,4.60394431871094e-29
"Pcyox1l",1.09406681010716e-30,0.328194215849512,0.497,0.332,1.64328834878095e-26
"Per2",1.89411707162832e-30,0.439275425750094,0.176,0.079,2.84496384158574e-26
"Otud7b",2.56742496486665e-30,0.368939002573429,0.605,0.436,3.8562722972297e-26
"Bcl2l1",5.55229485129147e-30,0.375638852660895,0.466,0.305,8.33954686663979e-26
"Sgk1",2.5212586229655e-29,0.430174879199483,0.27,0.15,3.78693045169418e-25
"Ddx5",1.67223546825783e-28,0.432728148012357,0.216,0.111,2.51169767332326e-24
"Ncf2",3.32321620587883e-27,0.564917070801249,0.264,0.154,4.99147074123e-23
"Mat2a",5.53285314933755e-26,0.315214837156388,0.648,0.49,8.31034543030501e-22
"Fam53b",5.87313723457052e-26,0.322079315764047,0.593,0.439,8.82145212632492e-22
"Srsf5",3.01779322974911e-24,0.333343971926876,0.569,0.426,4.53272543108317e-20
"Bicd2",1.71271462764708e-23,0.266876051334245,0.428,0.288,2.57249737072591e-19
"Mapk8ip1",2.19291506450093e-23,0.305062366281864,0.464,0.321,3.29375842688039e-19
"Gjc3",2.52594586337147e-23,0.285703889227908,0.368,0.236,3.79397068678395e-19
"Dnajc7",5.08598590952836e-23,0.284917719230316,0.663,0.509,7.63915083611159e-19
"Snta1",5.66279869553768e-23,0.299891463491007,0.35,0.224,8.50552364069759e-19
"Prnp",1.35548666990552e-22,0.386671374681794,0.234,0.134,2.03594097819809e-18
"Dusp11",1.5886756077719e-22,0.288354698657014,0.388,0.259,2.38619076287339e-18
"Tns2",3.55966481345256e-22,0.274298896861105,0.42,0.285,5.34661654980574e-18
"Ip6k2",3.70991358363911e-22,0.305553750588696,0.412,0.281,5.57229020262595e-18
"Pik3r1",3.75074985016045e-22,0.375025500533646,0.304,0.192,5.633626274941e-18
"Lox",7.02265372800407e-22,0.427430022677323,0.182,0.099,1.05480258994621e-17
"Endod1",1.31555426986366e-21,0.325862506756629,0.285,0.177,1.97596251333522e-17
"Sdc3",1.5237603535704e-21,0.321631290190665,0.225,0.129,2.28868805106274e-17
"Etnk1",2.05485582044932e-21,0.328988954267363,0.473,0.342,3.08639344231488e-17
"Sfpq",3.40832948689304e-21,0.245754042925212,0.505,0.36,5.11931088931334e-17
"S100a7a",3.57274327766261e-21,0.285531261575762,0.245,0.145,5.36626040304924e-17
"Ddit4",4.31261096928273e-21,0.375417653410687,0.193,0.106,6.47754167586266e-17
"Sparc",5.63737831205168e-21,0.376227184249754,0.627,0.506,8.46734222470162e-17
"Gls",1.64909761543712e-20,0.263323407167423,0.642,0.494,2.47694461838656e-16
"Apod",2.32245230025241e-20,0.381040886963945,0.411,0.295,3.48832335497912e-16
