"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zbtb16",2.73338085011731e-32,1.11182341920413,0.171,0.032,4.1055380368762e-28
"Cst3",3.89229351932383e-25,1.04921959610487,0.324,0.148,5.84622486602439e-21
"Per1",2.96877264337298e-23,0.615145879320467,0.469,0.251,4.45909651034621e-19
"Matn2",2.02711478976255e-18,0.732395227619505,0.553,0.387,3.04472641422336e-14
"F3",4.08219830308419e-17,0.668009751749827,0.321,0.166,6.13146185123246e-13
"Gsn",1.10110329588002e-16,0.638003529239889,0.621,0.459,1.65385715041179e-12
"Gpr37l1",1.38529886464764e-14,0.68073133153926,0.322,0.183,2.08071889470075e-10
"Slc10a6",2.04118587801469e-14,0.629989020092216,0.109,0.031,3.06586118877806e-10
"Prnp",8.70532154763374e-14,0.685321882462723,0.477,0.329,1.30753929645459e-09
"Apoe",1.58298184370139e-13,0.806911359289822,0.532,0.404,2.37763872923948e-09
"Cpe",1.86528179969019e-12,0.647271722167842,0.273,0.152,2.80165326313467e-08
"Aldh1a1",2.09682728180601e-12,0.487055492781066,0.438,0.284,3.14943457727263e-08
"Serpinh1",2.26184896953449e-12,0.74462822904853,0.279,0.162,3.3972971522408e-08
"Ncam1",4.54061565142118e-12,0.414464683739497,0.666,0.521,6.82000470843461e-08
"Klf9",5.3899711240429e-12,0.566283813359149,0.312,0.184,8.09573662831244e-08
"Cyp2d22",9.79999565942177e-12,0.429040686006287,0.585,0.437,1.47195934804515e-07
"Cdh19",1.88377088761785e-11,0.280955951739409,0.946,0.898,2.82942387320201e-07
"Serpina3n",2.57959761842392e-11,0.657410548405425,0.248,0.14,3.87455562287273e-07
"Timp3",4.31517587594124e-11,0.610604216224022,0.357,0.235,6.48139416566374e-07
"Scn7a",4.83909139798212e-11,0.372281019484867,0.867,0.818,7.26831527976915e-07
"Tbc1d10a",7.4146866186283e-11,0.351903919651405,0.374,0.235,1.11368593011797e-06
"Pcdh9",7.4563587316769e-11,0.629053351685596,0.363,0.242,1.11994508149787e-06
"Klf15",8.36870525705185e-11,0.418021344613293,0.286,0.167,1.25697952960919e-06
"Endod1",1.6110756236207e-10,0.491182161913831,0.193,0.1,2.41983558667829e-06
"Sparc",2.35299937688452e-10,0.473426446825775,0.614,0.479,3.53420506408056e-06
"Tsc22d3",3.24001755567855e-10,0.500946639144577,0.144,0.064,4.86650636862918e-06
"Sdc4",4.94579300213753e-10,0.554763366420269,0.313,0.202,7.42858108921058e-06
"Vwa1",6.04466402948339e-10,0.395250476685535,0.65,0.523,9.07908537228405e-06
"Clu",7.99892730706846e-10,0.42046587841933,0.106,0.041,1.20143888152168e-05
"Hsp90b1",8.00947189054348e-10,0.402323240288276,0.165,0.08,1.20302267795963e-05
"Tsc22d4",8.59632531991221e-10,0.401335483606398,0.364,0.237,1.29116806305081e-05
"Emp3",8.89179913421011e-10,0.446664163530868,0.147,0.068,1.33554822995836e-05
"Ranbp9",9.95052521499539e-10,0.415925689982106,0.148,0.069,1.49456888729231e-05
"C1s1",1.71277340899707e-09,0.488923344187739,0.164,0.082,2.5725856603136e-05
"Gpt2",1.84061353178395e-09,0.299193958817826,0.397,0.259,2.76460152473949e-05
"Phyhd1",3.20936746953696e-09,0.505790706675247,0.173,0.09,4.82046993924451e-05
"Ep400",5.36346654641702e-09,0.421743695001068,0.188,0.1,8.05592675271836e-05
"Itm2b",1.07592874348271e-08,0.536819938571916,0.33,0.227,0.000161604497271103
"Emp1",1.08635959352667e-08,0.41550982965097,0.217,0.124,0.000163171210947705
"Ube2d2a",1.15371396248164e-08,0.39991741128349,0.161,0.082,0.000173287837164742
"Lpcat1",1.55388948903359e-08,0.392017009887435,0.118,0.053,0.000233394201252845
"Nrn1",1.59290944785112e-08,0.459519399586337,0.308,0.199,0.000239254999067238
"Slc43a3",1.6102570928189e-08,0.344368416845288,0.534,0.395,0.000241860615341399
"Gpm6b",1.80972515818795e-08,0.32139128876109,0.34,0.225,0.000271820718759831
"Bcl2l1",2.2650718894682e-08,0.410270743914389,0.434,0.316,0.000340213797798124
"Tmsb4x",2.4466241329912e-08,0.256864428102953,0.139,0.068,0.000367482944775278
"Fus",2.5885151481888e-08,0.331305553939305,0.407,0.276,0.000388794975257957
"Selenop",2.72807324055484e-08,0.465533428040428,0.259,0.164,0.000409756600731337
"Prss23",2.83217204977323e-08,0.297244252555743,0.132,0.064,0.000425392241875939
"Sfrp5",3.98762494060525e-08,0.432217528247487,0.222,0.133,0.000598941266078908
"P4hb",4.01079941625757e-08,0.387989059750308,0.115,0.053,0.000602422072321887
"Art3",4.09957704559321e-08,0.290330346328221,0.749,0.633,0.000615756472248099
"Etnk1",4.23264690803884e-08,0.377149632722321,0.364,0.251,0.000635743565587434
"Ralgds",4.74065914839205e-08,0.26943916506594,0.184,0.101,0.000712047004088485
"Vwc2",4.81640006051233e-08,0.499384384955663,0.196,0.113,0.000723423289088953
"Cfap100",5.06996228823985e-08,0.247767207783221,0.872,0.781,0.000761508335693626
"Tmed9",8.93273180906183e-08,0.368888079467818,0.115,0.054,0.00134169631772109
"Plscr2",1.03097479555441e-07,0.366295797522261,0.469,0.35,0.00154852414292273
"Tmem219",1.28931723998864e-07,0.401879807280157,0.132,0.066,0.00193655449446293
"Sparcl1",1.79932567630897e-07,0.490294454776079,0.33,0.233,0.00270258716581608
"Azin1",1.9707928838827e-07,0.39540311786243,0.139,0.072,0.00296013091159182
"Rarres2",2.4040592904627e-07,0.299901884023777,0.602,0.478,0.00361089705427498
"Tm9sf2",2.46816548534031e-07,0.301186702615928,0.121,0.059,0.00370718455898114
"Chrdl1",2.61408197781874e-07,0.34058700778299,0.156,0.085,0.00392635113068374
"Cotl1",2.712266418751e-07,0.403605738276431,0.106,0.05,0.004073824160964
"Mag",3.42977424750023e-07,0.3353248048875,0.388,0.276,0.00515152091974534
"Rbm6",4.47335781693017e-07,0.348951937593457,0.218,0.135,0.00671898344102912
"Ifitm3",4.56265714189299e-07,0.308055512603183,0.1,0.046,0.00685311102712327
"Ap2m1",4.81764261029296e-07,0.472977808538962,0.129,0.067,0.00723609920066002
"Rabac1",4.84793045352674e-07,0.331434667052458,0.193,0.115,0.00728159154119716
"Hsd17b11",4.93774768358733e-07,0.270155693348459,0.173,0.098,0.00741649702074816
"Atp6ap1",5.32711774368054e-07,0.241401454065955,0.154,0.084,0.00800133085100817
"Ddx10",5.49936807178939e-07,0.290556408410587,0.14,0.074,0.00826005084382767
"Limd1",6.09065589687383e-07,0.304939760258739,0.213,0.13,0.00914816515710449
"Zfp866",6.09440231680462e-07,0.343446804106084,0.139,0.074,0.00915379227984053
"Ece1",6.38278605922598e-07,0.394001344993657,0.221,0.137,0.00958694466095742
"Ndrg2",7.01019978507517e-07,0.371952628055412,0.283,0.186,0.0105293200771829
"Akap12",7.4219394064753e-07,0.398799032366768,0.143,0.078,0.0111477529885259
"Sbspon",7.96700676467062e-07,0.308804691886612,0.235,0.15,0.0119664441605353
"Dag1",8.07039875275771e-07,0.357614947763409,0.218,0.137,0.0121217389266421
"Laptm4b",8.45011569987447e-07,0.295742092011643,0.212,0.13,0.0126920737812115
"Tmem59",8.58530100691809e-07,0.379018092048632,0.141,0.078,0.012895122112391
"Pakap.1",9.01936700938603e-07,0.347165511720188,0.143,0.078,0.0135470892480978
"H2-D1",1.03717088476399e-06,0.288428256596769,0.139,0.075,0.0155783066891551
"Tcn2",1.04878808473633e-06,0.314079368637357,0.213,0.133,0.0157527970327397
"Tef",1.0874019564721e-06,0.274021585631326,0.266,0.174,0.0163327773862109
"Tmem176a",1.10834087053236e-06,0.356111882476752,0.359,0.259,0.016647279875396
"Cp",1.12576378923856e-06,0.28283111678389,0.197,0.119,0.0169089721143632
"Cnot10",1.19845734163168e-06,0.358820867466352,0.207,0.129,0.0180008292713079
"Hnrnpk",1.22649180215921e-06,0.300525819270819,0.1,0.047,0.0184219068684313
"Snta1",1.27892474671973e-06,0.321990724165145,0.256,0.167,0.0192094496957304
"Ank3",1.36558986992148e-06,-0.201895564993817,0.958,0.955,0.0205111598462206
"Slc3a2",1.43759900342076e-06,0.305479202814894,0.135,0.073,0.0215927370313799
"Lamp1",1.46910802352377e-06,0.251381023374508,0.119,0.061,0.0220660025133271
"Gal3st1",1.55811015310477e-06,0.297884779075785,0.213,0.132,0.0234028144996336
"Adgrg1",1.57069977569451e-06,0.264655823306525,0.138,0.075,0.0235919106309316
"Tmem176b",1.57552680175357e-06,0.392128937390481,0.303,0.211,0.0236644125623386
"Met",1.69431536870867e-06,0.296743053273008,0.249,0.162,0.0254486168380042
"Phlda3",2.06322426954619e-06,0.306982918334883,0.155,0.088,0.0309896285285838
"Foxo1",2.19714735923144e-06,0.314181260888138,0.238,0.154,0.0330011533356562
"Celf2",2.51560839337534e-06,0.251805568667229,0.774,0.65,0.0377844380684976
"Eif2s3y",2.68051016088413e-06,0.311150996574252,0.198,0.123,0.0402612626164796
"Srsf5",2.73368263102965e-06,0.222847952318054,0.343,0.239,0.0410599131180654
"Pdk4",2.87372954492982e-06,0.375234704794154,0.166,0.098,0.043163417764846
"Eef1a1",2.91603053647806e-06,0.285665232126911,0.158,0.092,0.0437987786579004
"Rab2a",2.95435215155403e-06,0.278947681843554,0.13,0.07,0.0443743693163415
"Itm2c",3.01342339288013e-06,0.293234664466105,0.105,0.053,0.0452616193610596
"Ctsb",3.0711004697649e-06,0.297681581476568,0.17,0.101,0.0461279290558688
"Syt11",3.18456508164588e-06,0.345239262455082,0.127,0.069,0.0478321675263211
"Tax1bp3",3.55249364745923e-06,0.258565647585131,0.222,0.143,0.0533584545848376
"Slc31a2",3.74248784392886e-06,0.240325418587034,0.229,0.146,0.0562121674158115
"Pdia6",3.86174583672236e-06,0.236795998502442,0.136,0.075,0.0580034224675699
