"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sfrp4",1.5593369378293e-09,0.621191936959446,0.674,0.504,2.3421240806196e-05
"Zfp36",6.89093806288682e-09,0.764340129641128,0.436,0.279,0.00010350188970456
"Egr1",1.17151090837621e-08,0.608125818742303,0.425,0.258,0.000175960938438107
"Fos",2.51002641076071e-07,0.746103653457304,0.391,0.247,0.00377005966896259
"Cygb",5.63270978901594e-07,0.393526701695807,0.563,0.432,0.00846033010310195
"Col8a1",9.02842179423975e-06,0.597817846751567,0.132,0.055,0.135606895349481
"Junb",1.09131578387695e-05,0.617880480747677,0.328,0.208,0.163915630738318
"Btg2",1.59420488702198e-05,0.922696411367305,0.12,0.05,0.239449574030701
"Ccl19",2.28118032569135e-05,-0.357767971913066,0.077,0.16,0.342633284918841
"Maf",2.29825108705364e-05,-0.533381419056033,0.256,0.368,0.345197313275457
"Phf24",2.3401897110422e-05,-0.554366345420214,0.084,0.167,0.351496494598539
"Aspn",3.08926593707538e-05,0.482026012839649,0.261,0.162,0.464007743748722
"Mprip",0.000115703607263214,-0.39664604876566,0.407,0.514,1
"Pard3b",0.000117498955773598,-0.509140469927983,0.211,0.302,1
"Txnip",0.000121894180836776,0.376179917999459,0.655,0.571,1
"Jund",0.000137317748464425,0.489458744842688,0.604,0.527,1
"Card10",0.000151679280014673,-0.538250562447452,0.225,0.319,1
"Sfpq",0.00017067632957756,-0.539426060086494,0.209,0.294,1
"Ccn2",0.000175841402027587,0.475164606833109,0.298,0.198,1
"Snd1",0.000190891905267487,-0.462922733196747,0.328,0.423,1
"Cebpd",0.000195189356023141,0.439016335544512,0.427,0.327,1
"Fosb",0.000205665174822356,0.931627152164493,0.218,0.137,1
"Prnp",0.000218972025523586,0.502344616976545,0.201,0.123,1
"Auh",0.00021902421144855,0.457715955809683,0.288,0.196,1
"Kcnt2",0.000249044242199828,0.527923187385117,0.17,0.096,1
"Nbl1",0.000266392345588081,0.313886747973481,0.485,0.395,1
"Ier2",0.000268776512351118,0.284011143278228,0.262,0.171,1
"S100a6",0.000276099772111783,0.535437627583367,0.346,0.265,1
"Sned1",0.000296996639550987,-0.45948734372051,0.316,0.407,1
"Angptl4",0.000404986269912015,-0.532205694358591,0.199,0.279,1
"Atp6ap2",0.00041499334973288,0.335160048025789,0.113,0.055,1
"Grk5",0.000463905419226402,0.442784570780703,0.302,0.219,1
"Sfi1",0.000515849682583961,-0.366303257846064,0.302,0.399,1
"Usf1",0.000521919006729078,0.360937281429206,0.127,0.066,1
"Wnt10b",0.000656437034661804,-0.669671786556886,0.235,0.313,1
"Plekhj1",0.00069312451951194,0.445879430028423,0.281,0.199,1
"Vmp1",0.000733290664823177,0.367180885080802,0.242,0.162,1
"Cd200",0.000741785042046997,0.456471780648989,0.12,0.062,1
"Per1",0.00074420303849799,0.306111842823185,0.455,0.356,1
"Lgals3",0.000809593904129517,0.333550701249219,0.125,0.066,1
"Ikbke",0.000851230671320255,0.541069972759312,0.184,0.116,1
"Gli1",0.000978830000128617,0.299890191906543,0.117,0.06,1
"Myoc",0.00102058488912761,0.55950612126883,0.432,0.335,1
"Adamts16",0.00110050462331179,-0.58743461999791,0.075,0.133,1
"Serping1",0.00123445119082878,0.316857547853451,0.652,0.607,1
"Plat",0.0013142969579478,0.413522148936024,0.214,0.142,1
"Khdc4",0.00133200392809201,-0.351864718372208,0.264,0.351,1
"Klhdc8b",0.00138015423545462,-0.626442519290051,0.13,0.196,1
"Slc25a3",0.00142896616365811,-0.479870702392077,0.086,0.142,1
"Socs3",0.0015310547507634,0.515610599416883,0.202,0.133,1
"Gpatch2",0.00170956079108334,-0.543207232481332,0.129,0.194,1
"Ccn3",0.00173798113677449,0.519769911437005,0.245,0.169,1
"Hdac4",0.00181953254912452,-0.491047475937944,0.123,0.187,1
"Trio",0.00182881847507315,-0.395476677603485,0.163,0.237,1
"Tmed3",0.00190465212647966,0.333837643306035,0.153,0.093,1
"Cfh",0.00197938700787186,0.504804833199613,0.357,0.283,1
"Cdk11b",0.00198799185976444,-0.426099917200594,0.232,0.313,1
"Atraid",0.00203251662629313,0.133982308388636,0.12,0.064,1
"Pard3",0.00216056356217778,-0.408769040603374,0.216,0.29,1
"Vegfa",0.00227287664975496,-0.37808082684715,0.182,0.258,1
"Col6a6",0.0022794907652207,-0.464328777771291,0.055,0.103,1
"Gmfb",0.00228838763136699,0.346840396035666,0.182,0.119,1
"Dusp1",0.00242564038389654,0.231944465394235,0.376,0.286,1
"Pdgfd",0.0024468376228851,0.224925062979484,0.173,0.107,1
"Map6",0.00250270216496006,0.321027789424355,0.194,0.126,1
"Mgat1",0.00250639044447176,0.455754220546042,0.122,0.069,1
"Sept8",0.00256009122126246,-0.34243858967295,0.458,0.53,1
"Epm2aip1",0.00257976690626974,-0.350895866741532,0.074,0.126,1
"Ptms",0.00271719852194232,0.257078305782892,0.542,0.459,1
"Col5a2",0.00282167837276384,0.405213666996267,0.295,0.222,1
"Mia3",0.00286872184189736,0.341386936636415,0.319,0.24,1
"Vim",0.00290870866979404,0.32212098339768,0.647,0.598,1
"Dclk1",0.00294856114532073,-0.467205572666296,0.098,0.155,1
