"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Per1",1.24359271477495e-08,0.573378328978163,0.452,0.296,0.000186787625759198
"Cd33",2.83204589947921e-06,0.401586303399974,0.502,0.363,0.0425373294101777
"Calm1",5.87129026993547e-05,0.584930531131619,0.199,0.118,0.881867798544307
"Tent2",5.87574142406222e-05,0.392965765404126,0.147,0.074,0.882536361894146
"Camk1",6.88893705494376e-05,0.470853269977685,0.371,0.276,1
"Marc2",0.000177339469972403,0.512241531047742,0.155,0.087,1
"Rassf2",0.000187691090456541,0.360084270421769,0.397,0.298,1
"Rnasek",0.000188996176764935,0.376750164979806,0.116,0.056,1
"Dusp6",0.00019558694915259,0.340319762661772,0.34,0.247,1
"Nupr1",0.000209831272088449,0.698332627195654,0.119,0.061,1
"Plec",0.000231044195069876,-0.596795046509651,0.279,0.363,1
"Fkbp5",0.000237304626310881,0.397167103960097,0.153,0.084,1
"Tmod1",0.000257621039820649,0.446948424946174,0.26,0.173,1
"Pip4k2a",0.000321510329314726,0.421373308846511,0.193,0.118,1
"Lyve1",0.000339919894335875,0.437331753306553,0.254,0.171,1
"Smpdl3b",0.000412863468914726,0.460291509487333,0.103,0.049,1
"Tcn2",0.000413290584746266,0.474177099925107,0.253,0.176,1
"Lyz2",0.000423111177085225,0.356860519268199,0.482,0.398,1
"Atp13a2",0.000441044170291135,0.338476588971409,0.518,0.431,1
"Fam126a",0.000478163295041129,0.318286748874217,0.103,0.049,1
"Txndc9",0.000506631358453821,0.261472856500685,0.175,0.104,1
"Ypel5",0.000547257078536521,0.407504325027101,0.142,0.081,1
"Irf1",0.000562594996619184,-0.634243390320755,0.084,0.145,1
"Coq2",0.000563708411589097,0.387734626569437,0.101,0.049,1
"Tarbp2",0.000597991249771104,0.316824144597518,0.106,0.053,1
"Ilk",0.000717517370326047,0.303394533719142,0.26,0.178,1
"Parp12",0.000872345417146388,0.464476226995316,0.13,0.074,1
"H2-Q6",0.00102775086106906,-0.896477117791383,0.15,0.214,1
"Stx7",0.00108815368630932,0.28837947949185,0.311,0.227,1
"Mrfap1",0.00116293650718607,0.294000155355883,0.13,0.074,1
"Cmklr1",0.00123774573995821,0.345687286780113,0.191,0.122,1
"Hps1",0.00134412335983222,-0.463406997616792,0.109,0.169,1
"Rchy1",0.00145769419084321,0.55955160253774,0.113,0.064,1
"Ltc4s",0.00153580844308464,0.61026842206327,0.343,0.275,1
"Rasgrp3",0.00155005573754017,0.407645373763895,0.167,0.105,1
"Uba5",0.00171332185200391,0.290159454946086,0.107,0.058,1
"Tmem37",0.00173921275711413,0.266150425704909,0.103,0.054,1
"Vav1",0.00173985664087383,0.350618586146216,0.303,0.225,1
"Morf4l1",0.00199605196232798,0.259726414899936,0.162,0.1,1
"Ccnt2",0.00199657682885912,0.285565715000234,0.257,0.179,1
"Nbeal2",0.00205900144509436,-0.632028059190904,0.064,0.112,1
"Sh3bp2",0.00215801711292155,0.357743567561425,0.323,0.243,1
"Txn2",0.00222660835925193,0.1381894517517,0.107,0.058,1
"H2-K1",0.00229844044887243,-0.39811586054589,0.4,0.475,1
"Dmac2",0.0023977642245476,0.308931835845155,0.147,0.09,1
"Mvb12b",0.00240269828552556,0.208574199614059,0.172,0.107,1
"Alkbh1",0.00246496120792694,-0.415556097372196,0.135,0.197,1
"Ccl6",0.00249587357065081,0.377747812634642,0.233,0.166,1
"Idua",0.00265774896373941,0.469787211665227,0.162,0.107,1
"Il6ra",0.00274696101213562,0.266266898011578,0.286,0.207,1
"Ptpn12",0.00288286761395799,0.295632247208351,0.196,0.132,1
"Zfp710",0.00288764815063457,0.276126441369127,0.228,0.161,1
"Micu1",0.00295862880609015,0.422203895980922,0.145,0.092,1
"Tmcc1",0.00303037592540701,0.274699978562216,0.449,0.373,1
"Fads1",0.00306055176057085,0.264887399139468,0.104,0.058,1
"Serinc3",0.00307752105513997,0.12189511318071,0.779,0.689,1
"Nek6",0.00315929961574644,0.237432640180456,0.132,0.079,1
"Apobec3",0.00335713161691426,-0.45905802496705,0.276,0.349,1
"C1qc",0.00336155527534397,0.277207338021595,0.3,0.224,1
"Rbm39",0.00343373070833959,0.188293304892919,0.381,0.293,1
"Tnfaip8l2",0.00343898450342122,0.343026752011563,0.181,0.12,1
"Eif4h",0.00347261178947259,0.287792777605474,0.113,0.066,1
"Tgfbr1",0.00357412222691215,0.311154737411421,0.103,0.058,1
"Rubcnl",0.00375355380724363,0.252410790682289,0.204,0.138,1
"Lgmn",0.00385897271953912,0.287419511904697,0.294,0.219,1
"Pmp22",0.00407419932245924,0.323387527226583,0.446,0.373,1
"Lifr",0.00411449377341262,0.196627119245025,0.53,0.447,1
"Sap25",0.00415568651389021,0.229141158367906,0.453,0.368,1
"Preb",0.00433824287466356,0.232106755716,0.331,0.253,1
"Tmem184b",0.0045048798273583,0.311576171390585,0.116,0.069,1
"Tsc1",0.00461986329521416,0.234031109752399,0.158,0.102,1
"Cd14",0.004680405721888,0.285595792912858,0.198,0.137,1
"Mta3",0.00477783272293891,-0.399690004377346,0.224,0.288,1
"Hectd3",0.00502428022370443,-0.469019217826614,0.119,0.171,1
"Zcchc7",0.00502660299748771,0.268744665997623,0.144,0.092,1
"Sorbs3",0.00509380876205683,0.306616990460804,0.263,0.197,1
"Ank2",0.00520432837214293,0.370076125621148,0.116,0.071,1
"Mgl2",0.00532777711640449,0.275701252034632,0.475,0.388,1
"C2cd5",0.00538589514043814,0.326836880749258,0.127,0.079,1
"Ifitm2",0.00540637746340712,0.458096728736033,0.173,0.12,1
"Igsf6",0.00541530082510521,0.267682186531067,0.248,0.181,1
"Fxyd2",0.00544185466113554,0.550953998379227,0.133,0.086,1
"Vps18",0.00547533475008619,0.274202233698088,0.103,0.059,1
"Plxdc2",0.00550008235525747,0.172529482858405,0.167,0.11,1
"Hexa",0.00569145100984773,0.218251173604402,0.372,0.289,1
"Pdia6",0.00586189541795757,0.270570799117079,0.188,0.13,1
"Tm9sf4",0.00592006359246269,0.373493149293482,0.121,0.076,1
"Surf4",0.00595327650397892,0.278335600245686,0.11,0.066,1
"Zswim6",0.0059850751121731,0.327001955962318,0.113,0.069,1
"Exoc8",0.0060590710972626,0.32753585715767,0.118,0.072,1
"Slc38a9",0.00608977485601625,0.268946331697824,0.21,0.15,1
"Eif4g1",0.00612202886494871,0.16551988342076,0.118,0.071,1
"Cox7b",0.00615448620582176,0.271374840923394,0.1,0.058,1
"Calm3",0.00619255587894695,0.268702539431226,0.127,0.079,1
"Mbnl2",0.00627888257100692,0.213546732059021,0.221,0.158,1
"Mecp2",0.00635224466033946,0.224805327488696,0.121,0.074,1
"Card9",0.00653626824480928,0.298927604208604,0.383,0.308,1
"Ndufs7",0.00654673669096151,0.348987692544623,0.132,0.084,1
"Atg2a",0.00668975389250663,0.161905704311298,0.158,0.104,1
"Metap1d",0.00673846883296612,0.263883062304156,0.193,0.135,1
"Tbl1xr1",0.00681352889436081,0.231194716122063,0.205,0.145,1
"Commd8",0.00703415713083307,0.133299526189128,0.168,0.112,1
"Flot1",0.00706780005016612,-0.32035781862875,0.115,0.168,1
"Epb41",0.00710546365400665,0.263191272142067,0.147,0.095,1
"Sin3a",0.00711674188313657,0.259510597758257,0.107,0.064,1
"Apoe",0.00724708705932576,0.28509119876509,0.597,0.528,1
"Bank1",0.00725317296618772,0.432708038565287,0.119,0.076,1
