"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fth1",0.000421516042070671,-0.378057169530851,1,1,1
"Zfp114",0.0012237487322527,1.09008556946225,0.132,0,1
"Akap11",0.00212758901657264,0.982230612491857,0.355,0.133,1
"Fnbp1l",0.0031998510735308,1.10938831085259,0.145,0.013,1
"Akt1",0.0031998510735308,0.820156291513641,0.145,0.013,1
"Ube2v1",0.00361585225061672,-0.948574382346991,0,0.107,1
"Slc25a36",0.00361585225061672,-1.15671786551234,0,0.107,1
"Tbc1d22a",0.00361585225061672,-0.921828165698053,0,0.107,1
"Ppp1r9a",0.00401403684268287,-1.12477415304448,0.158,0.333,1
"Vamp4",0.00408510749512981,0.907921859893265,0.105,0,1
"Cds2",0.00408510749512981,0.940102477295392,0.105,0,1
"Nphp1",0.00473046128516318,-0.848645728920403,0.013,0.133,1
"Mbp",0.00540405330701589,0.132178956292861,1,1,1
"Upf2",0.00607068256903641,0.64293680340786,0.474,0.227,1
"S100b",0.00655496010528855,0.338430021837157,1,0.973,1
"Nol3",0.00656274596975842,0.895272567633436,0.158,0.027,1
"Ppia",0.00822107477564901,0.572840736225173,0.342,0.147,1
"Man1a2",0.00831061917670655,0.985748960256067,0.289,0.12,1
"Klhl24",0.00835030562452224,-0.910035785892099,0.013,0.12,1
"Sbds",0.00901021098507812,0.954245698456586,0.118,0.013,1
"Ubxn2b",0.00924030967692441,1.06951271343266,0.118,0.013,1
"Prpf38a",0.00971629693005765,0.858466573598262,0.118,0.013,1
"Cdh1",0.00999999643346014,0.909582587141812,0.237,0.08,1
"Ccdc137",0.0104712885754704,0.739496288222298,0.118,0.013,1
"Rbpj",0.0106188225120305,0.942526430988984,0.145,0.027,1
"Zfp180",0.0114989486432715,0.908104658706389,0.211,0.067,1
"Selenow",0.0118078658325631,-1.07459736767726,0.158,0.32,1
"Psmc1",0.0119850501984378,0.605408290035269,0.197,0.053,1
"Dhdh",0.0121648046776483,0.760285763874438,0.342,0.16,1
"Drp2",0.0124520974697053,0.18443624651707,1,1,1
"Filip1",0.0139475783253713,-0.593027453022919,0.618,0.693,1
"Ank3",0.0146622130724836,0.972861267555931,0.237,0.093,1
"Nfib",0.0146951820739125,-0.823504201820493,0.013,0.107,1
"Dlg1",0.0153324582680663,-0.929266956444547,0.053,0.173,1
"Nsa2",0.016037520342043,0.771441569612205,0.105,0.013,1
"Prx",0.0180258795473859,-0.21153730711938,1,1,1
"Cyld",0.0181083596676,-0.79207978579821,0.053,0.173,1
"Zfp654",0.0190374909752804,0.675269109552948,0.132,0.027,1
"Metrnl",0.0190489727394785,0.577057058666336,0.105,0.013,1
"Pfdn5",0.0194787642413204,0.596217503006319,0.421,0.24,1
"Atp5j",0.0207195613066693,0.424781896040275,0.132,0.027,1
"Stx4a",0.0207952584867679,0.598806615943714,0.447,0.267,1
"Scd1",0.0211751174686429,0.396849277434394,0.776,0.613,1
"Ddx46",0.0212201867946812,-0.943384266294823,0.039,0.147,1
"Gng2",0.0212201867946812,-0.880472387225871,0.039,0.147,1
"Ncl",0.0218318782300047,-0.597625585959356,0.539,0.64,1
"Satb1",0.0221112026300443,-0.920526533072536,0.105,0.24,1
"Hsph1",0.0224979649299349,-0.801717013183187,0.039,0.147,1
"Zranb1",0.0228919036567205,-0.793575300221808,0.053,0.173,1
"Fkbp9",0.0232810454912582,0.867509174867565,0.316,0.16,1
"Trim37",0.023456818053686,-0.784864093386474,0.092,0.227,1
"Naa15",0.0234725354403836,0.451622748337025,0.329,0.16,1
"Copa",0.0245271813808687,-0.7981322656459,0.079,0.2,1
"Taok1",0.024591389441269,-0.883336331748686,0.066,0.187,1
"Ube3a",0.0248372793689557,0.672174692174049,0.263,0.12,1
"Zfp652",0.0279987662335702,0.434308450840331,0.605,0.387,1
"Tppp3",0.0283005618471628,0.698272781254669,0.145,0.04,1
"Ap1ar",0.0286087615749988,0.871773693369358,0.118,0.027,1
"Zcchc17",0.0287785364370588,0.594442624117944,0.211,0.08,1
"Cttn",0.028837705795529,0.636499030243697,0.145,0.04,1
"Tfdp2",0.0289760898044899,1.02676759485213,0.197,0.08,1
"Nfia",0.0291778367284386,0.514178299851899,0.474,0.28,1
"Timp3",0.029213249841433,0.612260517769364,0.303,0.147,1
"Ndel1",0.029511403806203,0.633317331576668,0.382,0.213,1
"L3mbtl3",0.0298317990349195,0.78384701596175,0.118,0.027,1
"Utp6",0.0298317990349195,0.743939126347116,0.118,0.027,1
