"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cfap100",1.87397498056284e-23,0.247665010749327,0.951,0.902,2.81471042080538e-19
"Ogn",3.72089984075574e-22,0.44541440514136,0.535,0.387,5.58879156081512e-18
"Cntf",3.30461048549688e-21,0.482048308745417,0.46,0.329,4.96352494921631e-17
"Mt2",1.24228006771185e-20,0.700117088735595,0.306,0.188,1.8659046617032e-16
"Mt3",4.01289802029864e-19,0.436724868370419,0.58,0.447,6.02737282648856e-15
"Eps8l1",7.98177943811231e-18,-0.642422246487849,0.081,0.164,1.19886327160447e-13
"Dusp15",9.73835922178822e-17,0.196681711314112,0.979,0.951,1.46270155511259e-12
"Qk",2.1011651780453e-16,-0.313749088227866,0.88,0.88,3.15595009742404e-12
"Mt1",2.37308494734992e-16,0.385792924678784,0.257,0.155,3.56437359091958e-12
"Hmgcs1",3.18422675499862e-16,0.431392386375849,0.306,0.2,4.78270858600792e-12
"Mast2",6.84933826070745e-16,0.309408157890992,0.68,0.546,1.02877060675826e-11
"Ddn",9.88648537935547e-16,0.272390178758225,0.841,0.723,1.48495010397919e-11
"Ddit4",1.44730537240563e-15,0.483275266507852,0.193,0.107,2.17385266935326e-11
"Arid5b",5.74639571870511e-15,0.395919409332345,0.198,0.112,8.63108636949508e-11
"Crlf3",1.81630811278411e-14,0.283196961101017,0.377,0.261,2.72809478540173e-10
"Vwa1",2.18319645611076e-14,0.289993061387127,0.512,0.383,3.27916107707836e-10
"Vit",3.62182941895178e-14,0.33047541082128,0.367,0.257,5.43998778726558e-10
"Sptbn5",5.05069844628533e-14,0.278348108835988,0.74,0.631,7.58614906632057e-10
"Prnp",3.76043465551236e-13,0.358191201277665,0.234,0.146,5.64817285257957e-09
"Srsf5",4.27350350050297e-13,0.295669892845255,0.569,0.453,6.41880225775546e-09
"Samd5",1.22978115464852e-12,0.238260407125654,0.412,0.299,1.84713129428207e-08
"Etnk1",2.1463258986801e-12,0.297973442983931,0.473,0.361,3.22378149981752e-08
"Fdft1",5.95020720649587e-12,0.387259505651693,0.2,0.124,8.93721122415679e-08
"Sema5a",7.49763436786385e-12,0.287417405575803,0.254,0.169,1.12614468205315e-07
"Cadm3",1.66085685063864e-11,0.267374976513769,0.553,0.435,2.49460698965924e-07
"Tsc22d4",1.84974773781046e-11,0.268670200376451,0.38,0.278,2.77832110219131e-07
"Sesn1",1.92305491785132e-11,0.173331993477126,0.57,0.445,2.88842848661268e-07
"Tecr",3.47547643824413e-11,0.239872700172817,0.477,0.37,5.22016561024269e-07
"Tsc22d3",3.72656725554938e-11,0.241175568137818,0.249,0.163,5.59730401783517e-07
"Sema6c",4.97243579759143e-11,0.183776341868569,0.893,0.822,7.46859856798233e-07
"Acly",6.25695555328787e-11,0.269610719025708,0.261,0.177,9.39794724103837e-07
"Zfp280c",6.43311686997841e-11,0.216778144842508,0.513,0.393,9.66254153870757e-07
"Wsb1",7.94627818061142e-11,0.241526080386183,0.648,0.539,1.19353098272783e-06
"Fam57a",9.8342465144972e-11,0.230970885610398,0.228,0.148,1.47710382647748e-06
"Evi5",1.06107555662272e-10,0.332039479058825,0.233,0.157,1.59373548604733e-06
