"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Aldh1a1",1.46669152737175e-07,0.452458443382748,0.438,0.312,0.00220297067411237
"Tmsb4x",2.7925465704282e-06,0.428220991819255,0.139,0.068,0.0419440494878315
"Snrnp70",3.20480996521192e-06,-0.342676490856053,0.598,0.668,0.048136245677483
"Kcna1",4.97258920900576e-06,0.325900800364908,0.71,0.605,0.0746882899192665
"Epb41l4b",8.71789826612552e-06,-0.249683968040031,0.879,0.897,0.130942831957205
"Bmp2k",1.08750974571856e-05,0.493531324607424,0.124,0.061,0.163343963806928
"Fign",1.85381687572301e-05,0.478113481273697,0.149,0.082,0.278443294733597
"Ifngr1",2.713302430502e-05,0.339460291002717,0.104,0.048,0.407538025061401
"Pdk4",4.30604510116798e-05,0.370588623045287,0.166,0.095,0.64676797419543
"Zfr",4.49747233221443e-05,0.430887864790303,0.172,0.103,0.675520344298607
"H2-D1",5.33778936502756e-05,0.33913358475861,0.139,0.075,0.80173596262714
"Ntng1",5.80745825368471e-05,0.341047028709143,0.11,0.053,0.872280229703444
"Iqsec1",8.38824327601758e-05,0.401873972247358,0.101,0.049,1
"Chrdl1",0.000118946143968938,0.314926285824328,0.156,0.091,1
"Selenon",0.000119566527538425,0.329883675556867,0.114,0.06,1
"Emp1",0.000119966989306376,0.381401243340363,0.217,0.143,1
"Laptm4b",0.000122036903293942,0.342265570461883,0.212,0.136,1
"Endod1",0.00012866835069847,0.353118894685771,0.193,0.122,1
"Papss1",0.000130042838503076,0.292228147044876,0.166,0.099,1
"Ranbp9",0.000130177354411255,0.332793452589102,0.148,0.086,1
"Fxyd7",0.000134208301843913,-0.402175673628832,0.564,0.616,1
"Cnp",0.000159053844508769,0.252413391784243,0.471,0.366,1
"S100a11",0.000161931388775698,0.294490073217455,0.112,0.058,1
"Pgrmc1",0.000166202082379218,0.322292531605632,0.113,0.06,1
"Prx",0.000167582537847571,0.422565459086468,0.197,0.127,1
"Drp2",0.000171142750487736,0.559666161565523,0.11,0.057,1
"Ube2d2a",0.000173988251191357,0.334967273851661,0.161,0.096,1
"Gask1b",0.000179752766662739,0.342467209518244,0.301,0.214,1
"Emp3",0.000181104848124866,0.325521430378716,0.147,0.086,1
"Stbd1",0.000183280810412923,0.507947410658248,0.133,0.077,1
"Tmem59",0.000184894465776397,0.361103851749615,0.141,0.082,1
"Cnn3",0.000215404751400292,0.32558556485059,0.24,0.162,1
"Anxa1",0.0002200997792648,0.357296253745163,0.21,0.139,1
"Appbp2",0.000237478653884832,0.26824673894381,0.14,0.081,1
"Tmbim1",0.000244471469724251,0.362517829647451,0.167,0.104,1
"Art3",0.000261656076327869,0.231920867655701,0.749,0.668,1
"Pcdh7",0.000268676436012628,0.296124977709729,0.436,0.339,1
"Prss23",0.000280339288768546,0.270505969934541,0.132,0.077,1
"mt-Atp6",0.00028920317354634,0.407662818056495,0.119,0.066,1
"Cst3",0.000300294248271007,0.483988235856839,0.324,0.251,1
"Klf2",0.000356130758238458,0.263393057975354,0.184,0.117,1
"Sostdc1",0.000373042435131872,0.350150448628141,0.27,0.194,1
"Hsd17b11",0.000377884501167295,0.401103308473894,0.173,0.112,1
"Tmed9",0.000378807368926216,0.339740917803535,0.115,0.064,1
"Ahnak",0.000383549395909588,0.164686034717924,0.959,0.939,1
"Arid5b",0.000393905534056,0.295319369528236,0.103,0.055,1
"Gab1",0.000398625490799433,0.261945973865057,0.407,0.312,1
"Zfp281",0.000424017053111366,0.363395672107258,0.122,0.07,1
"Cpe",0.000485583237264968,0.345234519733087,0.273,0.195,1
"Bicd1",0.000506632322900056,0.271760534843447,0.154,0.095,1
"Ndst1",0.000512303292192375,0.393886600883273,0.268,0.196,1
"Eps8l1",0.000518705787415655,-0.549947826632385,0.06,0.105,1
"Ifitm3",0.000552510370377627,0.299716862852513,0.1,0.053,1
"Srsf2",0.000554570242323805,0.261582408354996,0.354,0.27,1
"Bcl2l1",0.000556812896011581,0.25111727066697,0.434,0.342,1
"Gal3st1",0.000561503779477841,0.285722377461218,0.213,0.144,1
"Rbms1",0.00056952696640727,0.324687415778616,0.243,0.171,1
"Gnai1",0.000578931590474068,0.310921334289777,0.157,0.099,1
"Serinc1",0.000627904641907265,0.281451983962137,0.202,0.136,1
"Akap12",0.000636244410444599,0.390289988748196,0.143,0.088,1
"Nfkbia",0.000664829919126854,0.231176501781388,0.253,0.179,1
"Cd59a",0.000687392546036254,0.249628138861287,0.407,0.317,1
"Rab8b",0.000693589085043276,0.228648432549267,0.158,0.099,1
"Tmem106b",0.000709467424089719,0.333177199966166,0.141,0.087,1
"Zdhhc8",0.000720888973055763,0.240252340630657,0.178,0.116,1
"Wipi2",0.000723360315461769,0.322936181665322,0.186,0.122,1
"Kif1a",0.000730535919847753,0.38000693177429,0.123,0.073,1
"Gpm6b",0.000733897647459552,0.291241009468162,0.34,0.262,1
"Zbtb38",0.000783567859098051,0.200514754195419,0.11,0.061,1
"Lin7c",0.000794733212866084,0.266694419010859,0.111,0.062,1
"Zfp36",0.00080237191831729,0.203436352944167,0.153,0.096,1
"Creb3l2",0.00080589699692515,0.175153419872738,0.182,0.118,1
"Ep400",0.000812490865134352,0.221083437608875,0.188,0.122,1
