"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Foxo1",0.000632396862564381,1.7078199089592,0.583,0.05,1
"Ksr1",0.000947262501270653,-1.71704355281943,0.125,0.6,1
"Cic",0.00139765202936704,1.73713522219698,0.417,0,1
"Slc25a24",0.00199686998098584,-1.4359199513624,0,0.35,1
"Mettl17",0.00199686998098584,-1.78569718534253,0,0.35,1
"Arglu1",0.00208335862125888,-0.915006068832546,0.792,1,1
"Poldip3",0.00218091285403524,1.73558535982804,0.458,0.05,1
"Adam11",0.00235068038078981,1.82017285473628,0.667,0.25,1
"Peg3",0.00241031973355098,1.74580379910611,0.458,0.05,1
"Fibp",0.00276395093980363,1.28294866143381,0.375,0,1
"Cldn19",0.00437969937859719,-2.38186290530114,0.125,0.5,1
"Ndufs4",0.00456786572474423,1.46851290983947,0.417,0.05,1
"Stk10",0.0047324929013295,-1.27113142740875,0,0.3,1
"Snap29",0.0047324929013295,-1.13530007166826,0,0.3,1
"Prickle3",0.0047324929013295,-1.75178405191072,0,0.3,1
"Lats2",0.00514558210647672,-1.03089784118581,0.375,0.75,1
"Gorasp2",0.00533909180404995,1.10333414371612,0.333,0,1
"Sec22b",0.00533909180404995,1.73680064282171,0.333,0,1
"Rsrp1",0.00561421354836534,-0.69617992608678,0.958,1,1
"Fkbp9",0.00587317095120614,1.39372010948899,0.583,0.15,1
"Arhgef2",0.00621036700285881,1.25289381716829,0.667,0.25,1
"Shc4",0.00628490269034059,-1.61275494635814,0.125,0.5,1
"Atp13a1",0.0066869072601591,-1.19551190688211,0.083,0.45,1
"Rprd1a",0.00685788274922164,-1.31755780657554,0.292,0.65,1
"Fggy",0.00774052864738153,-1.35079866737953,0.042,0.35,1
"Vsig10",0.00774052864738153,-1.56563887312106,0.042,0.35,1
"Nfat5",0.00797054692797889,-1.25162623987539,0.208,0.55,1
"Mapre2",0.00804780635386588,1.21700051604554,0.417,0.05,1
"Akap12",0.00845902519728223,1.29817227585064,0.375,0.05,1
"Zfp326",0.00864046776677451,-1.08301741168486,0.208,0.55,1
"Dpf2",0.00881717361075383,1.10776683736024,0.417,0.05,1
"Ptov1",0.00907581115685051,-1.34315163285826,0.333,0.65,1
"Pias3",0.00907625288171045,-1.31139634704303,0.167,0.5,1
"Tax1bp3",0.00929348208671326,1.69994039889736,0.375,0.05,1
"Chpf2",0.00969815028191092,1.35884475239173,0.458,0.1,1
"Rflna",0.00973764199250572,-1.30182355039623,0.083,0.4,1
"Safb",0.00990142080606802,-1.10628241498896,0.25,0.6,1
"Gmeb2",0.0100967927710485,1.45798734903027,0.292,0,1
"S100a16",0.0100967927710485,1.24032487896312,0.292,0,1
"Ssbp3",0.0100967927710485,1.37797280761461,0.292,0,1
"Cpsf4",0.0100967927710485,1.16990833668626,0.292,0,1
"Rpusd3",0.0100967927710485,1.13323342222162,0.292,0,1
"Clip3",0.0100967927710485,1.07973237101915,0.292,0,1
"Arpin",0.0100967927710485,1.18851243111128,0.292,0,1
"Sh3rf1",0.0100967927710485,0.912532657586754,0.292,0,1
"Adgrg1",0.0100967927710485,1.12523298924063,0.292,0,1
"Eno3",0.0100967927710485,1.11563016006867,0.292,0,1
