"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",7.75302912587523e-17,-1.10851746152581,0.258,0.483,1.16450497470646e-12
"Fos",3.4753913754017e-16,-1.22324550638649,0.247,0.462,5.22003784585336e-12
"Junb",2.16426503853389e-13,-1.12530821003606,0.208,0.396,3.2507260878779e-09
"Zfp36",4.17076246325796e-13,-1.4235932259049,0.279,0.45,6.26448521981346e-09
"Bgn",5.77763104778757e-12,0.992496714235038,0.294,0.125,8.67800183377693e-08
"Col6a3",9.69806897254483e-11,0.68011458404737,0.399,0.209,1.45664995967623e-06
"C4b",2.14977002861169e-10,0.782293829702271,0.457,0.275,3.22895458297475e-06
"Gnas",8.40091776272279e-10,0.658603285782831,0.286,0.128,1.26181784796096e-05
"Ier2",2.14449487861073e-09,-1.01437599319409,0.171,0.31,3.22103130767331e-05
"Ccl19",1.05830255134225e-08,0.67843124362681,0.16,0.054,0.000158957043211606
"Fosb",1.10960070635473e-08,-1.14324706780843,0.137,0.268,0.00016666202609448
"Baiap2",1.94708502032134e-08,0.536979140430745,0.262,0.125,0.000292452170052266
"C1s1",2.39214273850982e-08,0.482096538134321,0.4,0.23,0.000359299839324175
"Ap2m1",3.46756301079295e-08,0.588302935558659,0.11,0.028,0.000520827964221101
"Dusp1",6.39852249197876e-08,-1.05632854789353,0.286,0.401,0.00096105807829521
"Sned1",6.74039182092399e-08,0.491324568253612,0.407,0.249,0.00101240685150278
"Mn1",1.22792492364108e-07,0.481040625655081,0.162,0.061,0.0018443432353089
"Ssc5d",1.32284520186531e-07,0.547194681223468,0.315,0.17,0.0019869134932017
"Btg2",1.42760373101885e-07,-1.46312532800348,0.05,0.138,0.00214426080399032
"Islr",1.88701523164265e-07,0.568804779115551,0.249,0.125,0.00283429687792725
"Trim46",1.89065684620877e-07,0.66456212924106,0.116,0.035,0.00283976658300557
"Acvr2a",1.91433622602207e-07,0.580846072678522,0.149,0.054,0.00287533301148515
"Nr4a1",2.02924261572346e-07,-1.05674937040111,0.13,0.244,0.00304792240881664
"H6pd",2.78219280537646e-07,0.453993912115781,0.183,0.076,0.00417885359367544
"Slc25a3",2.95255291095189e-07,0.463070070412922,0.142,0.05,0.00443473447224974
"Plekhg2",3.38719144878462e-07,0.447765782614048,0.135,0.047,0.0050875615560745
"Atf7",4.00464601874976e-07,0.446024132524658,0.199,0.088,0.00601497832016214
"Ddx5",5.00134463969743e-07,0.479700471854303,0.119,0.038,0.00751201964882554
"Col15a1",5.85067850661228e-07,0.630797616346663,0.132,0.047,0.00878771911693164
"Klf4",7.33497969046057e-07,-0.711312296135594,0.484,0.559,0.0110171394950718
"Dnajb11",8.96475452542384e-07,0.406235383116316,0.105,0.031,0.0134650612971866
"Sfpq",1.00104143566789e-06,0.401668457878906,0.294,0.157,0.0150356423637318
"Serpinb6a",1.27534177052846e-06,0.438252112327924,0.141,0.054,0.0191556333933375
"Col5a3",1.53487586549812e-06,0.630974632080898,0.441,0.298,0.0230538354997817
"Mfap2",1.70368122673649e-06,0.475701352691477,0.109,0.035,0.025589292025582
"Mpz",1.74294699994235e-06,0.952330236786231,0.244,0.133,0.0261790639391342
"Setbp1",2.14825807618963e-06,0.352314268432814,0.228,0.111,0.0322668363043683
"Col4a1",2.16194175787765e-06,0.628173851052125,0.404,0.26,0.0324723652033223
"Ctsb",2.59763543635535e-06,0.433900188642233,0.196,0.093,0.0390164842540574
"Nono",2.75217195497805e-06,0.322926022541579,0.141,0.055,0.0413376227637702
"Bmper",2.84308867350213e-06,0.416934490686711,0.212,0.104,0.0427031918760019
"Scarf2",3.10645722251038e-06,0.494675934868309,0.158,0.067,0.0466589874821059
"Csmd1",3.43264240760704e-06,0.587622857691685,0.119,0.043,0.0515582889622578
"Lox",3.59421296110666e-06,0.391495608343354,0.157,0.067,0.0539850786758221
"Lrp6",3.98432012717064e-06,0.441386015272985,0.427,0.275,0.0598444883101031
"Adam33",4.61674548717698e-06,-0.583469062189957,0.584,0.631,0.0693435172173983
"Entpd2",4.69666754867285e-06,0.381802271570467,0.336,0.199,0.0705439465810662
"Exoc4",5.37354502359522e-06,0.393890262620617,0.294,0.17,0.0807106462544002
"Arf3",5.42552859064234e-06,0.539606159489622,0.141,0.059,0.0814914394314479
"Nufip2",6.28508509785593e-06,0.475080149261792,0.141,0.059,0.094401978169796
"Tardbp",6.4993276246126e-06,0.309189401102332,0.315,0.183,0.0976199009216812
"Manf",6.76274669575468e-06,0.392901220742322,0.123,0.047,0.101576455370235
"Sugp2",6.78145074673381e-06,0.312077097528632,0.137,0.055,0.101857390215942
"Tagln2",7.46331684727148e-06,0.506643702874581,0.21,0.109,0.112099019046018
"Snx19",9.05791061805155e-06,0.421953384694827,0.121,0.047,0.136049817483134
"Sparc",9.06628626605077e-06,0.461196129513493,0.687,0.562,0.136175619716083
"Cfb",1.09724080588626e-05,0.422013477525426,0.196,0.099,0.164805569044116
"Myo1c",1.10134393601356e-05,0.539362102217904,0.19,0.097,0.165421859189236
"Spcs3",1.10971984799291e-05,0.439151493879059,0.119,0.047,0.166679921168535
"Hspa5",1.28701730679322e-05,0.447757185477051,0.137,0.059,0.193309999480342
"Spaca6",1.34517744296514e-05,0.356582466914949,0.288,0.168,0.202045651933364
"Nvl",1.38406502304452e-05,0.397520919601892,0.169,0.08,0.207886566461287
"Podn",1.52339353877736e-05,0.303756303712345,0.409,0.261,0.228813709524359
"Sod3",1.56462275679929e-05,0.429477190614308,0.388,0.249,0.235006338071254
"Zfp384",1.66238718639743e-05,0.38283955623641,0.1,0.035,0.249690555396895
"Trps1",1.73131467220027e-05,0.403263716709496,0.142,0.062,0.26004346376448
"Gstm2",2.22680270395872e-05,0.454583160429988,0.155,0.073,0.3344657661346
"Cyp1b1",2.27376284507082e-05,0.0606216497340788,0.149,0.067,0.341519179329638
"Srsf5",2.30381046724008e-05,0.34467973470907,0.283,0.168,0.34603233217946
"Snd1",2.48754150414932e-05,0.334777302586899,0.423,0.277,0.373628733923227
"Maged1",2.84686259463459e-05,0.359102734492555,0.235,0.13,0.427598761714116
