"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Map1b",0.000140814731871581,0.84372342202989,0.973,0.767,1
"Slc9a3r2",0.00049048466265208,-1.39049216771432,0.013,0.2,1
"Ccdc124",0.000770310787044415,-1.69610940978491,0.08,0.333,1
"Ptms",0.00124900713998176,-0.4637316824048,1,1,1
"Rbms1",0.00138649157329378,-1.34027286087531,0,0.133,1
"Id3",0.00138649157329378,-1.25963291457817,0,0.133,1
"Cttn",0.00185309329694196,-1.49592472407103,0.04,0.233,1
"Caprin1",0.0018856907693866,1.1415116666687,0.547,0.2,1
"Stx4a",0.00265839851939986,-1.20950083481955,0.267,0.533,1
"Ubap2",0.00269288358361444,0.903832636124586,0.507,0.167,1
"Sptb",0.00292740333028072,0.695292377189641,0.88,0.633,1
"Map4k4",0.00313830683292411,0.833794317033613,0.787,0.467,1
"Ppfibp1",0.00368277965564092,-1.10476359092278,0.28,0.5,1
"Pea15a",0.00425521909019944,0.371976508877659,0.987,0.967,1
"Gpm6b",0.00454360462765463,0.567612277351159,0.96,0.867,1
"Sparc",0.00470351079747008,0.530917550195152,1,1,1
"Cab39",0.00591062918838552,-0.833676478413058,0,0.1,1
"Zcchc2",0.00591062918838552,-1.29056248533923,0,0.1,1
"Strbp",0.00591062918838552,-0.92953115130947,0,0.1,1
"Fbn1",0.00591062918838552,-1.2839701370357,0,0.1,1
"Hist2h2be",0.00591062918838552,-0.962889611178144,0,0.1,1
"Col24a1",0.00591062918838552,-1.15646667737134,0,0.1,1
"Slc2a1",0.00591062918838552,-1.37482965106579,0,0.1,1
"Rbbp4",0.00591062918838552,-0.932041748860164,0,0.1,1
"Ski",0.00591062918838552,-0.993754331103776,0,0.1,1
"Nrbp1",0.00591062918838552,-1.06234237910237,0,0.1,1
"Tgfbr3",0.00591062918838552,-0.982262262766798,0,0.1,1
"Tsc22d4",0.00591062918838552,-1.01619820779874,0,0.1,1
"Zfp574",0.00591062918838552,-1.1182275910833,0,0.1,1
"Iqgap1",0.00591062918838552,-0.852132976443974,0,0.1,1
"Ikzf5",0.00591062918838552,-1.39720792896401,0,0.1,1
"Osbpl5",0.00591062918838552,-0.90870085623178,0,0.1,1
"Spire2",0.00591062918838552,-1.11972815634482,0,0.1,1
"Nptn",0.00591062918838552,-1.18611364828727,0,0.1,1
"Prmt2",0.00591062918838552,-1.37402662112027,0,0.1,1
"Xaf1",0.00591062918838552,-0.802014210098352,0,0.1,1
"Tada2a",0.00591062918838552,-0.901527185060078,0,0.1,1
"Fut8",0.00591062918838552,-0.840486635479709,0,0.1,1
"Rgcc",0.00591062918838552,-1.05281136939307,0,0.1,1
"Rbm26",0.00591062918838552,-1.12916903545145,0,0.1,1
"Sun2",0.00591062918838552,-0.901527185060078,0,0.1,1
"Tsr3",0.00591062918838552,-1.20723967465386,0,0.1,1
"Gar1",0.00672839005056199,-1.56329982584368,0.04,0.2,1
"Nus1",0.00672839005056199,-1.36529960305311,0.04,0.2,1
"mt-Cytb",0.00733407280694304,1.13054352532105,0.64,0.3,1
"Fkbp2",0.00849639202026388,1.15502720680222,0.52,0.233,1
"Rnf38",0.00919762937221519,-1.14816123403321,0.013,0.133,1
"Gcc1",0.00919762937221519,-1.22183535315635,0.013,0.133,1
"Kdm2a",0.00951086332359167,-0.593728815920701,0.04,0.2,1
"mt-Co3",0.0097572448303153,1.07755145160485,0.627,0.333,1
"Inpp4a",0.0100105461078598,-1.43771726154968,0.027,0.167,1
"Sel1l",0.0102826904774752,-0.958984630297276,0.013,0.133,1
"Ndufa5",0.0110013374328655,-1.17053166500996,0.027,0.167,1
"Kif3c",0.011528671970151,-1.12764331549068,0.027,0.167,1
"Fxyd7",0.0118945323785591,1.99103258680761,0.187,0,1
"Taok1",0.0118945323785591,1.4315504627235,0.187,0,1
"Ccser2",0.012224052506716,0.622786840741317,0.813,0.5,1
"Kif1a",0.0126532234235023,1.35354003767599,0.587,0.367,1
"Fmn2",0.0129717087435498,-1.42526514628041,0.067,0.233,1
"Keap1",0.0136076563535986,-0.721852958381339,0.12,0.333,1
"Ctnna3",0.0136689683700519,0.832723124165229,0.613,0.333,1
"Otud7b",0.0140326410919165,-0.59757375269711,0.6,0.733,1
"Zfp664",0.0142157712093131,1.2041854101477,0.427,0.167,1
"Dennd5a",0.0145674560366973,0.705163807349381,0.787,0.467,1
"Ensa",0.0147008581483517,1.15743580205125,0.347,0.1,1
