"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sptbn5",2.70156645182444e-14,-0.446015961952329,0.631,0.712,4.05775281064031e-10
"Anxa3",2.04030076032899e-11,-0.446739385058392,0.17,0.268,3.06453174201414e-07
"Col1a2",6.12497634654489e-10,-0.290134078687153,0.58,0.678,9.19971447251043e-06
"Spop",1.63284366985402e-09,-0.316025494860738,0.169,0.259,2.45253119212074e-05
"Spp1",3.69544491248183e-09,-0.478691695097489,0.168,0.252,5.55055825854771e-05
"Eps8l1",1.08122564927631e-08,-0.377212405746639,0.164,0.247,0.000162400092521302
"Col7a1",2.15752592072002e-08,-0.294276468691655,0.051,0.102,0.000324060393292147
"Zdhhc2",2.46821758602865e-08,-0.359961334618346,0.122,0.193,0.000370726281421503
"Vstm4",3.17051306615288e-08,-0.298416490532581,0.112,0.181,0.000476211062536163
"Nav1",4.7682588813262e-08,-0.393878446562607,0.201,0.281,0.000716192483975195
"Rbm39",5.43715408845823e-08,-0.242901491022158,0.334,0.44,0.000816660544086426
"Art3",1.65215772082662e-07,0.333619866279077,0.748,0.724,0.00248154089668158
"Ppp1r9a",2.1874944017208e-07,0.471823761081819,0.462,0.41,0.00328561659138464
"Fntb",2.24842922040616e-07,-0.262981885971154,0.149,0.224,0.00337714068905005
"Etnppl",2.55442375706378e-07,-0.237851238306745,0.183,0.263,0.00383674448310979
"Sema3g",2.95533222267726e-07,-0.326597538817487,0.281,0.371,0.00443890899846124
"Cacnb3",3.32987488144863e-07,-0.330762453006879,0.128,0.194,0.00500147207193584
"Slc7a2",5.52401235140041e-07,0.367325388165634,0.331,0.251,0.00829706655180341
"Col1a1",5.78411276149161e-07,-0.287600888575071,0.468,0.553,0.00868773736776039
"Col23a1",6.93923920540692e-07,-0.288439567672147,0.354,0.438,0.0104227372865212
"Tesk2",8.21979092785609e-07,-0.241990213239283,0.168,0.242,0.0123461259736398
"Rock2",8.54362210023309e-07,-0.264335118630393,0.197,0.276,0.0128325203945501
"Nfasc",1.01436252107615e-06,0.201898925400068,0.905,0.895,0.0152357250665638
"Dbn1",1.01570104204258e-06,-0.248153423380328,0.323,0.414,0.0152558296514795
"Plk5",1.22770135196744e-06,-0.189871524180942,0.442,0.534,0.0184400743065509
"Sirt2",2.19862467924837e-06,-0.17276722564175,0.49,0.577,0.0330233426823106
"Cc2d1a",2.35909991853967e-06,-0.297645458100199,0.101,0.158,0.0354336807764659
"Hectd4",3.47455436206632e-06,-0.254058657249168,0.36,0.453,0.0521878065182361
"Rsrp1",3.53793869203107e-06,-0.184595890910682,0.735,0.802,0.0531398391543067
"Col5a3",4.40080244723332e-06,-0.217653356969715,0.722,0.749,0.0661000527574445
"Mdn1",4.59773770193975e-06,-0.220421024263361,0.189,0.262,0.069058020283135
"Ide",4.60362157365991e-06,-0.246583878808393,0.073,0.121,0.0691463960363719
"Plec",5.02067369923177e-06,-0.161927158788602,0.581,0.668,0.0754105189624611
"Col5a1",5.59864946482387e-06,-0.204823853863102,0.547,0.629,0.0840917149616545
"Angptl4",5.91289813539758e-06,-0.325516681228514,0.2,0.268,0.0888117299936716
"Myo1b",7.09727808683417e-06,-0.192777203746491,0.382,0.471,0.106601116864249
"Col4a1",7.17831899649738e-06,-0.209814034582723,0.543,0.609,0.107818351327391
"Col24a1",7.52513032975659e-06,-0.262640400454743,0.425,0.501,0.113027457552944
"Tnxb",8.50308371884536e-06,-0.244803499998874,0.559,0.617,0.127716317457057
"Gpt",8.65004649214198e-06,-0.207296364390701,0.084,0.134,0.129923698311973
"Htt",9.68417497534111e-06,-0.207120793154788,0.213,0.29,0.145456308129624
"Apod",1.02091405785072e-05,-0.309107049851102,0.328,0.408,0.153341291489179
"Ccdc159",1.05449130577096e-05,-0.172764060392371,0.123,0.181,0.158384594126798
"Hmgn3",1.33049095059124e-05,-0.205415022392476,0.177,0.245,0.199839740778804
"Timm44",1.35075320154544e-05,-0.324771473782759,0.176,0.24,0.202883130872125
"Man1a",1.46754239414215e-05,-0.223204988963009,0.133,0.19,0.220424867600151
