"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dbp",1.64090781521232e-08,0.640523566262328,0.206,0.097,0.00024646435384489
"Tax1bp3",1.5375955119301e-07,0.602341521991274,0.187,0.089,0.00230946845891901
"Trim56",3.26031578115098e-07,0.571320824452537,0.131,0.052,0.00489699430328877
"C1s1",4.86652862675686e-07,0.488141959484877,0.151,0.065,0.00730952599738881
"Dhh",5.48993977816979e-06,0.404579820860894,0.206,0.113,0.0824588954681102
"Selenop",1.33308548195697e-05,0.468147312184724,0.197,0.111,0.200229439389937
"Maged1",1.80396942159947e-05,0.509379705447348,0.164,0.088,0.27095620712424
"Kat6b",3.76787894959319e-05,0.452255933521666,0.147,0.076,0.565935418228897
"Slc44a1",5.64408206239792e-05,0.381312728661833,0.266,0.172,0.847741125772167
"Zfp866",6.31525506630375e-05,0.362360368944106,0.122,0.059,0.948551310958823
"Ttc3",7.20014883609421e-05,0.391017602131661,0.145,0.078,1
"Srrm2",7.20478874767086e-05,0.321121419218772,0.34,0.231,1
"Rhbdf1",7.63606923854318e-05,0.409713355784976,0.281,0.185,1
"Spaca6",7.85757099294929e-05,0.294950815279428,0.244,0.15,1
"Cspg4",8.76793828821672e-05,0.448498401249713,0.105,0.049,1
"Wnt6",8.90206069146225e-05,0.40457883482901,0.331,0.234,1
"Kcna1",9.65604229904301e-05,-0.314900731495233,0.605,0.691,1
"Cdc42ep1",9.70023100693938e-05,0.366904309112781,0.152,0.082,1
"Ctsa",0.000117688108593149,0.36878916829387,0.2,0.121,1
"Tap2",0.000127700954804866,0.28742946372368,0.209,0.127,1
"Rgmb",0.000137511677575725,0.365401536096486,0.257,0.166,1
"Baz1b",0.000147885155748354,0.461253041276524,0.164,0.095,1
"Atp13a3",0.00014973632277585,0.34178818898724,0.16,0.091,1
"Rtn4",0.000183749452772747,0.410344485740938,0.103,0.049,1
"Cdk9",0.000215766344505766,0.42856691609716,0.182,0.111,1
"Six5",0.000222255299099109,0.349054681527553,0.201,0.126,1
"Irs2",0.000292141188484246,0.325629476820645,0.103,0.051,1
"Cd200",0.000315508155892481,0.253441791314576,0.27,0.182,1
"Trim35",0.000325386834860202,0.305122461293478,0.409,0.303,1
"Egln2",0.000339732860729051,0.347760078210161,0.127,0.069,1
