"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rorc",7.92390335665794e-12,1.04739169470047,0.494,0.27,1.19017028417002e-07
"Esrrg",1.55074623117056e-10,1.81220626921855,0.519,0.374,2.32922083921817e-06
"Dhrs11",2.29215782372632e-10,0.917685506329817,0.528,0.315,3.44282105123693e-06
"Cped1",2.7550694013806e-10,0.765467246256992,0.704,0.54,4.13811424087366e-06
"Slc20a1",3.04543092252925e-10,0.821167414790849,0.399,0.187,4.57423724563893e-06
"Rsrp1",4.84661110406943e-10,0.66578836154273,0.846,0.706,7.27960987831228e-06
"Mical2",5.87262866919166e-10,1.08508279853694,0.381,0.184,8.82068826112587e-06
"Clip1",1.55037115964026e-09,0.761851641350552,0.682,0.51,2.32865748177968e-05
"Mat2a",3.30419568955316e-09,0.608284489350242,0.745,0.582,4.96290192570885e-05
"Tra2a",1.10037428444494e-08,0.756697327524184,0.635,0.478,0.000165276217523631
"Pde7a",1.1349232720121e-08,1.0294649682044,0.472,0.294,0.000170465475456218
"Mapt",1.78086637348937e-08,0.947550607930024,0.431,0.255,0.000267486129298103
"Reep3",5.23825807328589e-08,0.586582268692574,0.286,0.116,0.000786786362607541
"Arfrp1",1.16662970267205e-07,0.713984958324543,0.399,0.228,0.00175227781341342
"Snai3",1.35895760690476e-07,1.1890870045226,0.447,0.3,0.00204115432557096
"Mafg",1.94570344005926e-07,0.526600642724731,0.522,0.332,0.002922446566969
"Pfkfb2",5.26854314364733e-07,0.83894354922201,0.434,0.264,0.00791335180175829
"Mocs2",8.68274168171635e-07,0.502335582491411,0.544,0.389,0.013041478005938
"Rmnd1",9.53840138245121e-07,0.681395582823195,0.292,0.145,0.0143266788764417
"Myl6b",1.69872430641574e-06,-1.27729300400182,0.11,0.243,0.0255148390823645
"Best3",1.8756143973883e-06,0.980492889806295,0.39,0.249,0.0281717282487723
"Sorbs1",1.96273309176811e-06,0.368930889077892,0.858,0.777,0.029480251038357
"Ppfia1",2.28190836970572e-06,0.593697243096663,0.478,0.32,0.0342742637129799
"Luc7l2",2.76213924604459e-06,0.663372340860954,0.855,0.777,0.0414873314755897
"Mvd",4.12423307609699e-06,0.788050014014843,0.305,0.163,0.0619459808029769
"Acss1",4.36379711087984e-06,0.794565997174008,0.399,0.258,0.0655442326054152
"Aebp1",4.81729179014252e-06,1.00892949656246,0.239,0.116,0.0723557226879407
"Pnisr",4.99434822267206e-06,0.442623703952622,0.777,0.677,0.0750151103045344
"Slc6a8",5.22030684344797e-06,0.794777290663555,0.5,0.377,0.0784090087885886
"Optn",5.70094835701483e-06,0.563039918787436,0.619,0.475,0.0856282443223627
