"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mt2",1.64753625704861e-27,-0.637197578274849,0.228,0.327,2.47459945808701e-23
"Eps8l1",5.42946128643051e-19,0.434801215664014,0.141,0.078,8.15505085221862e-15
"Hnrnpk",2.43225461972622e-18,-0.356049410739551,0.086,0.15,3.65324643882878e-14
"Mt1",1.74308441270438e-17,-0.365126413741314,0.231,0.312,2.61811278788197e-13
"Ube2d2a",6.52538351917876e-16,-0.356177128062047,0.155,0.226,9.8011260458065e-12
"Smtn",7.0705581069039e-16,0.221182266379667,0.793,0.767,1.06199782765697e-11
"Tuba1a",1.33036886537676e-15,-0.335381297608355,0.294,0.375,1.99821403579589e-11
"Tecr",1.59786317072762e-14,-0.256727614025016,0.428,0.506,2.39999048243288e-10
"Tsc22d3",6.46433540348935e-14,-0.372319002789892,0.217,0.287,9.709431776041e-10
"Ldhb",1.1359094208029e-13,-0.260310192698188,0.477,0.549,1.70613595004596e-09
"Chrdl1",8.14413064200655e-13,-0.264002085727689,0.167,0.232,1.22324842242938e-08
"Cntf",9.75547680858105e-13,-0.316657507096563,0.376,0.443,1.46527261664887e-08
"Tmsb4x",1.4868242094984e-12,-0.351480549250486,0.244,0.309,2.2332099626666e-08
"Selenop",2.92033802963664e-12,-0.333224950541597,0.323,0.392,4.38634772051423e-08
"mt-Co2",3.77327017808239e-12,-0.364106464000194,0.15,0.208,5.66745180747975e-08
"mt-Nd1",5.24264153079057e-12,-0.221642603782373,0.091,0.141,7.87444757924743e-08
"Pcdh9",5.70388487414744e-12,-0.384405930850118,0.208,0.273,8.56723508096946e-08
"Ddit4",8.31322968151607e-12,-0.273510266738835,0.157,0.216,1.24864709816371e-07
"Sesn1",1.26812519566497e-11,-0.202907901916035,0.453,0.532,1.90472404388879e-07
"mt-Atp6",2.53907993541448e-11,-0.307416479700741,0.139,0.194,3.81369806299255e-07
"Art3",3.7892030839679e-11,-0.260659954139514,0.746,0.792,5.69138303211979e-07
"Vwa1",5.67638328653265e-11,-0.220386753514619,0.535,0.609,8.52592769637203e-07
"Ogn",6.51419834229441e-11,-0.295659247499888,0.439,0.503,9.78432591012621e-07
"Stmn1",7.62796188174335e-11,-0.273341704006765,0.406,0.474,1.14571987463785e-06
"Eif1",1.27330936236842e-10,-0.263739964071008,0.087,0.132,1.91251066227737e-06
"H3f3b",1.30173885950762e-10,-0.178405701531822,0.082,0.128,1.95521176698044e-06
"Rasal2",1.35736162388034e-10,-0.219622716129702,0.383,0.457,2.03875715906827e-06
"Elovl6",1.42956332583832e-10,-0.206143464040874,0.152,0.208,2.14720411540916e-06
"Tax1bp3",1.59155383155578e-10,-0.24420673073017,0.165,0.223,2.39051385499678e-06
"Mt3",2.61501018124024e-10,-0.273945935859146,0.468,0.521,3.92774529222285e-06
"Srsf5",2.74945823357739e-10,-0.245342856812506,0.462,0.527,4.12968626683323e-06
"Adipor1",3.44941079652727e-10,-0.237080920681945,0.189,0.247,5.18101501638395e-06
"Dhrs3",4.25740660042228e-10,-0.225522244102863,0.273,0.339,6.39462471383426e-06
"Ap2m1",4.3534245916408e-10,-0.299457839318711,0.169,0.224,6.53884373664449e-06
"Fdft1",5.86548363782919e-10,-0.251261289973709,0.173,0.229,8.80995642401944e-06
"Tsc22d4",6.33708599276806e-10,-0.205566992187672,0.382,0.455,9.51830316113762e-06
"Nrbp2",6.93476502868034e-10,0.174758499230916,0.85,0.839,1.04160170730779e-05
"Endod1",7.35185853047189e-10,-0.272647169858073,0.283,0.344,1.10424915127688e-05
"Etnk1",7.54278549391406e-10,-0.208403005360947,0.405,0.475,1.13292638118589e-05
"Sox10",9.71313564224769e-10,0.159681412913814,0.845,0.839,1.4589129734656e-05
"Etfbkmt",9.97349353720056e-10,-0.256915337226781,0.096,0.142,1.49801872928752e-05
"Erbin",1.53861380427207e-09,-0.26048240795927,0.124,0.172,2.31099793401664e-05
"Aldoa",1.78566317941463e-09,-0.255251766011192,0.119,0.165,2.68206609548077e-05
"Ptprs",3.53035296605384e-09,0.170505542754863,0.739,0.709,5.30259015501287e-05
"Gab1",4.28595140733305e-09,-0.174424328663685,0.338,0.409,6.43749901381424e-05
"Chpt1",5.87137479114627e-09,-0.189342052663358,0.232,0.291,8.8188049363017e-05
"Itm2b",7.10601848910481e-09,-0.220295243396673,0.388,0.446,0.000106732397706354
"mt-Cytb",7.1576168378706e-09,-0.271748398568925,0.123,0.169,0.000107507404904816
"Ndufa2",8.58051496015075e-09,-0.128484413119976,0.082,0.121,0.000128879334701464
"Ermp1",8.99697438028901e-09,-0.146390326796688,0.067,0.104,0.000135134555191941
"Pabpn1",1.01185722013597e-08,0.156899707958221,0.759,0.736,0.000151980954464422
"Ccni",1.1883919820368e-08,-0.227431896517652,0.084,0.124,0.000178496475701927
"Arglu1",1.26566031998829e-08,0.171606177979036,0.769,0.747,0.000190102180062241
"Aldh1a1",1.36665133713654e-08,-0.486392540693974,0.069,0.104,0.000205271030837908
"Dstn",1.38441611919298e-08,-0.148523971525031,0.067,0.103,0.000207939301102785
"Cyp39a1",1.67147933701733e-08,-0.13452182502233,0.21,0.267,0.000251056196420003
"Sfrp5",1.68620090853146e-08,-0.238829302853495,0.186,0.238,0.000253267376461425
"Aph1a",2.10609790040387e-08,-0.205774385790463,0.119,0.163,0.000316335904640662
"Slc44a1",2.34803801406346e-08,-0.150205514694937,0.344,0.406,0.000352675309712332
"Tab2",2.50864426121415e-08,-0.230396269340251,0.165,0.214,0.000376798368034366
"Prrg3",2.57690008659698e-08,-0.202179284907803,0.274,0.332,0.000387050393006866
"Slc39a1",2.73149843718159e-08,-0.176336686113602,0.096,0.136,0.000410271065264675
"Col5a3",2.80868383469252e-08,0.207657708964746,0.756,0.757,0.000421864311970817
"Cav2",2.88079878500162e-08,-0.204030650325427,0.173,0.222,0.000432695977507243
"Cobll1",3.05233964246295e-08,-0.149628412749534,0.229,0.286,0.000458461414297936
"Gpm6b",3.51459537277681e-08,-0.250791129230973,0.346,0.404,0.000527892224991076
"Sema6d",3.55693282167916e-08,-0.15293092017,0.316,0.38,0.00053425130981621
"Rab7",3.6622758908792e-08,-0.174141437919359,0.116,0.158,0.000550073838810056
"Hsd17b14",3.78116139103541e-08,0.364333402330088,0.205,0.16,0.000567930440933519
"Ddx5",4.22007302735111e-08,-0.181400981150589,0.168,0.218,0.000633854968708137
"Bcl2l1",4.26425607553943e-08,-0.197894125097954,0.421,0.484,0.000640491262546022
"Ldlrad3",4.38277575954135e-08,-0.160086699982709,0.305,0.368,0.000658292919083111
"Clic4",4.46125253144748e-08,-0.20624962714036,0.154,0.201,0.000670080130223411
"Crlf3",4.47183446933045e-08,-0.196797893727193,0.285,0.342,0.000671669537293434
"Arid5b",5.06982545932519e-08,-0.218544599096034,0.156,0.203,0.000761487783990643
"mt-Co1",5.10550940378425e-08,-0.218873317075465,0.086,0.124,0.000766847512448394
"Ddn",5.32846225509341e-08,-0.225563479206791,0.624,0.663,0.00080033503071503
"Klhdc8b",6.8049939421105e-08,-0.16792059064542,0.331,0.391,0.001022110090105
"mt-Atp8",6.98908152108616e-08,-0.199253351688273,0.108,0.15,0.00104976004446714
"Gria3",8.00834809923348e-08,-0.181065327454209,0.14,0.185,0.00120285388450487
"Anp32e",8.15114896704908e-08,-0.150913451898922,0.077,0.113,0.00122430257485077
"Paqr7",8.52669139715036e-08,-0.153394721064284,0.129,0.172,0.00128070904785198
"Hmgcs1",8.72703029771296e-08,-0.192296566197213,0.284,0.34,0.00131079995071649
"Eef1a1",8.83210866805634e-08,-0.316871661654162,0.206,0.256,0.00132658272194206
"Nfkbia",8.85563812545716e-08,-0.175359936818765,0.196,0.247,0.00133011684644366
"mt-Co3",8.96841108014873e-08,-0.244309914733695,0.118,0.16,0.00134705534423834
"Tet2",1.09686455330781e-07,-0.226964635657752,0.089,0.126,0.00164749055906832
"Gabarapl2",1.17251900084425e-07,-0.19551176195943,0.107,0.146,0.00176112353926807
"Mxd4",1.27419338090477e-07,-0.139516950597174,0.264,0.321,0.00191383845811896
"Rtn3",1.34325702668597e-07,-0.192279756960739,0.182,0.231,0.00201757205408233
"Dynlrb1",1.51922167421843e-07,-0.191784044248818,0.151,0.196,0.00228187095467608
"Armcx3",1.7635537626556e-07,-0.152247725578229,0.108,0.148,0.00264885775150871
"Ston1",1.85764038010997e-07,-0.171802111088325,0.344,0.404,0.00279017585092518
"Arhgap35",1.89430986960056e-07,-0.168317661551971,0.106,0.146,0.00284525342414004
"Egr2",2.04995058029184e-07,-0.210384217785603,0.251,0.303,0.00307902577159834
"Tubb2b",2.11331297586629e-07,-0.240309546511688,0.122,0.162,0.00317419608975116
"Tmem106b",2.18423941739401e-07,-0.160912845671539,0.188,0.236,0.0032807276049258
"Mbnl2",2.38917160538879e-07,-0.157470940316877,0.292,0.35,0.00358853575129396
"Qk",2.43095610950284e-07,0.116510527646314,0.823,0.808,0.00365129607647327
"Sec14l5",2.57871922169757e-07,0.212898898727281,0.658,0.636,0.00387323627098975
"Tcp11l2",2.65503898220418e-07,-0.170358812954009,0.121,0.163,0.00398786855127067
"Cavin1",2.99740097944003e-07,-0.157227793235576,0.298,0.35,0.00450209627111892
"Gjc3",3.06238183643675e-07,-0.133720719279721,0.319,0.382,0.00459969751832799
"Selenok",3.43268148978722e-07,-0.140948249489276,0.165,0.211,0.0051558875976604
"Atxn7l3b",3.57944737625964e-07,-0.168328685197017,0.167,0.213,0.00537632995914198
"Arpc5",3.60214586687565e-07,-0.196780937265641,0.186,0.232,0.00541042309204722
"Itm2a",3.67937213465581e-07,-0.206279849096166,0.153,0.196,0.00552641694625302
"Nptn",3.84352524247826e-07,-0.140179644072351,0.218,0.269,0.00577297491420234
"Sh3glb1",4.01528515936941e-07,-0.135730340470131,0.136,0.179,0.00603095830937285
"Pmvk",4.14075176842539e-07,-0.105790913665035,0.143,0.188,0.00621940915617493
"Wdr83os",4.52908836186936e-07,-0.209787492867623,0.147,0.19,0.00680269071952778
"Prnp",5.26905598815941e-07,-0.211522382502404,0.359,0.416,0.00791412209421543
"Gpr37l1",5.45872329654269e-07,-0.200630042759388,0.224,0.274,0.00819900239140712
"Kcna2",5.73447340247393e-07,-0.208102130570573,0.487,0.547,0.00861317905051584
"Ankrd40",5.9823263983386e-07,-0.284626558022148,0.122,0.161,0.00898545425030457
"Tmed9",6.31362845634921e-07,-0.147956337607207,0.127,0.167,0.00948306994143652
"Mxi1",6.39908416132413e-07,-0.179891510336555,0.103,0.14,0.00961142441030885
"Mal",6.96587388195797e-07,-0.189860067895445,0.444,0.491,0.0104627425707009
"Plscr2",7.01928166923881e-07,-0.210022601390335,0.193,0.242,0.0105429610671967
"Pex2",7.60358187803089e-07,-0.147690939300194,0.116,0.154,0.0114205799808024
"Laptm4a",7.85768005673603e-07,-0.119008943132642,0.118,0.157,0.0118022354452175
"Sccpdh",8.01119209807082e-07,-0.143406330475022,0.19,0.237,0.0120328105313024
"Rab5b",9.24111267940162e-07,-0.193927357354529,0.125,0.164,0.0138801512444612
"Sparc",9.62695431676851e-07,-0.235151466819428,0.676,0.707,0.0144596853837863
"Cadm4",1.04799066862055e-06,-0.207263547703899,0.614,0.66,0.0157408198426807
"Ndst1",1.19235174522441e-06,-0.151399980309707,0.201,0.25,0.0179091232132707
"Trp53inp1",1.23444594827798e-06,-0.199671099636523,0.084,0.116,0.0185413781431352
"Rhoa",1.42149667356704e-06,-0.134832295715848,0.116,0.153,0.021350880036977
"Cipc",1.43629318149388e-06,-0.176156459903856,0.137,0.177,0.0215731235860381
"Tbcb",1.52038336290088e-06,-0.150949362223169,0.086,0.118,0.0228361581107713
"Slc1a5",1.57302499213722e-06,-0.199266101529149,0.216,0.264,0.023626835381901
"Pik3ip1",1.69756050637943e-06,-0.0998275556088908,0.385,0.448,0.0254973588058191
"Rnasek",1.73864922713112e-06,-0.160919877717478,0.078,0.109,0.0261145113915094
"Tmem50a",1.78527938630485e-06,-0.166784759764934,0.212,0.256,0.0268148963822989
"Mapre1",1.83286158433398e-06,-0.199677488000338,0.092,0.126,0.0275295809966964
"Cnn3",1.95533396875134e-06,-0.129470328890257,0.232,0.281,0.0293691162106451
"Ctdsp2",1.97650772839415e-06,-0.187097919033439,0.48,0.537,0.0296871460804801
"Foxo3",1.99348591036134e-06,-0.119144852085411,0.371,0.431,0.0299421583736274
"Mapk1ip1",2.1412569046991e-06,-0.190862282985267,0.187,0.23,0.0321616787085804
"Paip2b",2.15463331765919e-06,-0.137989805597901,0.096,0.132,0.032362592431241
"Calm3",2.17058497771404e-06,-0.233494145737115,0.156,0.197,0.0326021863652649
"Dhcr24",2.18538109571885e-06,-0.179698832649894,0.285,0.334,0.0328244240576971
"Anp32a",2.21872988819762e-06,-0.229793704502348,0.108,0.143,0.0333253229207282
"Snx33",2.49608639051677e-06,-0.205258727528921,0.075,0.104,0.0374912175855619
"Cnp",2.6441328052397e-06,-0.136785578961937,0.512,0.571,0.0397148747347003
"Acly",2.67689120242592e-06,-0.137645912858389,0.236,0.284,0.0402069058604373
"N4bp2l2",2.7464487297679e-06,-0.159952272684616,0.146,0.185,0.0412516599211139
"Cfl1",3.00761133624466e-06,-0.183803011902711,0.135,0.172,0.0451743222703947
"Spsb1",3.16361336395023e-06,-0.124474010157702,0.088,0.12,0.0475174727265325
"Fam57a",3.20620767444957e-06,-0.105354227805815,0.177,0.221,0.0481572392702325
"Fads1",3.43230515848618e-06,-0.211735397999003,0.175,0.218,0.0515532234804624
"Rtkn",3.44941283301215e-06,0.214894303413936,0.56,0.536,0.0518101807518425
"Cuta",3.46954874516217e-06,-0.133074711203007,0.08,0.111,0.0521126221523358
"Msmo1",3.62014266449102e-06,-0.0886715011759391,0.223,0.271,0.0543745428206552
"Fscn1",3.7370401183311e-06,-0.160546433161744,0.253,0.3,0.056130342577333
"Sec63",3.89728223642747e-06,-0.171175047408996,0.103,0.138,0.0585371791911406
"Emc10",4.01730761045375e-06,-0.147367385285325,0.257,0.305,0.0603399603090153
"M6pr",4.24743311814302e-06,-0.0874812153620409,0.096,0.129,0.0637964454345082
"Irs1",4.3901312898407e-06,-0.142783941066149,0.311,0.366,0.0659397719734073
"Rlim",4.42532842148234e-06,-0.150400081834149,0.123,0.16,0.0664684328906647
"Hbp1",5.00932717515767e-06,-0.122621991788526,0.279,0.33,0.0752400941708681
"Rhot1",5.07670507952598e-06,-0.155141837496089,0.487,0.538,0.0762521102944803
"Prx",5.3129652717967e-06,-0.248436176001281,0.762,0.779,0.0798007383823864
"Rbm12b2",5.42526379176748e-06,-0.199565394383615,0.079,0.108,0.0814874621523475
"Zfp664",5.99028179112684e-06,-0.202298655894227,0.075,0.104,0.0899740325027251
"Fxyd6",5.99930577509438e-06,-0.191220612574137,0.242,0.289,0.0901095727419176
"Fth1",6.3645216859643e-06,-0.370993475670768,0.345,0.394,0.0955951157231838
"Ppp4r2",6.48606849078756e-06,-0.15850163631001,0.155,0.194,0.0974207487316291
"Insig1",6.75596058594747e-06,-0.187603139253968,0.287,0.334,0.101474528000931
"Nfia",7.13517716861361e-06,-0.160394849742437,0.254,0.301,0.107170361072576
"Akr1a1",7.2748863068376e-06,-0.123812201560285,0.24,0.286,0.109268792328701
"Blcap",7.4669476647659e-06,-0.146129757839258,0.152,0.19,0.112153553924784
"Cyp2j6",7.85552924721162e-06,-0.110281101712206,0.169,0.21,0.117990049293119
"Evi5",8.12819743958774e-06,-0.149001011992804,0.196,0.238,0.122085525542608
"Sptssa",8.5692837549973e-06,-0.182120398168352,0.075,0.103,0.128710642000059
"Bcar3",8.71761533309826e-06,-0.148215462669894,0.138,0.176,0.130938582303136
"Klf9",9.00687155058123e-06,-0.136225570707067,0.233,0.281,0.13528321068973
"Myl6",9.09261644432491e-06,-0.0950770406368338,0.237,0.283,0.13657109899376
"Arf3",9.57722373523006e-06,-0.122398487656319,0.178,0.219,0.143849900503155
"Sbspon",9.63311340364106e-06,-0.118396800788566,0.307,0.354,0.144689363322689
"Slc36a2",9.83453529722041e-06,0.147780476747076,0.73,0.719,0.147714720164251
"Eef2",1.04893753644365e-05,-0.169606510671389,0.076,0.104,0.157550417973837
"Map1lc3b",1.08069944020455e-05,-0.148221855859793,0.144,0.181,0.162321055918723
"Pink1",1.08206952864814e-05,-0.436445960301238,0.25,0.296,0.16252684320295
"Mturn",1.08267728711827e-05,-0.236625482805665,0.154,0.19,0.162618128525165
"Rif1",1.08309909396377e-05,-0.160254744873611,0.073,0.101,0.162681483913359
"Zfhx4",1.08887450384756e-05,-0.148608137388391,0.102,0.135,0.163548950477904
"Tmem229a",1.16833522203844e-05,-0.110855593853065,0.199,0.242,0.175483950350174
"Tm9sf1",1.22395864300249e-05,-0.112517058089592,0.113,0.147,0.183838588178974
"Cyp51",1.25039556543146e-05,-0.142318222863027,0.169,0.208,0.187809413927805
"Ptms",1.25914573530082e-05,-0.204154037767847,0.487,0.543,0.189123689442183
"Mid1ip1",1.27561611717111e-05,-0.0889416720286865,0.138,0.176,0.191597540799101
"Akap12",1.31050497677326e-05,-0.19282141633302,0.106,0.138,0.196837847511344
"Rbm4",1.31744504367136e-05,-0.190600314847357,0.164,0.201,0.197880245559438
"Rnf5",1.41988911470118e-05,-0.110775186442117,0.126,0.162,0.213267345028117
"Map1lc3a",1.51557076778687e-05,-0.142358063940959,0.108,0.14,0.227638729321587
"Pdgfa",1.57019331985648e-05,-0.0695224151082288,0.193,0.237,0.235843036642444
"Smarcc2",1.59874913754267e-05,0.181860738550127,0.593,0.572,0.240132120458909
"Gprc5b",1.63317191740758e-05,-0.12367782756711,0.475,0.525,0.245302421994619
"Zbtb37",1.63948786533351e-05,-0.151452126010172,0.164,0.203,0.246251077373094
"Cd59a",1.67084728567559e-05,-0.128269623256337,0.258,0.303,0.250961262308473
"Cryab",1.71097410636361e-05,-0.238491072140061,0.523,0.558,0.256988310775814
"Tmem160",1.71430711963732e-05,-0.119926011240957,0.081,0.11,0.257488929369526
"Ppp1cb",1.73911206754166e-05,-0.102297807488948,0.147,0.185,0.261214632544757
"Epdr1",1.74520150017426e-05,-0.122506914220053,0.312,0.362,0.262129265326173
"Akap11",1.77839334329938e-05,-0.112989069301915,0.129,0.164,0.267114680163567
"Klc1",1.84173998897175e-05,0.150350021032456,0.701,0.704,0.276629346343557
"Slc25a1",1.84336007131664e-05,-0.145261612925101,0.176,0.214,0.27687268271176
"Cmtm6",2.00523597104819e-05,-0.148703053890345,0.167,0.206,0.301186442851438
"Rsrp1",2.0973517752953e-05,0.074429020751464,0.764,0.742,0.315022236649355
"Sun2",2.12369936915249e-05,-0.139836663219374,0.216,0.258,0.318979645246704
"Wsb1",2.13727754907675e-05,-0.151863191450377,0.544,0.589,0.321019087871328
"Rab2a",2.15613835791238e-05,-0.123529816680497,0.235,0.278,0.323851981358439
"Aplp2",2.15767086085916e-05,-0.121466076243676,0.369,0.418,0.324082163301046
"Akr1b3",2.16160652914663e-05,-0.194863073204999,0.096,0.126,0.324673300677825
"Snrnp70",2.20377892197365e-05,0.14567460051849,0.704,0.683,0.331007594080442
"Dennd6a",2.23455272206306e-05,-0.130104218253187,0.139,0.175,0.335629818853872
"Rab5c",2.28428508415015e-05,-0.14710049307531,0.086,0.114,0.343099619639353
"Pmp2",2.31282032326058e-05,-0.267749809852473,0.141,0.176,0.34738561255374
"Insr",2.34035874604156e-05,-0.154611697912082,0.219,0.262,0.351521883655443
"Cox6a1",2.37031593297121e-05,-0.0529252056275534,0.079,0.108,0.356021453132276
"Srrm2",2.37292392445745e-05,-0.187238911112538,0.438,0.48,0.356413173453509
"Bicral",2.41176016376696e-05,-0.181835821380148,0.145,0.18,0.362246376597797
"Ston2",2.53763375346038e-05,-0.130469375294995,0.1,0.13,0.381152589769749
"Comt",2.57762091682588e-05,-0.142266395009322,0.225,0.266,0.387158661707247
"Zfp866",2.63779384651662e-05,-0.206630465776943,0.164,0.2,0.396196635746796
"Resf1",2.68771478445535e-05,-0.139455310694072,0.076,0.104,0.403694760625193
"Tra2a",2.86581345374727e-05,0.192947898254532,0.468,0.434,0.430445180752839
"Lamp1",2.8689733072758e-05,-0.135518956618761,0.199,0.238,0.430919790752826
"Tmem30a",2.94139448150893e-05,-0.0811737374012428,0.118,0.151,0.441797451122641
"Ddx17",2.98313812255929e-05,0.108641907010458,0.851,0.853,0.448067346008405
"Zfp536",3.09581790887945e-05,-0.176352690410014,0.288,0.331,0.464991849913694
"Prdx2",3.10809646407777e-05,-0.0814811855328947,0.082,0.11,0.46683608890448
"Stard3",3.17324095692188e-05,-0.0901150311905403,0.159,0.197,0.476620791729667
"Gask1b",3.19984376084943e-05,-0.166642219353928,0.205,0.246,0.480616532879584
"Cltb",3.22360529281349e-05,-0.276514635547254,0.315,0.357,0.484185514980587
"Pcyox1l",3.22525384201744e-05,-0.119350874998576,0.38,0.427,0.48443312707102
"Cyb5a",3.23233459812282e-05,-0.15284296580095,0.115,0.146,0.485496656638048
"Abhd12",3.27552009431917e-05,-0.0910786119657734,0.27,0.317,0.491983118166739
"Man1a2",3.33842488712532e-05,-0.153351867874107,0.143,0.177,0.501431418046223
"Zfp606",3.34336228377446e-05,-0.0925058210333675,0.078,0.106,0.502173015022924
"Ptch1",3.43847749964931e-05,-0.139330442593452,0.098,0.128,0.516459320447326
"Zfand6",3.67553746535236e-05,-0.143213664360232,0.152,0.188,0.552065727295924
"Morf4l1",3.68882713264496e-05,-0.112137618837381,0.139,0.173,0.554061835323274
"Mboat1",3.69887227590026e-05,-0.12380556194426,0.211,0.251,0.555570615840219
"Ado",3.72577029459728e-05,-0.113183527149404,0.182,0.221,0.559610698248512
"Mcur1",3.76450641830239e-05,-0.0773134183807465,0.082,0.11,0.565428864029019
"Slc35a2",3.89013508303178e-05,-0.0726524847594979,0.089,0.118,0.584298289471373
"Mfap5",3.96999792778922e-05,-0.145800541798677,0.415,0.46,0.596293688753941
"Pank3",3.97028665194132e-05,-0.11428616021033,0.105,0.136,0.596337055121586
"Gpm6a",4.07523740768084e-05,-0.151522081189696,0.183,0.22,0.612100658633662
"Mrfap1",4.14615585031764e-05,-0.0949055638251733,0.108,0.139,0.622752608717709
"Naga",4.24268867333687e-05,-0.163678567398173,0.129,0.161,0.637251838735198
"Cox8a",4.35460193916042e-05,-0.0989706225005588,0.076,0.102,0.654061211261896
"Chp1",4.42392738285045e-05,-0.112883122781708,0.084,0.112,0.664473892904138
"Mbp",4.44028068332794e-05,-0.350691804647013,0.951,0.967,0.666930158635856
"Cxxc5",4.45551793480578e-05,-0.102466832768734,0.205,0.248,0.669218793807829
"Pmm2",4.48179586644439e-05,-0.136421844098601,0.087,0.116,0.673165739139947
"Rab11b",4.48792044369253e-05,-0.130869497401749,0.17,0.206,0.674085650642618
"Slc12a2",4.53758263124109e-05,-0.137092154288964,0.368,0.415,0.681544911212412
"Sppl3",4.57035315224631e-05,-0.147503587202932,0.09,0.117,0.686467043467396
"Sec62",4.61002524119308e-05,-0.141552666210939,0.175,0.212,0.692425791227201
"Fbxl5",4.63642495742224e-05,-0.101648757021855,0.295,0.343,0.69639102860482
"Cenpb",4.79415927231683e-05,-0.299370276388135,0.112,0.142,0.720082722701987
"Cab39l",4.85767372197403e-05,-0.0732319446852985,0.262,0.308,0.7296225930405
"Nr1d1",4.88851681383252e-05,-0.128752386006389,0.2,0.239,0.734255225437645
"Gpr155",4.89543776796721e-05,-0.113836762481904,0.078,0.105,0.735294752748675
"Tnxb",4.97401376937922e-05,0.199492126843487,0.539,0.525,0.747096868160759
"Selenom",4.98179977432686e-05,-0.109454429446074,0.165,0.203,0.748266326103894
"Sft2d2",5.01238901586107e-05,-0.0814406757105665,0.121,0.153,0.752860830182332
"Rcn3",5.0134798923933e-05,-0.0942704014235282,0.153,0.189,0.753024679837473
"Hcfc1r1",5.25294804989209e-05,-0.0637502371986272,0.083,0.111,0.788992797093791
"Rbm33",5.474302210479e-05,-0.132259516451209,0.368,0.414,0.822240192013945
"Ptdss1",5.4864443373372e-05,-0.0934007890345597,0.145,0.18,0.824063939468047
"Itgb1",5.67389620659907e-05,-0.135041083424172,0.211,0.25,0.85221921023118
"Gm2a",5.70986087046465e-05,-0.125512805339152,0.121,0.152,0.857621102743791
"Tubb4b",5.85048696001102e-05,-0.0773868297418884,0.109,0.14,0.878743141393655
"Fbln5",5.95253650640994e-05,-0.151998166725346,0.197,0.233,0.894070983262773
"Sri",6.15890820428031e-05,-0.134028632944771,0.134,0.167,0.925068012282903
"Lrp10",6.25722475040892e-05,-0.0775056369472064,0.088,0.116,0.93983515751142
"Irs2",6.34335052501126e-05,-0.12994354021773,0.111,0.141,0.952771248856691
"Sgpp1",6.46589645568987e-05,-0.0884866918112475,0.097,0.126,0.971177647644618
"Fcgrt",6.5191142799801e-05,-0.125148382348608,0.16,0.195,0.979170964853011
"Ppm1l",6.55861553090457e-05,-0.14968232660501,0.248,0.29,0.985104052741866
"Ndrg1",6.6478345715487e-05,-0.131451434241382,0.722,0.759,0.998504752646615
"Leng8",6.76403239961841e-05,0.0985222421036624,0.831,0.814,1
"Csrp1",6.79214055835118e-05,-0.101277970129691,0.355,0.4,1
"Mag",6.92891454640241e-05,-0.090158002584217,0.533,0.589,1
"Pam",7.12293350898873e-05,-0.114500403390313,0.189,0.227,1
"Hint3",7.15021989352337e-05,-0.170072721801824,0.109,0.138,1
"Ythdf3",7.15026696952139e-05,-0.151094133619076,0.17,0.205,1
"Ranbp2",7.16845345589457e-05,-0.134648673511551,0.146,0.18,1
"Tmco6",7.294103691499e-05,-0.0799419624314872,0.199,0.239,1
"Etfb",7.30136292514036e-05,-0.117564881991785,0.228,0.268,1
"Sema3b",7.66134752114424e-05,-0.133519016797314,0.611,0.654,1
"Sgk1",7.72678970110882e-05,-0.146874009346959,0.229,0.267,1
"Zfp276",7.89917008581626e-05,0.246553898489041,0.478,0.452,1
"Rab1b",8.02637969792218e-05,-0.119168583303278,0.143,0.176,1
"S100a11",8.06513153859968e-05,-0.163582058322282,0.099,0.126,1
"Igfbp6",8.30467210086382e-05,-0.18236889757779,0.147,0.18,1
"Iqsec1",8.42706285320768e-05,-0.0896649473024198,0.272,0.316,1
"Litaf",8.76718478306414e-05,-0.0547804011973914,0.151,0.186,1
"Derl2",8.88140778397758e-05,-0.098999630621401,0.078,0.104,1
"Rabac1",9.0234157298805e-05,-0.112643199754678,0.199,0.237,1
"Sppl2a",9.04024336111645e-05,-0.0874843011278816,0.082,0.108,1
"Sept2",9.06558424686818e-05,-0.0851803743274795,0.166,0.201,1
"Trib2",9.16260044826081e-05,-0.129746303134203,0.116,0.147,1
"Ubxn6",9.19671563889076e-05,-0.0939056493150524,0.147,0.181,1
"Lhfp",9.33457131108667e-05,-0.0708116081738166,0.36,0.409,1
"Tm9sf2",9.34480808651733e-05,-0.0997618478151391,0.143,0.176,1
"App",9.35770762618873e-05,-0.127294123407498,0.439,0.487,1
"Fbxl3",9.49871260106898e-05,-0.175493336950298,0.083,0.108,1
"Tsnax",9.53220096913405e-05,-0.0940456218401768,0.213,0.254,1
"Foxn2",9.76858208358146e-05,-0.153809147542838,0.169,0.205,1
