"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Egr1",4.61205586594282e-46,1.22933535494671,0.482,0.247,6.92730791064612e-42
"Fos",1.105187385384e-37,1.25286452196604,0.367,0.165,1.65999145284677e-33
"Zfp36",9.71392204780845e-25,0.980158654574462,0.381,0.225,1.45903109158083e-20
"Ier2",2.35444376021081e-23,0.910049034496595,0.273,0.129,3.53637452783663e-19
"Fosb",6.97908553262614e-21,1.38322987097938,0.233,0.109,1.04825864700045e-16
"Junb",7.67703228934232e-18,0.876001427933915,0.292,0.166,1.15309024985922e-13
"Btg2",1.72913472051338e-16,1.00690523126893,0.169,0.072,2.5971603502111e-12
"Jund",5.66895720965952e-15,0.718867689257522,0.541,0.436,8.5147737289086e-11
"Nr4a1",1.51688780087771e-13,1.18145419673196,0.187,0.097,2.27836547691832e-09
"Klf2",1.99954020089938e-13,0.888157267534924,0.356,0.249,3.00330938175088e-09
"Dusp1",8.20308733236048e-10,0.805401241134842,0.268,0.183,1.23210371732054e-05
"Podn",1.94425251299015e-09,-0.386250580906949,0.47,0.566,2.9202672745112e-05
"Smoc2",1.61909004586292e-08,-0.420621680667641,0.599,0.654,0.000243187324888611
"Klf4",3.34948211285777e-08,0.802983235598982,0.334,0.265,0.000503092213351237
"Arl4d",5.17013483357439e-08,0.564762093916386,0.102,0.05,0.000776554252002874
"Ccn1",7.82085353358591e-08,1.13114516779241,0.147,0.086,0.0011746922007446
"Cebpb",1.10024624388154e-07,0.604186745939157,0.167,0.104,0.00165256985831008
"Dbp",2.01447972131875e-06,-0.450356257335278,0.316,0.391,0.0302574854142076
"Rhob",2.18985710911251e-06,0.408099657793533,0.276,0.209,0.0328916537788699
"Cebpd",2.45003187258366e-06,0.426428340054466,0.395,0.322,0.0367994787262066
"Per3",2.97729743314886e-06,-0.307358189325821,0.297,0.375,0.0447190074458959
"Car11",3.84865428953024e-06,-0.386883875802455,0.087,0.138,0.0578067874287443
"Tmem263",4.9234923721354e-06,-0.291843612565929,0.123,0.181,0.0739508554294738
"C7",6.04744412935525e-06,0.511820606122606,0.144,0.093,0.0908326108229159
"Socs3",8.72724432450487e-06,0.555980559239516,0.161,0.108,0.131083209754063
"Jun",1.87371722994805e-05,0.61025808127556,0.295,0.239,0.281432327938197
"Stx2",2.01482705184953e-05,-0.333744892205419,0.178,0.24,0.302627023187799
"Arid2",3.4100516045407e-05,-0.333392211802222,0.133,0.188,0.512189751002013
"Cyp26b1",3.85262211247767e-05,-0.51617122740113,0.109,0.157,0.578663841294146
"Htra3",3.99693315299506e-05,-0.282457853065502,0.56,0.615,0.600339359579858
"Per1",4.4815987676388e-05,0.327939731341086,0.435,0.379,0.673136134899347
"Ssc5d",4.53067092797661e-05,-0.33166702337727,0.15,0.205,0.680506773382086
"Trps1",4.59829913782242e-05,-0.258885598142139,0.108,0.158,0.690664530500928
"Sned1",7.57460132370777e-05,-0.160156187247787,0.601,0.672,1
"Spred1",8.2552855395937e-05,-0.267202541758675,0.141,0.194,1
"Ypel3",0.000132914510105445,-0.188957549244495,0.514,0.578,1
"Cog2",0.000144851397788989,-0.335821773212913,0.098,0.141,1
"Errfi1",0.000161531214182326,0.470823889391381,0.168,0.123,1
"Dnajb2",0.000165088698601537,0.281195632201575,0.138,0.095,1
"Epb41l4b",0.000168540246877431,0.300337907623587,0.105,0.067,1
"Per2",0.000171309828829497,-0.27748411137409,0.13,0.177,1
"Tuba1a",0.000192011325134546,0.331099409526743,0.218,0.168,1
"Plpp3",0.00022431502302534,0.359235441874631,0.508,0.475,1
"Ppp2r5e",0.000232403459207446,0.322214448648095,0.152,0.108,1
