"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rsrp1",4.44818266223124e-08,-0.357732421812667,0.882,0.945,0.000668117035867132
"Tnks1bp1",2.32580015568928e-07,0.535872598432633,0.101,0.025,0.00349335183384529
"Ap2m1",4.52683845621183e-07,0.35734453144733,0.103,0.027,0.00679931136123017
"Map1s",6.8759948437674e-07,0.65464477125474,0.145,0.055,0.0103277442553386
"Tango6",8.57725407239976e-07,0.503697872008845,0.119,0.038,0.0128830356167444
"Pdcd6ip",9.70293307223258e-07,0.535829639390788,0.34,0.201,0.0145738054744933
"Hjurp",3.44084508568495e-06,0.477395241918384,0.179,0.082,0.051681493186988
"Deaf1",3.83209132571254e-06,0.530098242791672,0.134,0.051,0.0575580117122024
"Cd52",7.84050196479889e-06,0.57464989609804,0.106,0.036,0.117764339511279
"Syne2",9.98108881672079e-06,0.502956003813482,0.143,0.061,0.149915954027146
"Eml3",1.39745715637928e-05,0.546389671889207,0.153,0.07,0.209898064888168
"Alpk1",1.40691027136042e-05,0.494820151278304,0.124,0.049,0.211317922758335
"Cep350",1.45169623669097e-05,0.528342700167564,0.14,0.061,0.218044774750983
"Eef1a1",1.57090511588376e-05,0.475011412164517,0.221,0.12,0.235949948405741
"Irf3",1.72103344287632e-05,0.43295371725309,0.158,0.072,0.258499223120024
"Arpc2",1.87266730679164e-05,0.312505737433796,0.116,0.044,0.281274629480104
"Tmem250-ps",2.10564103598826e-05,0.346170980442142,0.1,0.034,0.316267283605437
"Atrnl1",2.20605129443471e-05,0.617838006951896,0.208,0.114,0.331348904424094
"Rtn3",2.95594731885945e-05,0.263958905117041,0.126,0.051,0.443983287292689
"Cnot10",3.27100490372704e-05,0.23239277649442,0.182,0.089,0.491304936539802
"Ddx5",3.89540828068036e-05,0.335471447642578,0.118,0.047,0.58509032375819
"Gprc5c",5.28674313535514e-05,0.544670230349874,0.142,0.066,0.794068818930342
"Sfxn3",7.03866588652763e-05,0.207653368883272,0.24,0.135,1
"Gsn",8.44894331606217e-05,0.670950742671616,0.171,0.091,1
