"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pogz",6.64473785292896e-05,1.28994218122438,0.13,0.007,0.99803962550993
"Cpd",0.000196452948962748,1.15605613891113,0.117,0.007,1
"Itgb1",0.000262236231239148,0.911623632201946,0.331,0.149,1
"Gadd45g",0.000664950632146126,-1.22352117993656,0.013,0.104,1
"Ufl1",0.000771670343164345,0.850347421701354,0.188,0.052,1
"Gripap1",0.000836531732034833,0.853227134005974,0.195,0.06,1
"Rack1",0.00102278635368108,0.994983595327692,0.201,0.067,1
"Sf3b2",0.00106820386731354,0.827238293263677,0.266,0.112,1
"Zbtb20",0.00173572817337568,0.660481747972984,0.149,0.037,1
"Mmp11",0.00177120335203807,-1.05841752343853,0.13,0.269,1
"Ncf2",0.00191876710126871,0.783655400151341,0.279,0.127,1
"Parp4",0.00196635155904059,0.898852650506893,0.104,0.015,1
"Hnrnpm",0.00215653746672475,-0.69665385973839,0.273,0.418,1
"Nuak1",0.00292936883596178,0.614679115945354,0.292,0.134,1
"Tnfrsf21",0.00331689877789993,0.654896374199142,0.396,0.216,1
"Clcn3",0.00336374438710938,0.9442265053614,0.11,0.022,1
"Lrp1",0.00348826422450814,0.588025670342701,0.461,0.299,1
"Kdm7a",0.00357897502682646,0.866198941726561,0.11,0.022,1
"Crtap",0.00357897502682646,0.93704524357714,0.11,0.022,1
"Oxsr1",0.0039873858590011,0.66857588313006,0.136,0.037,1
"Arl6ip4",0.00402932290464525,0.744930028893766,0.201,0.082,1
"Ythdf3",0.00404743440103126,0.507146661980937,0.11,0.022,1
"Cryab",0.00422741995226971,0.685811404016542,0.182,0.067,1
"Rerg",0.00443496471486953,0.681417262812247,0.149,0.045,1
"Mybbp1a",0.00456431966746349,0.715052584873806,0.182,0.067,1
"Dennd4b",0.00471489925050602,-0.844614129172629,0.032,0.119,1
"Tapbp",0.00476250327323269,0.724864209553188,0.156,0.052,1
"Map1lc3a",0.00488651462830244,-1.01092144950966,0.065,0.164,1
"Dedd",0.00490278664135055,0.787600781656207,0.143,0.045,1
"Usp8",0.00522756023251025,0.668426890147829,0.201,0.082,1
"Ap2a1",0.00536571058676123,0.56547917165733,0.227,0.097,1
"Ttc3",0.0054241724735362,0.74767249132099,0.104,0.022,1
"Tsen34",0.00591917704760193,0.61884117433691,0.201,0.082,1
"Metap1",0.00629591606623959,0.690974480153163,0.117,0.03,1
"Irak2",0.00639631281709612,-0.744261688816335,0.026,0.104,1
"Csnk1d",0.00664784800222189,0.732589660475952,0.195,0.082,1
"Rspry1",0.00675438956812496,-0.929801617191356,0.045,0.134,1
"Kri1",0.00687795268185144,0.739661192733608,0.117,0.03,1
