"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Thbd",2.64472162746563e-14,0.646365650516658,0.26,0.14,3.97237188445338e-10
"Sfrp5",1.81774369115548e-13,0.699668953244076,0.72,0.641,2.73025102411553e-09
"Plpp3",2.53489496422297e-11,0.435270145013676,0.416,0.287,3.80741223626291e-07
"Rsrp1",2.7011710315802e-11,-0.291498762191518,0.84,0.86,4.05715888943346e-07
"Perp",2.73604172633278e-11,0.483370522266345,0.13,0.053,4.10953467295184e-07
"Mapk1ip1",3.85067654650525e-11,0.441421820155337,0.191,0.096,5.78371617285089e-07
"Pabpn1",1.75607829166258e-10,-0.273254279253224,0.751,0.8,2.63762959407719e-06
"Prss23",2.8108892128796e-10,0.463518874942474,0.206,0.112,4.22195559774515e-06
"Slc2a1",5.18831371192262e-10,0.413275124381787,0.698,0.613,7.79284719530777e-06
"Maged1",5.45388993736529e-10,0.388475373437641,0.28,0.171,8.19174268592266e-06
"Gsn",6.35815902204672e-10,0.496271507735695,0.628,0.528,9.54995485111417e-06
"Cldn1",1.11409499858926e-09,0.413665701498717,0.6,0.486,1.67337068788106e-05
"Hspa5",1.67709472516069e-09,0.274925345849024,0.109,0.043,2.51899627719136e-05
"Zscan26",3.14736013020054e-09,0.369546491786455,0.27,0.166,4.72733491556122e-05
"Serinc3",3.8626019736526e-09,0.363633349174764,0.228,0.134,5.8016281644262e-05
"Serpinh1",3.90405376580517e-09,0.450334412433681,0.377,0.268,5.86388875623937e-05
"Thbs1",4.45628388109747e-09,0.509316825567557,0.437,0.326,6.6933383894084e-05
"Serinc1",5.03119601259959e-09,0.331701429308252,0.19,0.104,7.55685641092458e-05
"Dad1",5.76377270854993e-09,0.371477170815047,0.117,0.051,8.657186608242e-05
"Selenop",6.27160808061213e-09,0.351624475592191,0.285,0.183,9.41995533707942e-05
"Ddost",8.85691560072541e-09,0.246008519667379,0.132,0.061,0.000133030872322896
"Fzd1",8.97396864699287e-09,0.390790348603258,0.191,0.107,0.000134789009077833
"Islr",9.63228876947173e-09,0.656083905763507,0.368,0.274,0.000144676977317465
"Spp1",1.40511107366287e-08,0.437640171166159,0.135,0.066,0.000211047683264162
"Vtn",1.65144841123911e-08,0.433520194942832,0.249,0.156,0.000248047551368114
"Carhsp1",1.65440990944097e-08,0.420808960717322,0.124,0.058,0.000248492368398033
"Ackr3",2.43274667983954e-08,0.368220413753865,0.197,0.113,0.000365398551311899
"Igfbp6",3.21728829740213e-08,0.411432587493167,0.776,0.707,0.000483236702269801
"Sparc",4.94359639097498e-08,0.563998409572818,0.469,0.377,0.000742528177924442
"Timp3",5.10761896306336e-08,0.497278846325276,0.178,0.103,0.000767164368252117
"Rgmb",5.17433194846519e-08,0.396225377891742,0.262,0.17,0.000777184658659472
"Ntng1",6.7019192126958e-08,0.410731391285523,0.429,0.329,0.00100662826574691
"Islr2",8.68485634769339e-08,0.272450401638889,0.171,0.094,0.00130446542342355
"Cst3",1.22101715909863e-07,0.547509447603137,0.374,0.284,0.00183396777296614
"Ccnd3",1.29003594077382e-07,0.386172567783963,0.204,0.125,0.00193763398304228
"Hcn4",1.60821840413398e-07,0.521843290332879,0.43,0.337,0.00241554404300924
"Col1a1",1.70149652977986e-07,0.35788315014538,0.651,0.551,0.00255564778772935
"Sav1",1.71140029538091e-07,0.344975376072318,0.147,0.08,0.00257052324366213
"Igfbp7",1.89483808175356e-07,0.383771238830378,0.559,0.467,0.00284604679879385
"Slc5a3",1.90269422730295e-07,0.327919925732401,0.176,0.101,0.00285784672940903
"Srgn",2.07529298557944e-07,0.321343363110649,0.187,0.11,0.00311709006434031
"Rbm4",2.19442131777067e-07,0.314816697614128,0.145,0.079,0.00329602081929154
"Tgfbi",2.25282885351141e-07,0.315294249030991,0.383,0.283,0.00338374893797413
"Pmp22",2.26522206904005e-07,0.506094490520369,0.318,0.221,0.00340236354769816
"Sdc2",2.28353660715388e-07,0.317777186833012,0.183,0.108,0.00342987198394512
"Gja1",2.3510837175784e-07,0.458958647987786,0.332,0.242,0.00353132774380276
"Atp6ap1",2.35341491282305e-07,0.25675421741981,0.162,0.091,0.00353482919906022
"Glul",2.50591126081382e-07,0.353332460733948,0.318,0.219,0.00376387871374235
"Adprh",2.95258869860965e-07,0.230595217780331,0.134,0.069,0.0044347882253117
