"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ppp1r9a",7.08170992746144e-18,0.410287455528022,0.46,0.358,1.06367283110471e-13
"Eps8l1",4.29967978196014e-17,-0.523519626515724,0.141,0.221,6.45811903250412e-13
"Ptpdc1",2.32259442169524e-15,0.302054298911661,0.686,0.586,3.48853682138625e-11
"Slc36a2",2.40129111788541e-14,0.239611342931713,0.73,0.631,3.60673925906388e-10
"Ntrk3",3.90480899090572e-14,-0.564698818869703,0.165,0.242,5.8650231043404e-10
"Dusp15",7.73958668994832e-14,0.220407709478296,0.764,0.651,1.16248592083024e-09
"Abca8a",1.15103938458615e-13,-0.593494920692208,0.189,0.264,1.7288611556484e-09
"Mpz",1.21753651580209e-13,0.0838853442025389,0.908,0.846,1.82873984673474e-09
"Dock9",8.96490108650829e-12,0.22698522843136,0.7,0.621,1.34652814319355e-07
"Ugt8a",1.14368360759768e-11,0.252906156246418,0.621,0.53,1.71781277861172e-07
"Sema6c",1.7961700374384e-11,0.229060693349054,0.691,0.605,2.69784739623247e-07
"Ncam1",3.26864788921924e-11,-0.500378355236724,0.127,0.189,4.9095091296073e-07
"Ank3",4.64614692074839e-11,-0.375279353732083,0.735,0.772,6.97851267496409e-07
"Smtn",5.1385583483591e-11,0.175381918929674,0.793,0.696,7.71811463923537e-07
"Fam53b",5.26652726345969e-11,0.27535026061326,0.486,0.404,7.91032394971645e-07
"Lzts2",7.70403740663551e-11,0.27470530530426,0.566,0.484,1.15714641847665e-06
"Arhgap19",8.41648293939928e-11,0.234511322843526,0.633,0.546,1.26415573749777e-06
"Col16a1",1.22656681504325e-10,-0.455896748910571,0.186,0.254,1.84230335619497e-06
"Fxyd7",2.11555297984227e-10,-0.557600840887329,0.184,0.245,3.17756057572309e-06
"Zdhhc8",2.24223215466205e-10,0.267392429669008,0.481,0.404,3.3678326963024e-06
"Carns1",2.88622533148792e-10,0.203886797338106,0.649,0.56,4.33511044789486e-06
"Maged1",5.94035985615665e-10,0.307121196518028,0.402,0.332,8.92242050394729e-06
"Epb41l4b",6.38610917798679e-10,-0.561441094945054,0.505,0.552,9.59193598533616e-06
"Mast2",7.49035992950275e-10,0.229091612654735,0.546,0.46,1.12505206141131e-05
"Abca8b",8.43569438738833e-10,-0.520924806108598,0.246,0.31,1.26704129698573e-05
"Mat2a",8.57167795942211e-10,0.223811259961454,0.564,0.488,1.2874660295052e-05
"Pmp22",8.80773392301389e-10,0.101827205630947,0.892,0.826,1.32292163523669e-05
"Ttc3",1.16490256238803e-09,0.255856353582383,0.251,0.186,1.74968364870682e-05
"Elovl1",1.20367183239893e-09,0.284131913279369,0.4,0.328,1.80791509226319e-05
"Spata13",1.36290318503269e-09,-0.47507240815903,0.173,0.232,2.0470805839191e-05
"C4b",1.46880560018639e-09,-0.408775185028605,0.216,0.283,2.20614601147995e-05
"Ddn",1.7154610041008e-09,0.226086256103059,0.624,0.537,2.5766224281594e-05
"Aatk",1.77893994153349e-09,0.123123419915559,0.96,0.95,2.6719677921833e-05
"Sec14l5",1.8828621307622e-09,0.201512380546221,0.658,0.566,2.82805892040483e-05
"Il16",2.46605543157186e-09,0.225353518380228,0.609,0.53,3.70401525822094e-05
"Scn7a",2.6256952730033e-09,-0.342935575439237,0.192,0.258,3.94379430005095e-05
"Pllp",4.56302431448332e-09,0.254349453052036,0.428,0.351,6.85366252035395e-05
"Nrbp2",4.82622902740758e-09,0.164143788586978,0.85,0.772,7.24899599916618e-05
"Adam11",5.64424125781479e-09,-0.546864555675814,0.107,0.156,8.47765036923782e-05
"Myo9a",7.20059733183436e-09,0.309652852499943,0.377,0.309,0.000108152971924152
"Sfpq",9.02998204851547e-09,0.210037909090411,0.437,0.363,0.000135630330368702
"Bcas1",9.9775107825295e-09,0.139507711463589,0.519,0.441,0.000149862211953593
"Rsrp1",1.40344534621053e-08,-0.25296467061863,0.764,0.771,0.000210797491000821
"Ankfn1",1.52049214176326e-08,0.257487128487861,0.514,0.443,0.000228377919692842
"Plekha7",1.71801108012357e-08,0.173745930086845,0.525,0.445,0.00025804526423456
"Plekhg2",1.91776790614222e-08,0.252963962875968,0.43,0.362,0.000288048739502562
"Slc7a2",2.5941229301812e-08,0.248073213258141,0.286,0.222,0.000389637264113217
"Ctnna3",2.63724443359479e-08,0.171395441182602,0.646,0.567,0.000396114113925938
"Sptb",2.65285575973911e-08,0.247221580629134,0.368,0.302,0.000398458935112814
"Prss12",2.67789207862307e-08,0.299027309347763,0.305,0.244,0.000402219390209185
"Mlip",3.2332130069239e-08,0.213971699187157,0.526,0.455,0.00048562859363997
"Fxyd1",3.49975839255989e-08,-0.446870754869364,0.492,0.533,0.000525663710562495
"Entpd2",3.68062561947105e-08,-0.315005959563954,0.154,0.21,0.000552829968044551
"Col27a1",5.24993186374923e-08,-0.408423586606062,0.153,0.204,0.000788539765935134
"Slc38a2",5.53044435365769e-08,0.278139151225088,0.295,0.235,0.000830672741919385
"Phgdh",5.56439780708185e-08,0.267413269571423,0.395,0.332,0.000835772550623694
"Metrnl",5.70034145967362e-08,0.254744091756477,0.384,0.322,0.000856191287242978
"Cadm3",5.90756389804499e-08,0.234663224033457,0.487,0.419,0.000887316097486358
"Gas7",6.56181289910454e-08,-0.508409695338686,0.211,0.263,0.000985584297445502
"Atp1a2",6.60467125762787e-08,-0.38424726165422,0.209,0.265,0.000992021622895706
"S100a6",6.64134216247996e-08,0.266512447958804,0.368,0.306,0.00099752959280449
"Nfasc",7.37058658263281e-08,0.162129929622384,0.759,0.694,0.00110706210471145
"Sept3",7.79602878344932e-08,0.180249018340855,0.589,0.517,0.00117096352327409
"Cldn19",8.12652602504853e-08,0.168114798037611,0.736,0.645,0.00122060420896229
"Drp2",9.33652240702668e-08,0.102086368789584,0.777,0.689,0.00140234566553541
"Rassf4",9.38327549500929e-08,-0.505696010461455,0.219,0.273,0.0014093679793504
"Shtn1",1.3981401991303e-07,0.206801552917953,0.539,0.465,0.00210000657909372
"Sept8",1.45094700817218e-07,0.16659992856303,0.707,0.63,0.00217932240627461
"Rasgef1a",1.46017512899393e-07,0.250348451704883,0.31,0.251,0.00219318304374888
"Slc5a3",1.58317887805782e-07,0.283211954947831,0.249,0.194,0.00237793467484284
"Sorcs2",1.78204126791691e-07,-0.498569938989778,0.102,0.143,0.00267662598441119
"Spag9",1.94473993968511e-07,0.186474417665189,0.594,0.519,0.00292099938940704
"Arhgap39",1.96920815527774e-07,0.182898264210614,0.586,0.526,0.00295775064922717
"Cemip2",2.23466936586781e-07,0.252937527838555,0.251,0.196,0.00335647338753345
"Fa2h",2.8744626453417e-07,0.221821619755541,0.496,0.433,0.00431744289330323
"Slc3a2",3.10350291137298e-07,0.319071247766547,0.314,0.263,0.00466146137288221
"Lbh",3.14366513029379e-07,-0.564094963637889,0.147,0.192,0.00472178502570128
"Shc4",3.27143806194972e-07,0.163752750083626,0.618,0.538,0.00491369996904848
"Cttnbp2",3.34626926626529e-07,0.262155183082933,0.397,0.338,0.00502609643793047
"Vat1l",3.92877219377895e-07,0.182371325834795,0.596,0.527,0.00590101583505599
"Clk1",4.0859414084567e-07,0.148154485700299,0.585,0.507,0.00613708399550196
"Caskin2",4.1977231223618e-07,0.188649424943229,0.539,0.464,0.00630498012978743
"Kat6a",4.68143456230206e-07,0.184909261667838,0.193,0.141,0.0070315147125777
"Cfap100",5.4878495160213e-07,0.132637858569539,0.905,0.882,0.00824274997306399
"Fnbp1",7.22177554545732e-07,0.155613969413466,0.645,0.569,0.0108471068692769
"Gjc3",7.70776126785458e-07,0.279963188060256,0.319,0.264,0.0115770574243176
"Zfp866",8.52521837367862e-07,0.197870821163982,0.164,0.118,0.0128048779972653
"Rbm5",8.96630821016745e-07,0.188518397670714,0.543,0.479,0.0134673949316715
"Sptbn1",1.06845666606625e-06,-0.197865068505218,0.833,0.823,0.0160482191243151
"Far1",1.16126215463795e-06,0.18533286704982,0.526,0.463,0.0174421575626621
"Aldh1a1",1.33843303721098e-06,-0.540501041229417,0.069,0.103,0.0201032642189088
"Ptpn13",1.42534950144481e-06,0.173476538954215,0.437,0.373,0.0214087495117011
"Usp6nl",1.52118744337895e-06,0.165548009580902,0.457,0.394,0.0228482353995518
"Vit",1.53618699712146e-06,0.276700891033569,0.31,0.257,0.0230735286967643
