"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sfswap",7.78950199176783e-07,0.639155858782564,0.538,0.321,0.0116998319916353
"Rbm15",1.05345983569804e-06,0.519802553191366,0.393,0.173,0.0158229667321846
"Kidins220",1.17826115424753e-06,0.609149172076262,0.522,0.286,0.0176974825367979
"Rbfox2",1.61341338917203e-06,0.572454054730411,0.664,0.429,0.0242334691053639
"Ccnt2",2.47715716231457e-06,0.584598333313603,0.531,0.291,0.0372069005779649
"Cox16",3.94083462041116e-06,0.639202795444237,0.321,0.138,0.0591913359985756
"Arfgef1",4.4329311509626e-06,0.684728166491034,0.343,0.158,0.0665826258874583
"Ccpg1",5.01608961538569e-06,0.718075077673767,0.393,0.204,0.0753416660230931
"Itgb6",5.83235974906775e-06,0.589926299634105,0.289,0.112,0.0876020434309977
"Klf15",5.93797721299401e-06,0.520614573918119,0.44,0.235,0.0891884177391701
"Baz1b",6.0229229340383e-06,0.575467568952777,0.425,0.209,0.0904643024692553
"Pxn",6.50214028485424e-06,0.744182858172336,0.456,0.26,0.0976621470785107
"Acad10",8.20459309773693e-06,0.580887554685375,0.176,0.041,0.123232988328009
"Prpf4b",1.1767139410565e-05,0.581764918484477,0.465,0.255,0.176742433946686
"Tex2",1.25355390421339e-05,0.58476691293215,0.447,0.245,0.188283796412851
"Tango2",1.4268377828352e-05,0.541577072963484,0.34,0.158,0.214311034981847
"Klhl38",1.59977534650817e-05,0.682925276009106,0.252,0.097,0.240286257045527
"Zbtb20",1.7453974624755e-05,0.506896924097816,0.453,0.245,0.26215869886382
"Cacnb1",1.81864428797099e-05,0.625877258726671,0.365,0.184,0.273160372053243
"Cd36",1.8334393620639e-05,0.414232296423203,0.758,0.577,0.275382592181998
"Ube2d2a",1.85298823665321e-05,0.565438562381813,0.186,0.051,0.278318833145312
"Ppp6r2",1.88364696587103e-05,0.480929703958376,0.425,0.235,0.282923774273829
"Dtymk",2.48435075571058e-05,0.653969966065182,0.226,0.082,0.37314948350773
"Kmt2b",2.68238039931313e-05,0.501566274655551,0.277,0.112,0.402893535976832
"mt-Nd6",2.90264565767624e-05,-0.992046495644423,0.192,0.332,0.435977377782971
"Klc1",2.91252920295952e-05,0.471911115832276,0.61,0.393,0.437461886284521
"BC005537",3.14442256561599e-05,0.600325177051545,0.472,0.286,0.472292269355522
"Rnpepl1",3.30358861746349e-05,0.627630804451468,0.248,0.102,0.496199010343016
"Agbl1",3.41698890841278e-05,0.753953781298421,0.245,0.097,0.5132317340436
"Tet2",3.97874186728169e-05,0.563086520521733,0.264,0.112,0.59760702846571
"Micu1",4.03006918825781e-05,0.501295975045782,0.255,0.107,0.605316392076323
"Actn3",4.15214058450323e-05,-1.64172250530668,0.06,0.168,0.623651515792385
"Filip1l",4.57773754035009e-05,0.576838980355752,0.211,0.077,0.687576178560583
"Adamtsl4",4.775130401595e-05,0.475895457297573,0.472,0.276,0.71722458631957
"Myh4",5.1816016066846e-05,-3.12591373862264,0.063,0.168,0.778276561324027
"Hdac4",5.34710711102951e-05,0.682677444266299,0.399,0.23,0.803135488076633
"Kansl2",5.96006093757631e-05,0.604899612241367,0.494,0.316,0.895201152823962
"Adnp",6.25501174657941e-05,0.448388962066571,0.176,0.051,0.939502764336228
"Coro6",6.36963375871525e-05,0.827663296523775,0.626,0.515,0.956718990559031
"Ptpn3",6.9584114806529e-05,0.468737605969476,0.503,0.296,1
"Ctdspl2",7.19250362749585e-05,0.632836066667269,0.186,0.061,1
"Zgpat",7.31284480031272e-05,0.526289102328255,0.55,0.372,1
"Tnrc6a",8.587582287641e-05,0.553086247307643,0.403,0.219,1
"Slc25a28",9.02180465976244e-05,0.430746501581672,0.296,0.133,1
"Tbc1d24",9.09632558110235e-05,0.623678648345962,0.182,0.061,1
"Ankrd23",9.26460285881287e-05,-0.899607590284836,0.553,0.643,1
"Smchd1",9.38147995622181e-05,0.537949222762458,0.142,0.036,1
"Tnrc6c",0.000100257596069729,0.463310395983449,0.453,0.265,1
"Kif13a",0.000101902911754554,0.529296678518693,0.403,0.235,1
"Pnisr",0.000103224027127281,0.358627117675483,0.777,0.592,1
"Rint1",0.000103348180964507,0.401362379123582,0.164,0.046,1
"Rmnd1",0.000103912234763487,0.536423342093234,0.292,0.138,1
"Stim1",0.00010467558311953,0.717534931930791,0.525,0.383,1
"Flvcr1",0.000104709057956338,0.808288197426339,0.44,0.291,1
"Etl4",0.000119798031784036,0.696495480971251,0.39,0.23,1
"Zfp386",0.000122393600263615,0.476911860290712,0.179,0.061,1
"Ncapd2",0.000125033543349348,0.525817029376871,0.157,0.046,1
"Slc25a23",0.000128121995470518,0.541101316585312,0.459,0.296,1
"Slc44a1",0.000135886523650367,0.420100983892138,0.135,0.031,1
"Usp15",0.00015309493155165,0.540629091531359,0.478,0.311,1
"Tnrc6b",0.000155374138620315,0.429696716519104,0.371,0.204,1
"Pvalb",0.000162505794941352,-3.31630691628717,0.06,0.153,1
"Casq1",0.000169044625446684,-1.03929672332831,0.484,0.587,1
"Rnf103",0.000173942661651811,0.44141115551787,0.211,0.082,1
"Fam234a",0.000176981458661254,0.486462470464623,0.255,0.112,1
"Lpp",0.000179913850953655,0.512159974348813,0.214,0.087,1
"Ubr5",0.000183941859506189,0.422785404692437,0.525,0.337,1
"Acbd3",0.000184913419064863,0.472776899037085,0.242,0.107,1
"Cdk12",0.000189786696814177,0.568065775815165,0.314,0.168,1
"Cblb",0.00020830424609506,0.383160668028019,0.39,0.219,1
"Mef2d",0.000215810103504712,0.398614442888964,0.673,0.48,1
"Rnpc3",0.000227031887862904,0.395522939689911,0.384,0.214,1
"Krba1",0.000227965860109899,0.54297918251318,0.399,0.24,1
"Fam214a",0.000233914187438391,0.428084347300858,0.597,0.434,1
"Slc12a4",0.00023582409867331,0.520098312776264,0.302,0.153,1
"Mterf3",0.000238018493834109,0.490502410790085,0.362,0.199,1
"Iqgap1",0.000242632771745978,0.533194861696875,0.358,0.204,1
"Jam3",0.00024370363435161,0.576578516273982,0.217,0.092,1
"Kmt2a",0.000252374693053967,0.521328052112232,0.296,0.153,1
"Chrnb1",0.000265544903466017,0.660617101043529,0.173,0.061,1
"Ddit3",0.000278172697400312,0.444501825177609,0.362,0.199,1
"Mocs2",0.000289902847674598,0.407410198367493,0.544,0.342,1
"mt-Co2",0.000295572720763073,-0.923482955136966,0.233,0.372,1
"Hdhd5",0.000314888134851303,0.467886865672508,0.377,0.219,1
"Sav1",0.000336834391133454,0.547010384049654,0.327,0.184,1
"Phf3",0.000340989686968081,0.348286521042099,0.173,0.061,1
"Dyrk1b",0.000345939505586417,0.411548742015501,0.358,0.204,1
"Nfatc3",0.000347540583430002,0.303319247379752,0.113,0.026,1
"Exoc6",0.000347654490032702,0.439642481265128,0.189,0.071,1
"Tns1",0.000348087303591946,0.242335195272118,0.67,0.49,1
"Kcnj2",0.000348471159855511,0.542051490722216,0.343,0.199,1
"Letm2",0.000365245514657825,0.496987463716998,0.113,0.026,1
"Tomm34",0.000379868910651208,0.590247608505935,0.145,0.046,1
"Herc1",0.000379939235715028,0.427853094423921,0.333,0.189,1
"Ech1",0.000381394198610791,0.397473906810152,0.755,0.597,1
"Patz1",0.000383942933316206,0.658446421913189,0.308,0.173,1
"Aldh9a1",0.000384442349585333,0.416217238038503,0.327,0.173,1
"Trim55",0.000390280207351706,0.546232168432604,0.27,0.138,1
"Acsf3",0.00040350077926114,0.377231554357003,0.267,0.128,1
"Cdyl",0.000427719558954492,0.693830942091246,0.167,0.061,1
"Max",0.000427895110257749,0.481179028575895,0.27,0.133,1
"Fam13a",0.000433422166525625,0.32630861178372,0.519,0.342,1
"Fbh1",0.000435049990788216,0.555347635352322,0.283,0.148,1
"Dmxl1",0.000435573991182678,0.468520381665934,0.308,0.168,1
"Rce1",0.000436322698279317,0.358854792386985,0.104,0.02,1
"Ralgapa1",0.000449583648748349,0.446756359023425,0.355,0.199,1
"Dnajb6",0.000463123749274033,0.378102470617635,0.327,0.179,1
"Smc1a",0.000472725237847524,0.319938433293401,0.211,0.087,1
"Inpp5b",0.000504822707866927,0.549347707041893,0.208,0.092,1
"Dgkz",0.000513851859198686,0.731738299325304,0.544,0.423,1
"Opa1",0.000529733021042808,0.366006461584543,0.214,0.092,1
"Creb3l2",0.000529864057753009,0.520528459996684,0.173,0.066,1
"Acss1",0.000536174795838828,0.640086466473135,0.399,0.265,1
"Lrrfip2",0.000558316635454468,0.492348824399781,0.469,0.321,1
"Cul1",0.000563682299969498,0.425458449641694,0.368,0.214,1
"Lrrc29",0.000565090102840832,0.399660681931754,0.126,0.036,1
"Usp28",0.000566587207525157,0.466287828708659,0.396,0.23,1
"Zhx1",0.000569812335759388,0.39492176424662,0.189,0.077,1
"Sfpq",0.000583371885953401,0.448549485036811,0.459,0.301,1
"Arntl",0.000584250720151152,0.292571065428824,0.11,0.026,1
"Ank3",0.000612310148068771,0.470609214246084,0.484,0.321,1
"Smarce1",0.000613179831058619,0.413905598338965,0.164,0.061,1
"Ipo13",0.00061821717077135,0.391991159813774,0.443,0.281,1
"Med4",0.000626897742882179,0.33674213402087,0.101,0.02,1
"Zfyve27",0.00063528869595998,0.377689900287112,0.318,0.168,1
"Neb",0.00063650917817808,0.526032905629243,0.645,0.602,1
"St7l",0.0006602338378001,0.472644431097995,0.245,0.122,1
"Zfp26",0.000674573575379528,0.470505827728289,0.176,0.071,1
"Sept11",0.00068194130258556,0.416886305330024,0.289,0.153,1
"Mapt",0.000682255260259766,0.451561644465831,0.431,0.265,1
"Ano6",0.000684915305529924,0.510557358923877,0.274,0.143,1
"Ythdf3",0.000713681221734451,0.500843404779338,0.299,0.163,1
"Etfrf1",0.000729938189545594,0.188953169782255,0.186,0.071,1
"Ier3",0.000733839352570782,0.361048166085376,0.107,0.026,1
"Atpaf1",0.000737243488877189,0.35958947024546,0.214,0.097,1
"Nt5dc1",0.000739911294856887,0.595478591513865,0.242,0.122,1
"Commd1",0.000743227627109612,0.356258636781192,0.157,0.056,1
"Clec2d",0.000763142914932821,0.446469658909812,0.689,0.561,1
"Ank2",0.000768085039177868,0.667488389036246,0.437,0.286,1
"Papola",0.000781538990558046,0.425032804877638,0.516,0.347,1
"Emc1",0.000788305966973602,0.387711994247296,0.44,0.27,1
"Eif2s3y",0.000817335342075997,0.434986773243936,0.39,0.235,1
"Dus3l",0.000820834060949901,0.371928720333424,0.403,0.245,1
"Scaf8",0.00083647565059349,0.251478337402216,0.226,0.102,1
"Kat6b",0.000848459554703113,0.363653687885603,0.374,0.224,1
"Dync1h1",0.000854916377880015,0.515627142218556,0.355,0.219,1
"Ivns1abp",0.000873544554165889,0.435258838957324,0.522,0.367,1
"Mgat1",0.000875966081910924,0.352751764054451,0.214,0.097,1
"Tfcp2",0.000876181052967946,0.483348124336398,0.145,0.051,1
"Rhbdd3",0.000886108587092115,0.362933762617953,0.195,0.082,1
"Snx6",0.000893273490640878,0.419400520315569,0.289,0.153,1
"Ckm",0.000910178583892105,-1.45008887315086,0.497,0.571,1
"Cdh13",0.000927402336021285,0.538963365586519,0.233,0.117,1
"Cpt1b",0.000928733159731325,0.437342409877769,0.604,0.464,1
"Gpr146",0.000950107766299759,0.440400513379584,0.211,0.097,1
"Nemf",0.000958146686661672,0.469930582197967,0.292,0.163,1
"Trappc9",0.000968367664365202,0.378408461516997,0.396,0.235,1
"Rbm4",0.000976610854159371,0.463278988790888,0.321,0.189,1
"Plpp3",0.000978769421977056,0.461490188503989,0.409,0.26,1
"Rgp1",0.00098170870303436,0.35859060700477,0.192,0.082,1
"Rer1",0.000987235446213283,0.371186300071037,0.198,0.087,1
"Mybpc2",0.0010054322086285,-1.37295829405307,0.066,0.153,1
"Ccdc59",0.00100987924750522,0.403949149200721,0.299,0.163,1
"Gemin2",0.00102294118428908,0.337057828555371,0.113,0.031,1
