"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co2",8.88406544010999e-09,0.502435497812626,0.216,0.134,0.000133438662910452
"Cebpd",9.30100176343798e-08,0.352503100548334,0.422,0.322,0.00139701046486839
"Fkbp7",1.15025321839026e-07,0.277147593978864,0.118,0.06,0.00172768033402218
"mt-Co3",2.72114175948304e-07,0.382726187191579,0.161,0.096,0.00408715492274353
"Col5a2",6.2044735870054e-07,0.336028064059804,0.286,0.202,0.00931911932768212
"Htra1",6.49642714874199e-07,0.400907990307021,0.181,0.114,0.00975763357741046
"Sfrp4",1.33959885821889e-06,0.621097444804064,0.293,0.217,0.0201207748504478
"Cd9",1.72081536768531e-06,0.413228344338816,0.36,0.282,0.0258466468226334
"mt-Cytb",1.8538255432137e-06,0.309588212784447,0.161,0.1,0.0278444596590698
"Ctsk",1.94036955871602e-06,0.297220384214201,0.128,0.073,0.0291443507719147
"Slc16a9",2.05990137466342e-06,0.282938695324081,0.116,0.064,0.0309397186474446
"mt-Atp6",2.07348083486089e-06,0.316182526880391,0.178,0.114,0.0311436821396106
"Col8a1",2.44811439288116e-06,0.257302737312505,0.152,0.092,0.036770678181075
"Tmem109",3.17699581353091e-06,0.280741184194633,0.126,0.072,0.0477184771192343
"mt-Nd1",3.94794287287162e-06,0.25530222201045,0.116,0.065,0.0592981019505318
"Atp6ap2",4.45642251038583e-06,0.212593042258296,0.101,0.054,0.0669354661059952
"Glul",4.5319790305773e-06,0.254126720554285,0.226,0.156,0.0680703250392711
"Shisa5",5.29636809349766e-06,0.206569194198627,0.173,0.11,0.0795514487643348
"Myoc",6.18855608754509e-06,0.428461158541058,0.545,0.461,0.0929521124349273
"Egr1",8.13665260523063e-06,0.35897012812704,0.327,0.247,0.122212522130564
"Snd1",1.037948175618e-05,-0.357052192281916,0.37,0.433,0.155899815977824
"Cnpy2",1.22024092666e-05,0.201501212294746,0.133,0.08,0.183280187184332
"mt-Atp8",1.25843264919539e-05,0.247708842687947,0.129,0.078,0.189016583909147
"Shisa3",1.37686116048676e-05,0.322208054365996,0.185,0.124,0.206804546305111
"Lum",1.59473973553924e-05,0.532720958729595,0.302,0.236,0.239529908277994
"Map6",1.66133809271199e-05,0.316707484996082,0.121,0.073,0.249532981525341
"Prnp",1.72159952624917e-05,0.327227198661509,0.166,0.11,0.258584248842626
"Tuba1a",1.90219724269121e-05,0.259835250838075,0.236,0.168,0.28571002585222
"Plxdc1",2.09267189745799e-05,0.220123904994354,0.243,0.172,0.31431931899819
"mt-Co1",2.25541259246229e-05,0.187666534983234,0.145,0.091,0.338762971387836
"Ifitm3",2.3777002614904e-05,0.233297109143268,0.123,0.074,0.357130579275857
"Ccn2",2.89343384555956e-05,0.456272797994581,0.153,0.1,0.434593763603046
"Bmpr2",2.90351748773948e-05,0.164764347282279,0.118,0.07,0.436108326658471
"Stag2",3.03831706727122e-05,0.190622312317606,0.121,0.073,0.456355223504137
"Cyth3",3.12234321500108e-05,0.284669934262703,0.233,0.167,0.468975950893163
"Ccn3",3.70725612844433e-05,0.334611829364522,0.226,0.159,0.556829870492338
"Reep3",4.07699547678338e-05,0.259782970154133,0.153,0.1,0.612364720612864
"Fos",4.32116922287611e-05,0.489554422831227,0.227,0.165,0.649039617275991
"Hdlbp",4.59657149902918e-05,0.204975362102646,0.306,0.233,0.690405039154183
"Pik3cd",4.99697661538644e-05,0.261760183845527,0.121,0.074,0.750545887631043
"Zfp36",5.23882782946803e-05,0.352492254162821,0.291,0.225,0.786871939986098
"Col1a1",5.29132775092938e-05,0.431883492690381,0.789,0.764,0.794757428189593
"Ubl3",5.38004566289467e-05,0.227768717774848,0.107,0.063,0.808082858566779
"Arl8a",6.0580348390225e-05,0.263364829875977,0.21,0.15,0.90991683282118
"Ntn1",6.0938713898251e-05,0.26029580134419,0.217,0.156,0.91529948275173
"Per2",6.57124037070712e-05,-0.415044467064858,0.125,0.177,0.98700030368021
"Tshz3",7.11467820057234e-05,0.272842529053501,0.168,0.114,1
"Akap11",7.91121907353813e-05,0.27363534969715,0.103,0.061,1
"Sned1",7.95943099719296e-05,-0.321831344872506,0.631,0.672,1
"Pcbp1",8.44266737149609e-05,0.210203921426948,0.102,0.06,1
"Rcn3",8.53941527013359e-05,0.242243317418353,0.395,0.32,1
"Ctsl",8.85964633083553e-05,0.233593344865619,0.198,0.141,1
"Capns1",9.88442028500921e-05,0.24725267910457,0.133,0.087,1
"Bace1",0.000100209223026824,0.249709146146183,0.101,0.06,1
"Cygb",0.000107171593511197,0.240724791845944,0.387,0.318,1
"Tceal8",0.000116729289565899,0.183336054337169,0.115,0.071,1
"Ctsz",0.000128417844790075,0.245912045394923,0.178,0.124,1
"Scpep1",0.000139214052421457,0.181979519667081,0.18,0.125,1
"Ptms",0.0001394228479302,0.248520839364428,0.52,0.46,1
"Khdc4",0.000140508314573425,-0.291530629146292,0.264,0.328,1
"Hsbp1",0.000142502117405037,0.215672405127824,0.114,0.071,1
"Pard3b",0.000143873128972973,-0.372335649927963,0.202,0.256,1
"Sfr1",0.000144380765281798,0.265589151745406,0.174,0.121,1
"Tmed7",0.000146000424822139,0.185900735823859,0.161,0.109,1
"Sdc3",0.000148307710689076,0.228752835609916,0.21,0.151,1
"Pard3",0.000156284764167409,-0.336597426608271,0.258,0.314,1
"Snx3",0.000158444530190447,0.212091156481318,0.106,0.065,1
"Klhl9",0.000174915808936773,0.234770038561113,0.121,0.077,1
"Ddost",0.000177749446014713,0.201964653938767,0.199,0.143,1
"Serping1",0.000188855699908149,0.279217882593792,0.566,0.516,1
"Bgn",0.00019901366136879,0.458434311779599,0.28,0.22,1
"Mfap5",0.000200087673800165,0.255345722417851,0.384,0.316,1
"Tcn2",0.000200120648636237,0.172336723820233,0.173,0.12,1
"Tspan3",0.000209107720719278,0.185009223183876,0.17,0.119,1
"Itm2a",0.000221753828914462,0.271509831503993,0.158,0.11,1
"Mycbp2",0.000223677301177881,-0.364153081546697,0.157,0.209,1
"Aspn",0.000226395449572735,0.328252907337883,0.109,0.07,1
"Klf13",0.00023437479601879,0.255046211057492,0.139,0.093,1
"Gli1",0.000241808263262004,0.117491144173283,0.28,0.211,1
"Chpf",0.000245334417357742,0.160610053641823,0.158,0.108,1
"Tmed9",0.000246107462076298,0.141944009942871,0.191,0.135,1
"Qsox1",0.000247829282673966,0.275883460524889,0.117,0.076,1
"Tsen34",0.000260899946755084,0.138761371023038,0.141,0.093,1
"Serinc1",0.000277815348428713,0.192889716396501,0.228,0.169,1
