"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccdc160",3.3332116768405e-05,1.26979088876432,0.12,0.006,0.500648393861444
"Fam117b",9.54751524451341e-05,0.968404349909063,0.233,0.069,1
"Ptpn9",0.000207983965154322,1.13640026197126,0.226,0.075,1
"Tnxb",0.000252777879783999,-0.96547595866104,0.173,0.365,1
"Tpst1",0.000271229214186482,-1.15094302040622,0.045,0.182,1
"Akap1",0.000310144735576113,-0.941177393824758,0.008,0.113,1
"Wasf3",0.000393685051628081,0.955190218467239,0.135,0.025,1
"Gipr",0.000488038251955029,-1.74830764126275,0.023,0.138,1
"Fabp4",0.000612050796020779,-1.10869254501273,0.06,0.201,1
"Cnnm2",0.000621126536825849,0.849474325677245,0.308,0.145,1
"Gfm1",0.000694986409097985,-0.786474124832166,0.008,0.101,1
"Emid1",0.000722282988365358,0.507585962154355,0.429,0.226,1
"Iqce",0.000821925588381503,1.15870913415182,0.158,0.044,1
"Cd36",0.00124371808706828,-1.10637843909415,0.075,0.208,1
"Tbl3",0.00136032581248221,1.06494239715801,0.105,0.019,1
"Tbce",0.00136294242228903,0.78611660880033,0.165,0.05,1
"Dhrs3",0.00143288315757063,-0.71195290837027,0.113,0.264,1
"Afap1",0.00150123320683433,-0.842775131293761,0.195,0.346,1
"Ptch1",0.00154080608381768,0.899904510746622,0.173,0.057,1
"Zbtb4",0.00186226935928337,-0.700890556154303,0.203,0.377,1
"Dgkb",0.00210363971809502,0.677012572516882,0.594,0.434,1
"Trpc3",0.0021057675582559,0.772549610859907,0.474,0.308,1
"Rbbp7",0.00231295596568315,0.81476971877593,0.113,0.025,1
"Cpne2",0.00245155705274775,-0.678939781665827,0.06,0.182,1
"Cd300lg",0.00270314191390027,-1.15595103786276,0.015,0.101,1
"Dapk2",0.00276298831807198,-0.867322685511153,0.015,0.101,1
"Fes",0.00297807500495041,-0.919292170007584,0.03,0.126,1
"Pcyt2",0.00301799259710249,0.622411812147311,0.226,0.094,1
"Kif3a",0.00304291906021387,0.945535701739431,0.211,0.094,1
"Nedd4",0.00377108054426265,-0.672018680149118,0.173,0.321,1
"Nfyc",0.00390346359588186,-1.12356569663319,0.023,0.107,1
"Deaf1",0.00426665854124839,-0.679423134737559,0.173,0.308,1
"Gigyf1",0.00434906387143152,-0.517397451522782,0.263,0.434,1
"Mea1",0.00455707142682854,-0.730031352210507,0.038,0.132,1
"Slc4a7",0.00456294531145611,0.734142852837519,0.128,0.038,1
"H2-M9",0.00458246298922835,-1.05951707841918,0.023,0.107,1
"Ccdc141",0.00470001651786325,0.56400712648771,0.526,0.346,1
"Adamts15",0.00473168466413252,-0.781590787619389,0.098,0.22,1
"Ehd2",0.00476795326833632,0.53044481612401,0.466,0.302,1
"Asah1",0.00481561021615819,-0.693928531366139,0.023,0.107,1
"Slc7a2",0.00482325130807574,0.631349918027518,0.489,0.34,1
"Rnf187",0.00491291545099506,-0.775286969724692,0.075,0.189,1
"Slc25a45",0.00510048391808302,0.575652683426526,0.128,0.038,1
"Asap3",0.00510772521763421,-0.763756335085868,0.038,0.132,1
"Adgrl1",0.00512608614455374,0.775653742290601,0.383,0.245,1
"Col6a2",0.00564198559742282,-0.661823949174579,0.278,0.44,1
"Gab1",0.00617038658064733,0.753584852168604,0.188,0.082,1
"Bcl9l",0.00633170092623562,-0.521314313555771,0.226,0.377,1
"Ldb1",0.00646454830461229,-0.540031298819568,0.398,0.553,1
"Astn2",0.0064654714912565,0.678798303366962,0.18,0.075,1
"Srp68",0.00691244870354455,-0.775294637692086,0.045,0.138,1
"Cox16",0.00693176969530926,-0.743630082881313,0.12,0.245,1
"Fam160b1",0.00702652350220826,-0.695618508976172,0.045,0.138,1
"Serping1",0.00717105139017487,0.614753833881918,0.474,0.314,1
"Oaf",0.00724265478540839,-0.794354860018624,0.023,0.101,1
"Cxcl12",0.00729446392657436,-0.731592053575065,0.158,0.283,1
"Ets2",0.00765564941221831,0.968549660628421,0.188,0.088,1
"Col18a1",0.00766252551674865,-0.848852593927491,0.211,0.34,1
"Tet2",0.00775854820658149,0.616019595679805,0.203,0.094,1
"Med24",0.00775873936721516,-0.735124238324016,0.03,0.113,1
"Coro1c",0.00782717967452867,-0.552403185170883,0.023,0.101,1
"Gid8",0.00784143424701443,0.775975878932551,0.128,0.044,1
"Ccdc191",0.00821363238920366,-0.642883662307969,0.023,0.101,1
"Id4",0.00824559834612909,-0.968845562174676,0.053,0.151,1
"Clk1",0.00828246683899562,-0.615667200014154,0.406,0.535,1
"Tspan2",0.00845361763758582,-0.487539766564323,0.023,0.101,1
"Lancl1",0.00852841708940476,-0.814145301076108,0.06,0.157,1
"Ppp1r14a",0.00858865529702008,-0.581320785794263,0.338,0.491,1
"Vtn",0.00867065162605198,0.959163058110063,0.263,0.145,1
"Rnf111",0.00872088793767635,0.723988740785167,0.165,0.069,1
"Fkbp10",0.00922020919669413,0.511490179493167,0.15,0.057,1
"Nab1",0.00937872377799318,-0.599725624743606,0.278,0.428,1
"Pkig",0.00976199507235507,0.545326795627713,0.286,0.157,1
"Zmiz2",0.00990808256813844,0.73777265895289,0.135,0.05,1
"Herc1",0.0100662420046609,0.644911121090845,0.226,0.113,1
"Klhl9",0.0102201109098592,0.743932709205932,0.105,0.031,1
"Stard8",0.0102889379672394,0.683892119655406,0.406,0.283,1
"Nrarp",0.0103032703262141,0.577015707001749,0.203,0.094,1
"Tbc1d17",0.0104498531980013,-0.561453003239576,0.18,0.308,1
"Bud23",0.010810636477558,0.746314677329247,0.105,0.031,1
"Ttyh2",0.0113256556872923,0.538195599627572,0.105,0.031,1
"Sae1",0.0114328649425561,-0.747209325584732,0.03,0.107,1
"Adamtsl5",0.0114760297785974,-0.57423702666203,0.211,0.34,1
"Homer3",0.0116856214789297,-0.746610789741942,0.038,0.119,1
"Cfap410",0.011753336512569,0.565602164123732,0.105,0.031,1
"Gstt1",0.0119388840850873,-0.906967392034226,0.075,0.17,1
"Zdhhc5",0.0119724729828685,0.436858866131225,0.105,0.031,1
"Akt3",0.0120499552525949,0.768570023126969,0.203,0.101,1
"Acadvl",0.0121083567082172,-0.619758866743844,0.045,0.132,1
"Cyren",0.0121798794204286,-0.54943650582125,0.038,0.119,1
"Gtpbp6",0.0124920918766357,-0.632728489330057,0.135,0.252,1
"Pde8b",0.0126059461784611,0.541721909045804,0.241,0.126,1
"Faf1",0.0126131185204997,-0.599244616229435,0.113,0.226,1
"Cers2",0.0126522506683266,-0.621427336105648,0.075,0.176,1
"Snx2",0.0126522506683266,-0.580021226888425,0.075,0.176,1
"Arhgap29",0.0129175762578822,0.561592604612136,0.308,0.189,1
"Peli1",0.0130517413339122,0.80393779939869,0.165,0.075,1
"Prdm11",0.0130744179781736,0.625135575030105,0.143,0.057,1
"Tgfb1i1",0.0132490079277261,0.470902578066665,0.338,0.208,1
"Jmjd6",0.0133716151101441,0.599718844374216,0.226,0.119,1
"Mdn1",0.0137421207013398,0.619515389395093,0.113,0.038,1
"L3mbtl2",0.0137421774426542,-0.445255190738159,0.03,0.107,1
"Pebp1",0.0138617592216772,0.553450010750334,0.113,0.038,1
"Vps26c",0.013888246304348,-0.529560432830406,0.038,0.119,1
"Rbm3",0.0139875237425215,0.610757872043908,0.15,0.063,1
"Sdf2",0.0142411712196837,-0.845405494375752,0.068,0.157,1
"Syngap1",0.0144871859999857,-0.560660398816768,0.098,0.208,1
"Ggt5",0.0145858130392545,-0.493458529603372,0.135,0.258,1
"Acat1",0.0146169342852952,0.678017581650926,0.173,0.082,1
"Hoxa3",0.0146593913102763,0.715515300846845,0.203,0.101,1
"Baz1b",0.0146871954628149,-0.613598093525353,0.135,0.252,1
"Procr",0.0148107561907777,0.485175025935161,0.368,0.226,1
"Cyb5a",0.014926632650041,0.684631361942101,0.12,0.044,1
"Pi4ka",0.0156889901062318,-0.655167540792859,0.053,0.138,1
"Rin3",0.0158049096640491,-0.672161562183736,0.053,0.138,1
"Mcur1",0.0159526504749348,-0.930386912682383,0.045,0.126,1
"Zbtb7a",0.016146555627373,-0.679720298667145,0.075,0.17,1
"Agrn",0.0167454277211941,0.581471472723756,0.353,0.226,1
"Tmem273",0.0168729987742938,-0.827870823301497,0.038,0.113,1
"Speg",0.0169134113721137,-0.433725589410155,0.323,0.472,1
"Usp24",0.0169921269745309,0.446080704733622,0.195,0.094,1
"Slit3",0.0170759393524581,-0.840837074153731,0.143,0.245,1
"Dennd3",0.0172139697059977,-0.733909528987742,0.03,0.101,1
"Srsf6",0.0172159761026744,-0.40586551064802,0.504,0.61,1
"Klf12",0.0173903417096365,0.478459850646114,0.15,0.063,1
"Dhx9",0.0177738976830624,0.659471996964812,0.188,0.094,1
"Rxylt1",0.0178173404672584,-0.59050923692431,0.03,0.101,1
"Pcyt1a",0.0179994963756802,-0.704671995581571,0.038,0.113,1
"Hnrnpk",0.0180241356360919,0.821021694988195,0.143,0.063,1
"Thoc1",0.0184070556344895,0.619442564172538,0.128,0.05,1
"Man1b1",0.0184384859818409,-0.492376000563046,0.038,0.113,1
"Pacsin3",0.0184953965409698,-0.885031003021745,0.203,0.314,1
"Rit1",0.0185528466987923,0.785095728189724,0.143,0.063,1
"Acot7",0.0189179140613653,-0.677662945292798,0.03,0.101,1
"Aff3",0.019079895927862,-0.528524245209388,0.03,0.101,1
"Kank4",0.0191775242068435,0.441505330525572,0.248,0.138,1
"Inpp4b",0.0192022451033698,0.425209478059209,0.459,0.346,1
"Dhx57",0.0192430890210222,-0.440523408462351,0.03,0.101,1
"Acss1",0.0193154993430304,0.626587735131608,0.173,0.082,1
