"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mt2",5.03850536222474e-30,0.615271252966178,0.327,0.216,7.56783505406155e-26
"Ddit4",2.14428963922709e-27,0.420599780374488,0.216,0.122,3.22072303811909e-23
"Ogn",2.33740891602792e-27,0.411924281319623,0.503,0.378,3.51078819187394e-23
"Eps8l1",7.36336817231369e-26,-0.593909628757974,0.078,0.154,1.10597789948152e-21
"Cntf",3.42573390000166e-24,0.442682242959067,0.443,0.337,5.14545231780249e-20
"Hmgcs1",1.20158367499147e-23,0.388934667873031,0.34,0.237,1.80477867983719e-19
"Mt1",2.12314687081939e-22,0.318281914254336,0.312,0.212,3.18896659997072e-18
"Mt3",5.41135433369575e-22,0.376345183024151,0.521,0.413,8.12785420921101e-18
"Arid5b",1.38561189308076e-21,0.319600652208576,0.203,0.121,2.0811890634073e-17
"Vwa1",7.07738710767227e-21,0.280671578136841,0.609,0.484,1.06302354357237e-16
"Fdft1",8.5649795740477e-21,0.330147545177911,0.229,0.145,1.28645993202196e-16
"Sparc",1.78876116808981e-20,0.347927996144305,0.707,0.617,2.68671927447089e-16
"Mal",2.66010466490441e-19,0.313581273009604,0.491,0.385,3.99547720668642e-15
"Selenop",4.62167599527744e-19,0.362208675405205,0.392,0.292,6.94175734490671e-15
"Dhcr24",7.68408537073456e-19,0.341446798077831,0.334,0.242,1.15414962268433e-14
"Prnp",2.18126641031399e-18,0.368694439778589,0.416,0.309,3.27626214829162e-14
"Tsc22d3",4.39975696067685e-18,0.247203619089529,0.287,0.199,6.60843495493663e-14
"Cadm3",7.6372837795085e-18,0.307536348549148,0.513,0.407,1.14712002368218e-13
"Cadm4",6.66296079094836e-17,0.315391633466047,0.66,0.562,1.00077671080044e-12
"Scd2",9.22570929854982e-17,0.282468089332994,0.419,0.323,1.38570153664218e-12
"Ucp2",1.11198199260346e-16,0.281102214069046,0.3,0.214,1.6701969528904e-12
"Tecr",2.63536564633923e-16,0.230881012306114,0.506,0.402,3.95831920080153e-12
"Tsc22d4",2.69182598687992e-16,0.228796221896061,0.455,0.349,4.04312263229364e-12
"Tmsb4x",4.69541676318492e-16,0.333233522189487,0.309,0.224,7.05251597830376e-12
"Msmo1",8.94962820150071e-16,0.228856649846698,0.271,0.192,1.34423415586541e-11
"Pttg1ip",9.58460913482349e-16,0.219020771594988,0.443,0.339,1.43960829205049e-11
"Insig1",1.0187367760067e-15,0.249260951877089,0.334,0.246,1.53014263756206e-11
"Vit",1.35420677617923e-15,0.242276470505804,0.33,0.244,2.0340185778212e-11
"Crlf3",1.64101158282561e-15,0.200495101191045,0.342,0.251,2.46479939740407e-11
"Sema5a",3.04616809448981e-15,0.251764951939548,0.268,0.192,4.57534447792369e-11
"Chrdl1",3.27350359407248e-15,0.194810277872933,0.232,0.158,4.91680239829687e-11
"Cryab",5.81958470639967e-15,0.295581884052774,0.558,0.461,8.74101622901231e-11
"Gldn",7.50438650924261e-15,0.216660246275405,0.389,0.296,1.12715885368824e-10
"Nfkbia",1.7302734080797e-14,0.214402294896137,0.247,0.172,2.59887065893571e-10
"Dag1",2.73592406580788e-14,0.259104974665127,0.463,0.372,4.10935794684344e-10
"Pmp22",2.74673297690489e-14,0.372663107115888,0.894,0.866,4.12559293131115e-10
"Lamp1",4.34433103438891e-14,0.262949642630322,0.238,0.168,6.52518521365215e-10
"Cd9",6.06452138205564e-14,0.292635003410716,0.644,0.566,9.10891111584758e-10
"Ldlr",6.64465327851425e-14,0.0730913327931242,0.324,0.235,9.9802692243284e-10
"Cst3",6.82929614802117e-14,0.359307153344486,0.284,0.209,1.02576028143278e-09
"Mast2",9.40401753966054e-14,0.22839200921136,0.577,0.48,1.41248343445701e-09
"Ube2d2a",9.82071867170432e-14,0.241357812855375,0.226,0.157,1.47507194448999e-09
"Atp6ap1",1.1024848041566e-13,0.226694589863178,0.246,0.176,1.65593217584321e-09
"Endod1",1.14362019727269e-13,0.213920778752043,0.344,0.26,1.71771753630358e-09
"Mfap5",1.19231167058649e-13,0.255038285894197,0.46,0.372,1.79085212922091e-09
"Cd59a",1.28301308395064e-13,0.227130075922689,0.303,0.225,1.92708565209387e-09
"Samd5",1.57489848674787e-13,0.14041494670744,0.398,0.304,2.3654975270953e-09
"Acly",1.93497596194127e-13,0.193574512697158,0.284,0.208,2.90633389483579e-09
"Tmem50a",4.16163333683889e-13,0.231195323909467,0.256,0.185,6.25077327193202e-09
"Itih5",4.53773964085319e-13,0.181409110726255,0.202,0.138,6.81568494056149e-09
"Tab2",6.69335436954079e-13,0.197301687177405,0.214,0.148,1.00534182630503e-08
"Sema6d",7.64752521130881e-13,0.19721817595868,0.38,0.293,1.14865828673858e-08
"Fam57a",1.12699690136549e-12,0.172318654398501,0.221,0.155,1.69274934585096e-08
"S100a4",1.20767291113437e-12,0.27805487519851,0.16,0.105,1.81392471252382e-08
"Erbin",1.28683842080191e-12,0.220467902731081,0.172,0.114,1.93283130804447e-08
"Hmgcr",1.31955034175541e-12,0.246786669844122,0.219,0.155,1.98196461331662e-08
"Maged1",1.35316371949687e-12,0.203019819199715,0.435,0.343,2.0324519066843e-08
"Elovl6",1.49681837528602e-12,0.212015847741274,0.208,0.146,2.2482211996796e-08
"Cyp51",1.51643957015692e-12,0.164533920165405,0.208,0.144,2.2776922343757e-08
"Fasn",1.59734456754849e-12,0.202810747115393,0.199,0.137,2.39921154045783e-08
"Serinc1",1.60883708763074e-12,0.224765633979491,0.306,0.233,2.41647330562137e-08
"Tmem106b",1.79972083724624e-12,0.178289929188791,0.236,0.169,2.70318069754385e-08
"Bcl2l1",1.96165953062718e-12,0.170088440878081,0.484,0.391,2.94641261500203e-08
"Fat1",1.96809596181412e-12,0.214131773918717,0.28,0.209,2.95608013464481e-08
"Col1a2",2.11418673511779e-12,0.262901111701855,0.691,0.599,3.17550847614692e-08
"Itgb1",2.33466447359936e-12,0.200626495771554,0.25,0.181,3.50666603934624e-08
"Fdps",2.57416619487705e-12,0.17834520031487,0.212,0.149,3.86639762470532e-08
"Sgk1",2.698798004654e-12,0.183774070589529,0.267,0.197,4.05359460299031e-08
"Itm2b",3.64303006207389e-12,0.219676084754829,0.446,0.363,5.47183115323499e-08
"Ston1",4.09435460722511e-12,0.179383856386954,0.404,0.318,6.14972062005211e-08
"Rtn3",4.27493514700602e-12,0.24381083825382,0.231,0.167,6.42095259080304e-08
"Tkt",5.2912669463265e-12,0.167298943950924,0.238,0.173,7.9474829533824e-08
"Apod",5.36744792826811e-12,0.263479125627977,0.418,0.336,8.0619067882587e-08
"Arpc5",6.41477500728479e-12,0.221242111856043,0.232,0.168,9.63499206094175e-08
"Srsf5",6.96674353471559e-12,0.197129742871558,0.527,0.435,1.04640487891428e-07
"Evi5",7.28094739347047e-12,0.225210471693004,0.238,0.174,1.09359829849927e-07
"Stmn1",1.11043939713618e-11,0.158333415263255,0.474,0.387,1.66787997449854e-07
"Hepacam",1.11386126303138e-11,0.166535960243167,0.284,0.214,1.67301961707313e-07
"Mfsd2a",1.55421841131564e-11,0.179129078024492,0.196,0.136,2.33443605379609e-07
"Slc7a5",1.58483944030284e-11,0.249684809295646,0.268,0.203,2.38042883933486e-07
"Sfrp5",1.60590990472711e-11,0.266705614106557,0.238,0.174,2.41207667690012e-07
"Cyp39a1",1.61421331314212e-11,0.151492131940792,0.267,0.197,2.42454839633947e-07
"Gpr37l1",1.62182389890112e-11,0.252322982539377,0.274,0.207,2.43597949614948e-07
"Pla2g7",2.07192729262156e-11,0.208591950992638,0.2,0.141,3.11203479351758e-07
"Cxxc5",2.08589720163106e-11,0.185810955446602,0.248,0.181,3.13301759684986e-07
"Piezo2",2.32892653111191e-11,0.209054706175936,0.254,0.187,3.49804764973008e-07
"Snrnp70",2.5904434256687e-11,-0.297349571714361,0.683,0.693,3.89084602535439e-07
"Fbln5",2.6308941754821e-11,0.230651491718278,0.233,0.172,3.95160305157412e-07
"Ndst1",2.64265059659444e-11,0.228105991908019,0.25,0.185,3.96926119608484e-07
"Tuba1a",2.69283550519596e-11,0.216456158526197,0.375,0.299,4.04463892880434e-07
"Sdc3",2.79113732428899e-11,0.191361854849567,0.31,0.235,4.19228826108207e-07
"Zdhhc2",3.04230622094219e-11,0.282372770124382,0.194,0.137,4.56954394385517e-07
"Qk",3.21222922856102e-11,-0.234208061616465,0.808,0.809,4.82476830129865e-07
"Mboat1",3.29125723329501e-11,0.168374307509002,0.251,0.188,4.9434683644091e-07
"Sesn1",3.74432492655377e-11,0.106940582312728,0.532,0.438,5.62397603968377e-07
"Sema3g",4.23593500082721e-11,0.196680434417902,0.36,0.281,6.36237437124247e-07
"Etnk1",5.35214399602338e-11,0.180010235705899,0.475,0.389,8.03892028202711e-07
"P4ha1",5.49537667678782e-11,0.185239148626865,0.312,0.242,8.2540557685353e-07
"mt-Atp6",5.81731038665391e-11,0.285938148381454,0.194,0.138,8.73760020075417e-07
"Tmem176a",5.9622652085885e-11,0.272773217535003,0.281,0.216,8.95532234329992e-07
"Syt11",6.05522266052598e-11,0.232875715895876,0.218,0.159,9.09494443611002e-07
"Ddn",6.58991263293347e-11,0.205823579151563,0.663,0.584,9.89804877466607e-07
"Pcdh9",6.76221143131957e-11,0.264542370864336,0.273,0.206,1.0156841569842e-06
"Fxyd6",7.29170535997079e-11,0.238984661977084,0.289,0.22,1.09521414506761e-06
"Bicd1",7.98314378464996e-11,0.150878778340568,0.342,0.266,1.19906819645442e-06
"Nr4a2",8.46991661485252e-11,0.180239807969111,0.356,0.28,1.27218147555085e-06
"Spsb1",9.27957010219629e-11,0.157317110767736,0.12,0.076,1.39379142934988e-06
"Ptdss1",1.01797756333848e-10,0.178088444068962,0.18,0.126,1.52900230013439e-06
"Col1a1",1.04510699285744e-10,0.191270699003445,0.582,0.49,1.56975070327188e-06
"Slamf9",1.20050694230446e-10,0.142519452836514,0.158,0.108,1.80316142734131e-06
"Frzb",1.21722054096183e-10,0.245449120359608,0.259,0.197,1.82826525252467e-06
"App",1.21882988810852e-10,0.170451711292228,0.487,0.397,1.830682491939e-06
"Gpt2",1.22796434863656e-10,0.102454509762003,0.318,0.243,1.84440245165211e-06
"Egr2",1.30173016687033e-10,0.188811813134538,0.303,0.234,1.95519871063924e-06
"Cnn3",1.33150709392985e-10,0.165922245688071,0.281,0.214,1.99992365508263e-06
"Bcar3",1.39576553225003e-10,0.200748278245068,0.176,0.123,2.09643982943955e-06
"Cav2",1.61123076385773e-10,0.173953506823437,0.222,0.164,2.42006860731431e-06
"S100a11",1.71699384541029e-10,0.232445783290827,0.126,0.082,2.57892475580625e-06
"Dpysl2",1.74531346506887e-10,0.122942662387451,0.298,0.228,2.62146082453344e-06
"Flnb",1.80837343607271e-10,0.171683361871027,0.392,0.313,2.7161769009812e-06
"Comt",1.81424276589503e-10,0.175140220417234,0.266,0.201,2.72499263437434e-06
"Mid1ip1",1.83321418644155e-10,0.14401536835182,0.176,0.122,2.75348770803521e-06
"mt-Nd1",1.93688008171134e-10,0.179513866262767,0.141,0.093,2.90919388273043e-06
"mt-Co2",2.02219346714699e-10,0.23966979611614,0.208,0.152,3.03733458765478e-06
"Tmed9",2.02685616344066e-10,0.175229193713832,0.167,0.116,3.04433795748787e-06
"Vim",2.07200396593138e-10,0.249166551898242,0.644,0.562,3.11214995682893e-06
"Ap2m1",2.28540451090493e-10,0.198111827096734,0.224,0.165,3.43267757537921e-06
"Jam3",2.6411347842619e-10,0.159007176677974,0.497,0.412,3.96698444596138e-06
"Ctsd",2.66002535554501e-10,0.149471954245984,0.144,0.097,3.99535808402861e-06
"Dhrs3",2.69943584191317e-10,0.196467455946369,0.339,0.267,4.05455263455358e-06
"Timp3",2.83396762518905e-10,0.197950421174859,0.515,0.434,4.25661937303396e-06
"Aldh2",3.02461091962472e-10,0.189023415554699,0.235,0.175,4.54296560127633e-06
"Rai14",3.03395692247238e-10,0.14681393876262,0.296,0.227,4.55700329755352e-06
"Tspan3",3.37918912050813e-10,0.194273563988795,0.348,0.277,5.07554205900321e-06
"Lox",3.50360297561319e-10,0.271756308332475,0.224,0.167,5.26241166937102e-06
"Aacs",3.71564834797084e-10,0.205512903252139,0.136,0.089,5.58090381865219e-06
"Sema3b",3.72337819441976e-10,0.177877528260163,0.654,0.567,5.59251404801848e-06
"Pdia6",3.75378511042155e-10,0.126821511057301,0.22,0.161,5.63818523585317e-06
"Hsd17b11",3.82592524412321e-10,0.139296326677308,0.271,0.205,5.74653971667306e-06
"Iqsec1",4.10498188730426e-10,0.127103528169648,0.316,0.244,6.165682794731e-06
"Sc5d",4.22374182098806e-10,0.181056046631905,0.198,0.144,6.34406021512406e-06
"Nptn",4.23123248076583e-10,0.136080708581998,0.269,0.206,6.35531118611028e-06
"Atxn7l3b",4.32178269244621e-10,0.194657220495458,0.213,0.156,6.4913176040542e-06
"Adcy1",4.44886833356164e-10,0.190965819111788,0.581,0.497,6.68220023700958e-06
"Slc5a3",5.04883215718698e-10,0.180022120807933,0.282,0.218,7.58334590009485e-06
"Slc27a1",5.11147509215841e-10,-0.25543775202396,0.717,0.713,7.67743558842194e-06
"Aph1a",5.14735439925522e-10,0.194762041599195,0.163,0.114,7.73132630768133e-06
"Sqle",5.1531172277486e-10,0.177727898766432,0.165,0.115,7.7399820760784e-06
"Zdhhc8",5.69364053190506e-10,0.0932583034155994,0.526,0.431,8.5518480789214e-06
"Ccni",6.04498579486685e-10,0.230021146005215,0.124,0.081,9.07956866389001e-06
"Vcp",6.08114269746086e-10,0.142459849789178,0.312,0.243,9.1338763315862e-06
"Hnrnpk",6.46457699221445e-10,0.209240909008031,0.15,0.103,9.70979464230611e-06
"Elovl1",6.61553970066866e-10,0.164063133494452,0.435,0.353,9.93654063040433e-06
"Ranbp9",6.6627285918133e-10,0.155385018111194,0.199,0.144,1.00074183449036e-05
"Arhgef17",6.71717692601462e-10,0.148806701484038,0.312,0.246,1.0089199742874e-05
"Bmp7",6.7625399318743e-10,0.164890967419852,0.35,0.278,1.01573349776752e-05
"mt-Atp8",7.44572931300591e-10,0.207271388698211,0.15,0.102,1.11834854281349e-05
"Zbtb38",7.59548308782231e-10,0.183454635533308,0.199,0.145,1.14084155979091e-05
