"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ap2m1",3.68646352672252e-10,0.692241816804895,0.13,0.027,5.53706821713723e-06
"Fos",5.93719027544792e-10,-0.926241698365031,0.237,0.395,8.91765979372278e-06
"Ikbke",4.34375087872849e-09,0.938335069118534,0.14,0.038,6.52431381985019e-05
"Zfp36",4.19200700929401e-07,-1.05925276410412,0.359,0.455,0.00629639452795961
"Dusp1",5.57294553878835e-07,-0.93944958401088,0.215,0.334,0.0083705641992601
"Cd52",1.92519165539807e-06,0.52932719323885,0.113,0.036,0.0289163786640791
"Dusp6",2.57993344466275e-06,-0.580104922311266,0.247,0.359,0.0387506003388345
"Lyl1",4.15555078450912e-06,-0.41255576743547,0.495,0.607,0.0624163727833269
"Cd33",1.01864404475951e-05,-0.565611948421443,0.363,0.469,0.153000335522878
"Vat1",2.03733908143706e-05,0.442301634732156,0.109,0.04,0.306008330031847
"Rnf103",2.46311967479908e-05,0.39813325948001,0.145,0.065,0.369960575154821
"Map1s",2.71915391848786e-05,0.422091108951958,0.13,0.055,0.408416918556877
"Gpr108",3.14987072116247e-05,0.413729157905503,0.155,0.072,0.473110582318603
"Eef1a1",4.41906547767839e-05,0.387269674165142,0.215,0.12,0.663743634747294
"Rpn1",4.78251453067152e-05,0.439189273090416,0.143,0.066,0.718333682506862
"Nras",7.42359119447428e-05,0.462661107433284,0.138,0.065,1
"Deaf1",8.66440095755573e-05,0.335201345536362,0.12,0.051,1
"Fam234a",0.00010024517468683,0.317094976426829,0.189,0.101,1
"Oga",0.000101643720855549,0.345969991113104,0.237,0.139,1
"Retreg2",0.000105866384177254,0.346673618674934,0.135,0.063,1
"Mdc1",0.000124161141623744,0.50995820440785,0.115,0.051,1
"Psmd7",0.000133543093637944,0.279383180802275,0.115,0.049,1
"Cd300lb",0.000148703713003104,0.346520665112047,0.146,0.072,1
"Stard9",0.000154282867062848,0.418046884496721,0.123,0.057,1
"Abca3",0.000156177336415416,0.296204633905436,0.145,0.07,1
"Srrm2",0.000164937082365055,0.295663427403909,0.263,0.159,1
"Zswim4",0.000188431016394083,0.403259568993531,0.123,0.057,1
"H2-K1",0.000194124664626002,0.363135218834763,0.475,0.347,1
"Vcl",0.000209934764695337,0.430033847133249,0.135,0.066,1
"Cluh",0.000215475564145576,0.463944958045736,0.127,0.061,1
"Slc9a3r1",0.000220557232012381,0.354596394190538,0.188,0.104,1
"Appl1",0.000224792816375061,0.252970078291723,0.212,0.121,1
"Spg7",0.000228961513800943,0.377712959304502,0.155,0.08,1
"Pitpnm1",0.00023877007280495,0.447617470959075,0.123,0.059,1
"Gprc5c",0.000243265912642136,0.419200305217919,0.135,0.066,1
"Erp29",0.000262699122012291,0.371123919968447,0.36,0.245,1
"Ptbp3",0.000290943051501257,0.356391889946138,0.35,0.235,1
"Myl6",0.000298944021331144,0.172376593359517,0.105,0.046,1
"Irf1",0.000321161358904896,0.595712750086008,0.145,0.076,1
"Hjurp",0.00032888738305143,0.286856126810201,0.155,0.082,1
"Chst12",0.00033319015285749,0.325271680420272,0.115,0.053,1
"Tsc22d4",0.00033636554540761,0.341269997284636,0.22,0.133,1
"Tmem106a",0.000336780985942756,0.288805672078816,0.275,0.176,1
"Mllt6",0.000338745068487035,0.530972087949973,0.184,0.106,1
"Shprh",0.000349376426285289,0.389773314285669,0.135,0.068,1
"Ilvbl",0.000393687493349472,0.283703238913832,0.109,0.049,1
"Trappc12",0.000395424959386996,0.393075942544374,0.118,0.057,1
"Ldha",0.000436808461868197,0.473798924655209,0.107,0.049,1
"Pycard",0.000440918440355849,0.351731288200156,0.171,0.095,1
"Ogdh",0.000477390276947611,0.298205992323533,0.146,0.078,1
"Prkab2",0.000501823390315676,0.42584884444873,0.13,0.066,1
"Zc3h12a",0.000505622681208064,0.199029017501157,0.219,0.131,1
"U2af1",0.000565509374639354,0.358820610162499,0.138,0.072,1
"Dbp",0.000576256016624636,0.477485343596152,0.16,0.089,1
"Hps1",0.000582325179683496,0.287848200991883,0.169,0.095,1
"Slc25a3",0.000586755922941369,0.286901182148712,0.125,0.063,1
"Dhrs1",0.000592514037794516,0.22102154337303,0.113,0.053,1
"Opa1",0.000611524303083369,0.35147324664582,0.113,0.055,1
"Eif4g2",0.000626202630049176,0.336439956240457,0.188,0.11,1
"Kri1",0.000626782413153608,0.403328194044906,0.206,0.125,1
"Cep350",0.00063976131614615,0.456413786213022,0.12,0.061,1
"Whamm",0.000651290640984367,0.416913749035455,0.105,0.049,1
"Jund",0.000660531326698356,-0.668189294206764,0.294,0.372,1
"Lifr",0.000714009447057911,-0.361613832265689,0.447,0.516,1
"Lfng",0.000731524712408509,0.430154538267077,0.227,0.144,1
"Cln8",0.000733493868982613,0.28447624464163,0.13,0.066,1
"Mpnd",0.000763821089699926,0.320377019367918,0.11,0.053,1
"Fosb",0.000804939556346549,-1.01316507308533,0.054,0.106,1
"Sfxn3",0.000837969642130609,0.310763064189058,0.217,0.135,1
"Rtf2",0.000841077665409333,0.34583041212766,0.128,0.066,1
"H2afz",0.000872215406246823,0.204723962735489,0.115,0.057,1
"Tcerg1",0.000885723943395009,0.318307703344436,0.143,0.078,1
"Cd163",0.000895145784307896,-0.364121262871206,0.528,0.619,1
"Trip4",0.000905944501582904,0.492068083468363,0.105,0.051,1
"Stat2",0.000916526895893614,0.306228122450962,0.161,0.091,1
"Ing2",0.000957476678234908,0.237201094690217,0.12,0.061,1
"Inpp5d",0.000957877457540807,-0.434011666222568,0.439,0.509,1
"Smad4",0.000966950932656196,0.262607020342119,0.153,0.085,1
"Spaca6",0.000990681203654247,0.274818853977561,0.12,0.061,1
"Cactin",0.00102170107343559,0.278734679815358,0.104,0.049,1
"Dop1b",0.00111040903944489,0.288183054204952,0.113,0.057,1
"Atp1b3",0.00111092563130366,0.326463532096669,0.145,0.08,1
"Ube2r2",0.00111980299453161,0.281441211619412,0.143,0.078,1
"Ubr5",0.00113784736958009,0.245419921015708,0.15,0.083,1
"Ttc39b",0.00115577257120022,0.291945084298946,0.166,0.097,1
"Supt16",0.00120689258122905,0.244839071239188,0.105,0.051,1
"Cndp2",0.00121296840384865,0.265030467105933,0.212,0.133,1
"Mbp",0.00125617983548791,0.497563238329815,0.266,0.178,1
"Arpc5",0.00126069696409708,0.150534462907801,0.171,0.099,1
"Elmsan1",0.0012631709985819,0.276452121200578,0.153,0.087,1
"Nus1",0.00126317521256526,0.211296898725653,0.113,0.057,1
"Ptpa",0.00130742997358217,0.29906746082208,0.194,0.12,1
"Arhgap10",0.00132673545197834,0.342338914030844,0.191,0.118,1
"Slc29a3",0.00133794168901322,0.322157598429613,0.115,0.059,1
"H2-Q6",0.00133983277331564,0.558455106077336,0.214,0.139,1
"Mknk2",0.00134788449743334,0.45914299925306,0.155,0.091,1
"Naa50",0.00136030905013064,0.343533476096487,0.104,0.051,1
"Sf3a1",0.0013625357303607,0.473122500676532,0.11,0.057,1
"Mgat4b",0.00138303522823484,0.278518592575774,0.128,0.068,1
"Arf3",0.00148153304113543,0.302259534527531,0.14,0.078,1
"Ppm1m",0.00148680692306761,0.402225503123621,0.143,0.082,1
"Atrnl1",0.00151002541065584,0.23800048280375,0.188,0.114,1
"Cdk12",0.00151187402887204,0.348902049797755,0.201,0.127,1
"Becn1",0.00153136444395985,0.307511588302892,0.209,0.131,1
"Zfp384",0.00166100420152671,0.146173069989602,0.102,0.049,1
"Gltp",0.00169916695247034,0.257682217833688,0.169,0.101,1
"Ppip5k1",0.00172940489806502,0.360113359665214,0.102,0.051,1
"Fip1l1",0.0017348770974117,0.252839113584301,0.122,0.065,1
"Anxa2",0.00184129877797253,0.318387969566281,0.184,0.114,1
"Sept9",0.00190600521975768,0.400639968506704,0.168,0.102,1
"Spop",0.00192514134133861,0.323308238348855,0.178,0.108,1
"Mfap3",0.00194003388808911,0.280430693293663,0.166,0.099,1
"Prrc2a",0.00199715564039102,0.234615239762941,0.285,0.194,1
"Camkk2",0.00203025543388312,0.307426989291381,0.164,0.099,1
"Ap1s2",0.00203089816432768,0.225559807237773,0.189,0.116,1
"Ctbp1",0.00203104161941974,0.16042934558982,0.151,0.087,1
"Elk3",0.00203241567895375,0.220323646997479,0.184,0.114,1
"Trappc6b",0.0020903090632895,0.217226278410143,0.146,0.083,1
"Vps29",0.00209360777623039,0.195040806826389,0.137,0.076,1
"Plekha1",0.0021458997482818,0.249221036206246,0.178,0.108,1
"Acbd5",0.00222990733526286,0.173273355767479,0.15,0.085,1
"Tmbim6",0.0022443220697425,0.214542497492756,0.15,0.085,1
