"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dcn",2.82290746401447e-15,0.649002332111489,0.608,0.455,4.24000701094973e-11
"Dbp",6.84344567935623e-15,0.452414765016522,0.509,0.325,1.02788554103931e-10
"Kcnj2",1.83792685456382e-10,0.543626219559444,0.221,0.117,2.76056613555486e-06
"Ddx5",3.61416740535662e-10,0.425300073235311,0.164,0.076,5.42847944284564e-06
"Islr",4.36015692872367e-10,0.671845128425522,0.392,0.274,6.54895570694295e-06
"Maged1",5.37082293532777e-09,0.49061922471181,0.276,0.171,8.06697604886231e-05
"Map1lc3b",1.34933919499736e-08,0.372877349312136,0.172,0.088,0.000202670747088603
"Tnxb",2.21128728036997e-08,0.246028139197169,0.749,0.633,0.00033213534951157
"Xdh",2.52418290836873e-08,0.435156917691298,0.13,0.06,0.000379132272836984
"Igfbp6",2.66516937374643e-08,0.455169832315828,0.79,0.707,0.000400308439936714
"Gsn",3.52702483530487e-08,0.61989911933455,0.634,0.528,0.000529759130262792
"Ccnd3",3.81098821552391e-08,0.428737984387801,0.213,0.125,0.000572410429971691
"Tnrc6b",4.4112582337906e-08,0.33131094710115,0.195,0.107,0.000662570986715348
"Selenop",5.48162384139051e-08,0.341563916062842,0.285,0.183,0.000823339900976855
"Rbm4",6.24911736901406e-08,0.409056520091169,0.153,0.079,0.000938617428825911
"Perp",1.25487637553927e-07,0.393301730150559,0.114,0.053,0.00188482431605998
"Gypc",1.50579300018584e-07,0.320175290329109,0.131,0.063,0.00226170108627913
"Srgn",2.04586329688055e-07,0.348004563787771,0.193,0.11,0.00307288667191459
"Fto",2.54732925708331e-07,0.189272394900044,0.241,0.145,0.00382608854413913
"Carhsp1",2.65784113440258e-07,0.366883991191277,0.122,0.058,0.00399207738387268
"H6pd",4.5820742002402e-07,0.326754277299521,0.237,0.146,0.00688227544876078
"Dock9",4.96409238178619e-07,-0.161502225547392,0.972,0.975,0.00745606675744285
"Adamts2",7.22919772388864e-07,0.235155620713777,0.489,0.366,0.0108582549812807
"Per3",7.69685858920513e-07,0.194671038231768,0.389,0.272,0.0115606816009861
"Per2",9.48644035932745e-07,0.321000581104056,0.18,0.104,0.0142486334197098
"Ndrg2",9.57046514518152e-07,0.3216832100772,0.446,0.331,0.0143748386480626
"Spaca6",1.06099074518534e-06,0.278321827502191,0.311,0.209,0.0159360809926838
"Fbxl12",1.09865685767293e-06,0.273189852381802,0.197,0.116,0.0165018260022474
"Ube2d2a",1.2141941033249e-06,0.338955191563127,0.104,0.049,0.01823719543194
"Postn",1.25956841634997e-06,0.464800582076794,0.239,0.156,0.0189187176135766
"Lypd2",1.70772028872693e-06,0.286052517989875,0.235,0.15,0.0256499587366785
"Ctsb",1.87810781728515e-06,0.366692477197876,0.19,0.115,0.028209179415623
"C1s1",1.90744548697753e-06,0.308190688774129,0.259,0.17,0.0286498312144025
"Irf3",2.13181708428407e-06,0.290205610940583,0.209,0.128,0.0320198926059468
"Thbd",2.43624289519146e-06,0.303339427733893,0.22,0.14,0.0365923682857758
"Serinc3",2.64569895004219e-06,0.303629119394574,0.214,0.134,0.0397383982296338
"Igfbp5",2.76710955413684e-06,0.485962793266944,0.364,0.262,0.0415619855031354
"Srrm2",2.88729948901988e-06,0.29957789095366,0.356,0.255,0.0433672383250786
"Ercc5",3.13480774267346e-06,0.334765848363058,0.108,0.054,0.0470848122949554
"Sparc",3.14057619435415e-06,0.519013088477729,0.47,0.377,0.0471714544391993
"Cpe",3.81990943373463e-06,0.313897484341268,0.159,0.093,0.0573750396946942
"Cst3",3.82958439628879e-06,0.508225835258378,0.371,0.284,0.0575203576322576
"Hic1",3.96043930330699e-06,0.298471001026644,0.254,0.166,0.059485798335671
"Rhbdd2",4.54681028357859e-06,0.469998436266759,0.212,0.139,0.0682930904593504
"Sra1",4.57170298843237e-06,0.259933727819261,0.137,0.075,0.0686669788862542
"Zfp866",5.06882073490423e-06,0.248101591230085,0.113,0.057,0.0761336874382616
"Ttc3",5.66711827854488e-06,0.276140185441262,0.176,0.105,0.085120116543744
"Nbas",6.27815831324378e-06,0.214679767168928,0.163,0.094,0.0942979378649216
"Col6a5",6.67648209414917e-06,0.454961544140792,0.289,0.206,0.100280761054121
"P4hb",6.71486189855028e-06,0.32328706810036,0.141,0.081,0.100857225716225
