"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nfasc",1.67082743381565e-19,0.357517450537391,0.765,0.694,2.5095828055911e-15
"Rassf4",2.99804417254426e-16,-0.612603938563312,0.187,0.273,4.50306234716149e-12
"Ank3",6.19179377424118e-16,-0.416324226903446,0.693,0.772,9.30007424891025e-12
"Ntrk3",1.35334399827211e-14,-0.640348453751758,0.165,0.242,2.03272268540471e-10
"Ppp1r9a",1.51058437294162e-14,0.511061171361813,0.434,0.358,2.26889772815832e-10
"Epb41l4b",2.28194390842306e-14,-0.52648541506618,0.466,0.552,3.42747975045143e-10
"Abca8b",2.59317349881902e-14,-0.691448650548725,0.229,0.31,3.89494659522616e-10
"Slc36a2",4.09317464641371e-14,0.299096831601511,0.704,0.631,6.1479483189134e-10
"Drp2",1.30534349987838e-13,0.302304248004151,0.781,0.689,1.96062593681732e-09
"Abca8a",1.50567169557653e-13,-0.552785305400624,0.187,0.264,2.26151888675594e-09
"Mbp",1.8325857826698e-13,0.344992376536913,0.958,0.929,2.75254384557004e-09
"Cdh19",2.50765680721216e-12,-0.397094575199245,0.568,0.65,3.76650052443266e-08
"Entpd2",3.13619344761313e-12,-0.504770179282862,0.142,0.21,4.71056255831493e-08
"Slc7a2",7.57496233888107e-12,0.468376195922386,0.296,0.222,1.13775934329994e-07
"Eps8l1",2.40901131763569e-11,-0.364411213421765,0.154,0.221,3.6183349990888e-07
"C4b",9.35276433412097e-11,-0.417563047750217,0.209,0.283,1.40478520298497e-06
"Ncam1",1.00028390465658e-10,-0.565779019270806,0.129,0.189,1.50242642479418e-06
"Carns1",1.72859104814061e-10,0.304452525522729,0.621,0.56,2.5963437543072e-06
"Scn7a",1.91320416588557e-10,-0.371430592670153,0.186,0.258,2.87363265716012e-06
"Tbc1d10a",5.10318638793687e-10,-0.457026446450139,0.146,0.205,7.66498595468117e-06
"Dock9",5.52139852602739e-10,0.305220772299499,0.672,0.621,8.29314058609313e-06
"Fxyd7",1.25311668526191e-09,-0.468009880334054,0.184,0.245,1.88218126126338e-05
"Adam23",1.34989161439791e-09,-0.505019482175153,0.08,0.127,2.02753720482567e-05
"Spata13",5.26877777379924e-09,-0.400859129164308,0.173,0.232,7.91370421624646e-05
"Ptpdc1",5.7134313856599e-09,0.274618040700286,0.637,0.586,8.58157394126117e-05
"Txnip",6.59538690421399e-09,-0.533447212482693,0.255,0.316,9.90627113012941e-05
"Aatk",7.52842060251518e-09,0.138752179584064,0.947,0.95,0.000113076877449778
"Col1a2",8.46377104527036e-09,-0.239375125714964,0.599,0.658,0.000127125841099961
"Cldn19",9.09908880947492e-09,0.216319541912164,0.716,0.645,0.000136668313918313
"Col16a1",1.01050640500486e-08,-0.449182942253287,0.194,0.254,0.00015177806203173
"Prx",1.66903785913443e-08,0.183594091617839,0.753,0.673,0.000250689486441991
"Lzts2",2.27064134244035e-08,0.307871440893326,0.534,0.484,0.000341050329634541
"Kcna1",3.54555828988516e-08,-0.225847956599264,0.57,0.64,0.000532542855140751
"Rsrp1",3.84841178795101e-08,-0.180544993990668,0.723,0.771,0.000578031450550241
"Vim",3.96374069959829e-08,-0.225973259853626,0.562,0.621,0.000595353853079663
"Bcas1",6.33078006464447e-08,0.348312389089689,0.495,0.441,0.000950883165709599
"Shc4",6.60680856710014e-08,0.249598567132318,0.594,0.538,0.00099234264677844
"Gas7",7.19498755017497e-08,-0.413819000497238,0.207,0.263,0.00108068713003628
"Il16",7.96482644731528e-08,0.290730252970012,0.578,0.53,0.00119631693238676
"Dusp15",8.36721003033401e-08,0.166612260502759,0.74,0.651,0.00125675494655617
"L1cam",9.23926851159886e-08,-0.381193382460847,0.122,0.17,0.00138773813044215
"Gpt2",1.05609785235447e-07,-0.408785938252442,0.243,0.301,0.00158625897423641
"Rxrg",1.20738912520039e-07,-0.458108031850672,0.079,0.119,0.00181349846605098
"Antxr2",1.28816446593705e-07,-0.443027839921966,0.174,0.224,0.00193482302783745
"Col27a1",1.42338165793841e-07,-0.320597441324081,0.151,0.204,0.00213791925022349
"Rasgef1c",1.55442732098132e-07,-0.323768544851692,0.178,0.233,0.00233474983611394
"Sptbn1",1.76741513726121e-07,-0.1319582664613,0.795,0.823,0.00265465753616633
"Adam11",1.78682926531762e-07,-0.454950576062702,0.11,0.156,0.00268381755650707
"Ctnna3",1.81576717703581e-07,0.248219482753837,0.618,0.567,0.00272728229990778
"Plec",2.43575124362235e-07,-0.166953511732307,0.585,0.64,0.00365849836792078
"Rprd1a",2.81765671601773e-07,-0.326418646177212,0.237,0.294,0.00423212038745863
"Otud7b",2.94258758312929e-07,0.258914595533059,0.507,0.452,0.00441976654986019
"Gjc3",3.11988312165606e-07,0.335291396464552,0.318,0.264,0.00468606444872739
"Arhgef25",3.5040651105009e-07,-0.380085273528399,0.073,0.111,0.00526310579597235
"Cyp2d22",3.74443095885554e-07,-0.418039645022225,0.145,0.192,0.00562413530020102
"Lbh",4.10810814881671e-07,-0.490638064971511,0.145,0.192,0.00617037843952269
"Vcl",5.01842931507138e-07,-0.248931863365841,0.232,0.289,0.00753768083123721
"Slc9a3r1",7.38535664035983e-07,-0.301037706858455,0.198,0.252,0.0110928056738205
"Ccdc159",1.19506377956034e-06,-0.309306513402468,0.131,0.176,0.0179498579689964
"Dusp6",1.28746574356224e-06,-0.559870827738954,0.084,0.12,0.0193377354683049
"Aldh1a1",1.30134871119686e-06,-0.417052594436524,0.068,0.103,0.0195462576421769
"Hspa12a",1.49463981537713e-06,0.18687307928743,0.726,0.695,0.0224494900269645
"Plscr4",1.49983034019689e-06,-0.339974438533686,0.225,0.276,0.0225274517097574
"Mtss2",1.58811664244373e-06,-0.40366899149125,0.104,0.143,0.0238535119695048
"Lgi4",1.80012190693955e-06,-0.364125691013273,0.516,0.559,0.0270378310422321
"Camk2d",2.25356785805109e-06,-0.241338010590629,0.4,0.451,0.0338485892279274
"Col4a1",2.48914807567474e-06,-0.205864578938186,0.558,0.596,0.0373870040966345
"Ldhb",2.78499445670621e-06,0.24015995819506,0.475,0.428,0.0418306167397273
"Cebpd",2.90010183788762e-06,-0.445670580385299,0.091,0.128,0.0435595296050721
"Ddn",3.62178670634543e-06,0.245826156158286,0.584,0.537,0.0543992363293083
"Art3",3.76961967463912e-06,0.237292137963193,0.743,0.724,0.0566196875130795
"Tax1bp3",3.79863229386229e-06,0.289414952352661,0.186,0.142,0.0570554570538116
"Arhgap19",3.9896256075655e-06,0.220300420397189,0.594,0.546,0.0599241766256338
"Piezo2",4.12302349871839e-06,-0.276560219106027,0.187,0.236,0.0619278129507503
"Gsap",4.27652087393246e-06,-0.322399188177466,0.079,0.114,0.0642333435264656
"S1pr3",4.44489956521423e-06,-0.402778599099363,0.087,0.123,0.0667623914695177
"Angptl4",4.79922600890645e-06,-0.304946623541795,0.226,0.275,0.0720843746537749
