"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"Process","GO:0051049",43,1998,10090,"10090.ENSMUSP00000000312,10090.ENSMUSP00000001156,10090.ENSMUSP00000001507,10090.ENSMUSP00000007207,10090.ENSMUSP00000007216,10090.ENSMUSP00000017552,10090.ENSMUSP00000020706,10090.ENSMUSP00000024829,10090.ENSMUSP00000024988,10090.ENSMUSP00000025166,10090.ENSMUSP00000027499,10090.ENSMUSP00000030814,10090.ENSMUSP00000031445,10090.ENSMUSP00000032272,10090.ENSMUSP00000033093,10090.ENSMUSP00000034591,10090.ENSMUSP00000034983,10090.ENSMUSP00000037222,10090.ENSMUSP00000039094,10090.ENSMUSP00000042215,10090.ENSMUSP00000045285,10090.ENSMUSP00000051389,10090.ENSMUSP00000056715,10090.ENSMUSP00000069418,10090.ENSMUSP00000071486,10090.ENSMUSP00000074969,10090.ENSMUSP00000077273,10090.ENSMUSP00000081334,10090.ENSMUSP00000083077,10090.ENSMUSP00000088047,10090.ENSMUSP00000090633,10090.ENSMUSP00000099983,10090.ENSMUSP00000101909,10090.ENSMUSP00000103981,10090.ENSMUSP00000104208,10090.ENSMUSP00000105445,10090.ENSMUSP00000119827,10090.ENSMUSP00000128121,10090.ENSMUSP00000130518,10090.ENSMUSP00000133302,10090.ENSMUSP00000134823,10090.ENSMUSP00000138326,10090.ENSMUSP00000140167","Cdh1,Cfp,Cyp51,Clcn2,Ap2m1,Cacnb1,Adcy1,Abcg1,C3,Cdh2,Bok,Cdk5,Aacs,Adipor2,Bax,Bace1,Atp1b3,Catsper2,Atpsckmt,Atp8a1,Abca3,Akap8l,Atxn2,C4b,Actg1,Brsk2,Asph,Cldn19,Atp1a2,Cry2,Ahnak,Abca2,Cyth1,Akt2,Arrb2,Bcl2l1,Apod,Abca7,Cd200,Apoe,Cpsf6,Ank3,Clasp1",1.28e-07,0.002,"Regulation of transport"
"Process","GO:0051128",49,2546,10090,"10090.ENSMUSP00000001825,10090.ENSMUSP00000002825,10090.ENSMUSP00000007216,10090.ENSMUSP00000022806,10090.ENSMUSP00000024829,10090.ENSMUSP00000024988,10090.ENSMUSP00000025166,10090.ENSMUSP00000025999,10090.ENSMUSP00000027499,10090.ENSMUSP00000030518,10090.ENSMUSP00000030814,10090.ENSMUSP00000030944,10090.ENSMUSP00000031625,10090.ENSMUSP00000032272,10090.ENSMUSP00000033093,10090.ENSMUSP00000034703,10090.ENSMUSP00000039394,10090.ENSMUSP00000040208,10090.ENSMUSP00000042215,10090.ENSMUSP00000045285,10090.ENSMUSP00000053216,10090.ENSMUSP00000056383,10090.ENSMUSP00000056715,10090.ENSMUSP00000060930,10090.ENSMUSP00000071486,10090.ENSMUSP00000071720,10090.ENSMUSP00000074969,10090.ENSMUSP00000075587,10090.ENSMUSP00000077262,10090.ENSMUSP00000077273,10090.ENSMUSP00000081225,10090.ENSMUSP00000081334,10090.ENSMUSP00000083393,10090.ENSMUSP00000085316,10090.ENSMUSP00000090633,10090.ENSMUSP00000099475,10090.ENSMUSP00000099983,10090.ENSMUSP00000101004,10090.ENSMUSP00000101209,10090.ENSMUSP00000103981,10090.ENSMUSP00000104208,10090.ENSMUSP00000105445,10090.ENSMUSP00000119827,10090.ENSMUSP00000128121,10090.ENSMUSP00000133302,10090.ENSMUSP00000135223,10090.ENSMUSP00000137537,10090.ENSMUSP00000139759,10090.ENSMUSP00000140167","Chordc1,Baz1b,Ap2m1,Bcl2l2,Abcg1,C3,Cdh2,Add3,Bok,Capzb,Cdk5,Ccnl2,Arpc1a,Adipor2,Bax,Carm1,Bicd2,Creb3l2,Atp8a1,Abca3,Ccdc84,Atat1,Atxn2,Cdc42ep1,Actg1,Camk2g,Brsk2,Carmil3,Cfl2,Asph,Arhgef10,Cldn19,Anapc5,Adnp,Ahnak,Cltc,Abca2,Cirbp,Acap3,Akt2,Arrb2,Bcl2l1,Apod,Abca7,Apoe,Cux1,Ccdc85b,Auts2,Clasp1",3.94e-07,0.0031,"Regulation of cellular component organization"
"Process","GO:0032879",46,2366,10090,"10090.ENSMUSP00000000312,10090.ENSMUSP00000001156,10090.ENSMUSP00000001507,10090.ENSMUSP00000007207,10090.ENSMUSP00000007216,10090.ENSMUSP00000017552,10090.ENSMUSP00000020706,10090.ENSMUSP00000024829,10090.ENSMUSP00000024988,10090.ENSMUSP00000025166,10090.ENSMUSP00000027499,10090.ENSMUSP00000030814,10090.ENSMUSP00000031445,10090.ENSMUSP00000032272,10090.ENSMUSP00000033093,10090.ENSMUSP00000034591,10090.ENSMUSP00000034983,10090.ENSMUSP00000037222,10090.ENSMUSP00000039094,10090.ENSMUSP00000042215,10090.ENSMUSP00000045285,10090.ENSMUSP00000051389,10090.ENSMUSP00000056715,10090.ENSMUSP00000069418,10090.ENSMUSP00000071486,10090.ENSMUSP00000071720,10090.ENSMUSP00000074969,10090.ENSMUSP00000077273,10090.ENSMUSP00000081334,10090.ENSMUSP00000083077,10090.ENSMUSP00000088047,10090.ENSMUSP00000090633,10090.ENSMUSP00000099475,10090.ENSMUSP00000099983,10090.ENSMUSP00000101909,10090.ENSMUSP00000103981,10090.ENSMUSP00000104208,10090.ENSMUSP00000105248,10090.ENSMUSP00000105445,10090.ENSMUSP00000119827,10090.ENSMUSP00000128121,10090.ENSMUSP00000130518,10090.ENSMUSP00000133302,10090.ENSMUSP00000134823,10090.ENSMUSP00000138326,10090.ENSMUSP00000140167","Cdh1,Cfp,Cyp51,Clcn2,Ap2m1,Cacnb1,Adcy1,Abcg1,C3,Cdh2,Bok,Cdk5,Aacs,Adipor2,Bax,Bace1,Atp1b3,Catsper2,Atpsckmt,Atp8a1,Abca3,Akap8l,Atxn2,C4b,Actg1,Camk2g,Brsk2,Asph,Cldn19,Atp1a2,Cry2,Ahnak,Cltc,Abca2,Cyth1,Akt2,Arrb2,Cep250,Bcl2l1,Apod,Abca7,Cd200,Apoe,Cpsf6,Ank3,Clasp1",7.52e-07,0.004,"Regulation of localization"
"Process","GO:0016043",80,5482,10090,"10090.ENSMUSP00000000312,10090.ENSMUSP00000001825,10090.ENSMUSP00000002418,10090.ENSMUSP00000002825,10090.ENSMUSP00000003759,10090.ENSMUSP00000003876,10090.ENSMUSP00000007216,10090.ENSMUSP00000017552,10090.ENSMUSP00000020706,10090.ENSMUSP00000022806,10090.ENSMUSP00000024829,10090.ENSMUSP00000024988,10090.ENSMUSP00000025166,10090.ENSMUSP00000025408,10090.ENSMUSP00000025760,10090.ENSMUSP00000025999,10090.ENSMUSP00000027499,10090.ENSMUSP00000028004,10090.ENSMUSP00000029257,10090.ENSMUSP00000029773,10090.ENSMUSP00000029815,10090.ENSMUSP00000030518,10090.ENSMUSP00000030814,10090.ENSMUSP00000031625,10090.ENSMUSP00000033093,10090.ENSMUSP00000034206,10090.ENSMUSP00000034703,10090.ENSMUSP00000035121,10090.ENSMUSP00000036330,10090.ENSMUSP00000039394,10090.ENSMUSP00000042215,10090.ENSMUSP00000043816,10090.ENSMUSP00000045285,10090.ENSMUSP00000051389,10090.ENSMUSP00000056383,10090.ENSMUSP00000056715,10090.ENSMUSP00000060247,10090.ENSMUSP00000060930,10090.ENSMUSP00000061646,10090.ENSMUSP00000062046,10090.ENSMUSP00000063933,10090.ENSMUSP00000068550,10090.ENSMUSP00000071486,10090.ENSMUSP00000074969,10090.ENSMUSP00000076081,10090.ENSMUSP00000077262,10090.ENSMUSP00000081225,10090.ENSMUSP00000081334,10090.ENSMUSP00000085316,10090.ENSMUSP00000085632,10090.ENSMUSP00000086703,10090.ENSMUSP00000088779,10090.ENSMUSP00000092210,10090.ENSMUSP00000092993,10090.ENSMUSP00000097101,10090.ENSMUSP00000099475,10090.ENSMUSP00000099983,10090.ENSMUSP00000101004,10090.ENSMUSP00000103068,10090.ENSMUSP00000103981,10090.ENSMUSP00000105237,10090.ENSMUSP00000105248,10090.ENSMUSP00000105445,10090.ENSMUSP00000105563,10090.ENSMUSP00000110574,10090.ENSMUSP00000112500,10090.ENSMUSP00000119827,10090.ENSMUSP00000122058,10090.ENSMUSP00000126352,10090.ENSMUSP00000126515,10090.ENSMUSP00000128121,10090.ENSMUSP00000133302,10090.ENSMUSP00000134823,10090.ENSMUSP00000136324,10090.ENSMUSP00000138326,10090.ENSMUSP00000139759,10090.ENSMUSP00000140167,10090.ENSMUSP00000140251,10090.ENSMUSP00000153359,10090.ENSMUSP00000158945","Cdh1,Chordc1,Borcs8,Baz1b,Ciao1,Brd8,Ap2m1,Cacnb1,Adcy1,Bcl2l2,Abcg1,C3,Cdh2,Afg3l2,Chka,Add3,Bok,Aldh9a1,Atp11b,Cnn3,Cisd2,Capzb,Cdk5,Arpc1a,Bax,Bbs2,Carm1,Amotl2,Adamts20,Bicd2,Atp8a1,Col27a1,Abca3,Akap8l,Atat1,Atxn2,B3gnt2,Cdc42ep1,Crppa,Cox19,Chl1,Ccser2,Actg1,Brsk2,Atg13,Cfl2,Arhgef10,Cldn19,Adnp,Acrbp,Arl13b,Atp11a,Cdh19,Aebp2,Brwd1,Cltc,Abca2,Cirbp,Alad,Akt2,Cpne1,Cep250,Bcl2l1,Clmn,Celf2,Atg16l2,Apod,Bbs9,Chd2,Cfap100,Abca7,Apoe,Cpsf6,Bbip1,Ank3,Auts2,Clasp1,Ash1l,Adamts6,Arhgap39",2.94e-06,0.0093,"Cellular component organization"
"Process","GO:2001140",4,14,10090,"10090.ENSMUSP00000042215,10090.ENSMUSP00000045285,10090.ENSMUSP00000128121,10090.ENSMUSP00000133302","Atp8a1,Abca3,Abca7,Apoe",1.82e-05,0.0361,"Positive regulation of phospholipid transport"
"Process","GO:0035846",3,4,10090,"10090.ENSMUSP00000000312,10090.ENSMUSP00000024988,10090.ENSMUSP00000080751","Cdh1,C3,Csmd1",2.51e-05,0.0404,"Oviduct epithelium development"
"Process","GO:0044092",27,1216,10090,"10090.ENSMUSP00000001825,10090.ENSMUSP00000002360,10090.ENSMUSP00000003290,10090.ENSMUSP00000023083,10090.ENSMUSP00000024988,10090.ENSMUSP00000026217,10090.ENSMUSP00000028938,10090.ENSMUSP00000029773,10090.ENSMUSP00000033093,10090.ENSMUSP00000034703,10090.ENSMUSP00000069418,10090.ENSMUSP00000071752,10090.ENSMUSP00000083077,10090.ENSMUSP00000085316,10090.ENSMUSP00000088047,10090.ENSMUSP00000099983,10090.ENSMUSP00000103981,10090.ENSMUSP00000104208,10090.ENSMUSP00000105237,10090.ENSMUSP00000105445,10090.ENSMUSP00000125857,10090.ENSMUSP00000130518,10090.ENSMUSP00000133302,10090.ENSMUSP00000136329,10090.ENSMUSP00000137585,10090.ENSMUSP00000138326,10090.ENSMUSP00000141121","Chordc1,Angptl4,Bcl2l12,Cyp2d22,C3,Chuk,Cst3,Cnn3,Bax,Carm1,C4b,Commd7,Atp1a2,Adnp,Cry2,Abca2,Akt2,Arrb2,Cpne1,Bcl2l1,Cpeb2,Cd200,Apoe,Birc6,Col6a3,Ank3,Cys1",2.32e-05,0.0404,"Negative regulation of molecular function"
"Process","GO:0051050",25,1101,10090,"10090.ENSMUSP00000000312,10090.ENSMUSP00000001156,10090.ENSMUSP00000007216,10090.ENSMUSP00000024829,10090.ENSMUSP00000024988,10090.ENSMUSP00000025166,10090.ENSMUSP00000027499,10090.ENSMUSP00000030814,10090.ENSMUSP00000031445,10090.ENSMUSP00000032272,10090.ENSMUSP00000033093,10090.ENSMUSP00000034983,10090.ENSMUSP00000039094,10090.ENSMUSP00000042215,10090.ENSMUSP00000045285,10090.ENSMUSP00000069418,10090.ENSMUSP00000077273,10090.ENSMUSP00000103981,10090.ENSMUSP00000104208,10090.ENSMUSP00000105445,10090.ENSMUSP00000128121,10090.ENSMUSP00000133302,10090.ENSMUSP00000134823,10090.ENSMUSP00000138326,10090.ENSMUSP00000140167","Cdh1,Cfp,Ap2m1,Abcg1,C3,Cdh2,Bok,Cdk5,Aacs,Adipor2,Bax,Atp1b3,Atpsckmt,Atp8a1,Abca3,C4b,Asph,Akt2,Arrb2,Bcl2l1,Abca7,Apoe,Cpsf6,Ank3,Clasp1",3.35e-05,0.0404,"Positive regulation of transport"
"Process","GO:1902995",3,4,10090,"10090.ENSMUSP00000045285,10090.ENSMUSP00000128121,10090.ENSMUSP00000133302","Abca3,Abca7,Apoe",2.51e-05,0.0404,"Positive regulation of phospholipid efflux"
"Process","GO:0006629",27,1261,10090,"10090.ENSMUSP00000001240,10090.ENSMUSP00000001507,10090.ENSMUSP00000002360,10090.ENSMUSP00000006914,10090.ENSMUSP00000008350,10090.ENSMUSP00000023083,10090.ENSMUSP00000023289,10090.ENSMUSP00000024492,10090.ENSMUSP00000024829,10090.ENSMUSP00000024988,10090.ENSMUSP00000025760,10090.ENSMUSP00000031262,10090.ENSMUSP00000031445,10090.ENSMUSP00000032272,10090.ENSMUSP00000033093,10090.ENSMUSP00000034000,10090.ENSMUSP00000038203,10090.ENSMUSP00000045285,10090.ENSMUSP00000050061,10090.ENSMUSP00000061646,10090.ENSMUSP00000069539,10090.ENSMUSP00000099983,10090.ENSMUSP00000103012,10090.ENSMUSP00000112708,10090.ENSMUSP00000119827,10090.ENSMUSP00000130073,10090.ENSMUSP00000133302","Agpat3,Cyp51,Angptl4,B4galnt1,Cers4,Cyp2d22,Chkb,Acbd4,Abcg1,C3,Chka,Coq2,Aacs,Adipor2,Bax,Asah1,Cerk,Abca3,Cyb5r2,Crppa,Cpt1c,Abca2,Acly,Chpt1,Apod,Cyp39a1,Apoe",4.29e-05,0.0453,"Lipid metabolic process"
